start	end	text
0.009	2.130	感謝讚美主。
2.130	4.791	好,我們一起翻開手上的聖經。
4.791	11.975	如果您手上沒有聖經的,不要客氣,請你在您的座位上舉一下你的手,然後我們的招待同工會拿給你。
11.975	15.637	我們一起來翻開新約的希伯來書。
15.637	19.259	新約的希伯來書,我們要來看第四章。
26.254	32.960	如果你翻不到,不要客氣,請旁邊的弟兄姊妹幫你翻,因為那是他的特權。
32.960	37.184	你可以請他協助你一下,然後我們把聖經翻到。
37.184	39.606	我們今天來看希伯來書的第四章。
43.695	44.875	都翻到了嗎?
44.875	47.216	好,翻到,您看我一下,讓我知道你們都已經翻到。
47.216	52.517	如果沒有,沒有翻到,或還沒有滑到,沒有關係,我們有PPT可以幫助我們。
52.517	55.478	好,我們一起來看希伯來書的第四章。
55.478	59.419	我們要從第一節,我們先念到第九節。
59.419	64.260	我們今天會把整個希伯來書第四章談完,但是我們先來念第一節,一直到第九節。
64.260	66.341	翻到了,我們同聲開口來念。
66.341	66.881	預備,請。
91.493	96.336	但我們已經相信的人得以進入那安息。
96.336	97.736	正如神所說。
123.234	142.362	那先前聽見福音的﹐因為不信從﹐不得進去﹐所以過了多年﹐就在大衛的書上﹐又限定一日﹐如以上所引的說﹐你們今日若聽祂的話﹐就不可硬著心﹐若是約蘇亞﹐已叫他們想了安息。
145.230	149.072	我們念到這裡,我們一起來禱告。
149.072	183.193	主,謝謝祢透過希伯來書,這位作者所要告訴我們的, 談一個很重要﹐我們很熟悉﹐但是我們卻也常常不理解的﹐因為你說凡來到你面前的人﹐勞苦擔重擔的人﹐就得到安息。
183.193	195.297	我們必須要向你承認﹐可是在我們的生命當中﹐很多時候﹐我們被很多失誤纏身﹐我們好像沒有辦法得到你所賜的那個﹐屬天的安息。
195.297	206.484	求你透過你今天的話語﹐ 來告訴我們,讓我們每一個人因著祢的話語解開我們心裏面的那個疑惑,進入祢所要給我們的安息。
206.484	210.405	謝謝主,我們將感謝禱告奉耶穌基督的名,阿們。
210.405	225.390	今天我們就要從希伯來書的第四章這邊談一個很重要的主題,正如同我剛才禱告的,因為其實一般要談這段經文,其實不容易談,因為其實很多時候我們識懂, 然後呢,又非懂。
225.390	227.230	是懂非懂是最麻煩的一件事情。
227.230	235.414	是懂就是因為我們以為我們懂,然後我們就用一些我們過去的習慣、概念,然後來解釋我們不懂的。
235.414	238.555	然後呢,其實是根本就不懂,對不對。
238.555	240.856	問題就在於,我們今天來談一個安息。
240.856	248.139	今天我要跟各位談的是這段經文當中出現的一句話,叫做竭力進入那個安息。
249.070	254.873	你會覺得這個題目很奇怪,因為既然是安息,怎麼會是什麼?
254.873	255.454	竭力。
255.454	259.136	既然有竭力,就應該不是什麼?
259.136	261.277	安息,愛怕命。
261.277	264.019	那好,那如果是這樣,那應該是什麼?
264.019	269.803	前面愛真怕命,前面要很努力,然後後面得安息,是這樣嗎?
269.803	271.524	好像又不是。
271.524	282.380	在過去的一個月的時間,我有機會在紐西蘭服事, 在這個當中,其實我很少到海外去服事,因為基本上我是一個戀家的人。
282.380	288.205	我喜歡這塊土地,然後我喜歡這裡的人,我喜歡這裡的一切的美好的食物。
288.205	291.087	能夠不出去,我絕對不出去。
291.087	299.195	可是好像上帝就安排了我們有一次的機會可以出去服事,在這一段過程當中,其實滿挑戰我自己的。
299.195	304.877	因為在那個地方,我必須要說, 它沒有那麼多事情可以做。
304.877	308.300	在臺灣,我真的跟你講,好多的事情可以做。
308.300	309.481	對不對?
309.481	329.457	很多的服事可以做,有很多的人可以談,我可能有查不完的聖經,然後要為人帶導,帶導不完的帶導,然後甚至要關心、要聊,每一次都要排時間很久,有些時候真的要請弟兄姊妹見諒,不是我們臭屁要排很久,實在是沒有辦法,因為時間就是佔滿了一切。
330.077	350.162	可是到了那裡我突然發現好像上帝要我學習另外一種的生活在那裡沒有錯是感覺有很多很多的福事但是它僅限於禮拜五禮拜六跟禮拜天從禮拜五晚上才開始所以在那裡我就有禮拜一禮拜二禮拜三禮拜四包括禮拜五的什麼?
350.162	355.223	白天請問這些事情要做什麼?
355.223	381.760	神告訴我安息 現在是一個很美的地方我們在那裡有很好的休息大家所知道在那裡有很好的陽光在那裡有很好的空氣有很好的水在那裡我有一些些的不習慣原因是因為我在這邊我在淡水我在臺灣怎麼樣忙碌慣了我不太習慣早上 可以睡到自然醒。
381.760	384.542	我的自然醒大部分都是七點半左右我就自然醒了。
384.542	393.907	我已經很努力的盡量不要起來,但是因為它天很早就亮了,所以七點半就起來,然後就在那裡沒有事。
393.907	401.692	感謝主祂們提供了我一臺咖啡機,我就享受,哇,有咖啡機,我喜歡喝咖啡,我就可以好好的享受咖啡機,對不對?
402.619	444.169	但是我不是幫那個咖啡機做廣告那個咖啡機30秒就完成了我突然覺得不知道怎麼辦在淡水我還可以稍微可能要磨豆子我還可以耗一點時間對不對找一找東西洗一洗東西在那裡他就給我一個小東西然後放到裡面去然後蓋起來他就然後30秒之後一杯就出來了我不曉得我應該要怎麼得到安息我們今天看到這一段經文我們就一起來思想 整個希伯來書從第一章、第二章到第三章,第一章它談到要留意神兒子的話語,神兒子所帶來的那個救恩的信息。
444.169	454.532	神的兒子高過天使,神的兒子高過他們所認為很重要的、就約的一個靈魂人物叫做摩西。
455.469	468.754	在這個過程當中,這個希伯來書的作者試圖讓讀者,也就是今天我們明白一件事情, 你領受耶穌基督的那個救恩是一個怎麼樣一回事?
468.754	493.270	原因就在於許許多多領受耶穌基督救恩的人,我說的是真的,在他們日常的生活當中,還害怕一些事情,還擔憂一些事情,還掛念一些事情,然後還在意一些事情,以至於他們的生命如同我一樣,總覺得要做點什麼?
493.490	497.052	總覺得要做點什麼。
497.052	501.294	為了禮拜五禮拜六的服事總覺得要多做一點什麼。
501.294	503.935	然後才覺得安心。
503.935	506.476	其實去那之前早就怎麼樣?
506.476	508.197	預備好了。
508.197	518.615	在這個過程當中我突然發現其實 我的情況,或者說各位的情況,其實我們滿符合希伯來書的作者所要告訴我們的。
518.615	529.462	看起來我們有救恩的確據,看起來我們好像已經得著這個恩典,可是我們的生命當中卻常常沒有那個安息。
529.462	539.295	我有一個很好的朋友, 他知道我信了耶穌,因為他是唯一在我還沒有信耶穌之前,然後跟信耶穌之後知道我這前後的改變。
539.295	553.358	他突然發現,他觀察到一件事情,他說你變得好忙喔,忙到我沒有時間跟你有很好的關係,跟你有很好的時間可以停下,你變得好忙喔。
553.358	555.878	他對於基督徒就是什麼?
555.878	558.979	你禮拜一到禮拜五做你應該要做的事情,對不對?
559.974	565.386	然後呢,禮拜六到禮拜天呢,換個地方忙,對不對?
565.386	568.894	甚至呢,比禮拜一到禮拜五怎麼樣,還忙。
569.633	577.075	對不起,我的生活就是這樣,我過去的生活就是這樣,因為我以為這就是神所要給我的安息。
577.075	583.137	因為我一直以為禮拜六跟禮拜天我來到上帝的面前,這是守安息日。
583.137	589.719	因為在《出埃及記》那邊談到,第二十章談到,你要守安息日當以為什麼?
589.719	590.339	聖日。
590.339	595.001	我把主日,我把禮拜天來到主的面前享受神的安息當成什麼?
596.271	620.151	安息日以至於我怕我不來我怕我在這當中錯過了什麼我會失去然後甚至我會被神擊殺你懂我的意思嗎各位弟兄姊妹主日不是安息日但是主日需要安息告訴旁邊的弟兄姊妹主日不是安息日 不是什麼工作都不做的那個安息日。
620.151	623.032	所以禮拜天如果有服事不要拒絕。
623.032	625.573	但是在主日需要有什麼?
625.573	626.014	安息。
626.014	631.076	這就是我今天透過西班牙書作者所要告訴我們在第一開始他講到什麼?
631.076	636.117	他說我們寄蒙留下有進入祂安息的應許就應當什麼?
636.117	636.478	畏懼。
636.478	642.000	他告訴我們其實在前面他提醒這些人你們是被神所愛所保守的。
642.500	649.227	被神留下來,然後呢,你們也領受了上帝所給你們的一個安息的應許。
649.227	654.112	可是他要他們小心,這個畏懼不是要他們害怕,是要他們小心一件事情。
654.112	655.274	聖經怎麼說?
655.274	659.378	他說,免得我們中間有人似乎是趕不上。
659.378	680.849	請問在這裡,這個作者其實不是要 好像要威脅,要告訴這些讀這一本書的人,你跟我一樣,你有可能趕不上,你有可能趕不上,其實不是這個意思,它是要提醒我們應當要小心,正如在第二章,第二章它所說的,應當要越發鄭重所聽見的什麼?
680.849	681.169	道理。
681.749	685.270	他在這裡講說,我們有進入安息的應許。
685.270	686.531	那個應許是什麼呢?
686.531	691.893	第二節他說,因為有福音傳給我們,像傳給他們一樣。
691.893	698.395	只是所聽見的道與他們無異,因為他們沒有信心與所聽見的道調和。
698.395	708.399	那一群趕不上的人,那一群好像在這個當中,好像應當要畏懼的人, 他說以前你們可能沒有留意一件事情,但是你們現在應該要小心這件事情。
708.399	710.101	小心什麼事呢?
710.101	712.303	那個安息是一個什麼樣子的安息呢?
712.303	717.909	他在這裡說,因為他們沒有信心與所聽見的道,調和。
719.070	722.973	沒有信心與所聽見的道調和是什麼意思?
722.973	781.776	就是他們所信的神他們所接受的這個信仰在他們實際的生活當中呢沒有辦法有任何的回應沒有辦法跟他的生命當中有任何的連結簡單的來講就是一個應當領受安息的基督徒卻在上帝的面前卻在淡江教會的裡面卻在學福路36號的這個會堂裡面然後呢 不得安息這是很可笑的一件事也是很荒謬的一件事可是在這裡希伯來書的作者直接引出來這一點他在第三節怎麼說他說但我們已經相信的人可以進入那安息他在談一個事實當你相信了耶穌基督領受了耶穌基督的救恩我們應當在上帝的裡面應當不需要在為救恩的事情勞碌什麼 這就是為什麼一開始我跟各位談的那個安息這件事情,它不是安息日。
781.776	786.760	安息日很多時候只是因為好像你覺得是上帝的命令。
786.760	798.629	如果你今天逐日來到這裡,如果你覺得來到這裡是上帝的命令,如果你今天沒有坐在這裡,然後今天你在其他的地方,然後上帝就不祝福你。
798.629	804.774	我覺得如果我們的出發點是這樣,我覺得那是很可惜、很危險,而且是很可笑的。
806.971	813.957	希伯來書的作者直接挑戰我們,我們所信的有沒有辦法跟我們直接調和。
813.957	818.781	第一個他要談的,我們那個安息需要在信心上面去領受。
818.781	825.307	第二個呢,他在第二段他說,正如神所說,我在怒中啟示,他們斷不可進入我的安息。
825.307	827.990	所以顯然有一些人沒有得到安息,對不對?
829.002	835.726	從這段經文,我講到你們一定要跟著,你才有辦法想,不然你待會不知道怎麼回事。
835.726	837.767	聖經說,你們斷不可進入我的安息。
837.767	848.273	聖經說,其實造物之功從創世以來就已經成全了,就是神其實就歇了他一切的功。
848.933	853.755	在《創世紀》二章那邊談到神造這個世界,對不對?
853.755	854.775	第六日,對不對?
854.775	857.916	到了第七日他就什麼?
857.916	861.957	歇了他一切的功。
