start	end	text
47.5	49.85	長得長得長。
52.585	80.147	因為以前啊,我覺得都是幫一些藥膜模特,藝人或什麼去剪頭髮或什麼。看到那些孩子,他真的很喜歡我幫他們剪的那種髮型,然後那個開心,我覺得那個真的不是用錢可以買到那種滿足感。然後我才覺得說,哇,原來我學了這麼久的功夫技術,然後我覺得能夠送給他們,其實是我最快樂的事。
84.514	110.904	其實因為那天剛好Nicky來。所以每一個人都很喜歡他。那剛好他那天整個頭髮也是做得很帥氣。所以每個人都說我要跟Nicky一樣。好帥喔!
117.056	144.494	FireMaker是一個很特別的一個組。我們是就去每一個地方跟大家鼓勵大家,給大家一些希望。其實我每次發現一些困難的事情,
145.896	170.211	我就禱告。對,然後我就告訴我自己,我一定要加油,一定要努力。不管在學校被欺負,或是在外面多危險。我就一直禱告。然後我就從小時候有一個夢想就是唱歌。然後我跟爺叔一直每天晚上,每天喔,我跟上帝說,上帝希望我有一天可以當歌手。然後,
171.596	199.945	有時候我們感覺好像我是去服侍這些孩子,其實在服侍的過程中,其實是我們被神服侍,我們被孩子服侍,其實是,原來是我們再次的被澆灌,被touch到,
201.22	220.136	好不好,如果這個時候你願意的話,一起把手舉起來。你可以舉多高就多高,好像你要抓到那個氣球,好像你要抓到天空的手。我常常把我的手舉很高,把我的頭仰著我的身,因為我知道我什麼都沒有。
222.483	235.577	我沒有很好的背景,但是我有最好的天賦。其實有時候去看看自己,真的我覺得我們有的真的非常非常多。神給我們什麼樣的禮物,我們能不能同時也把這些禮物給出去。
236.834	259.877	看到這個一個一個一個的靈魂,他們在那麼年幼的時候就能夠認識耶穌,就開始被主的話語,一點一滴的開始慢慢灌溉。我發現他們以後的生活是更不容易的。
260.606	284.741	我要你,我要你的愛,我要你的智慧,阿彌陀佛。以後希望我們有更多的,可以去更多的地方,可以跟更多的小朋友跟大人就見面,然後就穿福音,然後就給大家一些希望,一些希望,然後就跟他們說我們都在旁邊,我們都會一起加油,一起努力。
290.452	293.061	繁體中文，臺灣國語
319.104	326.189	繁體中文，臺灣國語。
341.732	359.623	其實我真的覺得,很多東西我們沒辦法選擇。我們沒辦法選擇環境。我們沒辦法選擇我們的父母。可是我覺得,我們還有一個最重要的選擇是,我覺得我們可以選擇上帝。他可以重新選擇他想要過什麼樣的生活。我覺得那是最特別的。
359.923	376.35	我今天來這裡真的很感動啊,很溫暖啊,然後我以後也一定會再來看他們越來越長大,越來越變成好人,越來越變成上帝的夫人,對,很感動。
379.548	402.236	希望有更多的人﹐可以跟我們一起﹐做這些事情﹐幫助身邊的人﹐我們一起努力﹐一起加油。
