start	end	text
3.763	24.458	弟兄姊妹平安，我們一起來思想以弗所書第一章十五節到最後。以弗所書是保羅在大約主後六十年的時候在羅馬監獄所寫的一封信給以弗所教會。以弗所這個城市位於今天土耳其西邊的海岸線上。
24.838	48.584	在保羅的時代,是一個國際大都市,是名列當時地中海地區四大都市的其中一個。我們繼續來讀15節。因此,我既聽見你們信從主耶穌,親愛眾聖徒,就為你們不住的感謝神,禱告的時候,常提到你們。
49.224	70.132	保羅聽見以弗所教會,真的是信從主耶穌,親愛眾聖徒,就為他們非常的感恩,為他們禱告。保羅曾經花了三年的時間在他們這裡建造他們,因此真的是好像自己的孩子一樣,保羅非常的為他們感恩。
71.527	92.554	十七節,求我們主耶穌基督的神,榮耀的父,將那賜人智慧和啟示的靈賞給你們,使你們真知道祂。以弗所書第一章的上半段,我們已經說明過,保羅送戰上帝。
93.114	111.084	因為上帝在基督耶穌裡面把各樣天上屬靈的祝福以及在地上所有祂自己的產業都要賞賜給我們。為什麼?因為藉由祂所愛的那一位
111.544	136.642	祂的兒子耶穌基督為我們死在十字架上這樣的一個極大的奧秘向我們彰顯讓我們得以被祂領養為祂的兒子跟祂真正的兒子耶穌基督一同團契一同共同擁有共同享受父神天上地上一切的豐盛與榮耀
137.483	147.884	因此保羅在17節開始,他就為以佛所教會的弟兄姊妹禱告。禱告讓他們真知道神。
148.831	168.154	更認識神。更在每一天真實的信仰生活裡面去認識到、去經歷到、去享受到、去承接到上帝在基督耶穌裡面要給他們的一切天上地下的一切的祝福和產業。
168.695	198.075	這需要我們在信仰裡面,更多的經歷,更多的認識,我們才能夠更多的擁有這一切美好的屬靈的資產。因此十七節祂說,祂要禱告,求上帝將那賜人智慧和啟示的靈賞給你們。原文沒有賜人兩個字,賜給人沒有,原文就是將那智慧和啟示的靈賞給你們。
198.695	216.938	什麼是智慧和啟示的靈呢?其實就是聖靈。因為這個在第一章的上半段講到,上帝祂的諸般智慧聰明,其實指的就是耶穌基督為罪人被釘死在十字架的奧秘。
217.978	246.481	這就是上帝的智慧聰明這也是上帝祂對我們寶貴的啟示因為這原本是祂的奧秘因此呢智慧和啟示的靈指的其實就是聖靈祂要讓信徒們每一天更多的認識耶穌基督十字架的救恩對我們偉大的意義以及要在我們生命中成就的那些應許
248.029	269.93	所以呢,他比較不是說,這個保羅求上帝賜給我們一種靈,叫做智慧和啟示的靈。不是的,其實就是將聖靈更深的在我們生命中來運行。使我們認識耶穌基督十字架救恩的奇妙。我們繼續往下看。
270.811	290.314	18節,並且照明你們心中的眼睛,使你們知道祂的恩昭有何等的指望。保羅說,第二,我們不僅要除了更知道神,更認識神之外,祂為我們禱告,讓我們心中的眼睛可以被照亮,眼睛可以打開。
291.015	311.452	打開什麼?可以看見。看見什麼?看見指望。看見盼望。他原文應該是使你們知道他的盼望的恩昭。也就是說主要是講盼望。而這個盼望是他呼召我們來
312.346	334.546	讓我們要得到的盼望。那這個盼望是什麼呢?在這個第一章的十二節裡面就已經講過,這個盼望,就是我們這些被領養為上帝兒子的人,可以跟耶穌基督一同得基業。我們這些做兒子的,就要跟祂真正的兒子,
335.401	361.064	都一同怎麼樣領受父神一切的豐盛的產業。這是莫大的盼望。因為我們本來不僅不是上帝的兒子,我們本來更是上帝的仇人。這是羅馬書所說的,我們在還做罪人的時候,我們是上帝的敵人,上帝的仇人。但是藉著耶穌基督為我們死在十字架上,使我們與父神和好。
