start	end	text
4.343	33.892	弟兄姊妹平安，我們一起來思想格林多前書第七章的一到十六節。格林多前書的一到四章是一個總論,提到唯有耶穌基督為我們被定十字架的道理才是我們信仰的根基,也是聖徒行事為人的生活準則。但是格林多教會的人把一些信主之前在希臘羅馬社會的觀念
34.633	42.704	價值觀也殆盡了教會使他們成為聖徒之後沒有得到真正的自由
43.353	65.314	還繼續讓以前的舊的那些觀念跟價值觀繼續綑綁他們但是他們卻認為自己在基督裡已經得到真正的自由以至於在一些生活的實踐上面產生了自以為自由卻是不自由的一些生活的問題
67.056	93.605	第五章講到有人跟他的繼母同居在他的父親過世之後那他們認為這是一個自由因為他父親也死了他的繼母跟他也沒有血緣的關係所以這沒有什麼不可以第六章講到這個哥林多教會的弟兄姊妹為了雞毛蒜皮的小事告到法院去
94.462	116.469	這個保羅認為你們也是錯誤的使用了你們羅馬價值觀的自由因為羅馬人就是動不動就上法院這是我的權利這是我的自由第六章的後半段講到這個哥倫多教會的人在靈魂以及身體二元論
117.039	144.76	的這種觀念裡面就是有些人會用這樣的一種觀念來為自己的肉體放縱情慾喜歡去嫖妓這件事情認為只有精神跟靈魂是重要的物質跟身體是不重要的所以呢這個我的身體有性需要我就去嫖妓因為全世界最大的妓院就在哥林多城市裡面保羅認為這也是身體務用的自由
146.254	172.251	第七章講到就是有一些看起來是很屬靈的很想追求專心禱告甚至是因為末日要來臨的有這種比較不成熟健康的屬靈觀或是末世觀的人他們希望為了專心禱告的緣故所以就提倡禁慾主義
173.012	186.316	保羅說這也是一種錯誤的運用自由的觀念我們來看一下論到你們信上所提的事就是哥林多教會寫信來請教保羅我說男不敬女道好
187.21	204.566	近這個字不是靠近這個原文是摸所以男不摸女道代表就是性行為所以代表保羅對於哥林多教會的這些禁慾主義者的提問說為了屬靈的事情
205.247	222.468	為了漠視已經來到的事情,那我們禁慾可以嗎?保羅意思是說沒有不好,原則上沒有不好,但是要看這個觀念上有什麼地方要調整的。但如果要避免淫亂的事,
225.418	254.646	男子當各有自己的妻子女子也當各有自己的丈夫這個有這個字呢不是隻是有沒有結婚擁有的問題這個有也有這個代表擁有對方的身體例如說五章一節有人收了自己的繼母就代表說他跟他的繼母發生性關係收了這個字跟這邊這個有這個字是同一個字
256.271	276.133	第三節保羅說,那丈夫當用合宜之分待妻子,妻子待丈夫也要如此。合宜之分原文是要付所欠的債務。也就是說,如果你是結婚的人,你對你的配偶,
276.988	303.284	他身心靈的一些對你的需要你是要付掉你欠他的債就是說你要顧念他的需要所以你不能因為你說我要長期的禱告或是我在等候耶穌基督第二次再來那我是結婚的人我卻不顧念我的配偶的身心靈的需要保羅認為這樣是不合宜的
304.104	331.118	妻子沒有權柄主張自己的身體,乃在丈夫,丈夫也沒有權柄主張自己的身體,乃在妻子。夫妻不可彼此虧負,除非兩相情願暫時分房,未要專心禱告方可,但以後仍要同房,免得撒旦趁著你們情不自禁引誘你們。所以保羅講到說
