start	end	text
4.309	33.295	弟兄姊妹平安，我們一起來思想。哥林多後書第九章。第一節論到供給聖徒的事,我不必寫信給你們,因為我知道你們樂意的心。常對馬其頓人誇獎你們,說雅蓋亞人預備好了,已經有一年了。哥林多這個城市是雅蓋亞省的省會,因此他們被稱為雅蓋亞人。並且你們的熱心
34.172	58.56	激動了許多人因為哥林多教會相對是一個比較富有的教會當其他教會聽見這個富有的教會也對耶路撒冷有需要被幫助的弟兄姊妹願意伸出援手的時候這件事情也鼓舞了其他相對比較沒有那麼富有的教會也紛紛跟進
59.36	85.313	第三節,但我打發那幾位弟兄去,要叫你們照我的話預備妥當,免得我們在這世上誇獎你們的話落了空。萬一有馬其頓人到時候與我同去,見你們沒有預備,就叫我們所確信的反成了羞愧,你們羞愧更不用說了。
85.913	112.806	因此,我想不得不求那幾位弟兄先到你們那裡去,把從前所應許的捐資預備妥當,就顯出你們所捐的是出於樂意,不是出於勉強。很多時候,在聚會的時候,會用哥林多後書第九章來做募款。
113.865	141.674	那但是呢他的中文翻譯在有一些字這個跟原文是有點差別的所以會產生一些誤解那我想今天我們就把哥林多後書第九章一些比較有爭議的字眼搞清楚第五節這邊保羅說要先讓幾個弟兄去讓哥林多教會把這個捐款預備妥當
142.858	170.489	就把從前所應許的捐資。裡面所有講到捐錢捐資。他的這個中文。他的原文都是另外一個意思。原文的意思捐資這邊是祝福。然後呢就顯出你們所捐的。第二個你們所捐的。這個原文是沒有的。是出於樂意。這個樂意呢。原文也是祝福。
171.271	186.343	不是出於勉強,勉強的原文是貪婪。那我就再一次把第五節用原文翻譯一次。因此,我想不得不求那幾位弟兄先到你們那裡去,
186.783	212.817	把從前所應許的祝福預備妥當,就顯出你們所預備的是出於祝福,不是出於我們的貪婪。因此捐錢這個東西在原文其實是祝福。最有爭議的就是第六節。少眾的少收,
213.37	225.843	多重的多收。這話是真的。他引用當時候的一句諺語。但是呢這個他的原文是少這個字的原文是節簡。
226.92	243.109	然後呢多這個字是祝福所以原文是這樣的翻譯的節儉地撒種就節儉地收成在祝福上撒種的就在祝福上收成
244.224	258.46	因此保羅是說當你想要去祝福別人的時候可是你心裡面比較保留比較節儉一點那到時候你所撒的種所帶來的這個祝福
