start	end	text
3.951	33.676	弟兄姊妹平安，我們一起來思想。帖撒羅尼迦後書第二章十三節到最後。主所愛的弟兄們啊。我們本該常為你們感謝神。因為祂從起初揀選了你們。叫你們因信真道。又被聖靈感動。成為聖節。能以得救。保羅在第二章的上半段針對。可能或出於有靈。
34.275	45.935	或有言語﹐有冒保羅的名的書信﹐來引誘、欺騙、驚嚇﹐這個帖薩諾尼迦教會的弟兄姊妹們﹐
46.596	70.128	讓他們不確定﹐當耶穌基督再來的時候﹐他們是不是有份﹐他們是不是真的全然得救了﹐他們是不是全然成聖了﹐還是他們少做了哪一些事情﹐以至於主認為你跟我無關﹐甚至有沒有哪一些事情沒有去做﹐妨礙了﹐
70.708	96.502	主再來的時間。拖延了主再來的時間。保羅說,該跟你們教導的﹐早就都講過了。所以不要再去聽一些奇奇怪怪﹐添加進來的東西。反倒是要去堅立在所信的真道上。因為時局會越來越險惡。那些故意不認識神﹐故意不聽耶穌基督福音的﹐甚至反過來﹐
97.022	114.409	壓迫真理、逼迫教會的這一些沉淪之子們,時候到的時候,耶穌基督快要再來之前,他們整個這些作惡的聲勢,會達到一個歷史上的高峰。而在那個時候,也會出現一個人物,叫做納罪人。
116.169	131.032	那祂要帶領這所有的這些沉淪之子們一起起來悖逆神而魔鬼就在這個納罪人聖經說納大罪人原文沒有大在納罪人的後面
131.596	148.198	賦予祂能力﹐讓祂也能夠行很多﹐假的神蹟騎士﹐迷惑所有這一些﹐跟隨祂的沉淪之子們。但是主耶穌基督降臨的時候﹐就會除滅這一些邪惡的作為。是祂們永遠的沉淪。
149.053	163.243	因此保羅在十三章就再次來鼓勵十三節再次鼓勵帖薩農一家教會弟兄姊妹們因為他們信主時間很短然後呢這個所以很多事情上需要不斷的被兼顧
164.36	188.289	主所愛的弟兄們,我們一直為你們感謝神,是因為你們是被神揀選的,不是你們做了什麼,以至於你們被神來愛,或是被配神來說你可以得祂的果,不是的,而是我們都是蒙恩被揀選的。所以要信得過神,要信得過耶穌基督十字架救恩的道理,
189.343	204.61	那你們不僅是被揀選。你們因著信這個真道。所以不要去聽一些有的沒有的。叫你們因信真道。然後你們是又被聖靈感動。所以不要有人說有靈對我說什麼。
205.23	233.864	你都信了。很多都是邪靈。你們是被聖靈感動的。你們是成為聖結的。你們是能得以、能夠得救的。因此只要堅守住這個真理。信靠耶穌基督十字架的救恩。這樣就夠了。不用再去聽一些奇怪的東西。做一些奇怪的事情。十四節。神藉著我們使徒們所傳的福音。呼召你們到這地步。
235.06	258.309	好得找我們主耶穌基督的榮光。所以弟兄們,你們要站立的穩吶!凡所領受的教訓,不拘是我們口傳的,還是信上所寫給你們的,都要堅守。關於你們救恩的道理,關於主耶穌基督要再來的應許,都已經告訴你們了。
258.848	279.032	沒有別的了。因此,守住祂,相信祂,並且等候神,主耶穌基督再來,使我們得到榮耀的光明。十六節,但願我們主耶穌基督和那愛我們,開恩將永遠的安慰,並美好的盼望賜給我們的父神,
279.838	295.489	安慰你們的心並且在一切善行善言上兼顧你們。感謝主不僅是要持守真道在我們真實的生活跟生命裡面也要去遵主的旨意而行
296.049	320.788	要有美好的言行﹐美好的這些榜樣。這樣才配得上是得神的國。因此保羅再一次鼓勵﹐鐵薩、羅尼迦教會弟兄姊妹們。持守真理﹐行出真理。不要耳朵發癢﹐不要心裡面信心不踏實﹐而去聽從一些引誘我們的事情。這是不需要的。我們一起低頭來禱告。
321.408	347.619	是的主感謝禰,我們是出於禰的揀選,蒙大恩的一群人。因此主求禰保守我們,在這一生的信仰的道路上,忠心的站在聖經的啟示的磐石上,活出基督徒應該有的美好的生命見證與行為。在很多環境的困難、引誘、試探、挑戰裡面,
348.319	350.381	願神祝福大家,
