start	end	text
3.848	10.335	弟兄姊妹平安，我們一起來思想,約翰一書第四章的十三節到第五章的第三節。
10.335	19.745	十三節,神將祂的靈賜給我們,從此就知道我們是住在祂裡面,祂也住在我們裡面。
19.745	38.780	這讓我們回想起約翰一書裡面, 耶穌基督不斷的來講,如何祂跟聖父之間彼此住在裡面,而祂跟我們這些遵守祂命令的人,祂跟我們之間也彼此住在對方的裡面。
38.780	42.483	14節,父差子做世人的救主。
42.483	48.248	聖父差派祂的獨生愛子耶穌基督做世人的救主。
48.248	51.870	而這位救主是用什麼方式來救我們呢?
52.790	56.996	祂讓自己成為贖罪祭來救我們。
56.996	58.459	救我們什麼呢?
58.459	71.938	救我們脫離 罪惡的審判就是死亡,因此祂替我們死在十字架上,做我們的代罪羔羊,替我們而死。
71.938	75.700	這是我們所看見且做見證的。
75.700	83.206	凡認耶穌為神兒子的,神就住在他裡面,他也住在神裡面。
84.070	88.953	神愛我們的心,我們也知道,也信。
88.953	95.457	神就是愛,住在愛裡面的,就是住在神裡面。
95.457	101.301	神這個愛,不是一個廉價的愛,也不是一個腐爛的愛。
101.301	107.225	神愛是一個很嚴肅,很偉大的赦罪之愛。
107.225	121.348	因此呢,神就是赦罪之愛,而住在這樣一個赦罪之愛裡面的人, 祂也不太願意輕易的再去犯罪而讓這位愛祂的神傷心。
121.348	146.373	那一個願意住在神的赦罪之愛裡面的人他就是住在神裡面他就沒有隨便的離開神去犯罪行不義神也要住在祂的裡面這樣愛在我們裡面就得以完全 我們就可以在審判的日子坦然無懼。
146.373	188.116	弟兄姊妹我們以前不敢犯罪或是不敢明目張膽的犯罪是因為我們懼怕有一天要面對上帝的審判但是呢我們如果能夠被祂的赦罪之愛來改變 我們如今不願意去犯罪是因為愛神的緣故不願意惹我們的神傷心隨便的破壞我們跟神之間的關係而不是像以前因為怕被審判而不敢犯罪這就是約翰一直把不要犯罪跟愛神愛人 連在一起的關係。
188.116	191.460	因為就如同這邊所說的,神就是愛。
191.460	193.102	什麼樣的愛?
193.102	194.383	赦罪之愛。
194.383	203.454	赦罪之愛在我們裡面,改變我們,讓我們回應神,愛神,而做主所喜悅我們所做的事情。
204.275	210.662	經文這邊說,因為祂如何,我們在世上也如何。
210.662	219.010	原文是比較拗口一點,但是可能會比較精準一點,就是因為正如祂是,我們在世界也是。
219.010	220.772	什麼意思呢?
