start	end	text
19.070	22.012	弟兄姊妹平安，我們按照每日人間事業的進度一起來思想。
22.012	24.454	啟示入第十八章的第九節到最後。
24.454	29.658	首先我們一起來讀第九節到第十節。
29.658	33.161	地上的君王,速來與他行淫。
33.161	41.708	一同奢華的,看見燒他的煙,就必為他哭泣哀嚎。
41.708	60.653	因怕他的痛苦,就遠遠的站著說,哀哉,哀哉, 巴比倫大城,堅固的城啊,一時之間,你的刑罰就來到了。
60.653	66.656	第九節,地上的君王蘇萊與巴比倫大城他行淫,一同奢華的。
66.656	76.801	看見現在呢,這個大巴比倫城已經毀滅了,所以看見燃燒他的煙上騰,就必為他哭泣,然後來哀嚎。
77.978	113.104	接下來我們會談到三段哀歌就是之前與大巴比倫城一起行淫而從他得到利益的三種團體然後他們現在看到大巴比倫城第一,被上帝毀滅第二,也被用武力的獸來把它摧殘已經蕩然無存 所以之前跟大巴比倫城有關係的三種團體,他們現在就哭泣哀嚎。
113.104	114.864	其實他們真的哭錯了。
114.864	118.465	他們應該趕快為自己的罪哭泣哀嚎悔改。
118.465	132.870	就如同在18章的上半段,天使一直告訴大巴比倫城裡面,如果還有聖徒,還有神的兒女在裡面,趕快離開大巴比倫城,不要留戀忘憂。
133.609	135.551	不要回頭看。
135.551	136.532	小心回頭看。
136.532	138.534	如同羅德的太太。
138.534	139.215	變成炎柱。
139.215	143.158	上帝要毀滅這一切虛假的。
143.158	143.839	自戀的。
143.839	144.720	自我中心。
144.720	146.782	自我實現的文明。
146.782	149.104	所以基督徒要小心。
149.104	150.946	除了不要做掛名的基督徒之外。
150.946	153.509	也不要做一個人格分裂的基督徒。
153.509	154.710	在教會的時候向聖徒。
155.077	245.584	但平常的時間其實是屬於大巴比倫運作系統的一份子不是叫你不要工作不是叫你不要從事這些專業的技能而是那個心態那個心態是不是已經被巴比倫的思想所迷惑了甚至所俘虜了所以首先第一批跟他有利害關係就是地上的這些君王你可以發現大巴比倫他所影響和操弄的 裡面就有很多的東西有政治有經濟有時尚有藝術還有所有的這些工作機會但他手中唯一沒有控制的就是軍隊就是武力因為那個在獸的身上牢牢抓緊著所以大巴比倫城看自己是怎麼樣看自己是皇后他知道他不是王因為真正那個王是獸在這個帝國裡面控制武力跟暴力的那個是獸 但大巴比倫城的這些人類跟魔鬼合作跟敵基督合作他們擅長玩弄政治的遊戲所以第一段就是地上的君王為大巴比倫城毀滅而哭泣第十節因怕他的痛苦就遠遠地站著說這是自保就是說看見大巴比倫城被毀了 如此受痛苦,他就不敢太靠近,遠遠站著,因為怕自己也跟他一樣的下場。
245.584	250.306	這件事很傻,竟然怕跟他一樣的下場,為什麼不悔改?
250.306	252.347	但他就是沒有悔改,他反而是怎麼樣?
253.353	255.294	為大巴比倫城做哀歌。
255.294	258.377	哎呀,覺得好可惜啊,好可惜啊。
258.377	264.061	所以這邊說,哀哉,哀哉,巴比倫大城,堅固的城啊。
264.061	274.547	堅固這個字是大有勢力,代表說他在這個政治上的這種運作, 來這個收服各國的人心。
274.547	276.668	這套他是太厲害了。
276.668	277.988	所以巴比倫大城。
277.988	280.769	大有勢力堅固的城。
280.769	282.850	怎麼會一時之間。
282.850	285.250	你的刑罰就來到了呢?
285.250	287.171	地上的這些。
287.171	287.891	諸王們。
287.891	290.172	各國的這些元首們。
290.172	291.752	覺得不可思議。
291.752	293.753	如果連大巴比倫城都這樣。
293.753	295.333	那我們怎麼辦?
295.333	297.634	好我們繼續來看第11節到第16節。
301.323	311.967	地上的客商也都為他哭泣悲哀,因為沒有人再買他們的貨物了。
311.967	324.571	這貨物就是金,銀,寶石,珍珠,細麻布,紫色料,綢子,珠紅色料,各樣香木,各樣象牙的器皿。
326.425	350.132	各樣極寶貴的木頭和銅、鐵和白玉的器皿,並肉桂、豆蔻、香料、香膏、乳香、酒、油、細麵、麥子、牛、羊、車、馬和奴僕人口。
352.381	358.483	巴比倫吶,你所貪愛的果子離開了你。
