start	end	text
10.691	38.672	弟兄姊妹平安，我們一起來思考,約翰福音第八章的第十二節到二十節。耶穌又對眾人說,我是世界的光,跟從我的,就不在黑暗裡走,必要得著生命的光。這個場景呢,就是接續祝彭節的結束。我們剛剛,我們之前在這個第七章的時候,有談到耶穌
39.599	55.25	在這個祝彭姊的最後一天,她告訴大家說,人若渴了,可以到我這裡來喝。信我的人,就如經上所說的,從他腹中要流出活水的江河來。
56.63	80.157	祝彭節裡面每一天清晨祭司會帶領以色列人到西羅亞池或是吉倫西那裡去取活水,就是流動的水。然後把這個水帶到聖殿的祭壇兩側的漏洞裡面,把它倒進去。因為祝彭節就是感恩,也是慶祝豐收。
80.657	94.9	在差不多一般的陽曆的十月,也就是他們秋收之後,因為農作物的收成跟這個下雨很有關係,所以他們透過一個這樣倒水的禮儀,
95.828	118.509	來懇求主,繼續賜給祂們秋雨春雨之福。但是呢,水倒到第八天的時候,最後一天水會倒完,就不再倒水了。耶穌就在水整個都倒完之後,就出來說,你們現在需要的活水,因為水已經倒完了。活水在哪裡呢?
119.48	133.864	其實這邊也是一樣,就是住棚節結束了。在住棚節的時候呢,聖殿晚上,它那個超大的蠟燭的燭臺,它整個的燈會打得非常非常的亮。
150.52	162.96	非常的燈火輝煌,是要紀念在曠野的時候,以色列人蒙上帝用雲柱火柱帶領,所以祝彭檢的時候,
163.814	188.742	祝彭姊本身在舊約的時候就是要紀念在他們得地為業之後進迦南地之後紀念以前他們在曠野的時候還住帳篷裡的日子耶和華怎麼樣恩待他們供應他們包含供應馬拉給他們吃包含用雲柱火柱帶領包含供應他們水可以喝因此呢他們在
189.36	218.542	進迦南地之後,特別在新約這個時候,祝彭節是一個很大的節日。所以在祝彭節的時候,不僅有那個倒水的,第七章那個倒水的禮儀之外,還有點燈的禮儀,燈火通明。但是一樣,八天之後,祝彭節結束了,燈就會把它關掉,恢復到平常的狀態。因此耶穌才會對眾人說,祝彭節的光結束了,
219.548	234.917	那不是真光,你們在曠野裡面所遇到的雲柱火柱,也不是真正的光。所以,我是世界的光,跟從我的,就不在黑暗裡走。再一次耶穌講我是,
235.538	258.176	我們曾經之前有提過,在第六章的時候,耶穌第一次說,我是生命的良,ego eimi,我是。讓人聯想起來,在出埃及記的時候,摩西問耶和華說,你是誰呢?你叫什麼名字呢?耶和華就回答摩西說,我是即我是,I am who I am。
260.845	269.443	因此呢,當耶穌不斷的強調,我是,ego e mi,I am,我是世界的光,我是生命的糧,
270.316	297.17	我是復活﹐我是生命﹐我是道路﹐我是真理﹐我是真葡萄樹。我事的後面這一些﹐不論是生命的兩世界的光﹐你一聽就知道不是人間的東西﹐是天上的東西。因此,Ego Emi﹐我事﹐就會讓人聯想到﹐這是一個神的神性的自我宣告。因此當耶穌說我事的時候﹐祂是一個神性的宣告。
297.79	326.364	這邊再一次他宣告,Ego eimi,我是世界的光。你們住棚前的光,終有消失了一天。弟兄姊妹,其實講到這裡,你有沒有開始慢慢去掌握到,約翰福音的一個關鍵的精神。就是呢,人類所倚靠的各個系統,都走到盡頭,沒有出路了。第一章告訴我們什麼?施洗約翰,不是彌賽亞。你跟從他,你找不到彌賽亞。
327.295	341.558	第二章告訴我們什麼?第二章告訴我們在這個婚禮裡面,酒喝光了就沒了,你找不到出爐,除非耶穌來。第二章告訴我們聖殿,
342.363	362.358	有一天,其實也會被毀壞。主後七十年,聖殿就被拆光光了。現在也找不到聖殿了。所以只有聖殿,也是沒有出路的。如果找不到彌賽亞,聖殿也沒有用。這是我們常講的,耶穌超越聖殿。意思是說,只有聖殿,人類還是在罪惡中滅亡,沒有拯救。
362.858	389.961	第三章,尼哥底姆,法利塞人,他也是一個官,也是一個道德品性良好的人。集這三者於一身,如果沒有聖靈重生,他也認不出誰是尼賽亞,他仍然沒有辦法見神的果,沒有用,沒有出路。第四章告訴我們什麼?撒馬利亞人也在期待他們的尼賽亞,可是呢,如果真的尼賽亞沒有來,他們也是沒有出路。
390.401	417.33	第四章的後半段告訴我們,外邦人的大臣,外邦人,外邦人在怎麼樣,人很好,外邦人在怎麼樣,想要尋找真理。可是如果彌賽亞真的沒有來,祂也是沒有出路。第五章,畢氏大詞,裡面那個攤子,如果沒有真正的中保彌賽亞耶穌來,祂也是永遠不會得一致。你懂我意思嗎?其實就在講重複的東西,
417.91	435.203	包含第六章講的,你們如果要的只是天天有人行神蹟,變食物給你們吃,你們還是會死啊,你們還是會滅亡啊,你們不能老是停留在曠野,只求一個有馬拿吃就好。我們人生不是為了要停在曠野,
436.015	464.768	我們是要進迦南地,是要進應許之地。第七章也是一樣,祝彭節,對不對?你在那邊行那個倒水禮,對不對?倒半天,倒了第八天,水還是就倒完了,不會再倒了。火水江河在哪裡呢?第八章這邊講到什麼樣?祝彭節,聖殿,燈火通明,讓我們懷念起,想起,這個曠野時候,神用雲柱火柱帶領我們。好了,第八天之後,燈關掉了,光在哪裡?
465.606	479.743	所以其實整個約翰福音的精神就是告訴我們除非道成的肉神親自來尋找我們並且把神的國跟神的義帶進來不然我們通通在曠野裡面滅亡
480.572	502.226	這就是整個約翰福音的精神。因此呢,第13節以後就是在講,法利塞人認為,耶穌是在為自己做見證。在猶太人的這個律法裡面,要有兩個人做見證,才能夠證明這個見證是真的。因此耶穌說,沒有喔,從頭到尾我就已經告訴你們了,天父為我做見證。
502.722	526.93	我加天父就是兩個人啊。所以呢,這個你怎麼會說我是做假見證呢?甚至你根本就不認識天父啊。對不對?你根本就無從判斷我的見證是真還是假。你憑什麼說我是假見證?因為你們根本不知道神的旨意。不像我,我是從神那裡來的。我從天上來的。所以你憑什麼判斷?
527.5	547.903	我的見證是假的呢?哇,我覺得耶穌的這個邏輯真的很厲害,很清楚。所以呢,這個第19節,他們就問他說,你的父在哪裡呢?耶穌回答說,你們不認識我,也不認識我的父。你們如果認識我啦,哇,也就認識我的父了。
548.78	567.741	這些話是耶穌在殿裡的庫房教訓人時候所說的,也沒有人捉拿祂,因為祂的時候還沒有到。很多次我們在分享約翰福音的時候,我們都說,我們要感恩啊,要謙卑啊。我們能夠認識耶穌,是因為聖靈感動我們。
568.285	585.986	聖靈重生我們,是因為父神吸引我們,我們才能夠來到主耶穌這裡,領受祂做我們的救恩。因此我們不要驕傲,我們也不要自誇,我們就是好好的感恩,願神與大家同在。
