start	end	text
10.145	38.373	弟兄姊妹平安，我們一起來思想,約翰福音第九章,第35節到第41節。耶穌聽說他們把祂趕出去,後來遇見祂,就說:「你信神的兒子嗎?」祂回答說:「主啊,誰是神的兒子,叫我信他呢?」耶穌說:「你已經看見他,現在和你說話的就是他。」祂說:「主啊,我信。」就拜耶穌。
39.565	65.789	這邊我們可以來回想一下整個約翰福音第九章,它的一個來龍去脈。耶穌跟門徒走在街上,看見路旁有一個生來的瞎子。由於在第八章的時候,耶穌花了很長的一個篇幅,跟大家來分析,就是神的兒女跟罪的奴僕這樣的一個關係。
66.732	96.271	我們在那時候也談到,我們常常提醒自己,告訴別人,不要做奴僕,要做神的兒女。但是要留意不要成為一種心理學方式的處理,因為這是一個表面的處理而已。心理學的方式想說,你要加油,要振作,你其實是神的兒女,你忘了,所以趕快回來做神的兒女。趕快回來,這樣就好,這樣就好,沒事,沒事,沒事。
97.312	120.424	有事,因為你會發現不久之後,這個神的兒女呢,好像他的行為舉止,又跑回去在那個奴僕的那種狀況。所以在這個約翰福音第八章的時候,耶穌就直接了當講,這種奴僕,不是一種心理學的奴僕。不是一種忘記祂是神兒女身份的奴僕心態。
121.374	150.069	而是一個有一個罪的奴僕的問題這問題沒有被深入的探討也沒有從裡面得自由所以我們如果不知道會當奴僕不是因為忘記我們是神的兒女會成為奴僕是因為罪的問題我們因為被罪挾製成為罪的奴僕這個我想是為什麼很多人喚醒他的身份認同
151.357	173.153	讓他去回到神的兒子的身份認同裡面,不久就會回去不斷重複某一種罪,或是某一些罪。就是因為罪的奴僕這個問題沒有被認真的面對,只是從一種心理學的方式來解決兒子身份跟奴僕身份的這一種問題。
174.275	201.387	所以耶穌其實就告訴他們,不是他父母的問題,也不是這個瞎子自己的問題,不要心急的定誰的罪。而是怎麼樣?耶穌說,乃是神要在這個人的身上,顯出怎麼樣?神的作為來。神的作為不是要來說,是誰犯的罪害成這樣子。神的作為是要來說,誰來救?
202.671	218.939	神要不要救?神能不能救的問題。我想這才是一個關鍵。那最後呢,就是怎麼樣?誰來救?神派祂的兒子來救這個瞎子。因此呢,在這邊呢,祂就告訴他,
220.435	246.125	跟你說話的,這個就是神的兒子。我們可以看見這個瞎子,他的信,相信這個信,也經過幾個層次。第十一節,他相信的是有一個人名叫耶穌治好我。第十七節,他又往上,信心又往上爬了一點。他是一個先知。在這個第35節的時候,
248.592	276.312	祂因為堅持這個相信,祂被趕出來。在第37、38節的時候,祂知道耶穌就是神的兒子,祂就信祂。我想我們也是一樣,我們經歷神很多的救恩,很多的神蹟奇事,很多的憐憫、醫治、幫助。我們對耶穌的認識也要爬階梯,一直一直往上爬。
276.988	306.046	我想這是一個很美的見證。第二個呢,我們的看見,就是法利塞人的瞎眼。法利塞人的瞎眼是出於他們的驕傲。這邊做一個強烈的對比。瞎子他從小,因為瞎眼,沒有機會受到高深的教育,沒有機會能夠讀很多的聖經。可是呢,他反而怎麼樣,因為他的被神拯救,他的謙卑,
307.449	327.121	所以他反而比這些從小寶讀聖經的這些教會領袖,看起來怎麼樣,更有機會認識神是什麼。我想這是給我們一個很好的反省。很多時候我們會不太願意,甚至會不屑,
327.927	356.261	從那些看起來比我們沒有聖經知識﹐或是比我們社會地位﹐低微的人的身上學習﹐看見耶穌﹐我們就不屑﹐或是怎麼樣﹐我覺得我們要好好來檢討這件事情。耶穌在這邊也說﹐四十一節﹐你們若瞎了眼﹐反而就沒有罪﹐但如今你們說﹐我們能看見﹐所以你們的罪還在。
358.029	386.842	耶穌來祂最主要的目的是要使我們信祂的就不致滅亡反得什麼?永生。第九章一開始重點不是要討論是祂父母犯罪害的還是這個人他自己犯罪害的讓他變成瞎子而是神要來救他神願意醫治他這才是一個天父差派祂的兒子耶穌基督來的一個重點拯救
388.148	411.879	赦免,安慰,扶持,使我們得到信心,使我們成為神的兒女。所以,定罪不是首要的目的。拯救,不是滅亡,才是首要的目的。因此,神如果他光照我們裡面的黑暗,他光照我們裡面的瞎眼,我們不要抵擋他。
412.688	429.362	還記得第八章嗎?第八章,耶穌就一直講到一個誠實跟說謊。你如果誠實知道你的問題,接受神的光照,你就有救了。因為神光照你的目的,不是要羞辱你,是要拯救你。
430.145	455.725	但是如果你神光照你你抵死就不承認你就是不會面對你真正的問題那你就是在對自己也對上帝說謊那你裡面的黑暗仍然在那是第八章第九章就是你裡面的瞎眼就仍然在我想我們就是一生要學習謙卑了不論我們有多少學問多少經歷我們的社會地位或是信主有多久
456.442	469.757	神總是能夠讓我們透過身旁﹐很多弟兄姊妹﹐他們的見證﹐使我們謙卑的來說﹐主啊,求禰也照明我心中的眼睛。願神祝福大家。
