start	end	text
4.087	26.257	弟兄姊妹平安，我們一起來思想。馬可福音第二章的23節到第三章的19節。耶穌當安息日。安息日就是禮拜六。從麥地經過。就是麥田。祂的門徒行路的時候。當然就是跟在耶穌後面走路的時候。經過麥田就掐了麥穗。所謂的掐了麥穗。就是摘這個麥穗。把祂的這個
31.92	37.185	繁體中文，臺灣國語。繁體中文，臺灣國語。
50.316	70.317	猶太人不守安息日,或是做了什麼事情干犯了安息日,就規定很多不可做的事情。那其中一樣,就是包含剛剛門徒所做的事情。那安息日原本是人享受在神裡面一切的安息,六日辛苦做工,
70.998	86.323	那在安息日的時候享受神一切的供應、神一切的安排。然後休息重新得力敬拜主。但是呢如今的安息日變成是人人裡面都不想安息。
87.466	103.618	但是又被法利賽人監視。給他們訂了很多的規矩。跟他們說,不可做這個,不可做那個。做了就是沒有安息。那二十五節,耶穌就對他們說,今上既著大位,
104.653	133.362	和跟從祂的人,缺乏飢餓之時所做的事。你們沒有念過嗎?這邊講的是大衛被掃羅追殺逃難時候所發生的一段故事。二十六節,他當亞比亞他做大祭司的時候,怎麼進了神的殿,吃了橙色餅,又給跟從祂的人吃。這餅除了祭司以外,人都不可吃。
134.906	157.309	耶穌就舉一個例子,就是大衛逃難的時候,來到了祭司那裡。其實那個時候的祭司是亞比亞他的父親亞西米勒。耶穌這個時候這樣表達,可能是因為亞比亞他比較有代表性,比較有名。他後來做了大衛的大祭司。
158.422	186.681	那橙色餅呢就是在這個會幕裡面是獻給神的那他每隔幾天呢就要換一批新的舊的就測下來測下來這不是一般人可以吃的測下來之後就是給祭司吃的那但是呢大衛他在討難的時候肚子餓所以呢祭司就把換下來的橙色餅給大衛跟跟隨他的人一起吃
187.381	207.781	那聖經裡面也沒有責備大衛做的這一件干犯律法的事。那因此呢,耶穌就用這個來回答法利塞人的質疑。也就是說,其實神比較更在意的,是安息日的,祂的設立安息日的心意。
208.422	234.39	是要在安息日裡面。上帝要來愛人。上帝要使人得安息。使飢餓的。使逃難的。使各樣缺乏的人。在安息日裡面。經歷到神一切美善的作為。美善的供應。但今天的安息日卻變成怎麼樣?就是隻是。沒有守安息日的心。但卻。守著一大堆安息日不可做不可做的規定。
235.828	249.822	二十七節又對他們說安息日是為人設立的人不是為安息日設立的這是上帝的心意上帝設立安息日是為了要在安息日裡面使人得恩寵
250.828	270.306	而不是要設立一個安息日,使人在裡面做奴僕。所以呢,人子也是安息日的主。什麼意思呢?人子在這邊指的就是耶穌祂自己。因此耶穌說,祂是安息日的主。主這個字是很重的一句話。也就是說,
271.988	295.48	耶穌祂說安息日到底該怎麼樣來過安息日才是上帝真正的心意這件事情是耶穌所教導的神國的新道理來決定的也就是說你們之前的解釋都不對因為你們之前的解釋只是教人家怎麼樣不要犯安息日
296.34	313.434	叫人家怎麼樣小心不要做什麼做什麼以至於被認定為沒有守安息日這完全跟當初上帝設立安息日的旨意背道而馳我們今天很多時候參加聚會啊參加教會的活動很多時候跟這個狀況很像
314.155	338.549	變成一種不去,怕被定罪。不去,怕被指責。但是去了,心又不在現場,心不在焉。就很像這個情形。我們繼續看第三章。耶穌又進了會堂,在那裡有一個人哭乾了一隻手。眾人窺探耶穌在安息日,醫治不醫治。意思是要控告耶穌,
340.333	369.332	哇!又是安息日。那安息日的問題,現在成了耶穌跟法利賽人文士,他們最大的一個爭執的點。對於耶穌來講,在安息日,是上帝設立安息日,使人得上帝恩寵,得上帝醫治的時刻。但是,猶太人的做法是,安息日呢,就是變成小心不要做事情,免得被神懲罰。完全背道而馳。
370.333	398.066	那其實呢﹐耶穌在這個馬可福音裡面﹐從第一章21節開始﹐就是記載祂在迦百農﹐的時候﹐在安息日進了會堂﹐大家可能沒有注意到﹐他們在安息日﹐會堂結束之後﹐進了彼得岳母的家﹐耶穌就醫治了彼得的岳母﹐法利塞人他們的見解是﹐如果你的病不是﹐立刻就會死的病﹐
398.831	405.407	那你就不要在安息日移植祂。那因為不及了這一天嘛。所以為什麼要犯安息日?
406.357	431.649	那這個枯乾,有一個人枯乾了一隻手。也不知道枯乾多久,可能很久。今天不醫治他,他也不會死啊。所以呢,不應該在安息日,醫治他枯乾的手。免得犯了安息日。這個是法利塞爾人的觀念。因此他們就要看,窺探耶穌,會不會犯了安息日。如果犯了安息日,就要去告他,要把他弄死。
432.995	460.803	第三節,耶穌對那枯乾一隻手的人說,起來,站在當中。然後呢,又問眾人說,在安息日行善、行惡、救命、害命,哪樣是可以的呢?他們都不作聲,因為他們不敢回答。為什麼不敢回答?如果耶穌講的不對,他們就可以指責耶穌你講的不對啊。可是他們明明知道耶穌講的對,可是他們又不敢回答。
461.459	472.775	因為現場有很多﹐法利山人在監視。而且﹐他們也覺得耶穌講的有道理。安息日如果是行善﹐當然好啊﹐難道要行惡嗎?
473.933	500.45	那如果有一個人他有需要,他的需要可能是身心靈的軟弱、疾病,各方面的痛苦,需要被醫治和拯救。而你看見他有需要,卻不去幫助他,這不僅不是不行善,這根本就是作惡,這是害命。因此他們對耶穌所說的,他們回答不出來。我們看見耶穌的智慧,
502.739	521.91	那耶穌第五節怒目周圍看著他們,憂愁他們的心剛硬。耶穌看見他們都不回答,耶穌就很生氣。耶穌會生氣的喔,但耶穌的生氣不是我們這種亂發脾氣。耶穌的生氣是一種公義的憤怒。
