start	end	text
3.968	5.609	弟兄姊妹平安，我們一起來思想。
5.609	21.019	马可福音第十二章的二十八节到最后,继续来看耶稣的圣殿讲论,祂在圣殿里面接受这个连番上阵的不同团体对祂的盘问,对祂的设下一些陷阱问题,故意要来考导耶稣。
25.162	31.225	讓耶穌可以答錯,以至於可以抓住耶穌的把柄,把耶穌除掉。
31.225	38.828	那28節有一個文士來聽見他們辯論,曉得耶穌回答的好。
38.828	45.782	就問他說,誡命中, 哪一個是第一要緊的呢?
45.782	51.907	有一個文士在旁邊聽見 耶穌剛剛跟撒都該人在辯論。
51.907	55.989	文士基本上跟法利塞人是同一派系的。
55.989	66.417	法利塞人跟撒都該人針鋒相對,特別是撒都該人不相信復活,不相信有天使,不相信真的有一個彌賽亞會來。
66.937	70.942	薩都該人認為就是人死了就什麼都沒有了。
70.942	72.504	有沒有永生什麼都沒有。
73.609	79.815	後來耶穌的回答讓撒都該人答不出來。
79.815	82.958	撒都該人就敗下陣來。
82.958	86.961	這時候在旁邊有一個文士,他是屬於法利賽人這邊陣營的。
86.961	90.384	他看見耶穌剛的回答,真是回答得好。
90.384	96.390	因此就打從心裡面,就覺得耶穌真的是打得太棒了。
96.390	101.472	因此他就很 很誠懇也很謙卑的問了耶穌一件事情。
101.472	104.113	就是說,誡命有這麼多條。
104.113	113.576	猶太人整理舊約,這個摩西五經的這個誡命綠綠典章,總共整理出613條誡命。
113.576	119.338	因此他就說,613條誡命裡面呢,哪一條是最重要的呢?
119.338	129.137	耶穌就回答說,第一要緊的就是說,以色列啊, 你要聽,主我們的神是獨一的主。
129.137	133.941	你要盡心、盡信、盡意、盡力愛主你的神。
133.941	137.945	其次,就是說,要愛人如己。
137.945	141.688	再沒有比這兩條介面更大的。
141.688	147.213	基本上耶穌回答的是完全正確的一百分的答案。
147.213	150.175	耶穌回答的第一要緊的是,以色列啊,你要聽。
152.312	154.514	主我們的神是獨一的主。
154.514	158.057	要盡心、盡信、盡力、盡意愛主你的神。
158.057	161.840	這個是在生命記第六章的第四到第五節。
