start	end	text
18.831	22.832	各位姊妹平安，我們照《每日聯經》事宜的進度一起來思想。
22.832	79.815	出埃及記第二章一到十節首先我們透過Drama Bible來讀一節到三節第一節有一個立位家的人代表他們是立位支派的一個男子然後娶了一個立位女子為妻我們透過別的經文知道這位女子名字叫做約基別就是摩西的母親 那個女人就懷孕生了一個兒子見他俊美就藏了他三個月因為法老有令要殺死所有出生的男嬰那但是呢這對父母看見摩西長得這麼俊美就相信上帝對這個孩子一定有他的一個心意還要交給這個孩子的使命就不太相信說神就會任憑這個孩子這樣被殺死 就憑著信心和勇氣,把它隱藏了三個月。
79.815	95.189	第三節後來不能再藏,因為孩子越來越大,就取了一個蒲草箱,埃及有很多這個蒲草,就把它做了一個箱子,抹上了石漆和石油,主要是為了防水。
96.408	111.293	就把孩子放在裡頭,因為有防血措施,所以孩子把他放在裡頭,並且把箱子擱在河邊的爐底中,這樣子箱子就不會沉下去,孩子就不會溺死。
112.517	117.599	蘆底其實就是蘆葦,希伯來文叫做Suf。
117.599	126.562	我們在出埃及記的13章18節那邊會看到以色列人他們過紅海。
126.562	133.424	其實紅海它的原文不是紅海,它的原文是蘆葦海,就是這個Yam Suf。
135.145	161.250	所以這個摩西他一開始在這個蘆葦這個河的當中蒙神拯救其實已經在預告了以後上帝也會在蘆葦海裡面把他的百姓拯救出來我們繼續來讀第四節到第八節的經文 第四節,孩子的姊姊,就是米利安。
161.250	163.832	我們以後都會來認識他們的故事。
163.832	170.919	就遠遠的站著,要知道這個小男孩究竟他的結局會怎麼樣。
170.919	176.184	因為這個姊姊也相信,上帝應該不會讓這個小男孩就這樣死了吧。
176.903	180.367	第五節,法老的女兒來到河邊洗澡。
180.367	205.402	這個看起來好像是一個很偶然的事情巧遇但是在我們基督徒我們的心中知道世界上沒有一件事情叫做剛好或是偶然其實都有神的安排 他就來到河邊洗澡,他的使女們在河邊行走,也是來留意相關的安全措施。
205.402	217.427	他就看見箱子在爐底當中,在爐尾當中有一個箱子,就打發一個婢女去把那個箱子拿過來。
217.427	222.089	他打開箱子,看見那個孩子,孩子哭了。
223.302	255.614	這個法老的女兒就可憐他說這是希伯來人的一個孩子法老的女兒當然知道法老下命令所有希伯來人生的孩子如果是男嬰就要把他丟在河裡把他溺死而現在他發現這個孩子還沒有死因為是被放在一個蒲草箱裡面 但是他就動了憐憫的心,聖靈就感動他,他就可憐這個孩子。
255.614	277.665	第七節,在這個法老的女兒動了慈心,憐憫這個孩子的時候,孩子的姊姊,就是米利安,就趕快抓住這個機會,來對法老的女兒說, 我去在希伯來婦人當中找一個奶媽來為你奶這個孩子,可以不可以?
277.665	293.126	聖靈也給這個米利安這樣的一個機制,他就非常聰明的講了一個這樣的建議,讓這個在猶豫不決的這個法老女兒, 這個給他臨門一腳。
293.126	295.228	讓他做了一個重要的決定。
295.228	299.153	第八節,法老的女兒聽見這樣的一個建議,就說可以。
299.153	306.341	所以呢,這個童女就去叫了孩子的母親,就是摩西的媽媽約吉別來。
306.341	308.424	我們來讀第九節到第十節的經文。
311.015	326.483	第九節,法老的女兒就對這個希伯來的婦人說,其實就是摩西的媽媽,你把這孩子抱去,為我來奶他,就是來乳養他,我必給你公價。
326.483	333.927	婦人就抱了孩子去奶他, 哇,這個戲劇性的發展都沒有人想到。
333.927	337.528	摩西又重新回到他媽媽的手中。
337.528	340.330	他媽媽可以親自孵養他,讓他不會死。
340.330	344.771	而且又可以從法老的女兒這邊賺到工價。
344.771	348.213	能夠讓這個家庭裡面不遺缺乏。
348.213	350.514	上帝做事就是如此的奇妙。
350.514	354.315	那第十節,孩子漸漸長大。
354.315	357.537	婦人就把他帶到法老的女兒那裡。
358.097	360.958	就做了他的兒子。
360.958	365.481	結果這個摩西不僅活下來了,還做了法老女兒的兒子。
365.481	370.243	那法老的女兒就給這個孩子取名叫做摩西。
370.243	376.427	意思是說,因為我,就是法老的女兒,把他從水裡拉出來。
376.427	379.008	這邊我稍微解釋一下。
379.008	398.342	從這個希伯來文的角度來講,摩西, Mosheikh,這個字的發音,跟希伯來文,把一個什麼東西拉上來,拉出來,那個叫Mosheikh,這個聽起來非常相像。
398.342	404.785	所以我們發現旧約裡面常常有這種一語雙關的文字遊戲。
404.785	410.567	所以希伯來文的解讀就是說, 祂為什麼被全名叫摩西?
410.567	416.809	因為公主把祂從水裡拉上來救祂不死。
416.809	432.456	這個也在預告將來上帝也要讓祂的百姓在被法老的軍兵追趕的時候上帝要將祂的百姓從鴻海或是盧維海當中把祂拉出來拯救他們。
432.456	462.424	再來我們從埃及文的角度來看 摩西這個字跟它相關的是動詞就是生孩子的那個生那如果是名詞的話指的就是兒子所以對這個公主來講就是好像是我生了她一樣她就做我的兒子 我們可以稍微再來探討一下歷史背景,可以對這個經文有更多的豐富的理解。
462.424	473.233	如果我們採用的是早期出埃及的時間點的那一個假設的話,這個時候就是在埃及的第十八王朝。
473.233	482.920	這一個法老的女兒很可能就是後來成為一個女法老的那位很有名的公主,她叫做哈特謝普蘇特。
483.746	491.155	那他的爸爸叫做圖特摩西一世。
491.155	492.536	怎麼叫摩西?
492.536	501.146	因為圖特摩西或是圖特摩斯都是一樣的,中文翻譯就是圖特的兒子的意思。
501.647	514.062	這位哈特謝普蘇特是圖特摩西一世的女兒,而且是王后所生的獨生女。
514.889	532.997	可是圖特摩西一世死了之後,因為她的女兒畢竟是女子,所以就讓公主的同父異母的弟弟,讓他們兩個結婚。
532.997	540.521	在以前的埃及,他們近親之間結婚是相當普遍的,特別要維持他們皇家的血統。
541.101	549.567	哈特謝普蘇特就嫁給他的同父異母的弟弟。
549.567	555.451	同父異母的弟弟就叫做圖特摩西二世。
555.451	559.774	可是圖特摩西二世很快就過世,體弱多病就過世了。
563.268	612.912	這個又立了另外一個小孩子那這個小孩子就是後來的圖特摩西三世那這個公主基本上就是圖特摩西三世的繼母 那基本上公主會給他取名叫做摩西很平常因為在十八王朝裡面很多人都取名叫什麼摩西什麼摩西就是誰的兒子連這個法老都取名叫什麼摩西什麼摩西好那如果是歷史我們假設是預設就是十八王朝這個環境那這個後來故事發展就是這個好亂 對,我要解釋一下。
612.912	614.513	我剛剛經文講完對不對?
614.513	625.000	我說我們來交代一下這個歷史背景。
625.000	627.962	那從第十節開始解釋好了。
627.962	629.603	好不好?
629.603	635.427	第十節開始解釋好了。
635.427	636.788	還是你要拉?
636.788	638.589	啊,不要,第十節好了,第十節開始解釋好了。
641.323	644.166	應該是,你摩西這邊已經講完了。
644.166	644.686	對。
644.686	648.170	你開始解釋那個名字,然後演發出來一些事情。
648.170	650.913	好,我摩西的希伯來文講完了嘛。
650.913	653.535	埃及文也講完,對不對?
653.535	657.699	對啊,生嘛,兒子嘛,對。
657.699	661.183	摩西跟拉嘛,拉出來,後來也解釋的。
661.183	672.022	這兩個希伯來文, 那我知道了,我希伯蘭講完之後,從希伯蘭文一講完,開始重錄那個埃及文的部分。
672.022	674.223	這樣講兒子比較順,好不好?
674.223	674.563	好,再來。
684.906	689.933	另外摩西這個字﹐也可以從埃及文的背景來瞭解。
689.933	726.264	因為摩西這個字﹐他的跟他相關的動詞就是生兒子的生生產的生那若是名詞跟他相關的就是兒子 那如果我們的這個歷史背景真的就是在這個埃及的第十八王朝這個背景的話其實這個王朝裡面很多的法老他們的名字都叫什麼摩西什麼摩西例如說圖特摩西就是圖特的兒子 我們再進一步來思考他可能的一個歷史背景,就是這位法老的女兒可能是誰。
726.264	739.930	如果是十八王朝的話,時間上很接近的,可能就是圖特摩西一世,他有一個獨生女,就是他正宮的王后,只有生一個孩子,但是一個女的。
