start	end	text
4.002	6.783	弟兄姊妹平安，我們一起來思想民宿記。
6.783	9.104	它是屬於摩西五經裡面的一卷。
9.104	13.186	摩西五經是創、出、立、名、生。
13.186	17.388	民宿記總共有36章,可以分成兩個段落。
17.388	23.591	分別是從第一章到第25章,接下來是26章到36章。
25.111	56.949	這樣的分段是因為在第一章在他們出埃及之後他們進行第一次的人口統計而在40年之後也就是在民宿記的第26章他們進行了第二次的人口統計那主要就是記載第一代以色列人跟第二代以色列人他們的狀況 而第一個段落,一到二十五章裡面,又可以拆成兩個小段落。
56.949	66.799	從第一章,他們是滿懷著信心,歡歡喜喜的從西乃山出發,要到迦南地去,得地為業。
66.799	74.828	想不到到第十四章的時候,他們竟然背逆神,不願意進去了,想要回埃及,想要殺了摩西。
75.486	81.990	所以呢,從第15章到25章,他們就在曠野漂流了38年。
81.990	99.820	接下來呢,從26章開始,我們就可以看見,這是第二代的以色列人,經歷了在曠野,被訓練,被考驗,神再一次給他們機會,讓這第二代的以色列人,可以準備要進去迦南地,得地為業。
101.067	197.038	那民宿記呢,我們今天講民宿記這個翻譯其實是按照希臘文的七十世譯本他大概是在祖前差不多兩百年左右 把希伯來文翻譯成希臘文因為那時候希臘文是世界通用語言那在這個希臘文的七十四譯本裡面他把它按照兩次人口統計這個概念所以把這卷書的名字叫做民宿記但是在猶太人他們自己的希伯來的這個傳統裡面民宿記是被稱為再曠也而不是叫民宿記再曠也是因為 他的第一章的第一節他是講說這個的第五個字也就是說耶和華這第一個字向摩西說這前面四個字再曠也那第五個字是再曠也那因為耶和華向摩西說 這在摩西五經裡面大量出現所以沒有比較特別性那反而是再曠野因為猶太人他們習慣把每一卷書前面的字來當作那一卷書他的書卷的名字因此猶太人就稱這卷書為再曠野那我們來看一下這個第一章那民宿記呢他的寫成的年代大概在講哪一個時代的歷史呢 我們相信他的作者仍然是摩西。
197.038	200.978	我們相信摩西五經都是摩西寫的。
200.978	226.156	而第二個呢這邊講到說以色列人出埃及地以後第二年的二月初一日我們根據在列王記上第六章第一節那邊有說在出埃及以後的四百八十年這個所羅門王開始建造聖殿而那一年 他的年代是祖前九百六十七年。
226.156	227.956	我們以此逆推。
227.956	232.497	出埃及的年代是在祖前一千四百四十七年。
232.497	236.978	那這邊是出埃及以後的第二年二月一號。
236.978	243.899	所以時間應該是在祖前一千四百四十六年左右。
243.899	247.940	約蘇亞死掉的時候大概是在祖前一千四百年左右。
247.940	249.920	我們用這樣來記會比較容易記得。
250.879	259.703	那我們就看見就是說,他們已經在出埃及的第一年裡面,做了很多事情。
259.703	267.207	包含他們在上半年,他們跟耶和華在西乃山立約。
267.207	274.791	而他們在第一年的下半年,他們開始製造會幕,並且把他會幕立起來。
275.384	283.391	而在第二年的第一個月,上帝就把立位祭裡面的這些獻祭的規條來頒布給他們。
283.391	288.375	而在第二年的第二月一號,就是進到民宿祭裡面了。
288.375	289.936	祂的時間大概是這樣。
289.936	297.063	第一章第一節祂說,耶和華在西乃的曠野,惠牧中小遇摩西。
297.063	301.286	我們會看見民宿祭裡面有兩個字,一個叫惠牧,一個叫帳牧。
302.807	335.693	指的是同一個帳篷但是意思有點不一樣會幕比較講到的是人與神相會通常都是講到上帝小喻或是說上帝對摩西說話他們碰面的地方那如果講到帳幕呢比較多是講到說耶和華上帝跟祂的百姓同在所以這邊講到說耶和華祂在會幕中小喻摩西說 你要按以色列權賄眾的家世。
335.693	343.198	家世呢,指的就是同一個父親所帶領的大家庭,叫父家。
343.198	347.841	宗族,宗族指的是比支派再更小一點的單位。
347.841	355.826	所以呢,你要按照以色列權賄眾的家世、宗族、人民的數目,計算所有的男丁。
355.826	360.549	男丁的原文的字面意思就是男人的頭顱,代表成年男子。
361.323	381.069	凡以色列中二十歲以外能出去打仗的你和亞倫要照他們的軍隊數點也就是說這一次數點這個人數是二十歲以上的南丁 主點的目的是要來準備去打仗。
381.069	385.250	因為他們要準備進去得地為業。
385.250	390.552	其實從埃及走到西乃山只花了三個月的時間。
390.552	399.414	而從西乃山要抵達迦南地的邊界,其實大概也不用花太多時間就可以到了。
399.414	403.395	但很可惜的,以色列人最後竟然在曠野漂流了四十年。
404.582	442.033	我們繼續往下看喔第四節每支派中必有一人做本支派的組長幫助你們他們的名字如下而組長呢這個字喔他的意思就是富家的頭或是富家的領袖 支派的組長的產生很可能是從很多的富家的領袖裡面再挑出宗族的領袖再由宗族領袖裡面再挑出支派的領袖所以有哪一些支派領袖呢?
442.033	462.401	這邊有提到按照順序有屬流變的 有屬西緬的有屬猶大的有屬以撒迦的有屬西布倫的這五個呢是這個雅各 祂首先娶的妻子叫做利雅。
462.401	464.382	祂所生的兒子們。
464.382	468.024	而且是按照他們出生的順序所排列。
468.024	469.785	而第十節開始。
469.785	474.287	有約瑟的子孫屬以法蓮的。
474.287	475.268	屬馬拿西的。
475.268	478.189	十一節還有屬卞雅敏的。
478.189	480.590	約瑟以及卞雅敏。
480.590	483.872	他是利雅的妹妹拉潔。
484.565	487.686	為雅各所生的兒子。
487.686	494.329	而這個約瑟,因為他後來他的故事,我們都知道了,他拯救了整個雅各的家族。
494.329	506.734	所以呢,這個雅各就把約瑟的兩個兒子,也就是他自己的兩個孫,就是雅各的兩個孫子,收為兒子。
506.734	515.230	後來這個在分土地的時候,雅各自己原本有十二個兒子, 可是呢,利未這個兒子沒有分到土地。
515.230	519.114	他們被分別為聖,去做祭司跟利未人。
519.114	520.955	所以剩11個兒子。
520.955	532.146	可是呢,11個兒子裡面的約瑟,約瑟自己的兩個兒子,就是這個以法蓮跟馬拿西,被雅各,就是爺爺,收為兒子。
532.466	536.108	所以呢,就頂替了約瑟。
536.108	545.233	所以呢,約瑟跟立位替除之後,剩下十個兒子,但是加了兩個孫子,就是馬拿西跟以法蓮。
545.233	548.834	這就成為分土地的十二支派。
548.834	555.520	接下來還有呢,就是屬於但,屬於亞瑟的, 屬迦德的。
555.520	557.021	屬拿弗塔利的。
557.021	610.431	這四位呢這四個支派都是利亞跟拉傑他們的妾各自為雅各所生的兒子 所以呢十二支派所分的土地這些領袖就列在這個後面他們的名字十六節這都是從會中就是百姓的大會當中選招的這個是耶和華親自啟示給摩西亞倫點名出來的叫他們來擔任領袖就各座本支派的首領都是以色列軍隊中的統領於是摩西亞倫帶著這些暗明指定的人 當二月初一日就召聚全會眾,會眾就照他們的家世宗族人民的數目,從二十歲以外的都訴說自己的家譜。
610.431	617.294	耶和華怎樣吩咐摩西,他就怎樣在西乃的曠野數點他們。
617.294	631.136	我們會發現在摩西五經裡面,最常出現的就是,耶和華怎麼樣吩咐摩西, 那摩西就照著這樣做而百姓也照著摩西的吩咐這樣做代表怎麼樣?
631.136	662.984	代表在這個時候呢基本上百姓還有摩西都算是非常順服耶和華的帶領那從二十節以後就開始講數典這十二支派的人數二十節以色列的長子留變了子孫的後代照著家世宗族人民的數目 從二十歲以外,凡能出去打仗的,被屬的南丁,共有四萬六千五百名。
662.984	669.509	在十二支派的人數裡面,四萬多名,屬於稍微比較少一點。
669.509	673.813	接下來是西緬,他們有五萬九千三百名。
673.813	678.537	迦德,他們有四萬五千六百五十名。
678.537	681.780	猶大,人最多,他們有七萬四千六百名。
682.398	686.327	以薩迦，他們有五萬四千四百名。
686.327	689.714	西布倫，他們有五萬七千四百名。
689.714	696.271	目前這六個支派,都是屬於這個 這個第一個娶的太太。
696.271	698.392	雅各第一個娶的太太利亞。
698.392	700.593	或是利亞的妾。
700.593	702.074	所生的兒子。
702.074	707.096	接下來會開始談到拉傑所生的兒子。
707.096	710.958	這個支派的二十歲以上男丁。
710.958	716.801	約瑟的子孫裡面屬以法蓮的子孫的後代有四萬零五百人。
718.217	722.938	瑪拿西有三萬兩千二百名。
722.938	725.838	但是如果把他們兩個加起來,也是七萬多。
725.838	729.359	是僅次於猶大的。
729.359	734.240	36、37節說到,便亞敏的子孫有三萬五千四百名。
734.240	737.080	這個人數比較少。
737.080	740.601	但的子孫有六萬二千七百名。
740.601	743.581	亞瑟的子孫有四萬一千五百名。
743.581	746.362	拿佛塔利的子孫有五萬三千四百名。
747.159	754.482	但亞瑟、拿伏、塔利,這些是屬於拉傑跟利亞他們的妾所生的。
754.482	766.208	所以我們可以看見在第一章裡面,講到這些排列順序,也代表了他們在以色列這個族群結構裡面的地位。
766.208	776.072	44節,這些就是被數典的,但是沒有包含立位之派,是摩西、亞倫和以色列中12個首領所數典的。
776.425	779.706	這十二個人各作各宗族的代表。
779.706	793.369	這樣反以色列人中被屬的,照著宗族從二十歲以外,能出去打仗,被屬的共有六十萬零三千五百五十名。
793.369	799.051	這是二十歲以上的男子,而且還不含立位制派的人。
799.051	841.224	那如果再加上二十歲以下的,再加上婦女, 這加起來的人數可能超過兩百萬人喔47節利未人卻沒有按著支派數在其中因為耶和華小喻摩西說唯獨利未支派你不可數點為什麼呢也不可在以色列人中計算他們的總數只要派利未人管法貴的帳目和其中的器具並數乎帳目的他們要抬帳目和其中的 畢要辦理帳目的事,在帳目的事為安穎。
841.224	847.529	立位人特別要來看管 上帝的帳幕。
847.529	852.592	我們剛講帳幕的時候,跟講會幕就比較意思不一樣。
852.592	854.573	雖然指的是同一個帳篷。
854.573	859.176	帳幕代表是說,神在百姓當中,願意與他們同在。
859.176	861.777	而帳幕裡面最重要就是法櫃。
861.777	863.598	就是我們所講的約櫃。
863.598	867.741	其實法櫃的原文是建政。
867.741	869.061	建政什麼呢?
869.061	901.856	因為建政在這個約櫃裡面, 最主要放的就是兩塊上帝給摩西的那個十戒的那個石板是上帝與他們立約的這個立約裡面的這個我們講法板好了因為他們有立約之法代表他們要照著上帝給他們的法度立約的法度要去行上帝所喜悅的事 因此呢,這個約法之貴,它的原文意思是見證。
901.856	904.957	見證了他們是與上帝立約的百姓。
904.957	908.418	這個約是永遠有效的一個約。
908.418	916.301	所以呢,這些立位人就是要負責照顧這些帳幕和法貴,還有相關的神聖的物品。
916.301	922.684	五十一節,所以呢,帳幕將往前行的時候,不要忘記了,他們是要去得地為業的。
923.660	924.681	所以呢。
924.681	926.762	立位人就要拆卸。
926.762	927.662	然後呢。
927.662	929.243	要支搭的時候。
929.243	931.204	這個帳目要支搭的時候。
931.204	933.566	立位人就要把他束起來。
933.566	935.727	近前來的外人必被制食。
936.578	941.484	利未人，如果你不是利未人，不可以靠近耶和華的會幕。
941.484	945.208	靠近了，就必被神處死。
945.208	956.421	五十二節，以色列人支搭帳棚，要造他們的軍隊，各歸本營，各歸本獨，這是軍旗的意思。
957.022	964.207	但利未人要在法貴帳目的四維安營,免得憤怒臨到以色列會眾。
964.207	967.789	利未人並要謹守法貴的帳目。
967.789	969.130	以色列人就這樣行。
969.130	972.252	接下來這句很熟悉的話又出現了。
972.252	977.455	凡耶和華所吩咐摩西的,他們都照樣行了。
977.455	989.189	這邊讓我們看見,上帝開始在數點自己的軍隊,要帶領他們離開曠野,準備去 進入迦南地,得地為業。
989.189	994.172	而且呢,上帝親自數點每一個人,代表怎麼樣?
994.172	998.454	要讓他們都與神的計劃有份。
998.454	1000.494	每一個人,神都沒有漏掉。
1000.494	1003.336	神都順你,與祂的計劃有份。
1003.336	1006.297	因為每一個人,都是跟神立約的。
1006.297	1010.639	神紀念在他們當中的那個約櫃,那個法櫃。
1010.639	1014.721	神是他們的元帥,帶領他們要去徵戰得勝。
1015.213	1019.794	但是我們看完民宿祭就知道,上半場非常的悲慘。
1019.794	1022.335	因為他們後來不願意去了。
1022.335	1025.136	甚至呢,公然的與神為敵。
1025.136	1029.357	因此神就處罰他們在曠野,漂流四十年。
1029.357	1033.658	最後第一代的以色列人,南丁都死在曠野了。
1033.658	1034.418	我們一起來禱告。
1035.435	1038.976	主,我們是祢的軍隊,我們被祢數點。
1038.976	1050.181	我們都是被耶穌基督的十字架,一個一個從罪惡、死亡跟魔鬼的手中救回來的耶穌基督的軍隊和精兵。
1050.181	1078.708	主啊,求祢帶領我們,把我們放在我們該放的 主啊,如同保羅在哥林多前書第十章所說的,民宿記裡面這些過去的故事,是要叫我們後來的人引以為賤,不要跟他們犯同樣的錯誤。
1079.428	1083.233	使我們可以真正的進入應許之地。
1083.233	1086.096	得著神所要賜給我們的命定。
1086.096	1086.897	謝謝主。
1086.897	1088.519	奉主耶穌的名禱告。
1088.519	1089.240	阿們。
1089.240	1090.342	願神賜福大家。
