start	end	text
3.524	13.543	弟兄姊妹平安，我們一起來思想。《列王記》上第三章第一節到第十五節。所羅門與埃及法老王結親,取得法老的女兒,
14.121	43.556	接他進大衛城,只等到造完了他自己的宮殿跟耶和華的殿,並耶路撒冷周圍的城牆。當那些日子,百姓仍在丘臺獻祭,因為還沒有為耶和華的名建殿。所羅門愛耶和華,遵行他父親大衛的利率,只是還在丘臺獻祭燒香。所羅門王上即便去獻祭,因為在那裡有極大的丘臺,或是叫出名的丘臺。
44.514	67.563	祂在那壇上,獻上一千犧牲作繁祭,在即便夜間夢中,耶和華向所羅門顯現,對他說:「你願我賜你什麼,你可以求。」所羅門他兼顧他的國位,把一些這個會對國家造成威脅和影響的人除掉之後,
68.797	87.786	他做兩件事情,第一個他跟埃及的法老結親,其實以色列本身是比較小的國家,埃及是一個比較大的帝國,但是在那個時候埃及比較衰弱,所以反而是埃及派女兒公主出來,跟所羅門王來結親。
88.695	110.487	那這個也代表說,所羅門他一直在絞盡腦汁,用他自己的智慧,希望來治理他父親所傳給他的這個國家。第二個呢,就是看見他到畸變去獻祭。畸變有什麼特別呢?就是主要是摩西所造的會幕,停留在畸變。
111.323	139.486	那個銅祭壇也在祭變。所以那邊是一個不僅是很大,而且是一個最有名的祭壇、獻祭地方在那個地方。那沒有錯,其實這個當他的父親大魏王把約貴從民間引回耶路撒冷的時候,那時候還沒有建造聖殿。所以他父親有為約貴也有支搭了一個帳篷、一個會墓。
140.026	157.467	但是大部分的人基本上去獻祭還是跑到畸變的那邊去獻祭所以之前在第一章第二章亞多尼亞跟約壓他們抓住彈的腳是在耶路撒冷這邊的還不是畸變那邊的
158.404	181.194	那這個索羅門去畸變獻祭,而且是獻一千個動物為祭,在歷代誌上有講到,他讓所有他的大臣、民間領袖,通通跟他一起去。我想他去的用意有兩點。第一個,他讓他所有的部下、百姓知道,他愛的是耶和華,他要敬拜的是耶和華。
181.749	206.274	第二個也是他選擇了去最有名的祭壇來獻祭也是對於他的內政對百姓的宣誓有他的一個特別意義在我們可以看見整個所羅門在外交跟內政上他很想積極有一番的作為
207.227	217.488	那再來就是祂在祭奠的時候,祂晚上做了一個義夢。那約和華對祂說,禰願意我賜給禰什麼,禰可以求。我們看看所謂的祂求什麼。
218.916	242.344	所羅門說,你僕人我父親大衛用誠實公義正直的心行在你面前,你就向他大施恩典,又為他存留大恩,賜給他一個兒子坐在他的位子上,正如今日一樣。耶華我的神啊,如今你使僕人接續我父親大衛做王,但我是幼童,不知道應當怎樣出入。
243.117	257.454	僕人住在你所揀選的民中﹐這民多得不可生屬﹐所以求你賜我智慧﹐可以判斷你的民﹐能辨別是非﹐不然誰能判斷這眾多的民呢?
258.848	286.028	人家講說,日有所思,夜有所夢。所羅門他一心就想把這個國家治理好。因此一開始我們講到他外交上,他跟埃及結親。內政上,他帶領他所有重要的大臣部下,來到民間最大的祭壇這邊,要來獻祭。這是內政的部分。
286.408	309.856	他用他的智慧竭盡所能地想把這個國家治理好可是他仍然覺得很困難,有很多的困難特別是他想要用耶和華的典章、利率、法度來治理國家的話他發現他的整個聲量跟智慧嚴重不足因此他為了這個事情日有所思,夜有所夢
310.316	332.052	甚至在做異夢的時候,耶和華問他說,那你要來這邊獻祭,你是在向我求什麼呢?他就直接說,我希望能夠得到智慧,好照著耶和華你所吩咐的,來治理你的百姓。那第十節,所羅門因為求這件事,就蒙主喜悅。
332.875	353.615	神對他說,你既求這件事,不為自己求受求負,也不求滅絕你仇敵的性命,單求智慧可以聽誦。我就應允你所求的,賜給你聰明智慧,甚至在你以前沒有像你的,在你以後也沒有像你的。
354.36	383.415	你所沒有求的,我也要賜給你,就是富足尊榮,使你在世的日子。獵王中沒有一個能比你的。你若效法你父親大衛,遵行我的道,謹守我的利率,借命,我必使你長壽。所羅門醒了,不料是個夢。他就回到耶路撒冷,站在耶和華的約櫃前,獻繁祭和平安祭,又為他眾臣僕擺設筵席。
384.889	413.13	弟兄姊妹這邊耶和華非常喜悅所羅門他不求自己的益處他單求能夠有智慧能夠按照耶和華的律法典章、誡命來治理耶和華的百姓所以耶和華非常喜悅他他答應他兩件事第一我就要把這樣的智慧賜給你在你以前在你以後都沒有人能夠領受這麼大的智慧
413.831	442.415	其實我們真的是要先求神的果跟神的義我們所需用的一切天父早就知道因此耶穌勉勵我們要先求祂的果跟祂的義天父也會一併的把我們所需要的一切跟著神的果跟神的義一起賜給我們這個13節耶和華說你沒有為自己所求的那一切的好處我也都要給你
