start	end	text
3.660	5.541	弟兄姊妹平安，我們一起來思想。
5.541	10.302	列王記上第十六章二十一節到最後。
10.302	14.743	這個北國一直在政變,局勢非常不穩。
14.743	25.046	那岸立上台之後,立刻有另外一派叫做提比尼,他們要來爭奪北國的王位。
25.046	29.187	後來岸立又花了一番功夫,才把北國整個平定。
30.162	35.786	那北國經過好幾個政權的更換。
35.786	38.248	國內不斷在內戰。
38.248	43.132	所以,這個局勢是非常的險惡辛苦的。
43.132	50.477	但案例並沒有因為這樣,就來專心尋求耶和華治國之道,倚靠神。
50.477	55.000	他反而就是更加的去倚靠耶羅伯安的金牛賭。
55.000	63.392	二十五節,案例行,耶和華眼中, 有時候人遇到壓力,會有兩個選擇。
83.933	91.377	第一個是狗急跳牆去尋求不是正道的方式來解決事情。
91.377	101.924	第二個是謙謙卑卑的來到約華上帝面前,承認自己無路可走,需要神來拯救跟開路。
101.924	106.186	那這個案例,他顯然是選擇第一條路。
106.186	115.085	他面對整個北國國家殘破, 而且在他的北邊有雅蘭,雅蘭的國勢強盛。
115.085	120.891	在所羅門晚年的時候,雅蘭開始起來挑戰以色列。
122.039	128.461	因為索羅門有偏離的神,所以神就興起北邊的雅蘭來制裁他。
128.461	132.743	所以到了案例的時候呢,雅蘭她已經越來越強盛了。
132.743	139.465	所以這個案例,國內一直政變,內戰,很辛苦。
139.465	142.846	北邊呢,又有這個雅蘭的威脅。
142.846	150.929	所以呢,她就開始尋求這個金牛賭的這個崇拜的力量,而沒有去尋求耶和華。
151.664	159.427	所以經文對他的評論是比他以前的列王作惡更甚。
159.427	169.552	29節就提到說,岸利死了之後,他的兒子雅哈在撒瑪利亞登基作王。
170.282	173.883	原本呢,這個北國的首都在德薩。
173.883	177.824	但是呢,這個新麗,她當了七天國王。
177.824	182.386	七日之後,這個案例又打過來了。
182.386	187.247	所以呢,新麗就放火燒了王宮,然後自焚而死。
187.247	189.708	所以呢,整個德薩殘破不堪。
189.708	194.429	因此呢,案例就另外在薩瑪利亞建成。
194.429	196.610	所以首都從德薩遷到薩瑪利亞。
197.756	202.139	那安利的兒子雅哈做王二十二年。
202.139	208.283	這應該是整個北國歷史最黑暗的一段二十二年的歷史。
208.283	208.924	為什麼呢?
208.924	210.124	三十節。
210.124	217.590	安利的兒子雅哈行耶和華眼中看為惡的事,比他以前的獵王更甚。
217.590	227.378	我們剛剛講到了,這個聖經對 案例的評論是,案例比以前北國的每一個國王都還要壞。
227.378	234.965	因為他比以前北國的每一個國王都更熱衷的崇拜這個金牛賭的這個敬拜的系統。
235.623	238.684	因為祂想要解決祂的內憂外患。
238.684	245.525	第二,我們又看到祂的兒子,雅哈,比祂更壞。
245.525	250.106	因此,雅哈更是追求這些偶像的崇拜。
250.106	260.068	不僅如此,他犯了尼巴兒子伊羅伯安所犯的罪,他還以為清。
261.032	286.523	他覺得還不夠,他又娶了西頓王葉巴利的女兒耶洗別為妻,去侍奉敬拜巴利,在薩瑪利亞建造巴利的廟,在廟裡為巴利築壇, 雅哈又做亞瑟拉，他所行的，惹耶和華以色列神的怒氣，比他以前的以色列諸王更甚。
286.523	305.271	這邊講到已經是壞壞壞連三壞伊羅伯安他們已經很壞了結果呢這個岸利更壞結果呢岸利的兒子雅哈最壞他一方面呢他繼續 跟他父親一樣,敬拜金牛賭。
305.271	310.276	二方面他覺得還不夠,他又開始瘋狂的崇拜巴力。
310.276	318.686	他覺得這樣還不夠,因為畢竟巴力的這個敬拜,這個不是以色列人熟悉的。
318.686	324.033	他就乾脆跟巴力的這個大本營, 西頓。
324.033	326.637	他就迎娶了這個西頓的國王。
326.637	329.120	西頓國王的名字就叫葉巴力。
329.120	331.564	意思就是巴力活著。
331.564	334.548	很像我們常講永生上帝耶和華。
334.548	338.413	所以葉巴力的意思就是巴力活著。
339.633	341.654	然後就娶了他的女兒耶洗別。
341.654	345.738	耶洗別的名字意思可能是巴黎在哪裡呢?
345.738	347.038	所以巴黎在哪裡呢?
347.038	352.002	巴黎在以色列,要建立他的地盤。
352.002	359.908	所以雅哈除了跟西頓聯盟, 西頓是這樣子的。
359.908	371.555	西頓後來也慢慢的強大,到一個地步,就把以前跟大魏王合作的那個推羅王,西蘭的那個推羅,也把他兼併了。
371.555	377.399	所以那時候,整個推羅西頓,就是在這個葉巴利的這個手下。
377.399	383.863	但是呢,這個西頓王他跟以色列一樣,北邊都有外患。
384.838	389.228	以色列北邊的外患是雅蘭,西頓北邊的外患是誰?
390.486	391.647	雅數。
391.647	395.490	雅數曾在祖前880年打敗了這個西頓。
395.490	397.751	西頓被迫需要跟他進貢。
397.751	402.375	可是他又很不甘願,常常希望能夠脫離雅數的控制。
402.375	408.859	所以呢,這個西頓跟這個以色列、北國當然就連在一起。
408.859	413.763	但是呢,雅哈跟西頓的連結,好像看起來更重要的是什麼?
413.763	415.524	是宗教上的連結。
415.524	418.186	因為雅哈是一個瘋狂的偶像崇拜者。
419.087	429.230	他做了一件事情,第一個北國國王在首都為偶像蓋神廟的,就是這個巴黎,就是這個雅哈蓋了巴黎廟。
429.230	446.716	那他還幫他的太太耶喜別,做了這個亞瑟拉,然後呢,這個亞瑟拉基本上就是巴黎的太太,所以他就幫他的王后耶喜別,也建造這些亞瑟拉的敬拜的系統。
447.705	449.566	所以耶和華的怒氣怎麼樣?
449.566	451.107	更生氣了。
451.107	457.892	那34節,不僅如此,雅哈他還不把神的吩咐放在眼裡。
457.892	465.857	以前在這個約蘇亞,他們攻下耶利哥之後,就拆毀了耶利哥這座城。
465.857	474.383	那時候在約蘇亞記第6章26節的時候,有說不准重建耶利哥城,重建耶利哥城的人會被咒詛。
475.384	512.075	他這個開弓建造他會死掉這個長子然後完工按這個門扇的時候會死掉這個小兒子那這時候雅哈他就支持一個人去主持這個修建耶利哥城的工程果然這個主持的工程師他開弓的時候大兒子就死了完工的時候小兒子也死了可是呢他們也都沒有放在眼裡 因此呢,整個雅哈的狀況就是,以色列北國歷史最黑暗的一個時刻。
512.075	523.877	然後呢,我們會開始想一個問題,之前的什麼巴沙、以拉、新利,他們不討神的喜悅,神很快就把他們換掉了。
523.877	529.499	為什麼神竟然會認平雅哈這個惡王,就沒有立刻把他換掉呢?
530.879	535.401	17章就要告訴我們,因為神預備要做一件大事情。
