start	end	text
4.514	28.702	弟兄姊妹平安，我們一起來思想。列王記下第十八章的第一節到第十八節。第一節在以色列王和西亞做王的第三年,南國猶大王亞哈斯他的兒子西西迦登基。他登基的時候二十五歲,在伊路撒冷做王二十九年。
29.77	55.808	我們要記得兩件事。第一個,他的父親亞哈斯是一個不討神喜悅的壞王。他根本就不敬畏神。但是很難得是他的兒子西西迦卻是一個非常敬畏神的人。第二個,西西迦其實在十一歲的時候就參政。但是一直到他二十五歲的時候才獨立執政。
56.92	86.484	這個以色列是這樣他一個國王他要在晚年的時候他都會讓他的兒子提早熟悉國政所以會讓他的兒子就是跟他一起參政等到他死了之後他的兒子才完全獨立執政那西西迦呢他所做的事情是耶和華影中看為正的事效法大衛一切所做的第一個他廢棄了秋壇
87.654	115.913	秋壇這個東西就是有兩個來源一個是以色列百姓他們得地為業之後他們竟然效法這個當地迦南人的習俗在各個地方只要是地勢稍微高一點點的小土丘、小丘陵、大樹下他們就會築壇這叫秋壇。丘就是山丘的丘
117.039	141.916	那就在那邊也拜別的假神。這個非常惹神的憤怒。那一般是百姓在各地都有秋壇。後來連這個索羅門王在晚年的時候在耶路撒冷也為他這些外國公主們蓋了各種不同偶像的秋壇。那這個南北國分裂之後
143.183	164.119	南國曾經有四個國王做過大規模的宗教改革。第一個是亞薩,第二個是約沙法,第三個就是西西迦,第四個是以後的約西亞。但是隻有這個,目前為止就是這個西西迦,他有把秋壇拆除。
164.974	176.436	以前的這個亞薩跟這個約沙法都沒有把秋壇廢去。因此這是一個重大的一個信仰的更新跟改革。
177.261	195.622	然後把那些偶像毀壞。更重要的是打碎摩西所造的銅蛇。以前在這個曠野的時候,百姓背逆神,神就讓那個火蛇,火蛇就是毒蛇,來咬死和咬傷很多以色列人。
196.22	224.081	摩西就去哀求耶和華,給他們一條生路。耶和華就說,那你就做一條銅蛇,把它掛在木頭上,你把它舉起來,你叫那些願意相信神要給他們一個活命的機會,醫治他們的人,你叫他們只要抬頭看一下銅蛇,他們就得醫治,因為他們相信神願意饒恕他們,使他們得醫治。
224.821	252.531	後來以色列人真的是很糟糕後來他們連童蛇都當偶像來拜更因為他是摩西的童蛇名氣太大所以大家拜得更兇西西迦直接把他怎麼樣打碎西西迦依靠耶和華以色列的神在他之前跟之後的猶大列王中沒有一個比得上他的因為他怎麼樣
253.029	281.213	專靠耶和華,總不離開,謹守耶和華所吩咐,摩西的誡命。《列王記》上跟下,最關鍵的字就是誠誠實實。一開始神就要求,你們要誠誠實實的遵行我的道,我就與你們同在,使你們得勝。所以西西迦,神就與他同在,
282.622	307.971	他無論往哪裡去,盡都亨通。所以他就趁著又有新的亞素王登基的時候,每一次亞素只要有國王換國王,他廣大的版圖所打敗這些小的國家,都會趁機反叛他們,獨立。所以這次西西迦也反叛,不肯侍奉亞素王。
308.814	330.865	西西迦趁這個時候去進攻,之前在他父親亞哈斯悖逆神的時候,神就讓非利斯人離開了猶大的控制,他們就獨立了。但是神就讓這個西西迦藉著之前這個亞述王已經削弱了,
331.425	359.965	這個非利士人的這個國力所以這個西西迦趁這個時候就把非利士那邊都收服了在西西迦做王的第四年這個時候他親眼看見了北國的滅亡然後總共撒瑪利亞被圍困三年在西西迦做王的第六年的時候他們就滅亡了
360.486	384.757	雅數王將以色列人就擄到了北敘利亞,以及更西的北伊拉克,再更西的北伊朗,離家很遠。以色列人他們裡面尊貴的、有錢的、有勢的王族,通通被擄走,把最窮的一般普通老百姓留在原地。
385.623	407.183	那不僅如此還把外國的一些王國的跟他們一樣是王國的居民也大風吹把他移到這邊來混雜讓他們彼此內鬥這樣他們就會衰弱這個是亞述王他們的想出來的政策那第13節讓我們看見
407.892	435.278	西西迦做王的第14年,就是祖前701年,亞述的一個新的王叫西拿基利,他就要出來鎮壓他登基的時候大家的背叛,一路就打到了猶大。西拿基利跟他有關的有兩件古文物,都在倫敦的大英博物館。
435.776	457.513	我上次去參觀的時候也親自看見這兩件。一個是他的一個碑文講到了他這一次圍攻這些地中海沿岸國家包含耶路撒冷的一些記載。當然裡面有我覺得很多是他比較吹噓自己誇大的地方。
458.439	476.529	所以它有一個碑,上面有個碑文有記載。第二件古物是一個尼尼維王宮的浮雕,整個被他們弄到英國去了。那是一個很長很長很長的石頭的浮雕。
477.056	502.104	佔滿了一整片長廊的牆。講到他們如何把拉吉打下來。拉吉在這個伊路撒冷西南邊60公里是防禦這個伊路撒冷重要的軍事門戶。所以這邊講到這個亞述王希拿基利把這個拉吉攻下來了。
502.841	518.184	不僅如此,根據那個碑文記載,他還奪下了六十四座猶大的城邑,俘虜了二十多萬猶大的人民。這十四節,猶大王西西迦他其實之前
518.933	546.435	他知道這個亞述王一定會來攻打他他也做了很多的這些預備可是呢亞述軍隊實在是太大了太強了所以呢他們就一直打敗仗西西迦就絕望了他就只好去求和然後往拉吉去派使者去說我有罪了求你離開我凡你罰我的我必承擔於是亞述王發
547.227	569.922	猶大王西西迦,多少呢?銀子三百他廉德,金子三十他廉德。這個三百他廉德,這個是一個天大的數字。光銀子三百他廉德,大概就是當時代一個普通人,他六千年的薪水。
570.725	600.079	那這只是銀子,金子的數目也是嚇人。西西迦只好把耶和華殿裡以及他自己王宮的府庫裡所有的銀子都給了他,希望可以把這個事情解決。那時猶大王西西迦將耶和華殿門上的金子和自己包在柱子上的金子都刮下來,給了亞述王。亞述王怎麼回復西西迦呢?
600.759	626.296	他就從拉吉差遣的塔爾泰、拉伯沙利和拉伯沙基率領大軍往耶路撒冷,到西西加那裡去。這三個名字其實不是人名,是三種亞述帝國的大官的名字、稱位。然後他們到那裡,他們就
