start	end	text
4.633	9.657	弟兄姊妹平安，我們一起來思想,列王記下第二十一章。
9.657	16.421	馬拿西登基的時候年十二歲,在耶路撒冷作王五十五年。
16.421	22.966	南國歷史裡面,被列王記評價為最好的國王西西迦。
22.966	26.509	他死了之後,他的兒子馬拿西作王。
27.449	61.822	馬拉西這邊講登基的時候12歲其實是指他跟他的父親共同執政的時候12歲他其實單獨做王的時間是46年但是他整個55年的歷史裡面是南國做國王最久的一個國王他又是南國耶和華眼中最好的國王的兒子 但是他是耶和華眼中南國最爛的國王。
61.822	65.924	他有個綽號叫做南國的雅哈王。
65.924	74.310	大家就可以知道,因為在耶和華的眼中,北國最爛的、最糟的就是雅哈王。
74.310	110.413	然後這個馬拉西行耶和華眼中看為惡的事,效法 在耶和華面前被趕出去的外邦人就是以前他們還沒有得地為業之前那些迦南人行可證的事他又重新建築他父親西西迦所曾經毀壞的秋壇我們之前談過從這個以色列人進迦南地之後他們就學迦南人在秋壇 敬拜偶像。
110.413	115.255	當然也有一些以色列百姓也用球壇敬拜耶和華。
115.255	118.136	但是這都不是討耶和華喜悅的事。
118.136	121.497	因為耶和華是希望他們到聖殿去獻祭。
123.370	156.316	那在伊路撒冷也有以前所羅門王晚年的時候為他所愛的外國公主們所建的各種的秋壇敬拜這個外國公主他們家鄉的偶像那這件事情秋壇的事情一直都沒有人去把它拆除掉直到西西迦的時候西西迦好不容易把幾百年來 約蘇亞死的時候,大概是祖前一千四百年。
156.316	172.171	所以你想一想,從祖前一千四百多年的時候,他們得地為業,一直到西西迦他進行宗教改革,大概是祖前差不多七百年左右。
172.910	183.774	有將近七百年的時間,沒有人去處理秋壇的事,一直到西西迦,讓這個事情拖了七百年之後,西西迦把他拆掉。
183.774	187.655	結果呢,他兒子馬拉西又把他重新建起來。
187.655	199.660	不僅如此,他還在效法亞哈王所做的,弄什麼亞瑟拉像,敬拜、侍奉天上的萬象。
201.220	204.801	在耶路撒冷的殿宇中築壇。
204.801	205.062	哇!
205.062	207.182	這個是很壞喔!
207.182	214.545	那這個祂在耶和華殿的兩院中,就是指外院跟祭司院。
214.545	217.587	外院就是放同祭壇那個地方。
217.587	222.229	然後在那邊築壇,並使祂的兒子驚火。
222.229	222.289	哇!
222.289	222.989	天啊!
222.989	227.811	驚火就是把活的人燒給偶像去獻祭。
229.189	240.914	又觀照用法術立教軌的和行巫術的,多行耶和華眼中看為惡的事,惹動耶和華的怒氣。
240.914	244.696	又在殿內立雕刻的亞瑟拉像。
244.696	255.960	那耶和華曾經對大衛和他的兒子索羅門說,我在以色列眾支派中所揀選的耶路撒冷和這殿必立我的名,直到永遠。
255.960	256.661	直到永遠喔!
