start	end	text
4.462	6.044	弟兄姊妹平安，我們一起來思想。
6.044	16.838	列王記下第二十三章,從第十五節開始到最後,我們繼續來思想約西亞王第三波的宗教的改革。
16.838	34.913	十五節他將在北國伯特利的祭壇, 就是叫以色列人陷在罪裡面,尼巴的兒子耶羅波安所築的那個壇都拆毀焚燒,打碎成灰並焚燒了亞瑟拉。
34.913	42.139	這時候約西亞他就回頭,看見山上的墳墓,就打發人將墳墓裡的駭骨取出來。
42.739	93.140	燒在壇上,污穢的壇,正如從前在列王記上十三章有一個南國來的神人那時候所宣傳耶和華的話對北國國王設立金牛賭崇拜的耶羅伯安在他這個新的山寨版的聖殿開幕那天 以及他接下來所做的很多這些不好的獻祭那時候南國的神人就去預言有一天會發生三百年後有一個叫約西亞的南國國王會來做所有這樣的一個捷徑的事情對那時候北國人來講第一個南國的國王怎麼會管到我們這邊來呢?
93.456	97.300	他們大概覺得不太相信。
97.300	100.703	17節約西亞就問說我所看見的是什麼碑?
100.703	103.186	應該是講的是墓碑。
103.186	145.885	那城裡就是伯特利城裡的人就回答說先前300年前有神人從猶大來預先說王就是你約西亞王那時候連名字都說出來了 現在像伯特利這個金牛賭的祭壇所行的事都應驗了這就是那個南國神人的墓碑約西亞說由他吧不要挪移他的駭骨 因為那時候約西亞王吩咐說,把附近的墳墓裡面的死人的骨頭拿出來燒成灰,然後灑在金牛賭的祭壇上,要徹底的污穢這個祭壇,讓祂不能再使用。
145.885	193.637	但是祂知道這個南國神人的故事之後,祂就說,這個南國神人祂的墳墓就不要移動,所以祂們就不動祂的駭骨,所以順帶也不動到 藏在祂旁邊的那個北國伯特利老先知那個用謊言欺騙了南國神人害祂被獅子咬死的那個老先知的駭骨也在那邊沒有被移動這就完全應驗了三百年前的預言 從前以色列諸王在撒瑪利亞的城邑建築丘壇的殿,惹動耶和華的怒氣,現在約西亞王都廢去了,就如他在北國的伯特利所行的一般。
193.637	216.107	所以他不僅在伯特利,伯特利是南北國分裂的時候,北國最南邊的一個重要的城市,他現在連北國其他的地方也都把它潔淨了, 又將秋壇的祭司都殺在壇上,並在壇上燒人的骨頭,就回耶路撒冷去。
216.107	218.769	就完全應驗了三百年前的預言。
219.565	251.932	然後王就吩咐眾民說﹐你們當照這約書上﹐就是律法書上所寫的﹐向耶和華你們的神守逾越節﹐自從誓師治理以色列人﹐指的應該是撒摩爾當誓師的時候﹐和猶大王的時代以來﹐ 至今直到如今實在沒有守過這樣的逾越節。
251.932	258.038	只有在約西亞王18年在耶路撒冷向耶和華守這樣的逾越節。
258.038	262.942	也就是說從薩摩爾時代 到這個獵王的時代。
262.942	270.486	雖然在西西加時代曾經一起度過一次重大的這個逾越節。
270.486	276.910	但是看起來都沒有約西亞王18年這一次所守的逾越節這麼的盛大。
276.910	287.297	我想一方面是因為南北國分立之後,其實百姓很難有機會可以南北的百姓大量的聚在耶路撒冷守逾越節的機會。
288.404	308.809	阿凡猶大國和耶路撒冷所有教鬼的、行巫術的與家中的神像和偶像,並一切可證之物,約西亞盡都除掉,成就了祭司希勒加在耶和華殿裡所得的律法書上所寫的話。
308.809	322.294	在約西亞以前沒有王向他盡心盡信盡力地歸向耶和華, 遵行摩西的一切律法,在他以後也沒有興起一個王像他。
322.294	331.039	這邊讓我們看到一個總結,就是約西亞王,他生命的歷程中,經歷了三波的屬靈復興。
331.039	338.503	第一次在他坐王八年,他決定要效法他的祖先大位,專心的認識尋求耶和華。
339.275	383.409	第二次在祂坐網第十二年的時候祂就結晉了南國跟北國的這些拜偶像的祭壇、秋壇第三次是在祂坐網十八年的時候祂就結晉了聖殿然後重新得到這個律法書並且照律法書上所說的與神立約與百姓立約要來敬畏神並且 照著這樣的一個聖靈所帶動的一個氣勢,把上一次在第十二年的時候,北國跟南國沒有完全處理掉的地方,這次把它處理得乾乾淨淨。
383.409	391.793	然後呢,並且召聚百姓,南國跟北國百姓一起過了一個超級盛大的逾越節。
391.793	403.796	他盡了他一切的努力, 但是,這本經文繼續說,二十六節,然而耶和華向猶大所發猛烈的怒氣,仍不止息。
403.796	404.336	為什麼呢?
404.336	411.981	為什麼約西亞這麼努力,耶和華還是沒有要停止他對猶大國最後的審判呢?
411.981	416.164	是因馬拿西所做的一切事情惹動他。
416.164	421.148	馬拿西就是大名鼎鼎的好王,西西迦的兒子。
422.125	425.308	他另外一個外號叫做南國的雅哈王。
425.308	427.130	你就知道他有多壞。
427.130	429.873	他是南國在位最久的國王。
429.873	432.795	把國家搞得亂七八糟。
432.795	436.959	我們從這個之前約西亞王解禁聖殿。
436.959	441.003	從聖殿裡面挖出這麼多污穢的東西。
441.003	445.468	什麼偶像、聯同、一大堆有的沒有的、拜太陽神的、拜亞瑟拉的。
446.049	449.898	你就知道之前馬來西他真的是幹了多少的壞事。
449.898	463.695	所以耶和華說我必將猶大人從我面前趕出如同趕出以色列人一般 我必棄掉我從前所選擇的這層耶路撒冷,和我所說立我名的殿。
463.695	474.245	這讓我們看見,所我們獻殿的時候,到後來神提醒他說,你為什麼要蓋聖殿?
474.245	479.169	是因為你們要恢復我與你們同在的榮耀。
479.753	482.795	那為什麼之前我的同在離開你們呢?
482.795	493.701	因為你們以前都悖逆我,甚至以為綁架我的約貴去打仗,我也會被你綁架,要跟你們同在。
493.701	502.106	他說我以前毫不惋惜,我的約貴會被仇敵擄走,我也不要跟你們同在。
502.841	519.465	你們現在聖殿蓋好了,如果你們跟你們的祖先一樣,跟我陽奉陰違,不誠實的尊我為大,只是說我有聖殿,反正神會看在祂的聖殿的份上,我們再壞,祂也不會使我們毀滅,錯了。
519.465	531.988	他就獻完殿之後,他就跟所羅門說,如果你們跟你們的祖先一樣,給我玩兩面手法,陽奉陰違,我也會不顧惜我的聖殿,而如今就是如此。
532.568	542.156	約西亞他這麼努力,他只是最少保住在他還活著的時候,這個災難不會臨到。
542.156	551.605	但是馬拿西所做的一切,已經帶來一個嚴重性的徹底的破壞。
551.605	556.569	28節,約西亞其餘所行的事,都記在猶大列王記上。
557.329	581.924	那就來到約西亞王他最後人生的一戰約西亞年間,這是在祖前609年的時候埃及王法老尼戈上到幼發拉底河攻擊這個亞述王約西亞王去抵擋他 埃及王遇見約西亞在米吉多就殺了他。
581.924	594.150	他的臣僕用車將他的屍首從米吉多送到耶路撒冷,葬在他自己的墳墓裡。
594.150	598.953	國民高約西亞的兒子約哈斯接續他父親作王。
598.953	602.495	這邊的中文會讓我們產生一點小小誤解。
602.495	617.717	他其實要表達是說 新巴比倫帝國復興了,然後就把雅數的首都尼尼韋都攻下來了。
617.717	627.205	然後就有一個王族逃到了北敘利亞的哈蘭,在那邊稱王。
628.131	636.538	然後呢,所以巴比倫就要繼續來進攻在北敘利亞的哈蘭所殘留的亞述的政權。
636.538	646.986	那埃及的法老其實是要前去支援這位亞述的新的王,一起對抗巴比倫。
646.986	658.783	這個讓埃及跟 新巴比倫中間有一個亞述的殘餘政權,可以做盾牌,做緩衝區。
658.783	663.947	這對埃及的國家是有利益的。
663.947	668.570	但是約西亞王就不願意埃及王做這樣的事情。
669.309	676.011	我們從歷代字來看,看起來本來埃及王跟約西亞王關係是相當不錯的。
676.011	681.893	可是這次埃及這個大動作,就影響到約西亞。
681.893	684.914	約西亞認為這樣有損於他的國家的利益。
685.674	689.135	因為他覺得這樣埃及的勢力會過大。
689.135	703.240	埃及的勢力會不僅在他的南邊、西邊甚至現在連北邊都要被埃及控制的話那這個約西亞他會覺得他的國家就會有很大的壓力。
703.240	708.742	那可是歷代是告訴我們說這個這件事情其實是出於耶和華的。
708.742	713.584	甚至包含埃及法老都跟約西亞說我這樣做是出於神的。
713.584	717.473	你為什麼要 要阻止我做這個事呢?
717.473	721.395	可是約西亞不聽他的勸,執意要跟他打。
721.395	723.517	結果打起來之後怎麼樣?
723.517	729.040	約西亞就戰死了,在梅吉多就作戰死亡。
729.040	733.883	那這件事情成為一個讓很多人讀聖經的時候不理解的。
733.883	739.207	為什麼約西亞這個好王,最後會戰死在這個沙場?
739.207	743.189	然後為什麼埃及法老做這件事情是出於神?
744.172	772.413	我們經文的線索不是很多,但是我們或許可以猜想,如果歷代誌那邊有明說這件事情是約西亞他硬是要違背神的意思, 那很有可能,因為約西亞的時代他國內很多先知,很可能國內的先知也曾經告訴過約西亞說,你不要去阻止埃及法老,這件事出於神。
772.413	774.554	但是經文沒有這樣明說。
774.554	780.076	總之就是約西亞王最後他就死了,百姓也都非常的哀傷。
780.076	819.179	那大家就把這個期望放在他的兒子約哈斯, 結果約哈斯他做王短短三個月而且他完全沒有效法他的父親完全行惡繼續在那邊拜偶像所以法老就把他抓到了在南敘利亞最北邊的哈馬帝那邊的利比拉那邊把他關起來不讓他做耶路撒冷王然後又給這個猶大國 大大的罰款,銀子一百他年德,金子一他年德。
819.179	827.960	然後法老就立了約西亞的另外一個兒子,叫以利亞進,來做王。
827.960	835.942	就是說,約西亞死了之後,他的兒子被法老抓走了。
