start	end	text
3.797	20.556	弟兄姊妹平安，我們一起來思想。和錫阿書第9章第10節到最後。主說,我遇見以色列,如葡萄在曠野。我看見你們的列祖,如無花果樹上春季初熟的果子。
21.357	44.055	他們卻來到巴利皮爾,專拜那可羞恥的,就成為可憎惡的,與他們所愛的一樣。什麼意思呢?這邊講到一段過去的故事,也提到上帝對以色列的失望。況也不會有葡萄樹的。
44.974	66.913	因此呢,這個上帝栽培以色列在患難的日子,像曠野一樣,艱困的環境裡,竟然能夠把以色列拉拔出來,從埃及拯救出來,使它成為葡萄樹。代表是上帝一個偉大的拯救,偉大的作為的一個傑作。
67.654	88.691	曠野竟然會有葡萄樹可以長出來。因此也代表神非常的珍惜,甚至神非常的思念,以前那一段,神的百姓專心忠心的愛主,與祂堅守那守約至愛的日子。那我看見你們的列祖,
89.531	117.936	如同無花果樹上﹐春季初熟的果子。無花果樹﹐大部分的果子﹐是在夏天的時候﹐成熟﹐然後收成。但是呢﹐會有一部分﹐的果子﹐是在春天的時候﹐就先出熟。那叫做春天初熟的果子。還記得耶穌﹐在福音書裡面﹐祂進了耶路撒冷城﹐
118.763	146.944	然後祂看見有一棵五花果樹,祂就在那邊尋找有沒有果子。然後呢,找不到果子,只有葉子,但是卻沒有應該有的果子。祂就咒詛祂,結果那棵樹就枯乾了,因為祂不截果子,白佔地圖。什麼意思呢?因為耶穌要進到這個耶路撒冷的時候,是在逾越節之前,那逾越節就是在春天。
147.705	168.493	也就是說當一個無花果樹,它上面找不到任何的這個初熟的果子的時候,就代表那它接下來夏天也不會結出什麼好果子來。這個是初熟果子的意思。如果找得到初熟果子,就代表它有一個美好的盼望。
169.053	189.494	他春天的能夠找到出手的果子就代表他夏天更多的果子都會成熟都會甜美所以新約聖經裡面和舊約聖經很喜歡講出手的果子代表這是一個滿有盼望的一個應許就是他會有
190.674	216.461	美好的結局。美好的收成。所以原本上帝他對以色列人是有一個美好的計畫跟美好的盼望。希望他們是一個出手的果子。代表他們最後的故事的結局。一定是非常美好的夏天果子的大收成。可是呢你們的祖先跟你們一樣。他們卻來到巴黎皮爾。
217.176	235.238	在那邊跟那個磨壓的女子行淫,然後去拜這個偶像。這是講到在就約的時候,當他們還在約旦河以東,還沒有過約旦河之前,他們就在那邊不忠心的跟隨主。
