start	end	text
18.933	51.664	弟兄姊妹平安，我們按照國際讀經會所發行的每日引經詩語讀本的進度一起來思想小先知書沙加利亞書的第一章一到十七節先知書有分大先知書小先知書大先知書有五卷小先知書有十二卷是根據他們的長度的長跟短來分它是大跟小而沙加利亞書是十二卷小先知書裡面段落最長的一卷書 我們可以了解一下撒加利亞書它的一個結構。
51.664	54.906	它總共有14章,可以分成三個段落。
54.906	57.988	你不要小看撒加利亞書,它很重要。
57.988	61.710	我們讀完撒加利亞書,會讀《啟示錄》。
61.710	65.413	它們的很多部分的性質都很類似。
65.413	68.035	撒加利亞書第一個段落是1到6章。
68.035	75.440	很特別,撒加利亞他在某一天晚上,連續看見八個異象,就把它寫在第一章到第六章裡面。
76.254	150.472	第二個段落是第七到第八章看完異象就需要教導百姓上帝要告訴我們所以我們要悔改所以第七第八章就是講教導第三個段落就是九到十四章撒加利亞繼續進一步講到很多關於未來的預言跟這個彌賽亞的預言所以這些對新約都很重要 所以新約總共引用了這個撒加利亞書七十億次而在這個我剛講那個第九到第十四章的那個預言的那個部分新約引用了四十次你也知道它有多麼重要也請各位繼續為我來禱告因為我的神代的受損到現在都一直沒有恢復我非常感謝我的教會丹江教會他允許他們的主任牧師幾個月 沒有昨日講到完全把聲音每一天保存下來就是為了錄每日眼睛示意為了國度為了這種教會我非常佩服我的教會的弟兄姊妹這樣子的來願意奉獻他們的牧師給國度使用 大家知道在疫情期間,停止實體聚會,都是靠線上聚會。
150.472	157.601	其實每個教會都很希望盡量他們的主任牧師多講一點道,很怕會友散掉。
157.601	223.122	特別我們的教會還在建堂最後的一個階段,很多工程館也沒有附,所以我們的會友很勇敢, 撒加利亞書第一章 大力巫王第二年八月,耶和華的話臨到易多的孫子,比利家的兒子先知撒加利亞,說,耶和華曾向你們列祖大大發怒,所以你要對以色列人說,萬君之耶和華如此說,你們要轉向我,我就轉向你們,這是萬君之耶和華說的。
224.531	227.233	不要效法你們列祖。
227.233	237.602	從前的先知呼叫他們說,萬鈞之耶和華如此說,你們要回頭離開你們的惡道惡行。
237.602	241.345	他們卻不聽,也不順從我。
241.345	244.487	這是耶和華說的。
244.487	247.510	你們的列祖在哪裡呢?
247.510	250.292	那些先知能永遠存活嗎?
251.630	261.394	只是我的言語和律例﹐就是所吩咐我仆人眾仙之的﹐豈不臨到你們列祖嗎?
261.394	273.139	他們就回頭﹐說﹐萬君之耶和華﹐定義按我們的行動作為﹐向我們怎樣行﹐他已照樣行了。
274.974	284.558	第一節,大力烏王第二年八月,耶和華的話,臨到易多的孫子,比利加的兒子,先知撒加利亞。
284.558	290.601	因為耶和華的話語,臨到先知,先知才有話語,向百姓說話。
290.601	304.007	這個時間的問題,我們先來了解一下,大力烏王第二年八月,這是祖前五百二十年,在同一年的六月,另外一位先知哈蓋,上帝的話也臨到他。
304.007	307.986	所以哈蓋, 他年紀可能比撒加利亞稍微年長一點。
307.986	311.149	他們在同一年對百姓說話。
311.149	317.055	這個時候的百姓是已經被辱歸回之後差不多十七八年了。
317.055	320.799	但是他們一直沒有辦法把聖殿建造起來。
320.799	323.942	聖殿之前已經被毀壞了。
