start	end	text
4.172	30.312	弟兄姊妹平安，我們一起來思想。箴言第十九章的第一節到第十五節。第一節,行為純正的貧窮人,勝過乖、妙、愚妄的富足人。中文的翻譯會讓我們思想可能是在比較貧窮跟富足的人。但是由於他的原文沒有富足人,所以我把他的原文的翻譯再翻一次。貧窮人走在正直的道路上,勝過
31.323	50.678	嘴唇講乖妙言語的愚昧人所以他是要不是要對照貧窮跟富足他說就算我們物質上比較缺乏但我們卻願意走在一個上帝給我們的正道上面的人這樣的人勝過於
51.288	74.41	每一天嘴巴都講一些乖妙。乖妙就是不正、彎曲。甚過於每天嘴巴都講一些不正、不是純正的話語的人,而那樣的人是一個愚昧的人。寧可做一個有智慧但是卻物質貧窮的人,也不要做一個乖妙的愚昧人,沒有智慧。
75.452	97.573	那在箴言裡面呢,特別是在第二個大段落,第10章到第22章的16節裡面,裡面有一個很重要的主題,就是探討財富。財富常常在這一個段落裡面,被當作是上帝祝福恩寵、義人或是謙卑的智慧人,神給他的一個看得見的祝福的果子。
99.053	118.176	那你會覺得很奇怪在這個大段落裡面好像比較多都是在肯定是富有的人然後對於這個窮乏人貧窮人比較多是責備那他有他的上下文的定義所以你用箴言說要小心因為在這個段落裡面他講的貧窮人
118.456	136.429	指的是那些不受教走乖妙的道路以至於他的身心靈一直困在曠野裡面找不到出路而貧窮窮乏身心靈貧窮又不受教所以一直在死衚衕裡面的愚昧人
137.21	154.16	因此呢這個箴言這邊講的富有人跟愚昧人跟那個貧窮人祂的定義跟我們在聖經其他部分要切入的角度講財富跟貧窮的角度不太一樣喔那其實行為純正的貧窮人祂
155.759	169.604	是富有的人,因為他雖然物質缺乏,但他卻心靈豐盛。第二節,心無知識的乃為不善,腳步極快的難免犯罪。他的原文,
170.111	190.038	少翻譯了所以原文應該是有熱心卻無知識的乃為不善腳步極快的難免犯罪這邊講的是這個心靈或是這個他這個做決定做事情太過急躁
190.418	216.485	沒有三思而後行那這是不好的而且會出錯甚至可能會犯罪因此有熱心卻無知事沒有三思而後行或是想到就立刻去做但是卻沒有好好的三思而後行都是不會讓事情成為一件美事美好的事反而會把事情搞砸
217.995	241.774	第三節,人的愚昧請拜祂的道,他的心也抱怨耶和華。這邊講的說,當一個人他因為只依靠自己而不願意依靠神,他就是一個愚昧的人,他會把他自己的道路搞砸了。但他卻不會去反省,他反而會抱怨耶和華。
242.415	272.007	那這個是愚昧人常常有的表現。弟兄姊妹這樣聽起來我們常常也是愚昧人我們常常不會去反省跟檢討自己為什麼會把事情搞成這樣我們第一個都是先怨天尤人埋怨神不幫助我們不祝福我們第四節財務使朋友增多但窮人朋友遠離記得我們這邊的箴言對於財富跟貧窮的定義是
272.875	280.248	上帝祝福義人跟智慧人的果子。因此呢,一個被神祝福的人,
280.913	302.92	他的財物增多,他也成為一個樂意使用財物來祝福分享的人,自然他的朋友就增多。但是一個窮人在這邊指的是,他是一個乖僻的人,他不願意被神來改變,以至於路越走越窄。那朋友勸他也勸不聽,所以朋友也都遠離他。
303.968	333.163	第五節,做假見證的必不免受罰,吐出謊言的終不能逃脫。真言有一個主題叫我們敬畏神。因此,不敬畏神而做假見證陷害人的,神祂會查驗的,神也會懲罰的。第六節,好施散的,有多人求祂的恩情,愛送禮的,人都為祂的朋友。這段經文也很容易引起大家的誤解。
