start	end	text
4.121	25.369	弟兄姊妹平安，我們一起來思想,詩篇第103篇。他的詩題是大衛的詩。103篇是一個大型的交叉結構的一首詩。按照它的內容,可以分為1、2、3、4、5,然後5、4、3、2、1,大型的交叉結構。
26.288	54.198	五落在第十節到第十三節。因此整篇詩的重點,是在第十節跟第十三節。我們待會一起來思想。那這首詩呢,也很特別。它的開始跟結束,總共有七次要稱頌耶和華。因此這是一首稱頌耶和華的感恩的詩。第一節,我的心啊,你要稱頌耶和華。凡在我裡面的,
54.889	81.756	也要稱頌祂的聖名。我的心啊,你要稱頌耶和華。為什麼呢?因為不可忘記祂的一切恩惠。第一個,世人教導我們要發自內心深處,去感謝神。我們常常在外面,在表面上,比較常常感謝神。但是很少發自內心的深處,
83.217	91.254	打從內心的最深最深的每一個角落都找到上帝一切的恩惠以至於
92.227	120.744	滿心的感謝神心腸肺腑都來稱頌神因此我們要常常數算神的恩典就知道我們是一個蒙瞭如何大恩的人我們就可以學習發自內心凡在我裡面的都想要來稱頌耶和華上帝在我們生命中的一切恩惠包含了什麼呢?第三節祂赦免你的一切罪孽醫治你的一切疾病
121.561	144.502	祂救贖你的命,脫離死亡。我們的生命原本應該是被罪孽、疾病、最後是被死亡來纏繞和吞沒。但是詩人說,上帝以仁愛和慈悲為我的冠冕。冠冕是給國王戴的。
145.299	173.015	我們不是國王,我們原本是被罪孽、疾病跟死亡追殺的軟弱無助的人。但上帝以祂的人愛和慈悲來拯救我們,使我們生命中所充滿的,不再是罪孽、疾病跟死亡,而是榮耀的冠冕。這是何等大的恩惠,因此祂才說,不可忘記祂的一切恩惠。
174.804	200.427	第五節,祂用美物使你所願的得以知足。使你所願的得以知足,它的原文是滿足你的口。因此呢,好像讓我們想到十篇二十三篇,它說到耶和華使我在我敵人的面前,耶和華為我擺設豐盛的宴席。我們這一生神用各樣的美物,
201.476	205.1	當上帝用各樣的人愛跟慈悲、恩惠跟美物
221.271	245.113	充滿我們這個原本是軟弱滅亡的生命,使我們得著榮耀的冠冕,使我們所願的得以知足,就好像一隻老鷹。老鷹它定期時間到了,它就會要換掉新的羽毛。在換毛的過程裡面,是老鷹最軟弱的時候,是它最容易死掉的時候。
245.981	271.71	但是如果他經過那個換毛的程序,長出新的毛之後,老鷹就可以再一次的翱翔在天空,重新恢復他一切青春的活力。因此一個蒙神用美物,使我們一切所願的都知足的人,就如同一隻老鷹,返老還童,重新恢復生命的青春活力,翱翔在天空。
272.978	286.603	第六節,耶和華施行公義,為一切受屈的人申冤。他使摩西知道他的法則,法則的原文是道路,叫以色列人曉得他的作為。
287.807	303.927	義和華有憐憫、有恩典﹐不輕易發怒﹐且有豐盛的慈愛﹐他不長久責備﹐也不永遠懷怒。第六節開始講到這位公義慈愛的神
305.148	330.86	祂施行公義,祂叫受到冤屈的人可以生冤,祂並且讓我們知道祂的道路,祂透過摩西把神的律法傳給祂的百姓,使得百姓可以知道神的作為,因此就可以走在神祂所安排的美好的道路上。在道路上,我們有時候會因為軟弱,會跌倒,
331.903	358.128	但是第八節他說,耶和華有憐憫,有恩典,不輕易發怒,且有豐盛的慈愛。這是出自於出埃及記第34章第6節第7節。摩西問耶和華,摩西向耶和華呼求,求他不要離棄那些拜金牛賭的百姓,求耶和華再給百姓一次機會。
359.053	374.112	因此耶和華就讓摩西知道他是一位怎麼樣的神。這是一個在舊約裡面要認識神是一位怎麼樣的神的標準答案。就是《出埃及記》34章第6到第7節。
375.555	401.862	在很多舊約的書卷裡面,都是用出埃及基地34章的這個經文,來代表伊和華是一位怎麼樣的神。怎麼樣的神?祂就是有憐憫、有恩典、不輕易發怒,且有豐盛慈愛的神。非常的感恩。祂也不長久責備。我們軟弱跌倒犯罪,神會管教我們。
402.841	427.94	但是祂的目的不是要永遠的定我們的罪,祂乃是要使我們迴轉。因此,祂向我們發怒,在我們悔改之後,神又以慈愛來待我們,因此祂不永遠懷怒。第10節到第13節是整個103篇交叉結構的頂點,也是這首詩的重點。我們來看這首詩的重點到底是什麼。
428.746	449.378	祂沒有按我們的罪過待我們,也沒有按照我們的罪孽報應我們。天離地何等的高,祂的慈愛,像敬畏祂的人,也是何等的大。東離西有多遠,祂教我們的過犯,離我們也有多遠。父親怎樣連續祂的兒女,
449.718	474.122	耶和華也怎樣連續敬畏祂的人。我們透過交叉結構的頂點,來認識到這一篇詩篇的重點,就是上帝的赦罪之恩,上帝的赦罪之愛。第十節,祂說神真對我們真是恩典,祂並沒有按照我們的罪過來對待我們,也沒有按照我們的罪孽來報應我們。
474.65	502.237	我們原本犯罪軟弱,就是該當滅亡,但神卻沒有如此做。因此,向我們所顯現出的神的慈愛,就像天離地有多高,祂對我們的慈愛就有多麼的大。但是要注意一點,詩人有說是向敬畏祂的人,才顯出上帝的赦罪之愛、赦免之愛,
503.319	526.087	有這麼的偉大。一個死不願意向神悔改的人,他就無法去體會到上帝的赦罪之愛是這麼的偉大。天離地有多高,上帝的赦罪之愛就有多大。一個真心向神認罪悔改的人,他會去珍惜這偉大的赦罪之恩。
527.142	555.496	也是一樣十二節東離西有多遠東離西有多遠呢?無限的遠因此呢東離西有多遠耶和華上帝就叫我們曾經所犯過的過犯離我們也有多遠也就是神祂不再定我們的罪祂不再紀念我們以前所犯過的罪像那些敬畏祂的人悔改的人祂不按
556.288	578.034	我們的罪孽來報應我們。因此這兩句話真棒,我們再讀一次。天離地何等的高,祂的慈愛向敬畏祂的人也是何等的大。東離西有多遠,祂叫我們的過犯離我們也有多遠。為什麼耶和華要這樣恩待我們呢?
578.933	594.993	十三節告訴我們,因為父親怎樣連續他的兒女,耶和華也怎樣連續敬畏他的人。我們跟天父的關係,跟耶和華的關係,就是天父跟兒女的關係。
595.913	617.138	但是不要忘記,詩人他都有在加以說明,是向敬畏他的人,就是把神當一回事的人,把聖結公義慈愛的神當父親一樣來看待的人,他就必能夠體會跟領受到父神所給他的連續和慈愛。
619.241	641.987	14節,因為祂知道我們的本體,思念我們不過是塵土,祂知道我們是軟弱的人。神知道我們是不完全的人,我們是塵土所造的,我們的本體不是公義聖潔的。因此神就設立了耶穌基督,成為永遠的贖罪祭,
642.807	668.16	使我們的這些罪人﹐可以靠主耶穌的赦罪之恩﹐重新與父神和好。十五節﹐至於世人﹐他的年日如草一樣﹐他發望如野地的花﹐驚風一吹﹐便歸無有﹐他的原處也不再認識他。向敬畏神的人﹐他就能夠感受到﹐
669.394	683.407	經歷到甚至是滿懷感恩的來回應神的赦罪之愛、赦罪之恩。而對於那些不願意悔改、不敬畏神的人,祂看起來發旺如野地的花,
684.65	712.032	但是呢,在神的眼中,祂的一生如同野草一樣。野草發旺,但是經那些熱風一吹,祂就枯萎死掉了。祂的原處也不再認識祂。也就是說,祂來得快,去得也快。祂滅亡之後,也無人紀念祂,沒有人記得祂。但是一人卻永遠被神紀念。
713.012	736.018	17節,但耶和華的慈愛歸於敬畏祂的人,從亙古到永遠。你會看見詩篇103篇,神的赦罪之愛,不是一個腐爛的恩典,廉價的恩典。祂是讓那些敬畏祂的人,願意迴轉歸向祂的人,才能夠領受的。
737.278	759.54	因此呢,耶和華的慈愛歸於敬畏祂的人,從困苦到永遠。神的赦罪之愛,對於那些敬畏祂悔改的人,永遠不會改變。祂的公義也歸於子子孫孫,就是那些遵守祂的約,紀念祂的訓詞而遵行的人。
760.555	784.049	神的義要歸給那些願意遵行主的道的人。甚至因為耶穌基督的赦罪之恩、赦罪之愛,我們也因信而成為義,被神算為義。19節,耶和華在天上立定寶座,祂的權柄同管萬有,聽從祂命令,成全祂旨意。
784.684	805.889	有大能的天使,都要稱頌耶和華。你們做祂的諸君,做祂的僕役,行祂所喜悅的,都要稱頌耶和華。你們一切被祂造的,在祂所治理的各處,都要稱頌耶和華。而至於我呢?我的心啊,你要稱頌耶和華。
807.142	834.703	神的寶座設立在天上神的權柄在地上來統管萬有因此詩人最後做個結尾一切天上的天使、天君、神的僕役都要來稱頌耶和華在天上的寶座前要敬拜神而在地上二十二節在地上一切被神所創造的天地萬物都在神的治理的各處
834.923	857.023	他們也要來稱頌耶和華。天上要稱頌耶和華。地上萬物要稱頌耶和華。而我,內心深處的我呢?我也要稱頌耶和華。我們一起來禱告。是的,主,我們要稱頌禰。主,因為我們要不可忘記禰一切的恩惠。我們原本是被罪孽、死亡、疾病、
857.824	880.36	過犯所纏繞跟追殺的人,但是主禰以仁愛慈悲來使我們得著禰榮耀的冠冕。禰不以我們的過犯待我們,天離地有多高,主啊,禰的慈愛就有何等的大。東離西有多遠,禰使我們一切的過犯遠遠的離開我們。
880.64	894.433	你不再紀念我們的過犯。因此,主,我們要走在你的道路上。我們不要做那不敬畏神的人,走向滅亡。謝謝主,奉主耶穌的名禱告。阿們。願神祝福大家。
