start	end	text
4.172	24.261	弟兄姊妹平安，我們一起來思想十篇一百一十九篇,第一百二十九節到一百四十四節。我們要來繼續思想這一首字母詩,它總共以這個希伯來文的二十二個字母來分段落。今天我們來看第十七個跟第十八個字母。
24.821	53.933	一百二十九節,你的法度奇妙,所以我一心謹守。我們今天很有經驗看十篇一百一十九篇,就是它在每八節作為一個段落裡面的第一節的第一個單字,它就是這八節的關鍵字。因此一百二十九節的第一個字是奇妙。上帝的法度,就是上帝的話語律法,非常的奇妙。
54.633	80.226	以至於呢,被這個奇妙所震懾過的人,嘗過上帝話語,也看懂上帝話語,真的是太偉大、太奇妙的人,他這一生會一心要謹守上帝的話語。130節,你的言語一解開,就發出亮光。我們常常不識貨,
81.254	107.171	不懂得上帝話語的奇妙。但是非常感謝神,聖靈保惠師聯名我們的愚昧。因此有時候神打開我們心中的眼睛,讓我們看懂了神話語的奇妙。因此祂說,你的言語一解開,哇!就發出亮光了。這是真理的聖靈在我們心裡面的工作。使愚人通達,
108.609	132.543	使像我這樣愚昧的人﹐也可以變成聰明的人﹐原本看不懂聖經的人﹐原本看不懂神的話語﹐是這麼奇妙的人﹐經過真理的聖靈在我心中的運行﹐使我明白神的話語真是偉大﹐是我腳前的燈﹐路上的光﹐是我藏身之處﹐更是我的盾牌。
134.07	149.679	以至於在131節祂說,我張口而氣喘,因我切目你的命令。詩人說,當他心裡面切切的、渴慕、更多的、更深的來認識上帝話語的奇妙的時候,
150.179	177.048	祂的那種心情跟祂的那個表情,是張口而氣喘,很等待。弟兄姊妹,其實我們每一天讀經靈修的時候,打開聖經,就應該是這種態度。就應該是希望說,今天我讀經,我好渴望看見神解開祂話語的奇妙,讓我可以得著神寶貴話語的亮光。
177.568	184.985	你今天是否也是用這種態度跟心情期待神的話語向你解開向你發光呢?
185.776	212.833	132節,求禰轉向我,憐憫我。好像禰素長待那些愛禰名的人。世人盼望上帝的榮耀轉向他,憐憫他。像過去那些被神話語的亮光照亮的人一樣,願上帝的話語,上帝話語的大能也轉向我,也運行在我這個渴慕神話語的人的生命裡面。
213.353	223.839	願這樣的一句經文,今天也要運行在弟兄姊妹你我的身上。133節,求禰用禰的話使我腳步穩當,不許什麼罪孽挾制我。求禰救我脫離人的欺壓,我要遵守禰的訓詞。
232.944	262.462	133、134節告訴我們神的話語不僅使我們感到奇妙、驚訝無比深深的切目神的話語在我們實際的生活上更要保守我們離開一切的罪惡的瑕疵和罪惡的試探。135節求禰用臉光照僕人又將禰的律律教訓我我的眼淚下流成河因為他們不守禰的律法。
263.848	278.819	詩人盼望上帝的臉光,上帝祂臉上的榮光,可以天天藉由祂的話語照亮我們的生命。但是呢,詩人又看見大部分的同胞百姓,
279.48	304.361	這個世代,他們基本上都不遵守神的律法,他們心中的眼睛不願意被聖靈打開,看不到神律法的奇妙,以至於神臉上的榮光,沒有辦法照亮這些其他人的生命的時候,世人為他們感到非常的難過,流下的眼淚像河流一樣的多。
305.162	326.312	真的是有一個憐憫這些罪人的心腸。弟兄姊妹當我們每一天享受在神話語的亮光的這種恩典的時候,是不是我們也更多要來為這些心中的眼睛還沒有被這個上帝的話語打開的人,也多為他們來禱告。
326.732	355.511	巴不得他們跟我們一樣每一天渴慕神的話語照亮他們的生命。我們繼續來看第18個字母。從137節到144節。耶和華你是公義的。你的叛語也是正直的。137節第一個字是公義。因此公義是這八節裡面的關鍵字。上帝是公義的。祂的叛語
356.237	379.837	他的判斷也都是公義正直的。你所命定的法度是憑著公義跟至誠來命定的話語跟法度。因此139節詩人說,我心焦急如同火燒,因我敵人忘記你的言語。跟剛剛的136節的情況很類似。
380.794	406.147	詩人他不單單只是為自己能夠來謹守神公義正直的話語而感覺非常的感恩之外也是為那些不願意來遵守神公義正直話語的這些同胞們心裡面非常的焦急如同火燒。為什麼?因為他的同胞再不遵守上帝公義的律法
406.647	425.584	那結局就是被神公義的烈火來焚燒審判。因此雖然這些人他們平常也是攻擊義人的這些惡人和敵人。但是這些蒙神律法所指教的義人
426.391	453.917	祂們並沒有因為受到這些惡人或敵人的欺壓,就幸災樂禍,希望祂們被神的公義的烈火燒滅。祂反而是為祂們帶導,為祂們悲哀。140節,禰的話極其精煉,所以禰的僕人喜愛。我微小,被人藐視,卻不忘記禰的訓詞。禰的公義永遠長存,禰的律法盡都真實。
454.565	468.91	我遭遇患難愁苦,你的命令卻是我所喜愛的。你的法度永遠是公義的,求你賜我悟性,我就活了。詩人真的是非常的不容易。
469.735	494.418	祂在一個黑暗的世代裡面並且遭受這黑暗世代的各種的價值觀試探、誘惑、攻擊所環繞但祂仍然選擇相信上帝的話語是永遠公義的遵守神的話語並且有這樣的一種悟性就是真的打從心裡面明白
495.179	523.788	只有神的話語是使人活的。惡人的道路是終必滅亡的。他心中不僅是相信神的公義永遠長存也相信神所說的律法竟都是真實的是實實在在的。因此他的處境雖然渺小被人藐視但他心裡面卻堅守神賜給他的話語。弟兄姊妹今天的經文很寶貴
