start	end	text
4.019	31.612	弟兄姊妹平安，我們一起來思想以賽亞書第十二章這是在以賽亞書八個大段落裡面第二個段落七到十二章這六章的主題叫做以馬內利的信息十二章就是以馬內利信息的一個結尾以頌讚上帝的詩歌來作為以馬內利信息的回應我們來看第十二章第一節到那日
32.261	43.862	哪一日呢?就是彌賽亞來作王的那一日。當然包含了耶穌基督第一次來到這世界上祂道成了肉身降世為人
44.94	73.627	然後為外邦人,也為猶太人的罪,死在十字架上,成為世人的救主。然後祂復活昇天,祂建立了教會,要教會做祂復活的見證人,把祂的十字架的救恩傳揚給萬國萬民,包含猶太人,包含非猶太人,也就是外邦人。到那日,也包含了耶穌基督要第二次再來,
74.838	100.796	祂要帶來祂國度的整個降臨。在那一日,外邦人跟猶太人,通通要歸回到彌賽亞這個大旗的這個朝聚裡面。而上帝也要帶領祂的百姓,來審判罪惡,來審判那些不順服的,這些走在罪惡道路裡面的萬國萬邦的人。神必為他們開道路,
101.698	114.169	那是一個和平的榮景不再有戰爭不再有眼淚充滿了上帝一切應許的信實應驗那到第12章這邊說到那日
114.77	137.422	你必說,就是這些,上帝的百姓必說,耶和華啊,我要稱謝你,因為你雖然向我發怒,你的怒氣卻已轉消,你又安慰了我。看啊,神是我的拯救,我要依靠祂,並不懼怕,因為主耶和華是我的力量,是我的師哥,
138.131	140.913	祂也成了我的拯救。
168.131	196.705	從彌賽亞而來的安慰和拯救。因此呢,第一節這邊告訴我們說,上帝一開始有發怒、有責備、有管教。但是呢,管教不是上帝對我們的終極目標。管教是上帝要我們悔改、歸向祂的手段。因此上帝的怒氣已經轉消,就進入到了下半段,就是上帝的安慰。從責備變成安慰。
197.824	224.327	第二節這邊讓我們看見,神是我的拯救。不要忘記,以賽亞這個名字的意思,就是耶和華拯救。以賽亞剛出來做先知的上半段時間,北國也有一個先知,名字叫做何希亞。何希亞這個名字的意思,也是耶和華拯救。這真的是非常的奇妙。在同一個時段裡面,南北國的先知,
225.435	244.176	都叫做耶和華拯救就代表上帝不僅只是一個責備跟審判的神上帝更是一個安慰跟拯救的神因此呢要依靠祂並不懼怕並不懼怕不是說不要敬畏神而不是一直活在一個
245.06	268.469	在被神審判跟責備的恐懼裡面,因為救恩已經來到。弟兄姊妹,不論你昨天的生命光景如何,不論你是不是還在後悔你之前所做的糊塗事,或是這些軟弱跌倒的事,今天神的大光就要照亮你,你要走出黑暗,因為神的安慰跟拯救今天要領到你。
269.718	282.311	接下來這邊第二節後半段以賽亞就引用了出埃及記十五章第二節的一首詩歌那是摩西當初帶領百姓過鴻海時候所唱的歌
283.131	307.659	代表耶和華使我們得到拯救的一首詩歌。這邊說,主耶和華是我的力量,是我的詩歌,祂也成了我的拯救。常常我們在經歷到神的拯救跟得勝之後,我們心中充滿了歡樂。最容易的方式就是向神唱歌,獻上一切的敬拜和讚美。
308.541	314.662	當彌賽亞他來到這世界上的時候不僅要使我們脫離黑暗脫離罪惡
315.657	339.938	當祂第二次再來的時候,全地都要進入到祂國度的治理。有真正的和平,有真正的愛,有真正的聖節在祂的國度裡面。第三節,所以你們必從救恩的泉源,歡然取水。這一節經文也非常有名,我們再讀一次。所以你們必從救恩的泉源,歡然取水。
341.886	359.564	以色列呢,他們在這個喝水的時候都要去找那個湧泉的水泉所流出來的水。所以是一個活水江河。那第十二章第三節這個經文對以色列人來講是非常重要的經文。
360.145	384.033	在每一年的祝彭節的最後一天大祭司清早就會帶領百姓們拿著一個水壺來到西羅亞池取水然後就會這個誦讀詠唱以賽爾書十二章三節所以你們必從救恩的泉源歡然取水
385.094	409.716	而耶穌在約翰福音第七章裡面祂就在這個祝彭節的最後一天是七天加一天,第八天我們剛讀完這個《尼西米記》我們看見七天祝彭節加第八天延速會我們已經解釋過延速會不是一個很好的中文翻譯延速會的原文的意思就是結束就是七天要歡樂
411.357	435.509	感謝救恩,而第八天是結束之日,要最歡樂。是大大的感恩,大大的慶祝。那在新約的時候,祝彭節就是七加一,總共八天。而耶穌在這個第八天的時候,就來到希羅亞斯這邊說,這個信我的人要從他的腹中,有怎麼樣?湧出活水的江河來。
436.783	461.656	約翰就有解釋,那是代表說,耶穌要賜下聖靈,住在我們裡面。使我們這一生,永遠有生命的這個泉源,從我們內住的聖靈裡面,就湧流出來。使我們不再乾渴,也代表神的救恩,永遠不會拋棄我們。因為救恩的泉源,聖靈好像那個救恩的泉源,
462.056	488.023	不斷的在我們裡面湧流出來。我們就永遠來喝神的救恩。那永遠就在救恩裡面,不被丟棄,也不失落。第四節,在那日,你們要說,當稱謝耶和華,求告祂的名,將祂所行的傳揚在萬民中,提說祂的名,以被尊崇。我們在解釋以賽亞書的時候也說過,以賽亞書很特別。
488.882	517.544	祂的神學非常的豐富,涵蓋很多領域。而祂也是非常獨特的一個先知書,因為以賽亞書裡面講到很多宣教的事情。這跟很多其他先知書真的不太一樣。祂講到在彌賽亞來的日子,萬國萬民都會聚集來領受彌賽亞所帶來的救恩。因此祂不斷的提醒上帝的百姓,
518.285	544.032	在彌賽亞,特別是我們都知道耶穌基督第二次再來之前,教會有一個責任,要將十字架救恩的福音要傳揚給萬民。我們不是每天在那邊混吃等死,等著上天堂而已,不。為什麼我們信了主,受洗之後,神沒有立刻把我們帶到天上去,因為我們都知道在主那邊好的無比,比在我們這裡還好。
544.872	566.052	主如果這麼愛你,為什麼沒有在你信了耶穌之後,立刻讓你離開世界,到主那裡去呢?如果主那邊真的是比較好,其實祂留我們在地上有一個目的,要我們傳揚福音的救恩給萬民。第五節,你們要向耶和華歌唱因祂所行的聖事美好。
566.732	586.634	因為神的救恩,非常的偉大,非常的美好。但願這事,傳普天下。再次講到,宣教的重要。這是以賽亞書一大的特色。第六節,錫安的居民啊,當揚聲歡呼。因為在你們中間的以色列聖者,乃為至大。
587.517	598.859	喔,這回應到以賽亞書第一章所談的,一章21節說,可嘆啊,忠信的城,竟然變成妓女,如今有兇手住在其中。
599.582	623.7	因此呢﹐是一個不潔淨的﹐這個﹐耶路撒冷。透過第六章﹐這個﹐以賽亞蒙召的時候﹐他說﹐禍災﹐我有禍了﹐因為我是嘴唇不潔淨的人﹐又住在嘴唇不潔淨的百姓當中﹐我要滅亡了﹐因此呢﹐錫安的居民﹐原本是不潔淨的百姓﹐但如今﹐因為以色列的聖者﹐在他們當中﹐
