start	end	text
4.036	5.756	弟兄姊妹平安，我們一起來思想。
5.756	21.300	但以理書第三章十九節到最後,當時尼布賈尼撒王怒氣填胸,就向撒德拉、米薩、雅伯尼哥變了臉色,敬酒不吃吃罰酒。
21.300	35.437	別人來跟我打小報告,說你們三個人不像我設立的金像, 摩拜我特別把你們三個叫來給你們最後一次機會結果你們還怎麼樣敬酒不吃吃罰酒哇!
35.437	44.582	很生氣就吩咐人把那個火窯怎麼樣燒熱而且比平常更加七倍的熱哇!
44.582	53.798	氣死喔 又吩咐他軍中的幾個壯士,把這三個人捆起來,扔在烈火的窯中。
53.798	60.261	這三個人呢,都穿著這個火很容易點著的,易燃的褲子。
60.261	66.703	內袍、外衣和別的衣服,被捆起來,扔在烈火的窯中。
66.703	73.166	又因為王的命很緊急,因為王氣得要死,說要七倍的火把他們燒死。
73.166	112.441	然後窯又甚熱, 所以呢那抬著這三個人的人那些王的仆人都被火焰燒死還沒有把這三個人燒死抬他們丟進火窯的那些人自己先被燒死你就想說火多大多熱然後呢這三個人都被捆綁著然後被丟到烈火的窯中那時尼布賈尼薩王在看的時候就非常的驚奇急忙站起來 就對那個旁邊的謀士說,我們捆起來的,扔在火裡的,不是三個人嗎?
112.441	115.683	他們回答王說,是啊,是三個人啊。
115.683	128.532	王說,不不不,你看,我看見有四個人,而且是並沒有被捆綁起來,還在火中遊行走來走去,而且也沒有受傷。
128.532	149.082	那第四個的,相貌好像是神子, 於是尼布、賈尼撒就靠近烈火的窯這個門說,至高神的仆人沙德拉、彌撒、雅伯尼哥出來,上這裡來吧。
149.082	164.225	於是他們三個就從火中出來,那些總督、欽差、巡撫和王的謀士一同聚集來看這三個人,見火, 沒有能力傷害他們的身體。
164.225	167.146	頭髮也沒有燒焦。
167.146	171.949	衣服也沒有因為火烤的緣故變色。
171.949	175.371	並也沒有火燎的氣味。
175.371	177.892	沒有那些燒焦的臭味。
177.892	183.475	但是唯一被燒壞的是捆綁他們的繩子。
183.475	185.456	尼布假尼撒就說。
185.456	189.098	撒德拉、彌撒、亞伯尼哥的神是應當稱頌的。
190.896	195.339	他差遣使者,救護倚靠他的仆人。
195.339	202.464	他們不遵王命,捨去己身,在他們神以外不肯侍奉敬拜別神。
