start	end	text
18.933	44.034	弟兄姊妹平安，我們照《每日言經》事宜的進度一起來思想。伊利米埃哥第三章二十五節到最後。凡等候耶和華,心裡尋求他的,耶和華必施恩給他。他的原文的順序是剛好相反的。原文是說,耶和華的恩典是要給哪一些人呢?是要給凡等候耶和華,而且心裡願意尋求他的。
44.394	67.544	這個對葉立民時代的人來講不容易,國破家亡,心很煩躁很痛苦,怨天尤人。通常是沒有耐心去等候耶和華,或心裡面去尋求耶和華。通常都是怨天尤人,而且還把自己的過錯都推給神,說都是神害的,都是神沒有能力保護我們。
68.677	93.689	那這樣的人就很難從神那邊得到救恩,而且也很難得到上帝的赦罪之恩和人生新的開始。不要忘記耶利米才在這個第三章的23節才說過,對於願意悔改的人,上帝會打開他心裡面的眼睛,讓他看見每一早晨都可以是新的。
94.582	120.104	雖然我們的罪與罰,帶給我們的痛苦極其的大,但如果你願意悔改歸向神,神就要打開你屬靈的眼睛,讓你看見每一早晨都可以是新的機會,讓你看見你困難很大,你捅的褸子很大,但上帝的信實慈愛更加的極其廣大。
121.527	141.562	因此二六二七這兩節,耶利米就要講有兩件事情對我們人來講,它是一件好事,但這需要屬人的眼光才看得懂它是好事。二十六節,人仰望耶和華,靜默等候他的救恩,這原是好的。
142.244	153.381	如同我們剛所說的這時候人一定是怨天尤人不會檢討自己只會把責任都怪上帝怪別人他是很難靜默下來的
153.985	183.586	但是耶利米斯說如果你願意悔改安靜到神的面前來等候神的赦罪之恩等候神的拯救跟開路這原是好的其他的都沒有出入二十七節第二件好的是什麼事呢?人在幼年復二這原是好的這節蠻出名的那我再講一次人在幼年復二這原是好的
184.906	205.551	父餓指的是以色列人所養的動物,牛、驢。他們的主人會在他們的脖子、背脊上面,放下那個餓,就是那個木架。然後套在脖子上面,肩膀上面,讓他們可以拉車,或是離田之類的。
206.852	231.373	但是對於這些牛啊、驢啊,他們小時候,他們還不習慣去套上這個惡的時候,這個他們就不願意,所以他們會被管教,被管教之後,他們才願意順服,然後願意套上這個惡,他才能夠去做重要的事情。所以呢,二七節他意思是說,我們的生命旅程裡面,
231.954	257.81	過去曾經犯過錯,得罪神,但後來願意認罪,回轉,歸向神。那就是以前所發生的事情。所以這邊講叫做幼年,指的就是說我們人生前面那個階段,犯錯但願意悔改,不再怨天尤人。那這樣的人,他的生命就可以重新來過,他就可以體會到葉利尼所說的,
258.729	278.303	每早晨都可以是新的。所以人在幼年復二這原是好的這句話你要去理解他不是說你以前年輕曾經吃過苦曾經體會過人世間的苦難這對你是好的不是這樣解釋的而是你曾經
279.224	289.262	接受過神的管教使你跌倒願意被神扶持站起來使你原本是悖逆神的如今願意受教
290.179	314.46	而附上神給你的惡,你就可以成為神所使用的器皿。所以,人在幼年復惡,這原是好的是說,你曾經犯過錯,犯過罪,但你悔改,接受了赦罪之恩,靠著主,不再犯那個罪,不再犯那個錯,使你生命從年幼到成熟。這個才是這句話原本的意思。
315.401	345.096	二十八節他當獨作無言因為這是耶和華加在他身上的對於已經闖禍犯罪的人他悔改的時候他要自己安靜的獨作無言他要明白這一切是耶和華加在他生命中的管教他當口貼塵埃或者有指望不要嘴巴一直碎碎念埋怨神埋怨人那個沒有任何幫助
