start	end	text
4.428	29.5	弟兄姊妹平安，我們一起來思想耶利米書第二章第二十節到最後。耶利米蒙昭作先知的時代是亞數帝國衰弱甚至瓦解的時代這是一個重新洗牌的時代是一個解構的時代也是一個重新建造的時代當大的國家想要來搶奪亞數帝國
30.896	42.718	瓦解之後的霸權。小的國家去思想怎麼樣在新的國際局勢裡面找到一個對自己有利的地位。大家摩拳擦掌。
43.626	68.359	而這個猶大這個國家的國王約西亞。想要帶領百姓在這個危機也是轉機的年代。帶領百姓重新來歸向耶和華。因此就進行了宗教改革運動。約西亞認為這才是國家長治久安之道。但百姓很顯然都是陽奉陰違。因此神就在這個時候就揀選了耶利米。
69.019	96.882	來對百姓做先知﹐對他們來說話﹐規勸他們﹐並且指出他們的這個陽奉陰違的詭詐。因此的葉利敏的蒙昭做先知﹐他的主要任務就是宣告﹐在這一個解構的年代﹐在這一個重建秩序的年代﹐大家摩拳擦掌﹐但是大家不知道一件事情﹐就是這是上帝拆毀列國列邦的年代﹐
97.483	111.805	也是上帝要重建祂在列邦列國裡面的旨意的年代。因此祂就立了耶利米作列國的先知,把祂立在列國列邦之上,
112.961	139.796	讓他做上帝的代言人,向列國列邦宣告上帝,如同在一章十節所說的,我今日立你在列邦列國之上,未要施行拔出、拆毀、毀壞、傾覆,又要建立、栽植的這樣的一個旨意。那我們就繼續來看一下以色列這個部分,在第二章的一開頭,耶和華透過耶利米就用
140.316	164.794	年幼的婚姻之恩愛,來幫助百姓回想,當初是怎麼樣帶領你們出埃及,進入曠野,後來讓你們進入應許之地。我們是立過約的,而以前你們也是委身於我,被我分別為聖。如今為何離棄我呢?我到底做了什麼事情不對,讓你們離棄我呢?
166.101	193.393	你們為什麼離開我這個﹐這個﹐活水的泉源﹐自己去挖沼、池子、儲水﹐而這個池子是會漏水的。你們急急盈盈﹐想要為自己在這一個﹐危機也是轉機的混亂的時代裡面﹐為自己謀求更大的利益﹐卻為什麼從來不歸向我﹐讓我帶領你們呢?因此我們在20節繼續往下看。20節﹐我在古時﹐折斷你們的惡﹐
194.462	217.006	解開你的繩索,你說,我必不侍奉耶和華,因為你在各高崗上或青翠樹下屈身行淫。然而我在你是上等的葡萄樹,全然是真種子,你怎麼向我變為外邦葡萄樹的壞之子呢?
218.319	246.221	你雖用繭,多用肥皂洗濁,你罪孽的痕跡,仍然在我面前顯出。這是主耶和華說的。在二十節這個地方,耶和華再次重複第一節所說的,讓他們去回想,以前神怎麼樣使你們不再做奴隸,離開埃及,折斷你的惡,解開你的繩索,你們以前也歸我分別為聖,
247.415	248.684	那你們如今為什麼?
249.206	277.825	就竟然說﹐你們不要侍奉耶和華﹐而且你們就是去拜偶像﹐在各個高崗上﹐在清脆樹下﹐屈身與偶像行淫。我明明栽種你們的時候﹐是希望你們成為上等的葡萄樹﹐栽種你們所用的種子﹐也都是用純種的種子﹐如今你們卻變成﹐外邦葡萄樹的壞之子。你們這一切的所作所為﹐所犯的罪孽﹐
278.746	295.804	雖然你用各種的詭詐在我面前掩飾,好像用肥皂把你身上的汙穢怎麼洗,你怎麼洗,你罪孽的痕跡都洗不掉的。二十三節,你怎能說我沒有玷汙,沒有隨從重巴力呢?
296.903	324.07	你看你古中的道路,就知道你所行的如何。你是快行的,獨風駝,狂奔亂走。你又是野驢,貫在曠野,欲心發動,就西風。啟興的時候,誰能使他轉去呢?凡尋找他的,必不至疲乏。在他的月份,必能尋見。我說,
324.65	352.879	你不要使腳上無邪,喉嚨乾渴。你倒說,這是恍然。我喜愛別人,我必隨從他們。二三節,耶華說,你們這些百姓,明明就不斷的與偶像行淫離開我,卻對我虛情假意,還說你們沒有玷汙,沒有隨從重巴力。上帝就用兩種動物來形容他們的行為,
353.319	377.688	第一個說他們是駱駝,是在山谷道路中自己胡亂的狂奔亂走的,不去走應當走的路,反而是像無頭蒼蠅一樣,一下子去找埃及幫忙,一下子去找巴比倫幫忙,無頭蒼蠅。第二個你們像發情的野驢,發情的野驢欲心發動,
378.268	394.64	就到處吸風,在風的空氣氛圍中,去聞有沒有這個其他公驢發情的這個味道。然後呢,聞到了就趕快去找他,要找到你們這些發情的母驢。
395.401	414.295	在你們發情的月份,很容易找到的。所以呢,你們就像無頭蒼蠅的駱駝,到處亂跑亂走,一回找埃及,一回找巴比倫幫忙,都不會來找我。你們就像發情的野驢,到處尋找你們的拼頭。
415.196	433.262	然後25節,我對你們說,你們不要使腳上無邪。就是說,駱駝啊,你不要腳上光著腳,駱駝的腳上沒有保護措施,牠的路是走不遠的。你不要像野驢一樣,到處亂跑以至於喉嚨乾渴,你會死在曠野。你們倒說,
433.882	449.953	不要對我說這些話,沒有用的,這是枉然,我就是喜愛別神,我就是要隨從他們。26節,賊被捉拿,怎樣羞愧?以色列家和他們的君王首領祭司先知,也都照樣羞愧。
450.674	475.634	怎麼說呢?人贓俱獲,賊被捉拿,他就羞愧。而你們這些以色列的君王首領,祭司先知,明明被我抓到了,你們還在牆邊。你們所做的,就像二十七節。他們向木頭說,你是我的父。向石頭說,你是生我的。他們以背向我,不以面向我。
476.237	504.565	他們就是調轉他們的遠離我,去尋找偶像。即至遭遇患難的時候卻說,起來拯救我們。他們就是像神這樣,平常都是根本心中都去跟隨那些邪惡的事情。但是呢,遭患難的時候,就回來哀求耶和華救他們。二十八節,你為自己做的神在哪裡呢?
505.35	532.42	你遭遇患難的時候,叫他們起來拯救你吧。猶大,你神的樹木與你成的樹木相等。耶和華說,你們為何與我爭辯呢?你們都違背了我。我責打你們的兒女是突然的。他們根本不受懲治。你們自己的刀吞滅了你們的先知,好像殘害的獅子。
533.217	558.816	耶和華說,你們所敬拜的神的偶像的數目,跟你們的承持的數目一樣的多。我不斷的管教你們的兒女,根本就沒有用。你們打不怕,你們罵也不會有感覺。甚至把我派去勸誡你們的先知都殺了。三十一節,這世代的人啊,你們要看明耶和華的話。
559.753	570.612	我豈向以色列作曠野呢?或作幽暗之地呢?我的百姓為何說,我們脫離約束,再不歸向你了呢?
571.937	598.44	耶和華說,難道我就這麼的可怕,這麼的糟,這麼讓你們討厭,彷彿對你們來講我是曠野,是幽暗之地,你們巴不得脫離我的約束,不要歸向我。三十二節,我對你們不是曠野,不是幽暗之地,不是讓你們覺得討厭的。三十二節,我應該是如同什麼?處女豈能忘記她的裝飾呢?
599.121	607.291	心腹豈能忘記祂的美衣呢?我的百姓卻忘記了我無數的日子。
608.422	637.464	耶和華再一次勸百姓回頭回想以前當初我們的恩愛回想當初救你們脫離埃及不再當奴隸的時候我們的關係是立約的關係處女怎麼能夠忘記使她漂亮的裝飾而新娘怎麼能夠忘記她美麗的衣服呢而神的百姓卻忘記了耶和華他無數美好的日子
638.217	662.883	33節,你怎樣修飾你的道路,要求愛情呢?就是惡劣的婦人,你也叫他們行你的路。33節的翻譯,再調整一下就會更容易明白。他說,他的意思是,你好會修飾你的道路,來追求愛情啊。你就像發情的母野驢一樣,
663.899	680.374	就算是長得再糟糕的婦人,再怎麼樣難看不起眼的婦人,他們也能夠從你們這些的行為上來學習追求愛情,這是一個諷刺。
681.135	703.898	就是你們厚顏無恥到一個地步,像發情的母野驢一樣,去找你們的拼頭、偶像、外邦的這個權勢,去追求你們的愛情,而忘記了與我的愛情。並且你的衣襟上有無辜窮人的血,你殺他們並不是遇見他們挖窟窿,
705.009	722.317	乃是因這一切的事。什麼意思呢?你身上有流無辜人的血,並不是因為他們做賊被你逮住,你失手殺了他,失手殺了賊。你殺無辜窮人的血,就只是因為他們是無辜的窮人。
723.114	743.105	你還說我無辜,耶和華的怒氣必定向我消了。哇,真的是太無恥了。看啊,我必審問你,因為你自己說我沒有犯罪。你為何東跑西奔,要更換你的道路呢?你必因埃及蒙羞。
743.746	770.368	像從前因亞述蒙修一樣，你也必兩手抱頭從埃及出來，因為耶和華已經棄絕你所倚靠的，你必不因他們，就是因埃及得順利。我們一起低頭來禱告。主啊求禰恩待我們使我們常常回想起主我們以前認識禰的時候禰如何拯救了我們
770.794	800.514	我們如何委身於禰,我們與禰的關係何等的甘甜。但是主啊,我們常常在信仰的道路上離棄禰,求主憐憫幫助我們,使我們迴轉歸向禰。主啊,使我們不成為一個好像發情的母野驢一樣,到處尋求那不是幫助的幫助,那使我們羞愧的幫助。主啊,求禰憐憫與我們同在,奉主耶穌的名禱告。阿們。願神祝福大家。
800.794	800.896	繁體中文，
