start	end	text
4.036	23.886	弟兄姊妹平安，我們一起來思想耶利米書十九章一節到二十章的第六節。在十八章的時候,耶和華吩咐耶利米到姚將那裡去。十九章呢,他又第二次吩咐他到姚將那裡去。發生什麼事呢?我們來往下看。十九章第一節。
25.282	51.125	耶和華如此說你去買窯匠的瓦瓶又帶百姓中的長老和祭司中的長老出去到新嫩子谷哈爾西哈爾西的意思就是瓦片的門口那裡宣告我所吩咐你的話說猶大君王和耶路撒冷的居民啊當聽耶和華的話
51.937	75.705	萬君之耶和華以色列的神如此說,我必使災禍臨到這地方,凡聽見的人都必耳鳴。因為他們和他們的獵主,並猶大君王離棄我,將這地方看為平常,在這裡向恕不認識的別神燒香,又使這地方滿了無辜人的血。
76.237	92.254	又見足巴力的秋壇,好在火中焚燒自己的兒子,作為繁祭,繁祭就是把那個祭物全部燒光,獻給巴力。這不是我所吩咐的,不是我所提說的,也不是我心所起的意。
93.541	117.747	耶和華說,因此,日子將到,這地方不再稱為脫斐特和新嫩子谷,反倒稱為殺戮谷。18章的時候,耶利米到窯匠那裡去,他看見窯匠在做這個瓦器,但是做得不滿意,所以他把手中那塊泥又重新做別的器皿。
118.643	144.284	耶和華就對他說﹖我的意思是什麼?就是我原本如果準備要拆毀拔除要審判列國列邦其中任何一個國家但是如果他們轉譯悔改那我也會後悔不將這個災施行給他們而如果我本來要祝福或是建立災執
144.991	171.745	列國列邦中的一個國家當然包含猶大但是呢他們在我面前去做惡事那我就會後悔不將原本要賜給他們的福賜給他們所以你要告訴百姓我要審判他們了他們趕快悔改不然審判就真的會臨到因為我的本意是要祝福他們但他們卻不要祝福卻要審判但是百姓的回答就是NO
173.456	196.312	不會有這種事情的。我們要繼續作惡。因此十九章,耶和華就會叫耶利米,就再一次一次搖降那裡。然後呢,他到那個地方叫做瓦片門。瓦片的意思就是瓦器被摔破、被摔碎,成為沒有用的垃圾。瓦片被摔碎無法再組合回去,成為有用的器皿。
197.227	214.347	然後新嫩子骨這個地方就是燒垃圾的地方那之前在第七章的後半段約立敏在那邊宣講了一個很重要的審判信息叫做殺戮骨的信息要將新嫩子骨以後會變成殺戮骨
215.23	240.995	因為以後在這邊所盜的不再是垃圾。因為新任子谷是燒垃圾的地方。以後在這邊不再盜垃圾是在盜很多的什麼?屍首。因為屍體太多無處埋葬。代表審判一定會來到。包含因為在這個地方呢。駝斐特的意思就是火窯。或是火在燃燒的地方。他們在這邊包含以前的壞王馬拿西。
241.783	264.333	很多猶太人在這邊怎麼樣?燒自己的兒子,金火燒兒子,獻給假神。因此呢,神呢就是要執行祂的審判。第七節,我必在這地方使猶大和耶路撒冷的計謀落空。猶大的計謀是什麼?不依靠神,去依靠假神。
265.333	293.932	也去依靠這些埃及啊。巴比倫啊。就是不來依靠神。他們認為自己的計謀很聰明。在強權國際的政治當中。小國可以用自己的計謀。找到生存的空間。但他們從來不要來尋求神。計謀落空。落空這個字。跟瓦平這個字。音很像。因此這是一個雙關語。神讓他帶瓦平來。就是說你們的計謀會落空。
294.923	314.511	也必使他們在仇敵面前倒於刀下,並尋索其命的人手下。他們的屍首,我必給空中的飛鳥和地上的野獸作食物。我必使這城令人驚駭恥笑,凡經過的人必因這城所遭的災驚駭恥笑。
315.452	342.379	包含來攻打他們的人,以及事後看見這邊成為廢墟的人,他們都會恥笑,這個城怎麼會變成這麼淒慘的下場,到底他們發生了什麼事呢?怎麼會這麼慘?第九節,我必使他們在圍困窘迫之中,就是仇敵和尋索其命的人窘迫他們的時候,哇,好淒慘,個人吃自己兒女的肉和朋友的肉。
343.848	366.302	第十節,你要在同去的人眼前,就是那些民宗的長老、祭司的長老,他們一起到了新嫩子谷的地方,打碎這個瓶子。然後呢,對他們說,萬君之耶和華如此說,我要照樣打碎這個民跟這個城,正如人打碎窯匠的瓦器。
366.971	388.411	以致不能再胡倫。不能再胡倫就是無法再修復了。就沒有用變成垃圾了。其實意思也是很諷刺。你們把耶和華拋棄。像把耶和華當垃圾一樣拋棄。因此你們在耶和華面前也成為無用的器皿。好像摔碎的瓦器。耶和華也要把你們當垃圾拋棄。
