start	end	text
4.036	72.636	弟兄姊妹平安，我們一起來思想耶利米蘇二十七章第一節由大王約西亞的兒子約亞進小字瓜胡約亞進是西底嘉的別名登基的時候有這話從耶和華連到耶利米蘇有關於這二十七章的年代引起的爭議 因為在二十七章第一節說是約亞進登基的時候那他跟二十六章前一章的第一節是一模一樣的話都是約亞進登基的時候但是呢二十七章的內容呢卻很明顯是針對西底加所說的所以呢在和合本裡面二十七章第一節他就用瓜胡來解決這個問題說約亞進是西底加的別名 但是呢如果我們看下一章28章的時候28章第一節說當年就是猶大王西底嘉登基第四年五月然後信息如下 二十八章的第一節當年,它原文是同一年。
72.636	82.739	所以呢,現在大部分的學者比較支持二十七章的第一節,它是誤植了二十六章第一節的經文。
82.739	90.721	所以比較傾向二十七章跟二十八章是同一個時候,就是西底加王作王第四年的時候。
91.766	94.327	那我們來看一下第二節信息的內容。
94.327	131.176	耶和華對我如此說,你做繩索和鱷,加在自己的景象上,借那些來到耶路撒冷盡猶大王西底加的使臣之手,把這些繩索跟鱷分別送到以東王、摩押王、雅門王、推羅王、西頓王那裡,並且囑咐使臣傳予他們的主人說, 萬君之耶和華ﷺ以色列的神如此說,我用大能和生出來的榜幣,創造了大地和地上的人民牲畜。
131.176	136.477	我看給誰相宜,就把地給誰。
136.477	144.199	第六節,現在我將這些地都交給我的僕人,巴比倫王尼布賈尼薩的手。
144.199	164.739	我也將田野的走獸給他使用, 第七節列國都必服侍他和他的兒孫直到他指的是尼布賈尼薩本國遭暴的日期來到那時多國和大君王要使他做他們的奴僕。
164.739	184.383	如果時間是西底加王第四年的話那就是祖前594年而這個在前幾個月在巴比倫地區有政變發生 因此很多中東的小國家就認為尼布賈尼薩可能會垮臺。
184.383	195.254	因此他們就聚集在這個耶路撒冷要一起來慫恿由大王西底加一起準備要圖謀反叛尼布賈尼薩。
199.445	204.809	在這個時候耶利米就從耶和華領受了信息。
204.809	210.274	這個信息就是在自己的脖子上套上了鱷跟繩索,代表就是囚犯。
210.274	219.481	這個信息主要就是說,耶和華已經將這個地全部都交給了尼布賈尼撒,這是出於神的旨意。
219.481	223.685	那大家就服從耶和華對你們驕傲的管教。
225.247	230.130	服從尼布賈尼撒就是服從上帝對你們之前驕傲的管教。
230.130	238.716	你們只要服從這個管教,在神面前謙卑悔改,神也會把復興領到你們的國家。
238.716	245.240	不僅是這地要給尼布賈尼撒,連這地的走獸,走獸哪分得出誰是誰?
245.240	256.688	但是好像連走獸都知道,野獸都知道, 這個上帝把這個大權交給尼布賈尼撒說連野獸都明白了難道你們不明白嗎?
256.688	266.876	所以要這些使臣們回去把這個繼續投降的信息臣服於巴比倫的信息帶回去給你們國家的國王。
266.876	280.536	第八節這個先知繼續對列國的使者說話 無論哪一邦哪一國﹐不肯服侍這巴比倫王尼布賈尼薩﹐也不把景象放在巴比倫王的惡下面的。
280.536	288.822	我必用刀劍饑荒﹐瘟疫刑罰那邦﹐直到我藉巴比倫王的手將他們毀滅。
288.822	290.363	這是耶和華說的。
290.363	334.126	至於你們﹐就是列國的使者要告訴你們的國王﹐不可聽從你們的先知和占卜的﹐圓夢的、觀照的﹐以及行邪術的﹐ 巴比倫今傳政變 局勢看起來還不是很明朗。
334.126	347.674	因此呢,各個國家裡面的宗教的假先知、占卜的、關照的,紛紛對他們的國王和百姓說,巴比倫要垮臺了,因此我們可以起來搞獨立搞革命了。
348.234	410.375	那耶利米代表耶和華來做這個列國的先知對他們說不要聽你們每個國家的假先知和占卜的對你們所說的話這是出於神神要使用巴比倫管教列邦列國使你們都可以悔改在神面前不要驕傲 那如果你們呢不願意臣服於祂的話呢祂就會把你們國家整個滅掉把你們的百姓遷移到遠方的地方去喔但是十一節如果你願意來順服神給你這個管教然後呢你仍然可以留在你自己的城市裡面耕種居住這是耶和華所說的那第十二節耶利米就轉過來對本國猶大來說話我就照這一切的話 對猶大王西底加說,要把你們的景象放在巴比倫王的惡下面,服侍他和他的百姓,便得存活。
410.375	421.323	你和你的百姓為何要因刀劍饑荒瘟疫死亡,正如耶和華論到不服侍巴比倫王的那國說的話呢?
421.323	427.648	不可聽那些先知對你們所說的話,他們說你們不致服侍巴比倫王。
428.677	431.380	其實他們向你們說假預言。
431.380	436.787	耶和華說,我並沒有打發他們,他們卻託我的名說假預言。
436.787	444.177	好使我將你們和向你們說假預言的那些先知趕出去一同滅亡。
