start	end	text
8.558	25.224	我是去年八月份因為工作的關係才到臺灣這邊來的。
25.224	28.645	之前我小時候多數時間在北京住過。
30.725	32.946	前年吧,大概是。
32.946	42.290	那時候他在北京那邊出差比較久,大概有一年多時間在那邊工作,所以我們才認識了。
42.290	51.954	他給我感覺這個人蠻真實的,說什麼無論說話和做事都是表現出一種從裡面來的真誠。
51.954	60.058	你會覺得他不會有任何東西是瞞著你的,就是沒有任何的心機,沒有任何讓你覺得不安的東西,就很平安在一起。
61.630	74.238	所以說,再加上其實我小時候對基督教這個基督信仰就很有興趣,但我沒有真正接觸過。
74.238	79.321	所以我想來看一下應該也不是壞事。
79.321	81.963	我想這其實就是主的一個很好的安排。
82.978	90.282	因為一過來以後就能夠和教會的兄弟姊妹在一起,所以完全沒有覺得那種身在异鄉,覺得很孤單。
90.282	96.946	相反不是這樣的,我覺得我只是從我的故鄉搬到了我的另一個家裏。
96.946	106.671	儘管很遠離家裏人,或者說跟熟悉的環境還是不同,但是在這邊還真是生活得還很不錯,感謝主。
114.974	118.817	我這個人有時候對同事的要求還蠻嚴格的。
118.817	121.699	但是我的表達方式並不好。
121.699	124.421	就顯得很驕傲。
124.421	128.064	會其實讓大家覺得並不舒服。
128.064	129.726	其實我知道那是不好的。
129.726	132.448	但是我從來沒有正視過這一點。
132.448	136.151	我覺得那時候耶穌說的一些話讓我非常感動。
136.151	149.025	是說,如果你想做一個 做眾人中的頭的話,你應該謙卑下來服侍每個人,而不是希望別人都聽從你。
149.025	181.951	那段時間,正好工作上有一些不順利的時候,而且逐漸很奇妙的事情,在此之前我也知道自己性格中的一些缺點,可是我自己並不能克服它,但是那個時候我就試著去向耶穌來禱告, 但是很神奇,就是禱告之後就發現,居然至少我可以勇敢去面對這一切了。
181.951	186.914	總之我們是在做,確實在做結婚的打算和準備了。
186.914	191.757	而且何況還是異國,離很遠,所以肯定是很有挑戰的事情。
193.746	198.971	他的母親是一個非常好的,是一個非常好的母親。
198.971	206.899	但是他的家庭中,他的父親就會顯得不是一個讓他們覺得很好的這樣一個角色。
206.899	209.301	所以說他有些時候還是蠻擔心的。
209.301	216.868	比如說會擔心我將來是不是能夠一直照顧他,能夠跟他一直能夠有很好的關係呢?
216.868	217.929	這會是一個問題。
218.490	229.615	但是,而且很多時候我會發現,我無論怎樣去關心他,去愛他,都不能很徹底地,這不是一個人能解決的問題。
229.615	234.057	我想至少神是一定要我來很用心地照顧他的。
234.057	246.683	我只有懇求神能夠不斷地讓我能夠更好地來愛他,能夠更好地承擔起照顧家庭的責任。
253.507	265.771	有一次我回家以後,爸爸就問我說,如果你娶一個臺灣姑娘做你的妻子的話,她將來會不會跟著你到你要去的地方呢?
265.771	268.212	這個問題我確實當時有一點擔憂。
268.212	276.074	然後我就對神祷告,懇求祂告訴我我應該怎麼做。
276.074	295.025	結果就在差不多過了沒多久, 我和女朋友通電話的時候,她就跟我說,她的媽媽跟她講說,將來無論你的丈夫去哪裡,你都應該和他能夠在一起,總之能夠彼此互相關心,能夠總在一起。
295.025	304.131	然後她說,她雖然覺得會有一些挑戰,可是她覺得她會按照聖經上說的去做。
304.131	305.212	這個我覺得好感動。
309.002	310.683	我的女朋友真的很好。
310.683	325.314	雖然她過去她的生活中也會遇到一些舊的生活給她留下的一些不好的回憶或者一些擔憂,可是她也能夠藉著神的幫助能夠很勇敢地去面對。
325.314	329.357	所以我覺得我們的將來應該是很可以期待的。
329.357	329.717	感謝主。
