start	end	text
1.817	3.578	知識就是力量。
3.578	5.580	學習就是成長。
5.580	8.462	我是神學工作者林宏信。
8.462	10.344	這裡是知識健身房。
14.940	19.962	我們鍛鍊的不是muscle,我們鍛鍊的是yata。
19.962	22.122	yata是希伯來文,認識。
22.122	29.465	這不是一般的認識,是必須藉由生命投入才能明白的知識。
29.465	42.169	我們非常歡迎大家一起來知識健身房KG,與我們一起經歷yata的成長,讓我們更多認識上帝,認識自己。
51.101	57.126	曾經我還沒信耶穌的時候,我曾經講過一次,我五十歲要殺漢人。
57.126	64.312	以前我在部署的時候,都是這些漢人,那些人欺負我,打我這樣。
64.312	68.875	那時候我一直在當兵的時候,我那個想法是,我一定要出草這樣。
68.875	73.839	結果,那個信了耶穌之後呢,那個都沒有念頭。
73.839	79.424	現在本來要殺人,現在不是,現在要愛先進,愛先進要先拯救人。
80.657	89.784	各位線上親愛的朋友們,晚安。
89.784	93.086	我是神學工作者林鴻信。
93.086	96.829	知識就是力量,學習就是成長。
96.829	101.352	這裡是知識健身房KG Knowledge Gym。
101.352	107.997	我們來介紹今天晚上的貴賓,林慶臺牧師,Nalai Biho,歡迎。
111.084	114.028	大家好,好久不見了。
114.028	120.077	今天有這個時間跟大家聊聊我們的生命經歷。
122.244	124.665	林靜蕾牧師有兩個身分。
124.665	127.746	一個是假的摩納魯道。
127.746	129.406	另外一個是真的。
129.406	134.607	今天來到這裡是真的Norai Biho牧師。
134.607	138.829	首先我想可不可以請牧師簡單介紹一下你是誰。
138.829	142.290	因為剛剛我們聽不到聲音那個短片。
142.290	146.751	是你在講年輕的時候你很憤怒你要出草。
146.751	147.151	為什麼呢?
149.258	156.501	首先我先介紹一下我是臺亞族,宜蘭縣南澳鄉人。
156.501	160.623	我的特性是一個兇狠的男人。
160.623	161.264	怎麼講呢?
161.264	167.186	因為實際上我的成長過程大概比較悲哀。
167.186	173.549	大概五歲父親就過世,然後寄養在外公的家裡。
174.957	182.381	一路成長其實在不同的文化跟一個社會結構。
182.381	193.586	比方我講是說我們活在這個國民政府來了以後,大概就是我們完全都是依照國民政府的制度。
193.586	195.407	就因為是這樣,因為我是泰雅族。
195.947	212.742	在讀書的時候大概就是要講國語,然後學習很多有關於我們所不認識的,比方是說很多的這些生活層面都要被改變。
213.302	220.224	當然對我們來講﹐我們是沒有辦法接受﹐所以一路上走過去的時候﹐大概就很多的阻礙。
220.224	229.447	國小就經常都被老師打﹐然後也被同學欺負﹐國中又有種族歧視。
229.787	235.014	這一類就大概全部都加起來。
235.014	241.924	所以一路成長,大概到國中畢業的時候,滿身大概都是傷痕累累的。
241.924	243.446	所以為什麼會那麼憤怒?
243.446	259.552	大概也因此就是, 被羈押太多了,所以一路成長到了當兵之前,就很想做摩納魯道,就是開始做粗糙的那個舉動出來。
259.552	264.154	所以大概就是這樣了。
265.794	275.619	因為知道你在被欺負,特別當時我們整個臺灣對原住民忽略的特別嚴重。
275.619	283.583	也可以想像在那樣的痛苦裡面,我記得你說過你事實上曾經比莫納魯道還莫納魯道。
285.572	288.673	不過因為後來知道你會做牧師。
288.673	291.253	然後跟你交談才知道。
291.253	295.234	你的父親是一個非常偉大的達漾牧師。
295.234	296.675	林萬福牧師。
296.675	301.156	他是達漾地區最早的宣教拓荒者。
301.156	303.576	是跟著孫雅各院長。
303.576	305.037	臺灣神學院院長。
305.037	307.257	一起開拓的。
307.257	308.938	嚴格來講他就是個大弟子。
309.838	315.166	那在他也要有地區﹐很多人的信主﹐很多教會的建議都跟他有關。
315.166	319.752	從南奧一直到大同﹐特別在東岸這一塊。
319.752	324.299	所以當我知道你父親是林萬甫牧師﹐我嚇一跳啊。
324.299	328.604	因為﹐ 這麼辛苦的牧師。
328.604	332.769	因為他後來年紀也相對的年輕就死了。
332.769	335.873	那你在這樣的一個環境長大。
335.873	338.876	你知道做牧者的辛苦。
338.876	340.418	那你為什麼還當牧師啊?
343.319	346.342	當然這個是有很大的因素。
346.342	350.366	因為我大概五歲父親就過世了。
350.366	353.669	那我寄養在外公外婆的家裡。
353.669	357.172	從小五歲一直到成長。
357.172	362.237	幾乎跟外婆外公生活大概有二十年之久了。
362.978	411.474	所以我的生活習俗習慣大概都是外公傳授給我的純泰雅的一些就是整個生活的這些層面那當然為什麼會落差那麼多就是因為實際上我父親過世以後就沒有在我都沒有看到他也沒有他也沒有照顧我 所以落差在這個地方就是因為我開始步入到這個什麼就學的機會的時候那當然那我剛剛也說到就是說因為實際上碰到那樣的生活狀態那導致我整個生活層面上面出了很多的變化 所以那生活成長過程就不是很好。
411.474	426.928	所以為什麼跟父親,因為其實我到了大概快要十七歲的時候,我媽媽就跟我講,就是爸爸過去這個開脫荒的這個什麼。
427.108	428.769	所以我才知道我爸爸是牧師。
428.769	431.171	所以為什麼落差那麼大。
431.171	435.214	因為我真的實際上不知道是這個關係。
435.214	438.837	那當然就是一路成長就是這樣被欺負以後。
438.837	442.139	那心中充滿著壓抑。
442.139	446.642	就開始有很多負面的想法。
446.642	451.086	所以就開始大概應該在國中畢業就開始酗酒了。
452.927	471.848	因為為什麼會酗酒,成長過程被人家欺負了以後,那我想是說十幾歲了,大概我想那個生活的狀態可能不是很好,就開始往後面去想,甚至也自殘了,想自殺,其實自殺也很多次了。
472.449	505.310	那因為是這個樣子那真正的讓我非常遺憾就是就是我已經喝酒已經喝了習慣習慣了之後大概在26歲你看這個時間喝了那麼多的酒大概就胃出水了身體病變就很多所以變成在最後的那一刻要麵臨死掉的那時候姐姐就告訴我是說 你只有去教會﹐認識耶穌﹑信上帝﹐你才有希望這樣。
505.310	557.403	那其實我﹐我對教會都很陌生﹐我根本不知道什麼叫教會﹐所以我哥哥跟我講﹐我姊姊跟我講說﹐你非得要去﹐那因為實際上﹐我身體的病變這麼痛苦﹐我必須要有一個選擇啦﹐那去聽姊姊講說﹐好啦那我去教會看看﹐ 我去教會大概去了大概兩三個禮拜的時候我還真的發現說這個教會的生活狀態是不一樣的因為那時候有很多傳統的老人有沒有就是那些年長的特別關心其實以前我們在部落我們是最壞的大家都知道我們是最壞的可是我去教會的時候那個大家的那些那個看法跟關懷好像就不一樣對我來講那是一個 怎麼講就是說,會覺得說怎麼會這樣。
557.403	576.999	那慢慢的進入到教會,時間久了以後,那跟牧師還有所有的這些基東姊妹,大家生活在一起的時候,那有一天牧師就跟我講說,是不是希望我去那個,我去那個什麼讀神學院。
576.999	610.185	所以我去了讀神學院,哇,才知道, 我所有的一切大概都是在神學院重新振作自己然後其實給我很大的鼓勵就是上帝的話所以這個部分我想是說就慢慢後續在我整個人生的轉折上面就得到一個很好的扶持 這是我們聽到李牧師他所分享他的一個重大的人生的轉變。
610.185	612.065	對不起,我稍微中斷一下。
612.065	615.926	我們今天有舉辦有獎徵答。
615.926	620.408	第一題,林慶臺最擅長的是哪一種運動?
620.408	624.529	答案,棒球。
624.529	627.070	其實剛剛才知道籃球也非常好。
629.189	632.872	第二題,林靜臺是哪一族?
632.872	635.874	泰雅族,這個大概不會錯。
635.874	640.017	第三題,莫納魯道是哪一族呢?
640.017	642.699	賽德克族。
642.699	659.141	德江則兩位,第一位陳惠君, 我們恭喜第二位蕭正義。
659.141	663.546	恭喜你,恭喜你們兩位。
663.546	666.369	接著我們就繼續來進行我們的訪談。
