start	end	text
0.009	4.031	知識就是力量,學習就是成長。
4.031	6.633	這裡是KG納光。
6.633	10.855	納光是真光,照亮一切生在世上的人。
10.855	16.478	請給我們17分鐘,神學騎士為你講道,開啟亮光。
16.478	22.962	你的言語一解開,就發出亮光,讓我們迎向真光照耀。
28.865	55.615	講到基督徒好像很多人就想到我們偽善從歷史的角度我們來看基督徒跟偽善好像這個關係是密不可分是個常態現象所以今天跟大家講一個很短的故事希望很短就是講到宗教改革傳統以來敬錢的代表就是清教徒大概是很著名的清教徒就是以敬錢著稱的一幫人 那他們有沒有偽善的問題?
55.615	64.548	就跟大家講一個小故事,在十七世紀,有一個很著名的清教徒的牧者叫John Davenport,我們叫達文波特。
64.548	78.979	他呢,是一個很標準大家心目中想像的清教徒,就是那一批, 17世紀,因為當時對英格蘭的宗教政策不滿,在當局緊迫盯人的情況下,決定離開英格蘭。
78.979	81.160	他是本來在倫敦募會。
81.160	91.045	離開倫敦,先到了荷蘭,然後轉轉到新英格蘭,就到北美新英格蘭那邊,去建立一個自己心目中, 理想的教會。
91.045	94.206	達文波特後來就在一個地方叫做New Haven,紐哈芬。
94.206	97.748	大家如果現在知道的話,是耶魯大學的所在地。
97.748	108.612	就是以這個New Haven第一代的殖民者,第一代的在那邊的牧者,最有名的New Haven的牧者,文明。
108.612	113.875	1638到68年,30年的時間,達文波特在紐哈芬做牧者。
114.735	123.805	這些跨洋到了新英格蘭的清教徒,背負著怎樣的社會地位跟期待?
123.805	130.412	大家可能有一點點感受,可能聽過,他們有一個好名聲,追求信仰。
131.817	134.099	追求敬虔的好名聲。
134.099	138.523	離開故鄉,飄洋過海,出於信仰的緣故。
138.523	149.093	其實很多當時的人,不管認不認同清教徒的神學,清教徒對於教會治理,對於禮儀的概念,但不懷疑他們對信仰很堅持。
149.093	150.854	所以取名叫清教徒。
150.854	154.498	清教徒是個貶義詞,說他們自以為自己很清高。
155.759	164.589	所以他們拋下故鄉豐富的生活,對於達文波特來說是一個很好的倫敦的一個牧區,一個教會。
164.589	172.498	脫離自己的舒適圈,就去為了打造一個他們心目中更純淨的、理想的社會跟教會。
174.053	203.370	所以像達文波特這樣的領袖更是許多氣味相同神學立場接近的基督徒的一個道德模範一個屬靈的榜樣但是這個達文波特這個新英格蘭殖民的大佬清教徒的領袖在晚年出了一個大醜聞1668年的時候這當時的達文波特已經71歲了 他已經在紐哈芬服侍了30年的時間,自己打造的教會。
203.370	212.554	當時他收到了一封,從波士頓第一教會,波士頓有不止一個教會,當時取名比較沒有創意,第一教會,第二教會。
212.554	217.997	第一教會寄信給他所在的地方,紐哈芬,邀請他去波士頓募會。
218.797	225.201	這個71歲的老牧者看到這封邀請信函,事業心大發。
225.201	230.524	這個波士頓在17世紀幾乎像是一個新英格蘭首都的存在。
230.524	234.706	它是當時的政治、經濟、文化、宗教的一個中心。
234.706	239.409	相比之下,New Haven在各個方面都殊人一解。
239.409	245.612	達文波特可能出於自己個人強烈的慾望,決定無論如何我都要接下這份邀請。
245.612	251.461	可是問題來了, 在清教徒在新英格蘭的一個治理的模型。
251.461	254.607	教會如果不願意他走,他是不可以走的。
254.607	257.052	這是教會治理的原則。
257.052	258.695	牧者跟他的教會是一體的。
259.855	266.997	所以他必須先取得紐哈芬教會的解職同意書,才可以自由的到下一個教會當牧師。
266.997	272.938	而且不只是紐哈芬不願意,波士頓第一教會對於要不要請達文波特也很分裂。
272.938	285.841	所以達文波特的這個醜聞,我們接下來講的這個他的說謊的方法,就可以看到不管是清教徒也好,基督徒也好,有時候偽善有一種所謂的基督徒的偽善。
285.841	288.342	他有他自己的技巧,他自己的步驟。
288.342	289.022	第一個步驟是什麼?
289.462	292.543	就在神面前謙卑順服。
292.543	295.544	我在禱告中安靜等候神的帶領。
295.544	296.585	神是主動的。
296.585	299.606	不管發生什麼,我都是被動接受的。
299.606	302.367	第二點,訴諸我的良心。
302.367	304.888	在神面前自我省察。
304.888	306.629	我有無虧的良心。
306.629	308.790	我不停的反省,發現我的良心是好的。
309.923	310.784	第三點是什麼?
310.784	312.505	就是神的護理。
312.505	313.686	不管發生什麼事。
313.686	315.647	不管是好的、不好的。
315.647	317.268	不管結果是好的還是不好的。
317.268	318.730	這都是神的安排。
318.730	320.911	那我就安靜謙卑的接受吧。
320.911	323.433	你也應該安靜謙卑的接受。
323.433	325.715	所以,不是說這些觀念是錯的。
326.135	347.469	恰巧是因為這些觀念脫離現實的處境可以說是屬靈的原則對不對但是我們可以很巧妙的使用這些看似正確的原則進入這些步驟跟思維來合理化很多連非基督徒都知道是錯的事情 所以達文波特怎麼成為波士頓教會的牧師呢?
347.469	349.771	第一,他說我要搬到波士頓。
349.771	353.493	你先讓我去,我去查驗神的心意。
353.493	356.695	那如果紐哈芬,你們真的不同意,我最後再回來嘛。
356.695	358.596	我再回來,我沒有要走。
358.596	361.198	我只去查驗神的心意。
361.198	366.081	但是同時他在寫給波士頓的信裡面說,我已經是自由生了。
366.081	370.904	我跟紐哈芬在創立這個教會之初就已經說好,我有自由選擇離開的權利。
371.664	377.986	並且在書信裡面講到說,我有從神來的感動,要到波士頓服侍。
377.986	383.008	第二個,到了波士頓之後,有很多人反對他,很多人質疑他怎麼就來了。
383.008	387.349	他到處去講到,多次提及自己無虧的良心。
387.349	391.010	他說,人啊,這都是有史料在案的。
391.010	396.652	人不應該追求超越他們理解所範圍的事情,我也沒有去追求那些比我更高的事情。
397.312	412.962	雖然許多不是的人反對,但是達文波特跟支持他的人,一直告訴反對派說,你們要保守從神來的合一, 最後因著多數人的聲音,達文波特就暗默了。
412.962	415.223	但是這又來了一個問題。
415.223	423.587	如果你暗默了之後,其中一個重要的步驟,是你要出示紐哈芬的解職同意書給全教會看。
423.587	426.308	可是這個同意書從頭到尾都不存在。
426.308	434.711	所以達文波特就一而再,再而三的,跟他在波士頓的支持者,去跟紐哈芬要這個信。
434.711	436.832	你要他說,已經同意讓他離開了。
437.312	439.833	但是紐哈芬怎麼樣呢?
439.833	441.193	自始至終不願意。
441.193	449.395	甚至在信中直言,達文波特都已經被你們案例了,我們紐哈芬怎麼可能解職一個已經被你聘用的人呢?
449.395	450.255	怎麼辦呢?
450.255	463.958	所以旗鼓南下的達文波特一黨,決定重新抄寫,取出紐哈芬的信件中,可以被扭曲原因的字句,重新偽造出一封信,好像是同意他離開了,然後唸給群教回聽。
464.718	486.444	這樣的一個醜聞在隔年的9月1669年的爆發,被大家發現是假信, 當會眾真的聽到了真實的來信的時候,這件事就爆發傳給各個教會知道,很多教會的牧者跟反對派就公開譴責波士頓第一教會的領袖,包含達文波特這樣的一個行為。
486.444	494.249	達文波特自始自終反對,說自己沒有刻意誤導,我只是拿掉了一些不符合事實的地方。
495.230	505.634	所以在一片驚愕之中,深入討論之中,教會的會友決定在痛苦的當中還是保留牧者的職位。
505.634	511.457	其中一個會員這麼說,他說雅各也是透過錯誤的手段得到祝福的。
511.457	515.118	所以我們就接受吧,接受我們這個牧者吧。
515.118	518.960	這個清教族的故事給我們提供了一個假冒為善的範本。
