start	end	text
0.469	4.110	知識就是力量,學習就是成長。
4.110	6.710	這裡是KG納光。
6.710	10.931	納光是真光,照亮一切生在世上的人。
10.931	16.552	請給我們17分鐘,神學騎士為你講道,開啟亮光。
16.552	23.034	你的言語一解開,就發出亮光,讓我們迎向真光照耀。
28.643	31.926	我們基督徒都很看重十誡。
31.926	40.665	我從小背十誡,背到第二誡, 我就覺得有點奇怪﹖覺得好像跟第一屆﹖沒什麼太大的分別。
40.665	50.872	今天呢﹖我想用這個機會﹖來跟大家分享﹖什麼是十屆裡面的第二屆﹖它的意義是如何﹖它的遵行是如何。
50.872	62.120	這條誡命﹖是有滿滿的﹖應許﹖因為上帝會賜福向我們發慈愛﹖但是如果不守這個誡命﹖上帝會追討我們的罪。
62.120	71.968	但是我有一個問題﹖就是﹖ 十屆的第一屆,上帝是說除了我以外,你不可有別的神。
71.968	76.048	那就是我們專一的愛耶和華上帝。
76.048	80.309	但是第二屆又告訴我們說,不可為自己雕刻偶像。
80.309	84.410	所以我就一直在想,第二屆跟第一屆有什麼分別呢?
84.410	86.271	第二屆是不是多餘的?
86.271	91.212	因為如果除了耶和華上帝,不會再有別的神,那當然就不會去拜偶像了。
92.090	126.964	那為什麼要多一個第二屆﹐不可以為自己雕刻偶像﹐難道不可敗偶像﹐不是已經包含在第一屆﹐除了我以外﹐不可有別的神嗎﹐我真的有過這樣的問題﹐我不知道你有沒有這樣的問題﹐但是當我再讀聖經﹐也再多瞭解在除外集裡面的故事﹐然後去思想第一屆和第二屆的分別﹐我是這樣子做了一些區別﹐第一屆是要我們專一愛上帝﹐ 但第二件呢﹐是要我們愛獨一的上帝。
126.964	174.539	那差別在哪﹐差別是當我們專一愛上帝的時候﹐那一位上帝是不是那一位獨一的上帝﹐還是你以為是在愛上帝﹐但是其實愛的不是獨一的上帝﹐你愛偏了﹐愛不準了﹐如果我們去雕刻偶像﹐那就絕對不是上帝﹐ 因為上帝不能夠用偶像來限制所以上帝要以色列人不可以雕刻偶像當你們一把偶像雕出來說這是耶和華上帝那其實不是耶和華上帝後來以色列人還真的做了這樣的事情是不是那今天我們基督徒呢我們當然已經不拜偶像我們甚至把偶像從家裡面除掉了 但是我們是真正敬拜﹐我們真正專一的愛這一位上帝嗎?
174.539	187.245	還是雖然我們沒去雕刻偶像﹐但是有時候偶像可以是電影明星﹐可以是運動明星﹐也可以是我們心中所想像出來的上帝。
187.245	194.308	就是我們覺得我們是在拜上帝﹐但是這個上帝是照我喜歡的樣子把它弄出來的。
194.308	196.449	祂應該是這樣子來跟我互動的。
197.537	272.899	他應該要聽我禱告所以我們心裡面會有一些對上帝的想像那就是在我們心裡面在雕刻偶像可是聖經十誡第二誡禁止我們這樣做所以我們如果再比較一下第一誡是要我們真正的愛上帝專一的愛祂不可以虛假盡心盡意來愛上帝但是第二誡呢就是要我們愛真的上帝 所以第二屆是有意義的,而且我覺得對我們基督徒來說是有非常重大的意義,因為有的時候我們已經成了基督徒,我們是不會去拜別的名稱的神,可是我們會把我們的上帝想成,其實並不是聖經裡面所告訴我們的, 真上帝那也就不是創造天地萬物並且在耶穌基督裡頭 拯救我們的那一位上帝我們可能愛偏了然後我們很愛其實那不是真上帝所以我要問你愛的是真上帝嗎還是你的心所雕刻的偶像呢尤其在這個時代是虛擬的時代是身為技術非常高超的時代最近的這個挖呀挖呀挖黃老師 在網路上非常的風靡。
272.899	303.344	但是大家把他挖出來說他的素顏好像跟他在影片當中看到的樣子有蠻大的落差就變成一個網路事件可是你看現在的技術 拍的時候就已經有美顏﹐然後有整形﹐然後這個本人跟﹐螢幕上都看到的就差那麼多﹐現在連有肉身的人﹐都可以變成虛擬的﹐變成身偽的。
303.344	309.149	那我們人的心﹐要想一個上帝﹐那多麼容易去扭曲。
309.974	311.315	多麼容易偏差。
311.315	313.616	所以我們怎麼樣?
313.616	316.817	按照真理來愛上帝。
316.817	325.062	我們敬拜的時候是用心靈和誠實,也就是按著真理來敬拜我們的上帝。
325.062	336.948	所以第二戒,要我們在認識上帝,照著祂的心意,還有祂的啟示來認識祂,就變成極其重要。
336.948	338.969	不然我們很容易就會敗偶像。
340.282	343.324	那我們就要來思想一件事情。
343.324	346.706	上帝人看不見,看見的也不是上帝。
346.706	348.468	那我們怎麼去愛呢?
348.468	351.790	我們人是有形體的人。
351.790	357.694	我們認識東西都是透過有形體的,然後才能夠進到比較抽象的。
357.694	361.537	我們的知識是跟外界有關係的。
361.537	367.461	所以不管你是經驗主義還是理性主義,經驗還是不可少的。
