start	end	text
0.009	4.071	知識就是力量,學習就是成長。
4.071	6.672	這裡是KG納光。
6.672	10.913	納光是真光,照亮一切生在世上的人。
10.913	16.515	請給我們17分鐘,神學騎士為你講道,開啟亮光。
16.515	22.998	你的言語一解開,就發出亮光,讓我們迎向真光照耀。
28.968	34.669	大家不知道有沒有看過一個電影,很多年前蠻紅的一個電影,叫做《亞洲瘋狂富豪》。
34.669	41.691	它裡面有一個很特別的一個場景,它是很諷刺現在的基督教的華人的文化。
41.691	52.073	就是有一群富太太在那邊查經,然後查一查查一查,他們就看到說有一段話說,你們要思念上面的事,不要思念地上的事。
52.073	55.694	然後很自然很自然的就講到他們兒女的八卦上面去。
57.005	58.406	這很諷刺是為什麼?
58.406	60.868	這諷刺的點到底在哪裡?
60.868	77.899	就在於說我們知道的很多基督徒,包括我們自己,可能嘴巴上說,心裡面也應該是知道說有所謂的天上的事,有所謂的地上的事,那我們應該是屬天的,但不知道為什麼,不知不覺中就關心起地上的事情了。
79.582	84.605	我們可以說從社會的角度來看,基督徒,基督教是一種次文化。
84.605	86.145	什麼叫做一個次文化?
86.145	96.411	就是說祂既屬於社會,但是祂有祂自己的一個圈子,祂有祂自己的一個世界觀,祂有祂自己一種生活方式,甚至祂自己一個講話的方法。
97.244	99.845	就他自己的人才聽得懂的。
99.845	103.047	那從歷史的角度我們怎麼看基督徒?
103.047	104.187	怎麼看基督教?
104.187	108.870	我們可以說從初代教會基督徒們就一直在思考這個問題。
108.870	112.011	我們怎麼理解我們是誰?
112.011	115.433	而我們與外在社會的關係是什麼?
115.433	119.175	那進而發展出所謂我們可能很常聽到的就是所謂的兩國論。
120.179	122.340	所以到底什麼是兩國論?
122.340	124.961	我們常常聽到兩國兩國,它是指什麼呢?
124.961	129.623	很簡單,有一個意思,就是說這世界上有兩個國。
129.623	133.645	一個是天上的國,一個是地上的國。
133.645	138.527	回溯到以前,很多神學家講到兩國論的時候,喜歡講到誰呢?
138.527	141.108	最早可能會講到奧古斯丁,對不對?
141.108	144.810	奧古斯丁寫過一本很有名的著作,叫《上帝之城》。
146.493	148.855	他講上帝之城在講是什麼?
148.855	165.005	這個書裡面形容這個世界上有兩種愛因著這種兩種不同的愛呢他分別衍生出了兩種不同的國度或兩個不同的城一個城是地上的城什麼是地上的城?
165.005	176.115	就是因為愛自己而近乎到了一個藐視上帝的地步而成就了這樣一座地上的城 那什麼是天上的城呢?
176.115	179.778	天上的城就是因為愛上帝而生的一個城。
179.778	183.540	地上的城有一天終將要毀滅。
183.540	186.542	但上帝的城會存到永遠。
186.542	190.625	所以這個是他講的兩個城。
190.625	195.488	那我們今天作為基督徒在這個世界上我們要怎麼理解這兩個城?
195.488	214.233	我們要怎麼理解說有這個概念說這世界上有一個屬神的國還有一個屬世的國 那從我們今天來看的話,難道我們要說在物理上,有一個所謂的在天上的國,物理上有個我們今天所看見的這個叫地上的國嗎?
214.233	215.434	奧古斯丁不是這個意思。
216.357	218.678	後面講的兩國論也不是這個意思。
218.678	234.045	他是說在我們看到這個社會啊,有些人是屬神的,有些人是屬基督的,有些人是屬天的,有些人是在這樣的一個國度之外的,他們有兩種不同的世界觀,不同的生活方式,不同的愛。
236.101	244.204	所以如果今天我們來看兩國論,從我們個人的角度,如果我是屬天的,我活著的目的是為了這個天上的國度。
244.204	248.385	我如何面對今天在這個社會中的角色?
248.385	251.166	這個社會中顯然是混雜的是吧?
251.166	258.108	這世界上是一個有天上的國的人,也有在地上國的人混雜而居的這個世界。
258.108	260.029	那我作為基督徒,我要多入世。
261.613	278.882	如果我們回去看歷史的這個洪流,我們會發現講到兩國,或講到這個所謂的基督徒自己的一個世界,跟外面的世界的時候,可能有很多不同的互動的方式,有很多不同的方法,透過聖經來給我們的生活方式背書。
279.462	288.767	比如說初代教會,初代教會如果我們去看,基督徒在當時的反射動作,面對到他的外在的社會,是抽離跟自保的。
288.767	293.510	當然不是每個人都這樣,很多時候我們看到這個動作是抽離的。
293.510	296.172	他可以有很多聖經的依據可以告訴你。
296.172	298.353	登山寶訓,《馬太福音》裡面說什麼?
298.353	303.276	說不要與惡人作對,有人打你的右臉,要連左臉轉過去給他打,對不對?
304.121	322.859	所以面對迫害因為初代教會的前幾百年是兩三百年的時間是迫害的時間所以面對迫害基督徒默默忍受那更不要說去改變文化了對不對所以在教會建立的前兩三百年很多基督徒連當兵都不願意今天你能想像不當兵嗎?
322.859	326.063	如果你要被徵召的話 為什麼?
326.063	364.411	因為他們認為效忠神跟效忠這個國家效忠羅馬皇帝是互相衝突的羅馬的軍隊的文化可能是其中一個原因之一對凱撒的忠誠他們對這些的要去參與的內容有所謂拜偶像的疑慮今天不能一一談到但另外一方面更大的一個關係是因為在教會底下被迫害的少數分子是很弱勢的存在 但在接下來幾百年間,基督教成為歐洲的主流之後,連當兵都不要的基督徒,不僅開始參加國家的事務,連教會也慢慢的變成拿起刀劍的教會。
364.411	368.254	所以歷史當中,政教關係是很互相拉扯的。
368.814	370.455	那再往下看看到什麼呢?
370.455	384.600	比如說馬丁路德當我們講到兩國論的時候常常想到是馬丁路德他講的兩國的概念他在當時的羅馬教會跟神聖羅馬帝國的處境下是個罪人但是地方的貴族保護他他怎麼樣呢?
384.600	392.544	就可以透過這樣的一個保護傘延遲批評當時教會過度干政教會為什麼可以有政治的權利?
392.544	394.164	他說並且怎麼樣呢?
394.164	408.303	鼓勵日耳曼的貴族推動宗教改革 所以他作為一個依靠貴族保護的改教家,強調世俗公權力的完整性,以及一般平民的順服的重要性。
408.303	413.584	所以當我們今天講到兩國論,有時候講的是馬丁路的這個概念,指向的是什麼呢?
413.584	418.986	世俗政府的權力,社會秩序的重要,我們作為公民的順服的責任。
419.906	423.550	但同一個時代或比較晚一點點,我們說加爾文呢?
423.550	428.114	加爾文在日內瓦沒有這樣強烈的一個政治的一個壓迫的處境。
428.114	433.099	作為一個牧者,他不只是主導宗教的改革,更是做了整個城市的革新。
434.206	445.472	所以他雖然跟馬丁路德一樣,強調世俗政府的屬靈責任,但更在思想跟行動上,比較樂觀的看待基督徒的一個從政,改變公領域的可能性。
445.472	448.674	所以這跟他們的處境有很大的關係。
448.674	451.495	如果我們往下來看,清教徒也很類似。
451.495	455.898	我們可能在今天的新教的處境裡面,常常講清教徒。
455.898	463.242	清教徒在受到大量的外在的約束,甚至迫害的時候,主張政教可以完全分離,教會有獨立性。
463.882	469.724	獨立運作,甚至各個教會,各個地方都有一個自己的獨立性。
469.724	491.133	但是當這些所謂主張獨立教會的基督徒,漂洋過海到了北美的新英格蘭之後,他們開始組織自己的殖民政府,制定法律,甚至可以很嚴厲地對待立場不一樣的人,甚至可以規定地方教會的會員才可以參與政治。
492.227	504.567	活在兩國之間,要怎麼呼吸,怎麼說話, 這個今天給大家一個簡單的歷史的一個這樣的一個看見就是看到什麼呢?
504.567	531.125	我們如果感到很困惑不一定是因為我們不懂兩國論不一定是因為我們的神學根基不足背後這個兩國論思想太過深奧而是因為兩國論或是更大的一點我們講政教關係從歷史的角度來看呢不是一套很完整系統化的神學而常常是一個非常好用的政治語言 你不是基督徒嗎?
531.125	533.006	你為什麼那麼熱衷政治?
533.006	548.234	世界上不是說這個要思念天上的事不要思念地上的事公投不要用基督徒的腦袋去投啊因為這個天上跟地上的國是混雜在今天的社會這不是神權統治對不對?
548.234	550.356	或者也有人可能會說你不是基督徒嗎?
550.356	559.061	你為什麼不跟我們一起上街抗議比如說墮胎法案好了 那你這樣以後到天上怎麼跟主交戰?
559.061	566.844	所以政教關係我們可以來反思,當我們今天講到兩國論的時候,我們用了誰的版本的兩國論?
566.844	571.465	那這跟我們自身的社會處境,有什麼樣的關係?
571.465	576.887	以至於我們被某種論述,某種社會參與的態度給吸引。
576.887	580.308	所以神學及政治,這是兩國論的艱難之處。
582.108	610.509	但公共參與的神學它簡單的地方就是在不變當中來應萬變在瞬息萬變的神學歷史裡面有沒有什麼是一個恒定的神學基礎也就是有這個基礎就帶給我們行事為人的一種方向感比如我們回到奧古斯丁的話他作品裡面有一個規律就是不管上帝之城還是叫懺悔路他講到愛 愛是人之所以為人的核心。
610.509	614.291	人的滿足在於你愛的正確,方向正確。
614.291	620.893	所以在神裡面,唯有找到這個愛神才能找到滿足。
620.893	625.755	在愛神當中才能夠得到人的自我實現,我才能活得更像人。
625.755	632.277	所以在愛神做這個原則有沒有可能我們拿來做一個兩國之間的一個立足點?
632.978	638.261	時空在改變,教會在改變,社會跟教會的關係也在改變。
638.261	649.452	但是愛神,以祂對立的這個永遠的對立,罪人的自私虛榮跟過度自我保護,祂永遠是一個 相對的一個關係。
649.452	659.579	所以我們用這樣的一個角度來看,公共領域就可能出現了在我們有的智慧,屬靈智慧的一個框架下,不同的反應。
659.579	674.450	所以有可能,有時候強調聖俗二分,強調隱藏自己的價值觀,丟掉自己的一些價值觀,在公領域裡面,它不一定是因為處於很濃厚的神學基礎,它可能是出於一種對人的懼怕,愛自己的表現。
675.930	687.166	但也有可能反過來說出於愛人愛神的緣故也可以避免直球對決不要走上街頭 以至於不要叫人誤會。
687.166	697.357	所以換了一個處境,在你自己的一個對愛神的理解上,有可能會因為你身邊的人的反應而帶給你不一樣的答案。
697.357	707.007	所以我們就必須來問我們自己,在一個聖俗混雜的世界,你是以敬畏神,愛神而活,還是處於懼怕人,愛自己而活?
707.568	718.579	這是個很簡單,也是最困難的命題,小於這個所謂的公共參與,大於問我怎麼樣的態度來過我們這一生。
718.579	723.244	所以我每天早上起床,我走進辦公室,我走進我的教室,我在想什麼?
723.865	726.307	我每天禱告求的是什麼?
726.307	731.151	我作為一個天國的子民,我怎麼預備自己進入永生?
731.151	734.033	所以最後用一個簡單的聖經故事作節。
734.033	735.455	大家看過這個《明書記》。
735.455	739.278	《明書記》講的是以色列人在曠野裡面的兩個世代。
739.278	741.940	第一個世代因為不幸在曠野中滅亡。
741.940	748.686	第二個世代因為信靠,最終走到了約旦河邊,準備奪取神所賜的迦南地的產業。
749.206	752.010	這結論很特別,好像有點莫名其妙。
752.010	760.263	明書記36章講到約瑟支派馬拿西一族的族人,為了希羅菲哈的女兒去找摩西。
760.263	761.785	不知道大家記不記得這個內容。
763.012	770.396	他們說這些女孩子如果她們跟別的支派的人結婚的話馬拿西的產業不就跑到別人的支派了嗎?
770.396	772.377	那摩西你說怎麼辦呢?
772.377	786.965	摩西就在神面前求問說這話有道理所以神就下了這個規定說以後希羅菲哈的女兒只能嫁給自己同支派的人所以明書記這個結尾好像有點奇怪他在說什麼?
787.705	839.617	就約了一個學者提出了一個看法他說這個Ian Dugan他說這看似隨機的結尾告訴我們一件事就是這個新的世代它是個信心的世代他們還沒有踏進迦南地但就在這樣的時候他們在意的是進去之後神應許給他們的產業 所以他們真的相信在那下一個國度下一個世界是存在的是神所應許必然實現的也就是當他們還在曠野的時候就會那應許之地所預備這就是方向感 當我們談論到公共議題﹖參與政治﹖或是從我們個人來說﹖當我們規劃人生﹖讀書﹖工作﹖你心之所向是什麼﹖你愛什麼﹖害怕什麼﹖看重什麼﹖輕視什麼﹖你心之所愛﹖就決定了你的方向感。
839.617	851.063	求生給你﹖給我智慧﹖不管是公共領域的參與也好﹖還是簡單我個人﹖跟我外在的世界的關係也好﹖讓我們一起找到﹖一生努力的目的和意義。
855.213	856.415	繁體中文，
