start	end	text
31.254	33.435	哈囉大家好,來到南崁。
33.435	36.395	南崁是北臺灣重要的樞紐。
36.395	44.237	整個陸珠地區有非常多重要的這些工廠也好,或者是交通運輸,或者是很多重要的樞紐都在這邊。
44.237	50.779	今天來到南崁長老教會,有一位我很尊敬的長輩,蔡牧師在我們當中。
50.779	55.420	蘇牧師你好,很高興歡迎你們來南崁長老教會。
55.420	60.381	我們都對蔡牧師有所熟悉認識,他以前是在北部牧會的, 對。
60.381	61.882	蔡牧師你之前在哪裡牧會?
61.882	64.684	我在臺北的大直長老教會。
64.684	66.425	而且牧會很長的一段時間。
66.425	68.327	對,大概十七年左右。
68.327	72.730	哇,而且大家都知道這個大直長老教會呢,其實是經營得有聲有色。
72.730	73.710	是。
73.710	74.491	那怎麼回事?
74.491	75.832	那怎麼回事?
75.832	80.155	因為那時候,南港也算是我的母會啦。
80.155	80.415	哦,是。
80.415	82.836	我在高中畢業就來到這個教會。
82.836	83.477	是。
83.477	100.075	那很高興,這個教會栽培了我,可是在我 牧會大致的時候,有一天,那長老們,他們來邀請我,是不是可以回到南崁,來跟他們一起來建造教會。
100.075	107.099	後來經過一段時間,考慮上帝的安排,我就回來我的母會了。
107.099	108.460	所以你回來多久了?
108.780	115.186	我2013年8月,所以到現在應該也是8年多了。
115.186	116.847	哇,謝謝主。
116.847	123.473	而且我剛剛聽這個長老說這個教會的歷史,真的是很令人敬佩。
123.473	125.495	有四世的重建。
125.495	125.795	對。
125.795	128.117	然後呢,七世的遷移。
128.117	128.457	對。
128.457	129.698	哇,真的是很特別。
129.698	139.530	那我們明年就是馬街博士, 來到南崁設立教會是在1892年的2月14號。
139.530	139.971	是。
139.971	142.054	所以明年就進入130週年了。
142.054	143.576	不得了,130。
143.576	146.881	我們現在在一個130年的教會,不得了。
146.881	148.904	一個教會可以破100已經不得了了。
149.104	153.969	所以這個教會是非常有歷史﹑有傳承﹑也很有產業的教會。
153.969	156.871	而且我們等一下會多聊一些關於教會的事。
156.871	171.504	但是我對蔡牧師特別有興趣,因為蔡牧師在被神呼召全職之前,其實你是在做...我在職場,我在開過補習班, 也開過幼稚園,雙魚幼稚園。
171.504	184.534	難怪,因為蔡牧師,我認識他的時候,我就知道他這個整個的牧會是非常的有聲有色,而且經營都非常的好,我認識大直,還有南海。
