start	end	text
31.152	36.176	哈囉大家好,在臺北有一間教會,如果你不認識這個教會,當然你就不用混了。
36.176	38.758	就是New Life,新生命小組教會。
38.758	40.420	顧牧師在我們旁邊。
40.420	42.502	大家好,我是顧牧師。
42.502	45.324	其實顧牧師都不用自我介紹啦。
45.324	47.426	大家就知道顧牧師來了。
47.426	50.248	顧牧師是我們非常尊敬的屬靈的長輩。
50.248	50.849	哪裡哪裡?
51.169	56.571	我其實在帶領IM的那個時刻,顧牧師也有很大的幫助。
56.571	60.612	因為我當時要轉換成一個門訓的教會,我還特別來請教你。
60.612	65.853	對,所以其實我是跟顧牧師也有學習如何做門訓,還有小組。
65.853	71.375	其實被顧牧師關心過的牧者,我想很多教會也被他關心到。
71.375	77.897	你都知道說顧牧師真的是一個很有愛心,而且很有恩高產業,很有智慧的一個牧者。
78.097	86.881	那我很想問顧牧師,大家都知道新生命小小教會,其實我覺得不大需要介紹新生命小小教會在做什麼。
86.881	98.266	因為基本上有在牧會的,有在關注教會的弟兄姊妹都很理解他的影響力跟他最重要的核心。
98.266	104.308	但是我有一件事情很想問顧牧師,就是你為什麼會選擇紫色的髮色?
106.049	111.131	因為你可以選其他顏色。
111.131	114.973	因為我有觀察過牧師,這個髮色很久了。
114.973	118.654	一定有一個你的想法。
118.654	127.918	其實我染髮這件事,對我來說是一個呼召,也是一個屬靈突破的十字架。
127.918	128.678	為什麼呢?
128.678	135.441	因為我一直對贏得下一個世代或這個世代的年輕人, 非常有負擔。
135.441	140.064	可是跟年輕人在一起,要找到對話。
140.064	147.328	我自己分析一下,我跟他們對話的這種條件比較差。
147.328	149.709	論口才,沒有口才。
149.709	152.671	論說笑話,他是搞手。
152.671	154.692	我也不是網紅的料子。
154.692	161.957	所以我那個時候,我就忽然間有一天,哎呀,我可以把我的頭髮獻給青少年。
162.517	176.268	所以我就找到我一個很厲害的髮型的設計師,說請你幫我染一個年輕人能夠接受的頭髮,因為要贏得他們。
176.268	193.474	你想我坐在椅子上面,半個鐘頭, 祷告主,因為我知道當我從這個椅子一下來的時候,我的哥們們會K我,神仙會討論我,好事會傳千里。
193.474	200.099	我就祷告主,我說主啊,求你救我,我要不要...真的要做這件事嗎?
200.299	203.301	對,是,是,是,很難的抉擇。
203.301	207.104	後來神就感動我,做約瑟。
207.104	209.825	約瑟他充滿了意向。
209.825	217.711	他就是決定了以色列國度的百姓的這種命脈的延續。
217.711	220.493	那所以我就流著淚說,主啊,我願意順服。
221.186	223.967	我是流著眼淚的。
