start	end	text
31.169	32.891	哈囉大家好,我們現在在臺北的內湖。
32.891	38.636	內湖有一間很特別的教會,叫做內湖之光,湖光教會。
38.636	42.499	我們的文亮牧師在我們旁邊,牧師跟大家打個招呼。
42.499	49.686	大家平安,我們是臺北市內湖區的湖光基督教會,也是內湖的第一間教會。
49.686	49.986	哇!
49.986	53.169	對,今年66年了。
53.169	53.909	66年的教會,哇!
54.650	57.093	所以非常歡迎大家來認識這個教會。
57.093	61.720	內湖的第一間教會,那它是從哪裡來這邊開拓的呢?
61.720	70.593	在1956年的時候,有一位菜廠小菜牧師,他就是從神學院畢業,然後就來到內湖開始拓荒,所以就從一對一開始做福音的工作。
70.913	72.514	然後一直到現在。
72.514	79.120	一對一到現在,如果你常在那個內湖開車,這個教會是非常明顯的。
79.120	81.922	就是在市中心有一個非常漂亮的教堂。
81.922	86.966	你就知道說從一對一,到現在變成一個開枝扇葉,一棵大樹在這裡。
86.966	87.707	很特別。
87.707	89.488	文牧師本身就是藝術家了。
89.488	89.989	沒有沒有。
90.469	93.630	做很多藝術的工作。
93.630	96.411	喜歡音樂的東西。
96.411	106.476	應該是說最早期那時候要復世神的一個過程當中,我覺得有一個很強烈的從神來慶祝的呼召,就是一個敬拜的呼召。
106.476	109.857	所以對於跟敬拜有關的事,都是我覺得很重要的。
109.957	111.598	想請文牧師多聊一下。
111.598	115.862	因為現在大家想到敬拜就是鼓啊、吉他、電吉他。
115.862	117.804	不應該只有那些東西對不對?
117.804	121.767	文牧師是從事敬拜的侍奉其實是很長一段時間。
121.767	124.870	並且在教會裡面也把這個文化組織進來。
125.230	129.495	想聽聽文牧師給我們一些你的分享,你覺得敬拜到底是什麼?
129.495	138.385	其實我大概在1990年的時候,那時候對於敬拜其實是很受這個韓國何用營宣教學堂的影響。
138.385	144.132	那時候我們也很年輕,所以就會期待看到在臺上這種所謂的一個敬拜的呈現。
144.753	149.598	那後來我們也很快的就在90年代就組成了一個團隊。
149.598	152.581	我們就開始去所謂我們要去敬拜讚美。
152.581	154.623	然後去音樂步道。
154.623	155.624	對對對。
155.624	157.185	那我們也有去臺灣的巡迴。
157.185	157.986	然後到處跑。
157.986	163.651	可是在很短的時間內我們幾乎就被上帝打得叫做滿頭暴。
164.292	172.303	對,所以從1995年開始,我們就進入一個非常大的一個破碎跟被神管教的一個過程。
172.303	177.790	那也在那個當中,我們重新去學習跟敬拜有關的功課。
177.790	186.398	那重新去調整才發現說,原來聖經裡面, 敬拜的東西從創世紀到啟示錄都在講怎麼樣跟神建立關係。
186.398	190.520	所以我很喜歡約翰福音的第四章,耶穌跟撒馬利亞夫人談到的那一段。
190.520	193.602	他說,時候將到如今就是了。
193.602	196.684	那真正敬拜神的人是用心靈跟誠實。
197.244	203.009	才明白說,原來敬拜是我們的生活、我們的生命以及跟神的關係。
203.009	205.431	它其實跟音樂、跟形式沒有什麼關係。
205.431	208.233	對,本身是沒有絕對的關係的。
208.233	214.958	所有的形式、所有的音樂,甚至教會所有的活動的核心的目標就是把人帶到神的面前。
215.759	229.007	在這些年當中,我們就看到不能說只有華人教會,全世界的教會,我覺得都在面對這二三十年來,我覺得有關敬拜的一個發展的當中,可能有很多是我們今天要重新反思的。
229.007	237.452	對,90年代,應該是華人敬拜讚美,我講的是音樂形式的一種大爆發的那個時代。
237.892	240.475	那時候有好多的所謂的音樂步道團。
240.475	242.957	95年才有讚美之泉,才有約蘇亞。
242.957	246.381	文牧師在之前,他就在做音樂步道了。
246.381	248.983	應該是說音樂敬拜裡面的一個先鋒。
248.983	250.965	對,那時候我們很年輕。
250.965	253.208	你那時候已經在服事了嗎?
253.208	254.369	我90年念神學院的。
254.369	255.950	是,所以那時候是神學生。
255.950	256.371	對。
256.371	258.553	然後就在這個裡面投入了。
258.553	259.014	對對對。
259.394	291.093	你說上帝打你們巴掌教訓你們我認為不是上帝要讓你學功課以至於可以去把這樣子更好的完整的整全的敬拜觀分享給教會因為可能就有人就認為說在上面只要很澎湃就是敬拜我常常跟你講說聖經的真理其實有時候很簡單我這些年一直很希望把它複雜的變簡單的原因是因為我常常跟你講說敬拜是如果今天只剩下你一個人也沒有音樂了什麼都沒有了 你仍然能夠來到神的面前。
291.093	293.515	跟神建立一個很親密真實的關係。
293.515	295.117	而且是神悅納的。
295.117	297.499	那個就是最真實的敬拜。
297.499	297.899	阿們。
297.899	299.581	那如果有一天你發現。
299.581	301.963	你一定要得藉助附加的東西。
301.963	304.206	你才能說這是一個很好的敬拜。
304.206	305.607	那就不是敬拜了。
305.607	307.809	那就變成只是一個。
307.809	308.790	音樂享受。
308.790	309.291	對特別。
309.531	329.272	我記得我那時候早期在90年代那時候我們那時候就常常聽到有人講說我好享受今天的敬拜我好享受你帶的敬拜那時候我帶敬拜人家說好享受我就很有成就感一直到我們被管教那段時間裡面我就有一次突然間我就好像是被 聖靈光照。
329.272	335.175	在敬拜當中,只有一個人能夠說我好享受敬拜的,那個是耶穌基督。
335.175	335.595	阿們。
335.595	340.218	其他的人不是來享受敬拜,其他人是應該竭力的,去敬拜祂。
340.218	344.740	我覺得這非常好的一個教導。
344.740	352.925	看這影片的,特別是喜歡敬拜的弟兄姊妹們,真的只有上帝可以說我很享受。
352.925	355.947	所以其實我是很認同,很多時候我們在服事,其實心裡很苦。
356.647	365.030	家裡也有事,我們今天要服事之前,我家裡今天出門前接到電話說,欸,宋先生,你們那個墊被美甲要被剪斷。
365.030	372.112	其實有很多事情在發生,但是我們就竭力的侍奉上帝,我覺得這還是敬拜的真正的意義。
372.112	379.154	我覺得這很棒,有這樣的前輩走在我們前面,所以很多比較年輕的傳道者,不要走勇猛路。
379.514	382.536	回到最基礎的那個敬拜核心。
382.536	384.176	你說你被管教。
384.176	385.797	那是什麼樣的狀況?
385.797	388.018	這個教會它有一些很複雜的背景。
388.018	388.439	是。
388.439	393.461	其實教會我剛剛講蔡牧師他們看蔡師母早期他們是長老會背景出來的。
393.461	394.221	是。
394.221	400.345	那在這個過程當中這個教會有經歷過一個五旬節教派很大的一個聖靈工作。
400.345	401.065	對聖靈的工作。
401.065	417.375	然後後來這個教會其實在民國70年代左右也跟這個韓國的 所以也有一些的連結,所以也很強調所謂的靈恩運動的一個教會。
417.375	434.388	那這個教會從過去到現在,等一下有五、六十、六、七十位念神學院的弟兄姊妹, 那臺灣大家都知道念神學院﹐大概華神、金神、柴神。
434.388	436.750	那這些都是屬於福音派的神學院。
436.750	443.155	那所以也變成說﹐在這個教會裡面有很多觀眾﹐我們在認為是福音派的這種思維的衝擊。
443.155	445.577	等於說我們走過很多錯的路。
445.577	448.640	而人家問說﹐你們現在為什麼會這樣做?
448.640	451.782	我只能回答說﹐因為我們錯了很多。
451.782	457.226	我們在錯誤當中﹐在失敗當中﹐我們去學習﹐ 怎麼樣能夠去修正。
457.226	457.627	是。
457.627	462.430	所以也一直到這﹐我們的新堂成立以後﹐這大概將近十幾年。
462.430	462.570	是。
462.570	469.315	那我們就很致力於﹐追求所謂的﹐第一個回歸﹐真理的簡單﹐回歸真理﹐簡單的真理。
469.315	471.456	簡單的真理,就是很單純的。
471.456	471.616	是。
471.616	477.840	對,那我常常也跟人家講說﹐救恩或者神的信息不是給﹐ 道行深的人。
477.840	479.221	也不是給那種。
479.221	480.062	很聰明的人。
480.062	480.882	對少數人。
480.882	483.243	因為神的救恩是給萬民的。
483.243	483.624	對。
483.624	488.907	所以我們很努力的把所有的真理是讓孩子都能夠聽得懂的。
488.907	491.869	那我覺得那個就是神要給我們的信心。
491.869	492.129	是。
492.129	494.951	那我們也追求所謂的真理跟勝利的平衡。
494.951	495.331	因為。
495.331	496.291	真理跟勝利的平衡。
496.291	497.092	對因為在。
497.432	509.802	我們剛剛講走過的﹐一些的經驗當中﹐我覺得太﹐極端的偏向聖靈的﹐強調聖靈而忽略了真理﹐或太強調真理忽略了聖靈﹐我覺得都有它的缺憾。
509.802	509.982	是。
509.982	513.145	那我覺得我們如果要有一個平衡的﹐對。
513.145	518.529	一個步伐就是﹐在真理跟聖靈的﹐這兩個方面要採取平衡。
518.529	519.009	是。
519.009	523.033	那我覺得會更健康﹐教會跟弟兄姊妹會更健康。
523.033	523.473	是。
523.473	531.177	我覺得聽到兩件事情﹐一個就是﹐ 單純的真理,讓孩子都聽得懂。
531.177	535.319	然後第二個就是,這個真理跟聖靈的平衡。
535.319	538.860	這就是冤枉路走出來得到的結論。
538.860	540.660	某個程度上。
540.660	544.062	其實大部分的傳道人都會走很多冤枉路。
544.062	548.543	因為像我自己年輕的時候,也會想去試看看那個,試看看那個。
548.543	551.184	其實也是被神修解,被神打巴掌。
551.544	560.914	可是越來越認識自己﹐跟整個信仰群體的特性﹐我們就慢慢地走向﹐文亮牧師講的這兩個點﹐就是讓它單純簡單。
560.914	565.659	我想問文亮牧師﹐會教會的兒童的侍奉﹐做得非常地好。
565.659	569.163	你剛剛提到說﹐讓孩童都聽得懂﹐它有相關聯。
569.957	594.475	應該這麼說,我們在教會有一段,非常weak的那個階段當中,其實我跟我太太,那時候不知道能夠做什麼,其實很多東西可能都不能做,所以我們那時候想到就做兒童開始,那時候看到有些孩子也蠻辛苦的,所以我們就投入了開始做兒童事工,但我其實自己教兒童主日學,大概教了30年, 對,我從17歲的時候就開始教兒童主義學。
594.475	596.416	一直教到新堂成立之後。
596.416	597.116	還在教。
597.116	599.817	對,越來越忙我就開始慢慢地就放了。
599.817	600.318	感謝主。
600.318	611.584	對,那在這個過程當中﹐我們其實發現﹐教會的兒童跟青少年的工作﹐特別是兒童工作﹐我覺得早期都是教會的附屬品。
611.584	614.165	就是只要有人願意去帶孩子﹐就好了。
614.165	615.346	不要吵,不要吵大人。
615.346	616.467	比較像拖鷹。
616.467	616.947	對對對。
617.227	625.037	可是我們後來發現說﹐其實一個人生命﹐真正信仰的根基﹐而且會影響他一輩子﹐其實在越小的時候﹐越重要。
625.037	625.397	阿們。
625.397	633.508	那我們就覺得說﹐不能夠放掉這一個很重要階段﹐因為我們帶兒童﹐帶了一個時期之後﹐我們發現﹐從信上帝開始帶﹐已經來不及了。
633.848	635.089	你必須要再往下。
635.089	636.289	所以我們一直往下一直往下。
636.289	644.333	所以我們現在做到是大概從兩歲開始就讓他進入到我們的兒童的牧區裡面的一個兒童崇拜裡面。
644.333	648.694	讓他們能夠從小就開始認識神而且去明白一些簡單的真理。
648.694	650.655	我覺得會影響他一輩子。
650.655	656.200	那也因為有這樣子的想法所以我們教會印象是 要成為一個健康的。
656.200	656.941	全人的。
656.941	657.901	健康全人。
657.901	658.582	多元的。
658.582	659.022	多元。
659.022	659.943	有影響力的教會。
659.943	661.003	有影響力的教會。
661.003	662.645	所以就是從。
662.645	663.405	教會要有健康。
663.405	664.006	就是剛剛講的。
664.006	665.627	真理跟聖靈的平衡。
665.627	667.168	然後大家真的認識神。
667.168	668.268	真的認識真理。
668.268	669.509	真的經歷聖靈的工作。
669.509	671.291	然後第二個就是要全人。
671.291	673.732	全人所以就是老中親幼。
673.732	675.093	不同的年齡層在教會。
675.093	677.555	我們希望它是一個平衡發展。
677.555	680.597	老中親幼或者是有些人可能比較外向。
680.597	681.438	有人內向。
681.438	682.358	有人比較理性。
682.358	683.299	有人感性一點。
683.439	685.920	所以就會發展出多元的教會的形態。
685.920	686.560	是。
686.560	688.881	然後我們希望教會最後能夠是一個有影響力的教會。
688.881	689.622	影響力的教會。
689.622	691.142	對,對這教會的影響。
691.142	693.944	我是很佩服文亮牧師他是始終如一。
693.944	696.965	對兒童,雖然現在沒有主責兒童的事工。
696.965	698.906	但還是想得非常的周到。
698.906	701.907	從健康,然後到全人,到多元。
701.907	703.728	然後之後發展出有影響力的教會。
703.848	709.310	我想問一下文亮牧師,你覺得這個湖光教會上帝怎麼用它?
709.310	712.831	怎麼樣去服務內湖區這些鄉親?
712.831	718.352	應該說從最早蔡牧師來開拓的時候,他其實就是一個宣教的工作開始。
718.352	721.333	我覺得這個宣教的本質在這個教會當中一直還存在。
721.333	728.195	所以我們現在來講,我們也認為所謂的宣教工作,仍然是教會它持續要去發展的一個面向。
