start	end	text
23.899	25.380	各位聽眾大家好。
25.380	27.021	我們又見面了。
27.021	30.183	歡迎來到教堂悄悄門。
30.183	40.191	那我們今天要為各位來談一談有一群在1950年1960年代來到臺灣的歐洲的修士們。
40.191	44.694	他們在臺東這邊沿線幹了一系列的教堂。
44.694	45.995	非常的漂亮。
45.995	49.777	然後呢他們是用非常典型的現代建築的語言。
50.538	62.384	我們今天要帶你們去走訪這些地方,同時要談談他們是如何移植歐洲大陸的語彙,到我們這個在地化的過程。
62.384	66.787	其實這些修士們,他們都是來自於瑞士。
66.787	74.771	他們剛到臺灣的時候,他們其實帶著整個的心思意念,想的都是歐洲傳統的建築的傳統。
75.111	80.618	所以那時候最影響建築最重要的就是柯比翼建築師。
80.618	85.284	他是有點瑞士又有點法國這樣的一個出身的背景。
85.284	89.449	從這開始他寫了一本很重要的書叫做《邁向新建築》。
89.449	91.492	他提了五個很重要的一個元素。
91.732	97.354	第一個就是﹐建築物可以都是﹐完整的一個獨立的原柱。
97.354	112.438	他們英文叫Piloti﹐然後用﹐它的窗戶可以長長的一條窗﹐可以不用被打斷﹐不用被柱子打斷﹐因為它可以﹐牆壁跟柱子可以分開來﹐所以它可以拉開來之後﹐牆壁就可以做得很乾淨俐落。
112.438	119.040	開窗可以很連續﹐它要長條窗﹐還有自由平面﹐自由立面﹐還有另外一個就是﹐屋頂花園。
119.480	127.467	這樣的五個很重要的點來做在建築裡面那這樣子的傳統帶到臺灣怎麼落實呢?
127.467	141.078	臺東就有這樣子的一個概念前一陣子不是聽說那個什麼蔡英文總統她也去到這個宮東教堂然後她這個教堂 我們也去過,然後就發現,這棟教堂在哪裡啊?
141.078	142.259	找不到。
142.259	147.364	原來它在教室的最上層,它等於是它的屋頂的一個教堂。
147.364	153.970	那這個教堂,讓我想起了那一棟,就是在你出生那一年蓋的,這個Longchamp,廊鄉教堂。
153.970	154.551	在法國。
154.551	155.331	對,在法國。
156.032	157.553	為什麼會讓我想起它?
157.553	177.620	首先它是這個斜屋頂,那剛剛David所說的這位大師,柯大師柯比益,他就是非常堅持這個現代建築,就是有這五種元素,基本上這五種元素堆起來的就是一個叫做直線橫線的,直角的教堂,直角的建築物,那怎麼這教堂會這麼弧形?
178.200	193.288	好像他到了年老的時候,這個人今將近的時候,突然間想通了,有關世俗的規矩,世俗的空間可以是直角的,然後到了上帝的空間叫弧形。
193.288	198.311	這跟高地有講的一句話,曲線屬於上帝,磁線屬於人類。
198.311	205.118	所以這個狼香教堂, 祂在我們首先就行進的過程就感覺這座教堂該怎麼形容祂?
205.118	205.859	山坡上。
205.859	206.941	對,山坡上。
206.941	212.547	然後像是一個帽子,因為祂就是一個弧形,這樣兩邊這樣搭起來。
212.547	216.772	一個大的弧形的平面在一邊,另外一個小弧形的切形的。
217.193	218.694	從下面慢慢走上去。
218.694	221.436	我記得我那時候我們到的時候是冬天。
221.436	223.817	我在半山的時候就滑下來,因為下雪。
223.817	225.958	我就滑了,摔了一屁股。
225.958	230.201	我真是進到了那個教堂裡面,哇,我覺得這教堂冷死我也。
230.201	233.003	真的是比冰箱還要冷,比外面還冷,為什麼?
233.003	235.044	因為它是混凝土的教堂。
235.044	236.985	夏天應該是要能夠怎麼樣?
236.985	238.646	冬暖夏涼。
238.646	246.151	但是它冬天並不很暖,因為它開了好多,它在深凹的弧形的後牆上,開了好幾個很大的窗戶。
246.391	251.692	他的這個窗上面又是鑲嵌了這個彩繪玻璃的,叫蒙德里安的圖。
251.692	257.493	因此呢,他這個冷風透過了那些薄薄的窗,只有一層單層窗戶。
257.493	261.974	當然這光線非常的有戲劇效果,可是就是冷死你耶。
261.974	278.178	但是,我們到了那個地方呢,我們就發現,這個教堂也很奇怪,它是天主堂,可是是不是因為天主教那時候有個梵蒂岡第二次大公會議,把很多東西改了,所以大家都開始跳Tone, 自由了。
278.178	282.181	他的這個座椅是只有在一區,右邊,偏右邊。
282.181	285.924	不是中間走到兩邊一樣的,它是不對稱的。
285.924	290.587	對,不過這樣也剛好,因為它的屋頂也是不對稱的,整個過來。
290.587	293.670	所以你知道那個教堂就不對稱,一個斜屋頂,然後單排。
293.670	298.093	所以我們看到,宮東高宮禮拜堂,它也歪一邊。
298.093	299.834	對,它也是這樣子的教堂。
299.834	300.355	同一時代。
300.555	303.298	而且也是有一個深凹窗,深藻的窗。
303.298	309.584	他的這個窗道的下午後的陽光,這個灑進來的時候呢,這個透光跑進來。
309.584	313.528	然後有紅色的,綠色的,這幾種顏色。
313.528	315.329	他們要蓋這些教堂都很不簡單。
315.329	320.414	因為那時候的台東是相當,我想那年代任何地方都是相當的平靜。
320.414	322.977	整個台北,或者整個建築的水準都很不同。
323.097	324.338	都根本跟不上。
324.338	334.866	那他們要把這種,哇,這種工業時代的這個,工業改革後的這些現代的元素,帶進來臺東蓋的這個地方,不是很容易。
334.866	342.913	首先就是技術上呢,技術上他要如何訓練在地的工人,來去膠製混凝土,去把膜給打出來。
342.913	349.638	據說呢,我是看他的這個別傳,他的記錄,他是到了那個地方,他覺得不滿意請你拆掉。
349.838	351.820	還打掉然後再重做。
351.820	354.242	那再來就是很實際的那個錢。
354.242	355.303	錢的問題。
355.303	357.305	所以他就自己到國外去募款。
357.305	358.186	回去瑞士。
358.186	359.187	回去瑞士。
359.187	360.248	然後去募款。
360.248	362.330	把最好的建築師請過來。
362.330	363.972	那你知道蓋這個宮東教堂。
363.972	365.613	這個叫做達興燈。
365.613	367.896	我事實上不知道他有沒有來過臺灣。
367.896	368.997	可是我相當清楚。
369.377	373.002	這樣子的建築師，我們平常是請不起的。
373.002	374.584	在50年前找一個。
374.584	377.368	他是個德國建築師答詢的。
377.368	386.240	他們都是有參與這些就是什麼凡爾會議所制定的這些神聖的禮儀的原則這些就是有關教堂要如何蓋。
386.681	390.485	所以我常常想這些修士們也是很不簡單。
390.485	399.593	這個沒有冷氣的時代,你那麼大熱天,揮汗如雨,要去施工,要募款,然後還要辦學校,還要辦學校。
399.593	409.423	因為高工基本上是這些瑞士修士們,他們就希望能夠幫這些在地台東的小孩子,能裝備他們,讓他們有一技之長。
410.964	450.054	日本到現在這幾年每年好像他們高工的學生都得到很多的比如說全國的什麼木工比賽第一名啊或是他們木工好像還有很多老師是從瑞士德國直接運過來對連那些畫圖的這個平行尺啊還有做木工的這些料都是這些器具都是從國外來的這是讓我感佩的地方其實因為我們要去看這一個宮東的這個教堂 所以我們另外又走訪了另外一座,據說是他們這群修士的墓園,叫做小馬天主堂,St. Nicholas's Church,那他這個天主堂是一個,哇,也是我很難想像,在那個年代能夠蓋出來的屋頂。
450.054	453.397	一個方形的平面,可是屋頂, 我們說它叫斗笠。
453.397	457.838	它其實應該是正確來說,菱形有點斜一邊的這個方形。
457.838	461.500	然後它的屋頂就是,就是一個大斗笠打了一個小斗笠。
461.500	464.921	把斗笠打開來,抬起來,就看到窗戶可以進來。
464.921	469.643	所以大小斗笠接近的接點呢,就是它開天窗的地方。
469.643	473.785	所以是側邊的天花,那剛好天窗開了那個陽光灑進來。
473.785	478.907	那我們到了那地方,就看完了這天主堂,哇,它的這個, 繁體中文，臺灣國語。
478.907	480.987	繁體中文，臺灣國語。
480.987	482.848	繁體中文，臺灣國語。
482.848	484.369	繁體中文，臺灣國語。
484.369	486.209	繁體中文，臺灣國語。
486.209	487.390	繁體中文，臺灣國語。
501.220	510.424	這些神父他們的,十多座我記得,他們就把自己埋在這裡,好好的耕耘,然後之後也死在這裡,變成臺灣人。
510.424	537.294	我記得你在101的時候,也辦了一個頒獎典禮,把這些新臺灣人,領了臺灣身份證的神父們, 對,我們其實是沾他們的光,因為這個其實政府都頒給他們新臺灣人的這個護照了,等於是承認也肯定他們在臺灣默默貢獻了這個一甲子不止喔,對,這些接濟前來臺灣的,非常的令人感佩。
537.294	548.757	對,所以就讓我想起了聖經那裡,我們所讀的聖經,上面就有一個一粒脈子,我們常常也是有一些沒有去教會的朋友,他問我說一粒脈子是什麼回事?
549.497	553.580	一粒麥子跟一粒珍珠是不一樣的。
553.580	555.681	因為一粒麥子是有生命力的。
555.681	562.146	對,他就是說,你要是一粒麥子,你要死了埋在土裡,你才能長出千萬顆來。
562.146	576.997	他的意思就是說,你到了一個地方,就是要埋下去,要從這個很基層就很委身的,把自己奉獻,把自己的生命奉獻,然後你就可以, 發網就想出很多的資質。
576.997	581.020	其實這個白冷會就讓我想到其他的總會的辦公室跟他的教堂。
581.020	582.181	裡頭有一個教堂。
582.181	583.121	我就看到哇!
583.121	586.344	好明顯的又是回復到柯比義。
586.344	592.228	他在做邁向性建築的時候好傳統的垂直水平的遮陽板。
592.228	594.250	或他裡面的格子。
594.250	599.034	就是好看起來就是非常的早期就是做現代建築的時候這種傳統。
599.514	600.435	都在。
600.435	606.919	可是他到了做宮東高宮禮拜堂的時候,他就做了另外一方的常識。
606.919	613.243	所以這整個東部海岸線的教堂,一座一座都有不同的這種詮釋。
613.243	615.224	在那個時代尤其難得。
615.224	625.432	你可以想像在五十幾年前, 宮東高宮禮拜堂,它不是現在像是安藤宗雄在臺灣做的一個清水模。
625.432	628.675	五十幾年前做清水模,做得起來嗎?
628.675	633.279	他們慢慢的,一樣在那五十幾年,一樣克服了各種困難,一樣把它開完了。
633.319	684.698	對,我還記得去白冷會的總會,在台東的這條路上,他們有個花園,然後有一位修士,他就非常的熱心,他就跟我們介紹,他這個花園裡面的花卉,就是他自己去種的,他都是,我記得有肉桂,然後還有我們的洛神花,他都是用在地,然後又是有一些經濟價值的,因為他們自己也可以使用, 我另外有注意到呢,他們除了就是很注重手作,除了這個我剛說的壁畫,還有這個藝術雕塑品,他們窗戶啊這些,我印象中他這邊轉的那個窗,就說因為他要維持建築的這個現代的語彙,所以他沒有用那個限制的,就是特製現成的這個鋁窗,他就是自己去開了一個這個, 不是規格的這個長窗。
684.698	686.818	長窗下面就加一個簡單的框。
686.818	688.919	然後呢為了讓它關起來的時候。
688.919	690.160	立面是統一的。
690.160	691.800	所以它是它的軸心。
691.800	693.881	對它是前倒後倒型的。
693.881	695.681	讓它無論是開或者是關。
695.681	697.842	看起來建築物的立面都是完整。
697.842	700.203	所以可以大家可以聽到我們這些描述。
700.203	701.303	不同的教堂。
701.303	702.464	可是他們都是在想。
702.464	706.525	怎麼樣把歐洲建築的傳統在地化。
706.525	707.785	遇到好多困難。
707.785	708.586	可是他們並沒有說。
709.326	711.768	臺灣這樣子不適合吧。
711.768	713.330	算了算了算了。
713.330	715.632	像臺灣這些廟或這樣就好了。
715.632	716.513	沒有欸。
716.513	718.415	他們就一點一點堅持。
718.415	720.637	雖然那時候不同的文化圈。
720.637	721.638	時間還沒到。
721.638	722.720	沒辦法直接進來。
722.720	724.401	但是他們願意先做。
725.162	726.944	默默地把它給做出來。
726.944	732.068	到現在看,覺得他們那時候的堅持是對的,是好的。
732.068	743.499	我想今天這樣的一個節目,就是希望跟大家講一個話題,其實歐洲或是從西方來的東西,有些東西如果是好的,真的是要好好的堅持它。
743.899	751.062	像我們有時候去傳福音,有時候很多人會笑我們,你們花這麼多時間在教會啊,這樣到底對不對?
751.062	760.165	但是當你覺得你認定一個東西是好的時候,願意跟別人分享的時候,別人感受到你的熱血跟你的 passion。
760.165	765.627	希望你喜歡今天的節目,那如果你喜歡,幫我們按讚,幫我們分享。
765.627	769.669	好,我們今天就到此結束囉,謝謝各位,掰掰!
