start	end	text
23.200	27.381	各位朋友大家好,歡迎來到教堂敲敲門。
27.381	32.663	很高興藉著這樣的一個節目,把教堂的美,分享給各位。
32.663	36.144	跟大家介紹教堂,到底怎麼樣去看它。
36.144	44.647	有些人很輕鬆,或者是開玩笑的口氣說,你們好像是教堂之美的哈佛夫妻黨。
44.647	51.830	想要來,我們不是推銷教堂,教堂不需要我們來推銷,但是我們覺得好東西,要跟好朋友一起來分享。
52.295	84.346	的確因為我們兩個都是學建築的同班同學哈佛同班同學哈佛夫妻黨那因為David他是學建築的他是建築師那麼我本身呢後來有轉到不動產但是在建築事務所還有在這個都市設計的領域也都有涉獵過其實最終我們兩個會認識也是因為教堂的關係啊因為上帝因為上帝因為你走入了教堂對不對我們才有可能結婚 話說回來,因為我們很久沒有一起出國了。
84.346	88.050	我蠻想念那段時間,我們一起可以出國,然後去看教堂。
88.050	91.594	我們每年大概都要看個十幾棟教堂吧。
91.594	93.957	已經是乖很久了,都沒出去。
93.957	97.661	那我發現有很多朋友跟我一樣的想法。
97.661	98.322	悶久了。
98.322	101.366	對,沒有辦法出國,回來就要隔離14天怎麼辦?
101.766	108.631	後來他們就去偶然的期間買到了我們的書,然後就希望能夠多認識教堂。
108.631	116.377	所以盼望藉著這樣子的影集,可以幫助各位朋友,把這個教堂帶到你的家庭裡面來。
116.377	122.861	然後你們藉著去看這教堂,不只是更認識建築、藝術,更認識上帝。
122.861	128.485	所以我們今天就藉著這機會,跟大家來分享我們親自走訪這些教堂的故事。
129.599	132.102	所以這個時光要倒轉。
132.102	135.626	我們回到我們1994年那時候剛結婚。
135.626	139.210	我們去的那一間教堂在巴塞隆納的聖家堂。
140.742	151.069	還記得我們那時候剛結婚不久,去了這地方發現大失所望,怎麼他只有都是怪獸,然後只有一片牆的樣子,你記得嗎?
151.069	195.416	後來我們在2014年又回去,就發現他蓋好了,而且實際上他在2010年的時候,這個教宗就有去到那,因為他封頂,是要做一個儀式的,你知道這天主教,然後封頂以後,他還在繼續蓋, 那後來我回來呢這建築師你就你就會很清楚知道這怎麼一回事他們當初蓋的時候沒有申請建造真是非常有趣因為高地這個人據說好像建築系他考建築師一直考不上然後他也本身很挫折可是他是一個非常的有這個奉獻心智的人因此當這個出資蓋的人這不是教廷出資蓋的人他是去了羅馬這地方朝聖回來 他說我也要蓋一棟很漂亮的教堂。
195.416	196.216	一個書商我記得。
196.216	197.497	對一個書商對。
197.497	199.778	他說我也要蓋一棟這麼棒的教堂。
199.778	201.138	媲美這個聖彼得大教堂。
201.138	202.399	他就找了高地。
202.399	204.279	高地也是奉獻的心喔。
204.279	205.440	但忘了申請執照了。
205.440	206.580	就直接給他蓋下去了。
206.580	208.981	對你知道到2018年喔。
208.981	212.263	這個西班牙政府當然也是希望能夠分一杯羹喔。
212.263	214.824	因為看這個這個都他們在收門票啊。
214.824	215.964	進去排了好多人。
215.964	218.385	政府都說我開你一張罰單給你4100萬歐元。
220.026	222.149	哇,你知道這幾億啊?
222.149	227.996	對,然後呢,這建造總算在2018年延遲了137年才合法。
227.996	230.599	當然現在合法以後還在繼續蓋,這是還蠻好玩的。
230.599	232.902	所以遲了137年。
232.902	238.389	對,然後我們都不用問他有沒有使用執照,因為他根本就是已經在使用中了。
238.609	243.353	那大家就其實很期望,到底鎮壓塔裡頭會長什麼樣子?
243.353	244.995	或從外面看是什麼樣?
244.995	247.077	從外面看有些人是說,欸?
247.077	249.419	他看到那個16個小尖塔。
249.419	250.520	有人就說,欸?
250.520	258.647	它很像在整個西班牙州的郊區啊,有好多的那種像螞蟻窩這樣的感覺。
258.647	262.530	一個一個的塔都像是螞蟻窩慢慢慢慢堆起來的那個沙塔。
263.131	275.442	真的還有點像那種仿生的設計是不是他就想到說可能從這個引發他覺得這個塔不一定要蓋得像義大利巴黎那些樣的塔從這樣子仿生開始。
275.442	319.389	對你知道加特羅尼亞那地方呢他要蓋一個非常有地區色彩但是那時候教堂大家都是要用歌德式的所以他想那我蓋一些不同的東西那他就用這個 很藝術家但是其實很手作的方式很自然這個手作的方式去把這個他所認知的周圍自然的美麗的這些景象就是這個Monterey那個山上有的花卉然後有的這個樹都把它移植到這個教堂來 所以這個教堂,大概是我看過,最特別的就是它的柱子,非常的不規整,沒有一根柱子是一樣的,上面都有樹流,而且這樹枝上面是這樣,粗粗的樹幹到上面就會分叉,分叉,每個分叉的方式都不同。
319.889	334.174	我是不曉得說是不是當我們幫高地來做介紹,如果我是他的解說員,我可能會說,高地,我就是想要把整個的宇宙,整個的森林搬到教堂裡面來。
334.174	338.696	當然他就意涵著宇宙、森林都是上帝創造的啊。
338.696	343.758	所以你在裡頭就看到了十字架,看到耶穌像,但是也看到整個宇宙在裡面。
344.138	366.461	對的確是有這種心願要把祂所認知的自然就是體現了上帝的臨在把這上帝的臨在臨在在創造的受造的萬物當中搬到教堂來這是一個最能讓人感受到上帝存在與上帝相遇的地方那不說我們是不是有信仰我想任何人見到這樣一棟教堂都會說哇 這好漂亮。
366.461	375.167	因為的確我當初,當還沒有信主的時候,我就是進去一個這樣子的歌德教堂,然後就走進去,心裡就是,哇,好漂亮。
375.167	380.010	我覺得這樣子的教堂,很容易的就激發你一種,一種崇敬的感覺。
380.010	383.533	那其實我們再回頭來想,為什麼教堂都要是歌德式的?
383.933	393.719	對,很多人都會覺得,哥德式的教堂,我們知道在聖彼得大教堂,它其實不是哥德式,但是我們就來想一下,像巴黎的那個聖母院,它是哥德式。
393.719	411.111	有一位這個十八世紀的,我才知道這個,其實教會裡面,有人在鑽研這個,教堂的這個建築理論,一個叫Abelogé的,勞基爾神父,他就有寫過就是說,這個, 大家有沒有想過,這個建築的原型,為什麼人要開始有建築性?
411.111	412.271	第一棟建築物。
412.271	415.834	對,第一棟建築物,你覺得可能出現在哪裡?
415.834	418.295	出現在伊甸園嗎?
418.295	420.557	伊甸園有樹,不需要房子嗎?
420.557	421.117	要嗎?
421.117	426.501	他們會被下雨,那兩個人非常的耐寒,非常的能抗溫,不需要房子。
426.501	429.663	我以為伊甸園在中東,中東其實一年可能下不到三點。
429.923	446.719	好,所以有一個問題,而且我有讀過另外一個,就是因為我們帶茶精班,那個帶到那個創世紀那時候,他說那時候好像不太下雨,因為它是有自然的霧氣,然後這個水會自然滲入大地,有靠靠自然的澆管。
446.719	454.346	但是呢,總是總是有的時候睡覺的時候需要有個地方,就像我們的小孩都睡覺的時候,早期給他們那個小帳篷什麼的。
455.247	466.472	所以,如果這個需求的話呢,我們就可以想像,這樹蓋如果長到最高點,它的樹梢是會自動的結合在一起。
466.472	474.336	那如果一排的樹就好像我們臺灣的那個綠色長廊,綠色隧道,走過去,它的樹梢結在一起。
474.336	476.437	這不就是自然的歌德式了嗎?
476.437	478.858	堅拱的idea就這邊來的。
478.858	480.639	歌德很重要,堅拱。
481.459	487.786	所以呢,高地他用這個歌德的語彙來做,把那個樹給移植進來,也是很有道理的。
487.786	494.875	那還有屋頂上的有一些星星,然後有一些宇宙,花卉星星,宇宙外物星球。
494.875	500.260	我們後來又到那個地下室去參訪他的workshop,他的一個工作坊, 他幾乎不只工作坊在那裏。
500.260	501.040	他也住在那裏。
501.040	502.041	對,他也住在那裏。
502.041	503.542	真是非常的鞠躬盡瘁。
503.542	509.865	那我們知道他蓋的那時候﹐可沒有所謂的叫做﹐那個結構的計算方式。
509.865	512.366	一切都是用測試的。
512.366	515.288	所以他就真的用這個吊繩﹐用線,吊著紗包。
515.288	517.809	對,用線吊了很多不同的東西。
517.809	520.391	均勻施力,然後兩端支撐。
520.391	524.313	然後呢﹐把它凝固起來,抓到那個線條以後呢﹐反過來。
524.633	527.376	翻過來就成為這個玉栗。
527.376	529.278	玉柱跟玉栗的這個屋頂。
529.278	530.199	屋頂結構。
530.199	531.561	這就是他們的這個。
531.561	533.483	膠製的混凝土的概念。
533.483	534.945	其實膠製的混凝土呢。
534.945	537.908	他本身是來自了這個古羅馬。
537.908	539.170	先到羅馬時代。
539.170	541.312	那也是我們最早熟悉的。
541.312	543.414	瓊籠圓頂的對不對。
543.414	545.517	我們到了羅馬或那些地方會看到。
545.657	549.482	這樣子的建築物,用來做教堂還蠻多的。
549.482	553.107	這其實是體現了不同的神觀,對不對?
