start	end	text
5.472	77.341	各位弟兄姊妹大家平安很開心能夠跟大家來分享我們的陪讀訓練課程那今天呢牧師要來跟大家分享的是為什麼我們要陪讀那什麼是陪讀呢我們先來介紹什麼是陪讀還有陪讀的定義到底是什麼 第一個陪讀就是要使用我們的聖經教材或者是陪讀的教材每週有一次很固定的時間大概花40分鐘到60分鐘的時間來採取一對一或一對二或者是二對一、二對二的方式來陪伴人、另外一個人來多走一里路在神的話語上面來學習 那這個就很像現在很夯的如同這個信服小組在推動的這個BEST就是把你陪讀的對象你給他最好的精緻的時間然後陪伴他來讀聖經來陪讀教材第二個呢就是顧名思義陪讀呢就是先陪 在讀。
77.341	82.344	所以陪的時間呢﹐會是﹐站到六成到七成。
82.344	86.787	讀的時間反而比較少是﹐大概三成左右。
86.787	92.071	所以在陪讀過程裡面﹐我們要小心就是﹐聆聽是很重要的。
92.071	95.714	聆聽跟建立關係才是重點。
95.714	97.695	不要一直都是你在講。
97.695	103.099	讓被陪讀者有多一點﹐分享他自己的狀況的機會。
104.531	113.358	我們也希望陪讀就是藉著這個關心、祷告跟分享神的話語來彼此建立彼此的生命。
113.358	120.063	使生命能夠更新進入到我們耶穌基督應許給我們的更豐富的生命。
120.063	125.407	第二個要跟大家來分享的是我們為什麼要陪讀。
125.407	131.591	陪讀呢第一個就我們要來完成耶穌基督所交付我們的大使命。
132.312	149.668	耶穌基督在這個《馬太福音》28章這邊,18到20節講到說,天上、地下所有的權柄都賜給我了,所以你們要去使萬民做我的門徒,奉父、子、聖靈的名給他們施洗。
149.668	156.514	凡我所吩咐你們的,都教訓他們遵守,我就常與你們同在,直到世界的末了。
156.834	164.636	這邊特別講到說﹐凡耶穌所吩咐的﹐我們都要教訓﹐我們被陪圖者的﹐來遵守。
164.636	169.397	所以在這裡其實是﹐我們要完成﹐耶穌所教父我們大使命。
169.397	188.601	第二個原因呢﹐就像保羅﹐使徒保羅﹐他對他的屬靈的兒子提摩太﹐臨終的交代一樣﹐他說道﹐你在許多見證人的面前﹐聽見我所教訓的﹐ 也要交託那忠心能教導別人的人。
188.601	196.183	如同保羅所說的,我們都是欠了福音的債,所以你當然要還這個福音的債。
196.183	200.765	所以陪讀的目的,很簡單的說就是信耶穌吧。
200.765	208.787	弟兄姊妹,我們陪讀的目的,簡單的說就是要領人歸主,相信耶穌基督的救恩。
209.667	229.241	第三個我想要跟大家分享的是,我們在陪讀的這個訓練當中呢,我們選用的教材是選用了這一本每日言經事義的造就,初信造就,初信造就,認識你真好。
229.241	237.668	那為什麼後來我們決定這麼多的陪讀教材當中,為什麼後來決定要選擇這一本呢?
238.268	276.154	在我個人的過往的陪讀經歷當中我發現其實大家的時間都非常的寶貴因為大家都非常的忙碌所以我比較期待在陪讀人的時候能夠直接切入到福音的核心就是直接從福音書來入手那這一本書剛好就是在講這個整個的路加福音 《路加福音》,所以這本書非常的清楚的帶領我們走完了《路加福音》從第一章到最後一章,24章。
276.154	280.698	在這個地方可以認識耶穌基督的生平跟救恩。
280.698	324.224	那第二個呢,就是這套陪讀教材呢, 有一個彈性就是他其實整個陪讀教材如果你被陪讀的那個人他有時間可以跟你陪讀85天的話你就可以用85天 從第一天陪讀到85天可是若是這一個被陪讀的人他只有給你三天或七天的時間你也可以從這個路加福音裡面隨時的切入跟他宣講福音所以這一個這本教材可以是 可以是陪圖者他的需要來調整。
324.224	333.607	那第三個我選擇他的原因,就是其實莊牧師也已經錄製過每日言經示意的路加福音了。
333.607	347.670	他已經在福音書,四個福音書裡面,他已經錄製完三卷,就是路加福音,馬可跟約翰福音, 這些也都放在YouTube上面,大家都是可以隨時點上去聽。
347.670	360.234	然後,如果我們在讀經,待人讀經的過程裡面,我們有疑問的話,在這個每日眼睛事宜莊牧師的講解,也可以非常有效的解答大家的問題。
360.234	367.656	那現在呢,我們也正在讀《馬太福音》,所以隨時都能夠跟我們的福音書來配搭。
368.456	375.663	我們在這一個教材當中,我們選了規劃了七堂課。
375.663	378.425	那七堂課為什麼是七堂課呢?
378.425	385.152	因為第一個部分我們必須要講到這個神的創造,祂跟我們的關係。
385.452	388.114	還有罪的起源的問題。
388.114	409.828	所以呢我就用了這個教材裡面的這個一到四天一到四天在講創世紀一到三章這是我們要講的第一個部分那第二個部分呢就完全是鎖定在路加福音第一章到二十四章裡面 我選出了六個主題。
409.828	440.646	六個主題所以有六課所以如果這個你的朋友他只有七次可以讓你陪讀的時間的話你就可以充分的從這七堂課裡面把神、人、罪、恩、信我再講一次喔這個是福音、佈道、五絕裡面講到的神、人、罪、恩、信 這五個部分,福音的主軸,把它講清楚。
440.646	448.913	講清楚之後,你就可以帶領他來信耶穌,覺知,甚至來受洗。
448.913	461.204	在這一課的當中,我想邀請我們的弟兄姊妹,你們有一個可以一起來為自己, 也為你將要賠賭的那個人來禱告。
461.204	462.985	為自己怎麼禱告呢?
462.985	467.869	為自己能夠有勇氣去邀請你想賠賭的人。
467.869	470.631	求上帝把那個人賜給你。
470.631	475.335	也為對方的心田來禱告,讓他預備好。
475.335	478.938	當你邀請他的時候,他會心難接受。
480.009	552.451	求神赐下勇氣跟不放棄的心在我們陪讀者的身上跟被陪讀者的身上第二個我們可以來禱告就是當我們在為被陪讀者禱告的時候呢他可能通常每一次來到要來跟你陪讀的時候可能會遇到一些的困難障礙或者是身體突然不舒服 或者是突然有一些雜事 把他叫走了或者是說突然遇到交通的問題有各式各樣的問題 可能會攔阻他來被陪讀所以我們每一次呢 也都要為你的被陪讀者來禱告那自己也要做好充分的準備 再來陪讀他 那今天第一堂課呢我想跟大家分享的就是剛剛講的為什麼要陪讀我們到底使用什麼陪讀教材在陪讀的時候我們可以怎麼樣彈性的來用這個教材然後怎麼樣為你的陪讀者跟你自己來禱告那以上是這一堂課的內容
