start	end	text
19.002	28.170	弟兄姊妹平安，我們按照《每日延經》事宜的進度一起來思想,以斯帖記第九章一到十六節,首先我們一起來讀第一節到第四節。
28.170	44.223	以斯帖記第九章十二月,乃雅達月十三日,王的禦旨將要舉行,就是猶大人的仇敵盼望挾制他們的日子。
44.223	57.290	猶大人反倒挾制恨他們的人, 有大人在雅哈隨魯王各省的城裡聚集﹐下手擊殺那要害他們的人。
57.290	63.493	無人能抵擋他們﹐因為各族都懼怕他們。
63.493	72.217	各省的首領、總督、省長﹐和辦理王室的人﹐因懼怕莫迪改﹐就都幫助尤大人。
74.599	82.543	莫迪改在朝中偉大,民聲傳遍各省,日漸昌盛。
82.543	101.394	第一節十二月,就是這個南亞達月十三日,十二月十三號這一天,王的御旨將要舉行,就是猶大人的仇敵盼望挾制他們的日子,猶大人反倒挾制恨他們的人。
102.363	153.336	這個也讓我們看見即便很多地方的百姓民族都知道王現在是偏袒喜悅猶大人即便很多人因為知道王喜悅猶大人他們就懼怕猶大人甚至讓自己成為猶大級的百姓沾一點光即便是如此還是有人 跟這個猶大人繼續對峙還是有人硬著心等12月13號這一天開戰開打所以12月13號這一天仍然有恨猶大人的人存在 犹大人就在雅哈水路王各省的城裡面聚集,下手擊殺那些要害他們的人,甚至無人能抵擋他們。
153.336	154.396	為什麼?
154.396	171.326	因為各族都懼怕他們,各省的首領、總督、省長和辦理王的事務的人,因為懼怕莫迪改,很多人都反而倒過來幫助犹大人,所以犹大人就大勝他們的仇敵。
171.886	203.373	所以我們看到這個整個局勢真的是很大的改變第一種就是很多人因為懼怕猶大人就入了猶大籍第二種是仍然有一些人他就是還是很恨猶大人也在等12月13號這一天要開戰要開打第三個是一些站在猶大人這一邊的大臣還有各個民主的首領那他們最後在12月13號這一天選擇 協助犹大人,來擊滅他們的仇敵。
203.373	210.375	第四節,這邊就下一個評論,莫迪改在朝中偉大,名聲傳遍各省,日漸昌盛。
210.375	215.996	所以很多人都站在犹大人這邊,所以犹大人的仇敵就被殲滅。
215.996	220.117	我們就來讀第五節到第十一節。
220.117	248.071	犹大人用刀擊殺一切仇敵,任意殺滅恨他們的人, 在舒山城,猶大人殺滅了五百人,又殺巴山大他、達芬、亞斯帕他、珀拉他、亞大利亞、亞利大他、帕馬斯他、亞利賽、亞利代、瓦耶薩他。
248.071	254.012	這十人都是哈米大他的孫子,猶大人仇敵哈曼的兒子。
255.657	261.863	猶大人卻沒有下手奪取財物。
261.863	267.789	當日,將書山城被殺的人數呈在王前。
267.789	275.236	第五節開始就記載了猶大人用刀擊殺了一切的仇敵,然後任意殺滅恨他們的人。
276.084	282.427	我們應該這樣理解,是這些恨他們的人,也一直等候12月13號這天來到。
282.427	285.088	他們果然對猶太人發動了攻擊。
285.088	290.390	但是呢,因為大部分人都站在猶太人這一邊,起來幫助他們。
290.390	293.951	當然更重要的是,上帝站在猶太人這一邊。
293.951	301.074	所以猶太人就獲勝,就用刀反擊、擊殺了一切攻擊他們、恨他們的人。
302.534	304.615	第六節在蘇珊城這個部分呢。
304.615	307.617	猶大人是殺滅了五百人。
307.617	310.499	然後又殺了接下來列列一些人民。
310.499	311.620	這十個人。
311.620	314.882	其實就是哈曼的兒子們。
314.882	316.504	他們也在等這一天。
316.504	318.045	要來報仇。
318.045	320.927	但是猶大人雖然打敗了。
320.927	322.788	殺滅了。
322.788	324.769	所有這些恨他們的人。
324.769	327.991	但卻沒有下手奪取財物。
327.991	330.433	當初哈曼用的詭計就是這個。
330.433	331.314	利用人的貪婪。
332.210	340.993	他說12月13號那一天,任何人都可以殺尤大人,而且殺了他們之後,可以搶奪他們的財產。
340.993	349.516	所以很可能一些本來跟尤大人也沒什麼冤仇的人,因為貪婪的緣故,就加入要謀害尤大人的這個陣營裡面。
350.196	360.378	但是我們可以看見,後來猶大人反過來消滅這些,仍然執意,硬著心,要來挑戰猶大人的這些仇敵。
360.378	363.759	他把他們打敗之後,他並沒有去搶奪他們的財物。
363.759	373.561	代表說,他們殺仇敵的目的,不是為了要搶奪財物,不是因為貪婪,而是出於自衛,這是一個很大的差別。
373.561	379.707	好,第十一節當日, 就將蘇珊城被殺的人數,呈報在往人面前。
379.707	389.032	我們可以看見,在蘇珊城這麼大的城裡面,其實這個猶大人並沒有濫殺無辜,並沒有趁機到處去殺人、搶劫。
389.032	395.796	沒有,他只是針對來攻擊他們的人,進行適當的、適度的一個反擊。
395.796	402.860	那如果這些人仍然要跟他們打到底,那猶大人也不客氣,那就把這些仇敵除滅。
402.860	404.541	我們接下來讀第十二節到第十六節。
406.101	423.554	王對王后以斯帖說,尤大人在舒山城殺滅了五百人,又殺了哈曼的十個兒子,在王的個上不知如何呢。
423.554	432.340	現在你要什麼,我必賜給你,你還求什麼,也必為你成就。
435.111	449.481	王若以為美﹐求你准書山的尤大人﹐明日也照今日的旨意行﹐並將哈曼十個兒子的屍首﹐掛在木架上。
449.481	452.784	王便允准如此行。
