start	end	text
12.278	44.766	哈囉大家好好開心我們又見面了我是寫以色列美小的約阿咪大家很開心見到我嗎我們這一集呢很重要我們要開始來做城市開箱我們會講特拉維夫跟亞法喔一開始我們還是要來破除迷思我們到底誤會了以色列什麼以色列很危險嗎請問別跟我媽說我在以色列嗎 其實呢,我們臺灣有很多去過以色列的人,然後也都平安回來了,包含我。
44.766	52.216	可是,其實我要承認啦,就是以色列它畢竟它是一個戰爭中的國家。
52.216	57.542	那所以在特殊地點啊,在特殊節慶的時候,你真的會看到軍警擋在路上。
58.746	76.492	那這些軍警他們如果看到一些比較可疑的阿拉伯人他真的會把他們就是抓過來檢查像這個樣子那檢查什麼就是通常會看他裡面有沒有藏小刀或者是攻擊人的武器為什麼呢?
78.268	79.769	這我之後再講。
79.769	133.880	那你就要理解一下就是以色列他其實他在建國之前阿拉伯人就跟猶太人就已經有衝突了他是在一建國在1948年的時候就打了第一次的中東戰爭然後在1967年的時候他又打了一個很大的六日戰爭然後在1973年的時候他又打了一個很大的贖罪日戰爭所以他是一直都是在面臨戰爭的一個國家 而且你在新聞上你常常會看到哈馬斯他射飛彈到以色列從加薩走那你可以看一下就是這張圖其實每個火箭的射程是不一樣那已經是可以打到特拉維夫了然後以色列人其實他們真的就是生活就是這樣子啊如果他要躲飛彈他其實只有15秒的時間可以躲到防空洞 面對戰爭,其實以色列人他們選擇的方式是去好好的活著。
133.880	138.783	所以你看小朋友他的公園,他的毛毛蟲那個隧道,其實他那個就是一個防空洞。
138.783	144.006	或是說他的城市裡面藝術,他就拿那個哈馬斯射來的火箭就把它做成藝術品。
144.006	147.768	那以色列他畢竟,這就是以色列的樣子。
147.768	151.551	他們的孩子18歲的時候,男生呢就要去當兵。
151.551	154.593	女生也要當兵,男生是當三年,女生當兩年半。
155.213	200.239	所以你就知道這就是神力女超人的國度你第一天到那邊你可能覺得有點緊張那邊有人帶槍走在路上可是第二天你就會發現以色列就是這個樣子你會習慣的但是無論如何你出門完你還是要買履平險哦因為你不知道你會有什麼樣子的意外發生在以色列看病非常的貴所以記得買保險哦 菜鳥變成背包老手可能你沒有自助旅行過可是真的不需要擔心太多你買了一張機票好你飛到以色列了恭喜恭喜恭喜然後呢你要拿行李可是在拿行李之前你要先入境入境的時候移民官會問你一些問題像是What's your name?
200.239	203.522	你叫什麼名字What's the purpose of your trip?
203.522	204.362	你為什麼要來?
204.362	208.345	你就回答說Tourism 那How long do you plan to stay?
208.345	209.987	你希望待多久?
209.987	232.044	然後你就跟他說可能是14天啊兩週啊就據時已達就好那以色列機場他代號是TLV他位於耶路撒冷以及特拉維夫之間那我們亞洲來的飛機通常會抵達的是第三航廈你到了以後呢給大家看 那你入境了以後呢,你到了入境大廳,你往右看。
232.044	234.485	Exit 1那邊就是火車站在的地方。
234.485	239.409	你在出發之前呢,你是可以先到以色列美角粉磚。
239.409	246.994	我們有一個全民族,就是大家都收他們沒有用完的Share Codes啊,或者是像是以色列悠遊卡,或者說是電話卡。
246.994	248.755	你可以先在那邊買。
248.755	252.578	或者說呢,機場它也有ATM,你可以領錢,你也可以換錢。
252.978	256.720	那如果你沒有現金的話其實也OK。
256.720	259.322	因為買火車票是可以用刷卡的。
259.322	262.163	所以在這個階段沒有現金還是OK的。
262.163	264.685	那火車票怎麼買?
264.685	266.966	火車票呢你買法有兩種。
266.966	269.487	我都建議你都還是用以色列悠遊卡。
269.487	271.188	為什麼呢?
271.188	273.590	這裡跟大家講一個背包小撇步。
273.590	275.471	就是你用以色列悠遊卡。
275.471	277.572	他在充值的時候他送你25%。
279.753	280.914	所以就很省錢。
280.914	285.618	所以這是為什麼你買票盡量是用RAVKAVKA買。
285.618	288.820	那我會建議大家先充一百塊錢。
288.820	293.284	然後你用到差不多的時候再充三十塊這樣。
293.284	295.345	那買火車票有兩種方式。
295.345	298.608	第一個呢就是你假設你沒有RAVKAVKA的話。
298.608	304.773	你可以先在這個入境大廳 你進來後你會看到這個Rovka的櫃台。
304.773	306.694	它前面它有一個自動販賣機。
306.694	310.998	你可以在這邊完成買卡以及充值的兩個動作。
310.998	313.660	然後呢再到火車站買票。
313.660	318.364	那另外一個方式呢就是你直接就是到 火車站的人工櫃檯。
318.364	320.046	然後就直接完成。
320.046	320.766	買卡。
320.766	321.247	充值。
321.247	323.168	以及買火車票的方式。
323.168	324.409	所以這兩種方式都OK喔。
324.409	326.571	然後那我們來順便看一下。
326.571	328.452	以色列火車長什麼樣子。
328.452	330.254	從機場到特拉維夫。
330.254	331.615	或者是耶路撒冷火車。
331.615	333.096	都是雙層火車啊。
333.096	335.598	所以你可以選擇你要坐上面還是下面。
335.598	337.440	那火車上面有廁所。
337.440	338.440	也有Wi-Fi。
338.440	338.460	那。
339.121	345.305	到了特拉維夫以後你就再看你是要走路或者是搭公車到旅館都OK喔。
345.305	348.988	那搭公車的話也記得刷ROCKTOP卡就可以囉。
348.988	350.969	城市開箱。
350.969	355.293	這集我們要打開的城市是特拉維夫。
355.293	355.653	牙發。
357.722	361.364	特拉維夫的意思是春天的山丘。
361.364	364.426	那講到特拉維夫大家一般的印象是什麼?
364.426	369.530	可能就是海邊啦,然後就是很多派對啦,然後很多大使館都在這邊。
369.530	372.192	那的確他沒有像耶路撒冷那麼宗教。
372.192	379.716	你知道在當地有一個說法就是Jerusalem prays耶路撒冷禱告然後Tel Aviv parties特拉維夫 派對。
379.716	380.397	然後Hive Works。
380.397	382.718	就是Hive 它是另外一個城市。
382.718	384.179	他們就是負責工作。
384.179	387.081	那其實我一直都是比較喜歡耶路撒冷的人啦。
387.081	392.124	我就常常就覺得說其實觀光客出過特拉維夫沒有什麼關係。
392.124	393.245	但是。
393.245	396.747	特拉維夫他還是有一個重要性。
396.747	399.368	所以這時候我又要再跟大家介紹一個人了。
399.368	399.769	特拉維夫。
400.469	430.447	這個衝浪的老人他其實他是個非常重要的猶太人他叫做Ben GurionBen Gurion他是以色列的國父特拉維夫機場的全名其實是Ben Gurion Airport就是以他命名的那那個時候1948年5月14號以色列宣布獨立的時候的獨立大廳就是在特拉維夫然後就是由這個國父來宣布的 好,我們來看要怎麼玩吧。
430.447	433.630	大家都可以參考一下美角的範例行程喔。
433.630	440.415	如果有一天時間的話,你可以早上的時候先去市中心的Carmel Market,就逛逛街這樣子。
440.415	444.279	你可以觀察人啊,然後觀察蔬菜水果啊。
444.279	446.340	就感受它那個氣氛。
446.340	448.882	然後你會發現,嗯,美角是對的。
448.882	450.584	就是真的沒有中東的感覺啊。
450.584	453.066	就是很悠閒,很歐洲的感覺。
453.066	454.167	然後很安全。
454.167	456.408	然後這附近有蠻多換錢的地方。
456.408	458.070	記得喔,no commission喔,先問喔。
458.490	467.700	然後呢,逛完市集以後,你可以到旁邊的特拉維夫會堂去感受一下猶太人禱告的樣子。
467.700	469.181	可以進去不要怕。
469.181	473.586	然後沿路你就一直往北,就會走到Dizengulf的廣場。
