start	end	text
3.729	9.374	弟兄姊妹平安，我們一起來思想以西結書第37章1到14節。
9.374	14.478	這段經文是以西結書裡面可能是最有名的一段經文。
14.478	16.180	我們來看一下。
16.180	22.465	耶和華的靈,原文叫耶和華的手,降在我以西結的身上。
22.465	27.610	耶和華藉他的靈帶我出去,將我放在平原中。
29.053	45.463	上一次,上帝也是把以西捷帶到平原去,讓他在那邊看見耶和華坐在榮耀的審判寶座上,掌管全地,也審判全地。
45.463	53.687	因此,不論百姓是在耶路撒冷,還是在貝魯的加巴魯河邊,上帝都仍然作者為王。
53.687	61.453	上帝也以公義的審判,也以祂慈愛的救贖, 來對待祂的百姓。
61.453	66.917	那這一次呢,以西節又被再一次帶到平原上。
66.917	70.499	上帝要讓他看見什麼意象呢?
70.499	78.445	將我放在平原中,這平原遍滿了駭骨,就是那些死人的骨頭。
78.445	82.228	他使我從駭骨的四圍經過。
82.228	88.633	誰知,在平原的駭骨甚多,而且極其的枯乾。
90.896	96.758	這個死人他是在對以色列的舊約來講是不潔淨的。
96.758	101.259	所以一般死人他不會讓他曝屍在這個外面。
101.259	103.540	但是現在因為怎麼樣?
103.540	106.721	死掉的人太多了。
106.721	113.083	多到一個地方無人收屍也無處可埋屍。
113.083	115.204	這是一個很慘的狀況。
115.204	118.945	而且這個狀況已經很久了。
118.945	120.126	都無人收屍。
121.015	122.436	也無處可以埋屍。
122.436	127.798	時間拖很久了,以至於骨頭都乾掉了。
127.798	130.139	就是這麼慘的狀況。
130.139	139.662	然後呢,耶和華他就對我說,人子啊,這些駭骨能復活嗎?
139.662	144.344	上帝看見以西結,非常的驚訝。
144.344	151.750	因為剛剛第二節說的,誰知在平原的駭骨甚多, 誰知他的原文是看啊!
151.750	154.011	好像以西節很驚訝。
154.011	155.591	他說看啊!
155.591	157.652	怎麼這麼多駭骨?
157.652	161.154	而且這麼久了都沒有人可以幫他們埋葬。
161.154	163.755	代表沒有人活著。
163.755	166.115	沒有人可以為死人埋葬。
166.115	168.336	因為全部都死光了。
168.336	170.917	而且這個情形已經好久了。
170.917	172.678	骨頭都枯乾了。
172.678	176.159	但是上帝看見以西節這樣的驚訝的時候。
176.159	177.980	他就挑戰以西節說人子啊!
178.968	184.432	這些死人骨頭能夠復活嗎?
184.432	188.875	我說,主耶和華,你是知道的。
188.875	194.740	上帝問以西捷,以西捷卻說,只有你知道。
194.740	196.361	代表怎麼樣?
196.361	206.369	這個整個死人的駭骨遍滿了平原,甚至連一個活著的人都沒有,來收拾屍體。
207.312	212.074	而且這個情形維持了很久,以至於骨頭都枯乾了。
212.074	217.437	這讓以西結,可能他連他裡面都受到一些動搖。
217.437	222.199	所以上帝才問他說,那你覺得他們還有救嗎?
222.199	225.580	以西結他就說,只有你知道。
225.580	231.103	以西結自己,好像信心受到一些動搖。
231.103	248.535	第四節,上帝面對以西結這樣回答,上帝就說,他又對我說, 你,以西捷,向這些駭骨發預言,說,枯乾的駭骨啊,要聽耶和華的話。
248.535	259.219	哇,以西捷把這個球推回去給上帝,他沒有把握,已經是這個德性了,還有救嗎?
259.219	265.062	因此他說,只有上帝你知道,除非上帝你願意,他們才有救。
266.220	302.485	那但是上帝呢又把這個球推回給以西捷他說我要你自己向這些駭骨發預言你要對他們說哭乾了駭骨啊要聽耶和華的話 主耶和華對這些駭骨如此說我必使氣息進入你們裡面你們就要活了我必給你們加上金使你們長上肉又將皮遮蔽你們最後使氣息進入你們裡面你們就要活了你們便知道我是耶和華。
302.485	315.435	上帝要以西節有信心來對駭骨發預言宣告神要使這一群 非常非常多而且也枯乾很久的死人骨頭。
315.435	317.596	重新從死裡復活。
317.596	320.157	那就看以西節有沒有這樣的信心。
320.157	322.197	以西節相不相信。
322.197	323.758	情況這麼惡劣。
323.758	327.739	還有機會起死回生嗎?
327.739	331.001	很多時候當我們拼命跟神哀求。
331.001	333.902	一些狀況很慘很糟。
333.902	336.183	這時候神也會挑戰我們。
336.183	337.663	我願意啊。
337.663	339.004	我能夠啊。
339.004	339.744	但是你信嗎?
340.725	371.655	如果你信那你要成為我的器皿你要對他們發預言你要去向那些看起來已經都是死氣沉沉行屍走漏的人你要去對他們傳講上帝願意救他們的信息上帝願意幫助他們的信息你敢不敢第七節,於是我遵命說預言正說預言的時候不料不料的原文其實也是看哪 就是以西節自己也很驚訝。
371.655	372.656	看啊!
372.656	377.024	當他平線先發預言,對駭國發預言的時候,看啊!
377.024	387.020	就有聲響,有響聲,然後有地震,然後呢,地震, 因為地震的時候,就讓那些骨頭怎麼樣?
387.020	390.281	好像都震動,都跳動起來。
390.281	393.382	透過這個大地震,使那些骨頭怎麼樣?
393.382	397.303	經文說,使那些骨頭就開始互相聯絡。
397.303	402.925	透過地震使那些骨頭動起來,然後結合在一起。
402.925	409.067	又組成骨頭的這個骷髏的結構,人體的結構,又重新組合在一起了。
409.067	412.428	我觀看,繼續看見駭骨上怎麼樣?
412.428	423.423	長出筋, 筋的上面又長出肉,肉的上面又有皮也長出來的,遮蔽其上,只是還沒有氣息。
423.423	433.730	以西節非常驚訝在意象中看見,神透過以西節願意憑信心領受上帝要死,枯骨復活的預言。
433.730	440.975	以西節就憑信心向枯骨宣告,人負責宣告,上帝負責行使神蹟。
