start	end	text
3.677	5.178	弟兄姊妹平安，我們一起來思想。
5.178	27.877	以西結書第33章的21節到最後,33章是一個轉折點,因為前面的25章到32章,上帝在論耶路撒冷周遭七個國家未來的命運,他們不悔改,驕傲自大,他們最後也都會落在神的審判裡面。
27.877	36.250	因此,上帝透過這樣的信息,特別提醒警告以色列人, 好好的回轉歸向我。
36.250	38.892	你今天做一個正確的決定。
38.892	40.673	回轉歸向我。
40.673	43.195	那過去的就會全部過去。
43.195	44.597	你今天的決定。
44.597	47.119	會影響你接下來的命運。
47.119	48.740	我必帶領你。
48.740	50.822	重新回到耶路撒冷。
50.822	53.644	不要再把盼望。
53.644	56.906	壓住在埃及的身上。
56.906	58.608	埃及自身難保。
58.608	58.788	所以。
59.428	61.670	我要對埃及發預言。
61.670	63.951	並且為祂做哀歌。
63.951	66.553	因為祂很快,祂也會滅亡。
66.553	72.798	而你們這些在這個加巴魯河邊這個跟以西捷在一起的人。
72.798	75.020	你們不要灰心喪志。
75.020	76.641	認為完蛋了。
76.641	78.623	全部都完蛋了。
78.623	82.566	都是那些之前還被神留在伊路撒冷的人。
82.566	84.107	沒有珍惜機會。
84.107	86.949	結果把國家搞到全部都滅亡了。
86.949	88.370	現在我們是真的回不去了。
89.019	90.640	上帝說不是的。
90.640	93.502	你們只要願意真心的回轉歸向我。
93.502	94.883	我必赦免你們。
94.883	96.725	我必帶你們回去。
96.725	99.287	我是公平的神。
99.287	100.688	你們過去行惡。
100.688	102.689	只要今天願意悔改。
102.689	105.111	我就算你們為義。
105.111	106.412	帶你們回去。
106.412	108.454	可是百姓都不願意聽。
108.454	109.374	百姓還在怪。
109.374	110.895	都是那些人搞砸的。
110.895	112.537	都是那些人搞砸的。
112.537	113.577	害我們回不去。
113.577	115.999	神祢不公平。
115.999	116.800	那33章的下半段。
117.551	120.734	又是在講另外一種人,他的心態。
120.734	132.447	就是在講那些國破家亡之後,所留下的更少數的,最窮社會地位最低的那些人,還留在耶路撒冷。
132.447	135.150	他們卻認為,太好了。
135.150	138.253	以西捷他們那批被擄走的,是上流階層。
139.292	144.135	祖前586年被擄走的那一批人是中間階層。
144.135	145.956	現在我們出頭天了。
145.956	147.477	我們是最下階層。
147.477	149.618	以至於巴比倫人看不上我們。
149.618	151.980	懶得把我們擄走的人。
151.980	154.781	還有一些中間階層人也逃到埃及去了。
154.781	158.243	剩下我們這些社會追擊最低的人。
158.243	158.603	哇!
158.603	161.345	現在耶路撒冷是我們的了。
161.345	167.949	他們就反而沒有在那邊為上帝的國、為以色列悔改歸向神。
168.490	173.236	反而在那邊沾沾自喜,認為換我們要出頭天了。
173.236	174.057	哇!
174.057	175.819	讀這段經文真是令人搖頭。
175.819	177.622	我們就來看這段經文。
177.622	190.700	二十一節,我們被辱之後十二年十月初五日,已經這個亡國之後, 一年多了有人從耶路撒冷逃到我這裡。
190.700	217.626	這邊是指說開始有被巴比倫人在祖前586年城破之後第一批這個新的俘虜他們終於在這個淪陷之後來到了加巴魯河邊跟之前以西捷那批貝魯的人 會合了。
217.626	221.768	而他們就告訴我們說,曾已攻破。
221.768	226.970	其實以西捷他們那邊的人,應該早就知道曾已經攻破了。
