start	end	text
3.575	6.796	弟兄姊妹平安，我們一起來思想以賽亞書第十六章。
6.796	16.597	我們在以賽亞書八個大段落裡面的第三個段落,十三章到二十三章,這邊有耶和華上帝對列國的審判的預言。
16.597	20.878	十五章已經在講摩押了,十六章繼續要講摩押的結局。
20.878	29.700	十六章第一節,你們當將羊羔奉給那地掌權的,從希拉往曠野,送到錫安城的山。
31.596	39.458	在以前以色列強盛的時候,他們都已經有管轄統治,摩押。
39.458	55.341	《列王記下》第三章第四節,告訴我們在亞哈王,北國亞哈王最強盛的時候,摩押王每一年都要向他進貢,十萬隻羊羔跟十萬隻綿羊。
55.341	63.749	這邊就是,他主要這樣談的意思是說, 好像,因為希拉已經是在摩押的很南邊了。
63.749	69.931	好像就是說,我們在十五章有看到,摩押從南到北都已經被亞述佔領了。
69.931	74.652	所以中央政府好像已經逃難逃到南邊的曠野的希拉。
74.652	84.435	因此好像要從希拉那個地方派出使節團,要到這個西安去求救,到伊路撒冷去求救。
84.435	97.255	彷彿當年他們進貢給以色列王一樣, 第二節,摩押的居民在雅嫩渡口,好像遊飛的鳥,如拆窩的櫥。
97.255	111.206	代表說摩押的居民在渡口那邊,很像難民慌張的在逃難,妻離子善,家庭破碎,國破家亡。
111.206	122.919	好像他們的使節團到了耶路撒冷之後,第三節、第四節, 好像是他們對猶大他們的祈求。
122.919	126.922	這邊用了五個起始句,五個懇求。
126.922	131.746	第三節,求祢現謀略行公平。
131.746	136.130	再來是,求祢的影子在午間如黑夜。
136.130	142.495	求祢隱藏被感散的人,不可顯露逃民。
142.495	154.157	求祢容我這被追感散的人, 和祢同居,至於摩押,求祢做他的隱秘處,脫離秘密者的面。
154.157	162.423	勒索人的歸於無有,欺壓的事只息了,欺壓人的從國中除滅了。
162.423	180.363	這邊講到這個摩押的使節團跟之前十四章後半段的非利士人使節團有點不太一樣但是呢是來求救的 但是呢,這時候其實猶大連自己好像也不太能夠保護。
180.363	184.927	怎麼能夠真實的出手去幫助摩押。
