start	end	text
3.473	6.574	弟兄姊妹平安，我們一起來思想以賽亞書第62章。
6.574	12.995	我們繼續來思考什麼是耶和華眼中以及祂口中所應許給我們的真正的復興。
12.995	57.991	62章第一節前面兩章呢,60跟61章談到 上帝要使用祂的彌賽亞僕人來帶領所有願意走上帝的路走這種內在的復興所要見證到所要見證出的外在的復興這種道路的耶和華的僕人們上帝給他們的應許是何等的大何等的榮耀 他們將要看見神是在地上調度萬有的。
57.991	68.037	他們要看見世界上所有的人才跟資源神會把他們調度進上帝自己的計畫跟榮耀的國度裡面。
68.037	72.380	但是絕對不是為了要滿足耶和華僕人們的私欲。
72.380	85.595	因此在第61章也特別談到上帝應許那位耶和華的僕人那位以馬內力的君王就是那位 受膏的僕人。
85.595	91.538	這位受膏,受膏者的希伯來文的翻譯就是彌賽亞。
91.538	93.579	因此彌賽亞就是受膏者。
93.579	110.163	這位彌賽亞僕人,受膏者僕人,祂帶領耶和華的眾僕人們,要將上帝的聖靈, 以及上帝的聖言、澆灌、醫治、釋放,不僅是以色列人,而且是世界上萬國萬民的人。
110.163	129.173	使他們從各樣的貧窮、受壓制、監牢,還有受傷害裡面,完全被上帝釋放、醫治,使他們得著自由,不再做魔鬼、罪惡、死亡的奴隸,然後全地都要復興。
129.173	147.451	那我們就繼續來看第62章, 第一節他自己說所以呢領受這些寶貴應許的耶和華的僕人們非常的興奮他們已經被神提醒了不要去 努力的去經營那些外在的復興。
147.451	151.795	因為之前你們會國破家亡,被擄到巴比倫。
151.795	159.063	就是因為你們只在乎外面的復興,政治、軍事、外交、經濟,甚至是宗教。
159.063	161.505	那你們好不容易被擄歸回了。
161.505	163.747	怎麼還在追尋這些東西呢?
164.548	187.341	因此呢在這邊就談到這些耶華的僕人們被提醒之後他們希望看見的是真正的復興希望世界上有更多的耶華的僕人還有耶穌基督的門徒們可以被神復興起來因此呢領受這個信息之後他們就不靜默 不犧牲。
187.341	188.422	拼命的呼籲。
188.422	189.863	拼命的禱告。
189.863	191.444	拼命的跟別人分享。
191.444	193.066	神也透過他們。
193.066	193.946	不斷的。
193.946	195.187	讓神的靈。
195.187	196.388	神的話語。
196.388	198.630	運行到更多人的身上。
198.630	201.352	要他們這些神的僕人們。
201.352	202.673	非常熱心。
202.673	204.454	他們要一直努力到。
204.454	205.675	只等到。
205.675	206.956	他的公義。
206.956	209.238	就是耶路撒冷的公義。
209.238	210.499	神國度的公義。
210.499	211.620	如光輝發出。
212.688	226.060	祂的救恩如明燈發亮,要直到那一天整個實現為止,耶和華的僕人們才會停止發聲,才會停止禱告跟呼籲。
226.060	228.282	第二節,列國必見祢的公義。
228.780	233.361	你這邊指的就是神的聖城或是神的百姓們。
233.361	235.522	列國必看見祢的公義。
235.522	237.722	列王必見祢的榮耀。
237.722	242.924	祢必得新名的稱呼,是耶和華親口所起的。
242.924	246.265	上帝要徹底改變祂的國度的百姓。
246.265	250.226	上帝要徹底改變復興祂的僕人們。
250.226	257.708	以至於連列國、列王他們都要看見他們這些耶和華的僕人們真的不一樣了。
258.268	265.190	以至於,我們在那時候,配得起上帝給我們改的新的名字。
265.190	270.672	在聖經裡面,名字就代表上帝給這個人的應許。
270.672	275.073	第三節,你在耶和華的手中,要作為華冠。
275.073	280.854	這邊的華冠呢,就是另外一個字,不是六十一章所出現的華冠,那個果頭巾。
280.854	283.335	這邊的華冠就是王冠。
283.335	285.996	在女神的掌上必坐免流。
286.596	319.195	緬劉他的翻譯其實也是另外一種裹頭巾或是這個頭上的裝飾那這邊指的是這個國王的王冠上面的裝飾品誰是耶和華上帝這位真正君王的 王冠以及他王冠上面美麗的裝飾品呢就是這一些有公義有救恩有榮耀在他們身上完全彰顯出來的耶和華的僕人們啊哇!
319.195	364.289	感謝神所以呢你必不再稱為撇棄的你的地 也不再被稱為荒涼的你卻要被稱為我所喜悅的你的地也必稱為有夫之父就是上帝所迎娶的新婦因為你之前背棄神所以如同沒有丈夫的婦人因為耶和華喜悅你你的地也必歸他喔非常的感謝神實至名歸啊因此呢這邊讓我們看見 就是上帝真的要復興那些願意跟隨祂的僕人們以及所建立的國度。
364.289	367.511	要真的是冥時相符。
367.511	389.663	因此耶和華的僕人們就非常熱烈的盼望那一天可以來到而他們這一生就是完全的擺上在這樣的禱告在這樣的傳福音在這樣的施行拯救在這樣的作見證的行列裡面 第五節,少年人怎樣娶處女,他的重名也要照樣娶你。
389.663	396.107	新郎怎樣喜悅新婦,你的神也照樣喜悅你。
