start	end	text
3.746	6.889	弟兄姊妹平安，我們一起來思想以賽亞書第42章。
6.889	11.873	我們現在在以賽亞書的八個大段落裡面的第六個大段落。
11.873	16.717	40章到48章,主題是耶和華的拯救和安慰。
16.717	18.999	我們來看第42章。
18.999	26.045	42章的一節到九節,是所謂的僕人之歌,或是稱為第一僕人之歌。
26.425	70.658	就是僕人之歌的第一個段落我們來看第一節看啊我的僕人我所扶持所揀選心裡所喜悅的我已將我的靈賜給他他必將功禮傳給外邦 我們看見就是在第一節裡面講到耶和華的僕人他有幾個特色第一個他是耶和華所揀選的僕人他也是耶和華所扶持的僕人是耶和華心裡所喜悅的僕人耶和華已經將耶和華的靈賜給他的僕人耶和華他的僕人要將公理 真理傳給外邦。
70.658	93.788	那我們就會發現其實在上一章的第41章41章它的後半段從第8節開始41章在上一章就已經講到 耶華的僕人就是有這幾個特色。
93.788	96.590	祂是神所揀選的僕人。
96.590	103.916	這個以色列呢,其實本來並沒有比外邦人更敬虔或更認識耶和華。
103.916	106.538	完全是出於神的揀選。
106.538	111.862	所以呢,包含說在埃及裡面,第十災擊殺長子。
111.862	163.748	如果不是耶和華讓以色列的百姓願意相信, 這個戴罪羔羊的血要贖他們的罪而讓這個他們的門框上都願意聽神的話把戴罪羔羊的血塗在門框門楣上所以後來滅命的天使就逾越越過了 以色列人的家而擊殺了埃及人的長子因為以色列人跟埃及人一樣都犯罪得罪神若不是戴罪羔羊的血戴罪羔羊代表當然就是以後的耶穌其實一樣都是該死的也包含之前在以色亞書裡面有提到亞述大軍一夜之間被滅掉了十八萬五千人也不代表 被圍困的伊路撒冷百姓。
163.748	165.849	他們之前的所作所為。
165.849	168.992	就有比亞述的軍隊好到哪裡去。
168.992	173.235	但是當西西迦王願意。
173.235	174.816	悔改歸向神。
174.816	175.136	帶領百姓。
175.776	187.405	悔改歸向神之後,神就逾越過了伊路撒冷城,神就施行公義的審判,擊殺了亞述軍營裡面的十八萬五千人。
187.405	201.298	因此神的僕人被揀選,並不是你我,比不信主的人好到哪裡去,完全是出於神的恩典,使我們願意悔改, 被赦免而成為神願意使用的僕人。
201.298	208.084	第二個這邊也提到這個上帝的僕人呢祂是神所扶持的僕人。
208.084	238.292	我們在上一章第41章的第11到13節 我們也看到已經預先講到神僕人的特質第三個特質是耶和華祂心裡面喜悅祂的僕人而在上一章41章的14到16節我們看見耶和華喜悅祂的僕人也要使祂的僕人能夠喜樂因為僕人很多時候都 受到這個患難跟仇敵的攻擊,是受苦的僕人。
238.292	246.275	但是神呢,要使這個原本看起來像被踐踏的雅各蟲,如今成為得勝的。
246.275	249.617	因此祂的僕人就大大喜樂。
249.617	253.978	第四個我們看見,耶和華的靈賜給祂的僕人。
253.978	275.625	我們在上一章第41章的17節到19節就看見,聖靈澆灌在祂僕人的身上, 如同這個裡面有湧流而出的火水江河救恩的泉源也看見 聖靈從上澆灌下來的時候﹐曠野要一轉眼變成肥田。
275.625	283.487	神跡奇事﹐上帝偉大的作為﹐要隨著祂的僕人﹐因為被聖靈充滿而到處彰顯。
283.487	290.910	所以第五個耶和華的僕人的特徵,就是在歷史當中,祂要將公理、真理傳揚給外邦。
290.910	361.737	我們在上一章的,41章的第20節也看見, 外邦萬國都要看見、知道、思想明白這是耶和華所做的因此上帝的僕人要變成向萬國列邦做見證的見證者而42章這邊就做了一個總結 耶和華的僕人就是有這五個特質他是耶和華所揀選的是耶和華所扶持的是耶和華所喜悅的而耶和華也要使祂的僕人喜悅是耶和華已經將祂的靈賜給他祂也要因為聖靈充滿而成為上帝的見證人將公禮傳給外邦 我們繼續往下看這個主的僕人祂不喧嚷不揚聲也不使街上聽見祂的聲音這是一個對照喔因為之前耶和華也興起很多的僕人包含亞述啊巴比倫也包含以色列的君王祭司先知但他們很多都失敗喔以賽亞書裡面讓我們看見 驕傲強大的烏西亞王,最後以失敗做結束。
361.737	364.720	他的兒子亞哈斯王也是失敗。
