start	end	text
3.985	6.207	弟兄姊妹平安，我們一起來思想。
6.207	32.583	以賽亞書第23章現在的進度是在以賽亞書八個大段落裡面的第三個段落13章到23章裡面今天是23章最後一章13章到23章的主題是耶和華對列國的審判我相信我們今天讀到23章 各位弟兄姊妹不知不覺中已經變成了古代中東國際局勢的專家了。
32.583	49.015	那之前我們看見,就是出現了三組的國際聯盟,他們都要來拉攏遊說,甚至這個還有用武力相逼,要來逼這個耶路撒冷, 加入他們的聯盟,一起來對抗亞述。
49.015	54.098	而先知以賽亞不斷發出的訊息就是,這三組聯盟都會失敗。
54.098	65.163	因此,南國猶大應該忠心的、專心的、謙卑的,依靠耶和華,才能夠走出自己一條活路來。
65.163	67.004	那我們來看到第23章。
67.004	69.885	23章是論推羅的預言。
70.879	90.435	推羅不屬於這三組國際勢力的任何一個成員他自己製成一個 論推羅的末世,他師的船隻都要哀嚎,因為推羅變為荒廠,甚至沒有房屋,沒有可進之路。
90.435	95.578	這消息是從基提地得來的。
95.578	100.462	推羅是一個傳奇的城市,他是非尼基人所建立的城市。
100.462	104.205	推羅其實是在離海邊大概500公尺的小島。
105.435	110.579	推羅的原文的意思是岩石或是磐石。
110.579	115.983	代表說祂的城堡很堅固。
115.983	139.421	推羅是一個傳奇城市,因為從雅數的時代,最早最早從祖前738年,雅數對他的攻擊,一直經歷到雅數、巴比倫、波斯、 都沒有人能夠攻得下推羅。
139.421	142.222	這樣傳奇的故事經歷了400年。
142.222	152.244	從祖前738年復興亞素的軍王,叫做提格拉皮列瑟。
152.244	158.546	一直到祖前332年,希臘的亞歷三大。
159.718	161.198	才把他攻下來。
161.198	163.059	就是四百年屹立不搖。
163.059	165.359	所以他非常的驕傲。
165.359	168.840	因為他本身的城堡很堅固。
168.840	174.742	第二個他又是在一個海邊的小島上,不是陸地。
174.742	178.743	再來他的艦隊、船隊很強大。
178.743	185.005	那這些亞述、這些國家、巴比倫,他們是陸軍比較強,海軍比較還好而已。
185.005	191.628	那再來他就是, 他掌握了整個這個地中海的國際的貿易通商。
191.628	193.509	所以他非常有錢。
193.509	195.430	因此呢,他就是很驕傲。
195.430	199.172	所以他不需要加入這三組的國際聯盟。
199.172	201.573	他認為沒有人可以把他攻得下。
201.573	205.756	那這邊就是論驕傲的推羅的預言。
205.756	208.817	他說有一天呢,他師的船隻都要哀嚎。
208.817	210.678	他師在哪裡呢?
210.678	248.824	推羅呢,是在這個 地中海的這個最東邊而這個他師就是西班牙是在地中海的最西邊所以你看嘛推羅他掌管了整個地中海的這個這個貿易他是一個最重要的轉運港那有一天當這個推羅他整個 失敗的時候,他師,西班牙的船隻,在那邊要哀嚎,因為沒有生意做的,因為推羅變為荒廠,而且從陸地的部分,推羅也不會有房屋,也沒有可以進去的道路。
248.824	260.660	而這個不幸的消息是從基提,基提是塞浦路斯,他是推羅東邊, 西邊一點點的一個島,塞浦路斯。
260.660	270.184	也就是說跟推羅一起做生意的,他師啊、基提啊,大家都愁雲慘霧,因為推羅很慘,所以他們大家都沒飯吃。
270.184	279.387	沿海的居民,就是素來靠航海的西頓的商家,得豐盛的,你們當靜默無言。
279.387	283.269	我們常常講推羅西頓推羅西頓,所以在講推羅的時候也會講到西頓。
284.070	291.739	你看這些之前靠航海賺大錢的西頓,他也是菲利士人,那個菲尼基人。
291.739	297.226	推羅在南邊,西頓在北邊,中間相隔不到40公里。
297.226	299.028	他們都要衰弱。
299.028	303.373	在大水之上,西河的糧食,西河就是指尼羅河。
303.814	311.061	所以埃及的糧食、尼羅河的莊稼,是推羅的進向,就是推羅進口的東西。
311.061	320.229	推羅是他師、基提、西頓,還有埃及的各種貨物的轉運港。
320.229	323.272	推羅是做列國的大碼頭。
325.162	329.627	這些三組國際聯盟都在找這個夥伴要來對抗亞述。
329.627	330.548	只有推羅不用。
330.548	331.149	為什麼?
331.149	332.530	他跟誰結盟?
332.530	333.932	他跟錢結盟。
333.932	340.630	因為他是那時候國際上最有錢的 跨國企業集團。
340.630	344.072	因此呢,他是跟金錢結盟。
344.072	346.773	第四節,西頓啊,你當慚愧。
346.773	347.414	為什麼呢?
347.414	357.839	因為大海說,就是海中的寶藏也說,我沒有取老也沒有生產,沒有養育男子也沒有撫育童女。
357.839	367.464	大海說,自從推羅西頓他們衰弱之後呢,我們這個海上的整個貿易啊,沒有任何的生產力。
368.370	394.163	什麼都沒有沒有任何的產出然後這風聲傳到埃及埃及人為推羅的風聲極其疼痛埃及也是需要靠推羅才能夠把他們的農產品能夠還有這些糧食送到世界各地去販賣所以推羅一垮臺 地中海沿岸的這些國家,大家都愁雲慘霧。
394.163	398.624	第六節,推羅人啊,你們當過到他失去。
398.624	401.986	沿海的居民啊,你們都當哀嚎。
401.986	406.827	為什麼推羅的人,以賽亞勸他們,應當到他失去呢?
406.827	408.048	到西班牙這麼遠的地方。
