start	end	text
4.019	9.414	弟兄姊妹平安，我們一起照著今天每日嚴經事宜的進度一起來思想。
9.414	12.262	但以禮書第二章二十五節到最後。
13.814	28.640	雅略就急忙將但以理領到王的面前,對王說:「我在貝魯的猶大人中遇見一人,他能將夢的講解告訴王。
28.640	37.623	」王問稱為伯提莎莎的但以理說:「你能將我所做的夢和夢的講解告訴我嗎?
37.623	106.730	」但以理在王面前回答說:「王所問的那奧秘是, 上帝非常的奇妙祂要透過一個 被俘虜的猶太少年人在巴比倫的王宮裡面王因為做了一個夢這個夢對他來講太過重要使他心神不寧但是呢他又竟然這個夢又忘記了因此他把這個巴比倫王宮裡面巴比倫人最喜歡這些天文學啊、占星術啊 關這個異象的、解異夢的這些責人術士都把他聚集起來。
106.730	119.218	並且把這個巴比倫人從世界各國這個毀滅的國家所俘虜來的世界各國的精英少年人也都把他召聚過來。
120.179	124.226	可是他們沒有一個人能夠來回答王的問題。
124.226	127.172	因為王沒有辦法將夢告訴他們。
127.172	128.895	他們當然無法解夢。
129.804	133.766	神就安排了一個這麼奇特的場所。
133.766	139.529	彷彿全世界一流頂尖的哈佛大學、劍橋大學、牛津大學。
139.529	143.711	所有世界各地的高材生都被聚集到王的面前。
143.711	146.772	但是卻沒有一個人能夠回答出這個問題。
146.772	149.814	然後王就要殺他們所有的每一個人。
149.814	151.735	然後他們說這個問題太難了。
151.735	154.756	這個大概只有神能夠回答。
154.756	163.899	因此神就 使用了一個猶太人,被俘虜的猶太人,少年人,但以理,要來回答這個問題。
163.899	178.262	好在世界各國的精英面前,顯明,唯有神是智慧的神,唯有神是掌管歷史的神,唯有神是審判的神,也唯有神是憐憫幫助的神。
178.262	179.182	誰能像神呢?
179.582	195.972	能夠掌管歷史﹐審判人類﹐然後來決定哪個王朝﹐哪個國王﹐誰興盛﹐誰衰微﹐然後又能夠拯救這些世界各國﹐被俘虜來的這些俘虜﹐上帝充滿了恩慈憐憫。
195.972	201.315	這就是整個但以理書裡面﹐這四個猶太少年人﹐名字的意思。
201.315	205.118	但以理就是﹐上帝﹐審判。
205.118	207.940	哈拿尼亞的意思是﹐耶和華施恩。
209.087	215.491	以沙利﹐他的名字的意思﹐是這個﹐誰像上帝。
215.491	219.714	最後一個是﹐以沙利﹐亞沙利亞﹐亞沙利亞的名字的意思是什麼?
219.714	223.516	是﹐耶和華拯救﹐耶和華幫助。
223.516	224.477	那我們繼續往下看。
225.350	233.572	那這個王啊,你在床上想到有關於後來的事,就是未來的事。
233.572	246.935	原來呢,這個尼布賈尼薩王,他所做的夢是關乎到整個國家的未來的發展存亡,以及整個歷史的走向會怎麼走。
246.935	254.297	尼布賈尼薩呢,跟著他的父親,在十年前,把亞述的尼尼維滅掉了。
255.128	258.110	然後開始又打敗了埃及。
258.110	261.973	因此在天下稱霸。
261.973	264.414	不過十年的時間而已。
264.414	268.337	那尼布賈尼撒接替他的父親登基做王之後。
