start	end	text
4.377	6.179	大家好,我是董家華牧師。
6.179	13.746	華人教會只有兩百多年的歷史,發展出來的神學有其特殊性。
27.568	37.796	但我們不能夠忘記,整個大公教會有兩千多年的歷史,其神學傳統也有許多是我們需要攝取跟學習之處。
37.796	51.908	今天,樹翔弟兄要訪談的李吉倫的老師,他就會來和我們聊聊,東西方哲學與神學的差異,以及本土神學和大公教會的神學,各自潛在的盲點以及如何能夠互相的增益。
52.449	59.975	最後他也提出,華人神學家如何能夠在對大公教會的神學發展帶來具體的貢獻。
59.975	63.637	我們現在把時間交給舒翔和李老師。
63.637	73.665	今天非常開心邀請到另外一位我在 Region 的學長,因為我前一集我錄製的節目剛好也是訪談曾少凱老師,也是我在 Region 的學長。
73.665	78.148	今天是一位更資深的學長了,就是李景倫老師。
78.148	81.691	那他目前在加拿大華人神學院教授系統神學。
81.971	104.780	李錦倫 嗨,你好。
104.780	123.236	那一開始可不可以請景倫老師就是跟觀眾朋友自我介紹一下,可能有些人對你不是那麼熟悉,特別也告訴觀眾朋友就是說怎麼樣你可以走到今天的這個服飾崗位,特別在你過去中也有很多有趣的經歷,我私下聽是覺得非常精彩的。
123.626	153.040	簡單介紹一下就是我是從小的時候姓朱然後我14歲的時候蒙昭當時在香港然後那個護照很清楚就是做中國大陸的傳道人香港人被護照做中國大陸傳道人這樣護照之後我就在等候 下一步的帶領就是我什麼時候要讀神學等等。
153.040	178.681	一直都沒有很清楚的帶領,一直到我到了加拿大溫哥華讀大學,然後研究所,到要進到博士課程之前那個暑假, 我在一個情緒低潮當中﹐再一次聽到主的呼召。
178.681	184.644	然後我就進入Region﹐準備自己讀神學。
184.644	189.206	然後在Region一共有四年半﹐前後四年半的時間。
189.206	197.191	之後我到了香港的中國信道神學院﹐是第一個服事的崗位﹐在那裡任教。
197.551	201.914	之後到過臺灣的道勝神學院。
201.914	207.477	那這個其實都是因為參與了中國福音會的服事。
207.477	212.800	然後我在中國福音會其實前後有24年時間。
214.445	236.354	從最早在香港參加中國宣道神學院,然後臺灣的道聖神學院的教學,然後後來就是更加是全時間投入中國福音會本部的一個服事。
236.354	246.742	後來就是教天牧師在 在世界上的時候,我也曾經擔任過總幹事。
246.742	251.187	然後後來他去世之後,我是有一段時間接任了總會長。
252.312	290.100	之後在2012年我是轉到美國的創新神學院有8年多的時間然後到今年年初1月開始我回到溫哥華就是在加拿大華人神學院溫哥華那這裡來服事那這個就是我簡單的一個經歷了 是,景倫老師我覺得特別有趣,就是說香港出生,然後對中國大陸這麼有負擔,然後後來也來到臺灣,甚至現在在北美,然後也有這麼長的時間。
290.100	302.286	不論是教書或在中國福音會服事的期間,有沒有哪一個階段讓你特別覺得印象深刻,或者是可以稱為你人生中的一個重要的轉捩點呢?
303.302	328.661	有的,除了那個最早的呼召之外其實我在Region College讀書的時候是個蠻重要的一個階段因為是在那個時候我是直接接觸到中國福音會就通過他們在那個時候貴掌是昭天牧師 有一次來 region 來講課。
328.661	332.105	然後我直接面對面跟他認識。
332.105	335.890	那之前其實還有一些的故事的。
335.890	337.652	不過就說這個就不多講了。
338.063	343.426	那在Region接觸到趙牧師。
343.426	350.269	然後我後來就被邀請加入這個創福音會的服飾。
350.269	355.512	那這個是一個可以說在服飾上面的一個轉捩點。
355.512	359.954	那在神學上面也跟這個有關。
359.954	365.217	就是我在當時候的其中一位老師叫Klaus Bockmull。
365.217	429.188	他跟讓世昭這位牧師 兩個人都是研究差不多在某一個範圍上面就是共產主義這個範圍上就是他們兩個都是相當多的研究所以他們彼此也認識所以也是部分的情況是通過我的老師Claus Wagner把我介紹給趙天母師所以兩方面都有關 是,特別景倫老師的著作真的是豐碩累累吧,然後我自己也讀過不少,那其中針對你奧古斯丁的研究特別的代表作就是你寫的這個奧古斯丁論善惡與命定,我覺得我讀完會特別想問,特別是景倫老師在中國傳統文化上也有非常深的造詣跟研究, 不知道老師會覺得說以歐美為首的西方思想跟以這個中國或儒家為主的這個東方思想當這兩者之間其中最大的異同你當下現在來定義的話你覺得會是什麼?
430.128	440.852	其實講到歐美的這個文化本身也是蠻多元的。
440.852	499.514	我們講的是以比較古典的或者說這個經典的這個西方文化來去看的時候其實用柏拉圖亞里斯多德一直下來這個脈絡的話 當然它是有一個主線這個主線就是說這個理性是蠻重要的所以從理性跟著就是分析對於事情的分析當然它也有注重這個道德方面但是始終比較上來講這個理性是走在前面 反過來講,中國假設是以儒家來去做它代表性的一個文化的核心的話,我們可以說儒家的文化特點是在於人的關係,可以這樣說。
499.514	505.118	當然在儒家也不光是人的關係,它有一個前提就是天,天的議題。
505.879	657.446	這個最古的時候是周朝的是至高天是有位格的這個就是可以說是跟聖經上帝這樣的一個內容可以相比較的所以在儒家這個天這個思想底下他所發展出來的這個人際關係就有了一種道德的前提在那裡是 但是比較可惜就是說在儒家這個天它是從本來有清楚的位格的一個內容慢慢把它淡化成為一個的原則所以這個天跟道這兩個的題目合併成為天道這個位格的內容就淡化了或者說不清晰了 但是從倫理來看它還是有一個位格議題在裡面比如講天命這個命其實是只有主體才會有命的可能性就是包括命定跟限定或定位不過就是說回到儒家思想它的重點是從關係而有了這個倫理 所以在儒家很重視這個人跟人之間的一個關係而這個關係的構成在生活當中如何來落實這個關係主要來講是從親情 做出發點這個是實際的一個如何產生它的動力的來源是親情 這個親情它是有一個自然性在那裡因為每一個人都有家庭可以這樣說每一個人都有父母親既然是這樣的話就不會有人是不經歷過家庭關係因此在普遍意義來講從一個自然的一個狀況來講每一個人都有家庭所以就可以 從家庭而演發出一套的倫理出來了。
657.446	663.936	就是人跟父母親的關係﹐跟兄弟的關係。
663.936	667.320	這種的關係﹐可以把它延伸到社會。
667.841	694.665	在儒家文化當中， 有這個倫理作為它的核心。
694.665	712.514	但是當然在儒家文化裡面也是重視這個知識理論方面,但是它比較偏重於道德跟倫理方面的這樣的一個知識,而不重於純推理。
713.234	770.448	我會問這個問題,其實從奧古斯丁到這邊也是因為我覺得奧古斯丁至少在西方哲學思想史上都是一個繞不開的關鍵人物吧,然後景文老師對他也有深入的研究,包括我所有在念西方 西洋哲學的同學,其實西洋哲學都一定要念到古斯丁,一定要理解,算是一個很關鍵成先起後的一個節點吧,那特別儒家在東方也是,就是他影響範圍也早就超越中國所謂的這個國土範圍了,就是包括整個東亞地區,其實都受到儒家文化,甚至是東南亞地區都有很顯著的影響,那所以我覺得非常有趣是觀察這兩個文化, 繁體中文，臺灣國語。
785.623	806.668	互動關係跟張力吧那我覺得我是可以從錦倫老師的書中看到的特別我覺得在我最近讀的這一本就是中國文化道本圓全書名是這樣嗎 中華血脈道本淵。
806.668	808.048	中華血脈道本淵。
824.753	870.795	從民國初年其實就大家就稱為這個德先生賽先生好像我們也開始非常重視這兩個領域那這兩個領域怎麼跟所謂的中華文化做對話剛剛景倫老師也提到就說在儒家可能後面越來越把天道兩個概念做結合的時候其實拿掉了那個天 所謂的上帝作為有位格性的這個部分,我自己非常深的有這樣的感受,特別是當我讀墨家之後,因為我近期都在讀墨家,我就覺得墨家就好像真的比更加的保有這個所謂天的位格性,而且這個天不是高高在上的,不是只是一個原則,而他甚至渴望跟人互動,而且他是愛人的。
871.015	891.671	我覺得這個點是非常有趣,以至於在老師的書中也說到,譬如說以科學為例,儒家所重視的,剛剛老師提到的倫理的關係,道德的關係,人倫的關係,其實沒有辦法特別為科學知識提供探討的理論基礎。
891.971	893.352	繁體中文，臺灣國語。
893.352	894.973	繁體中文，臺灣國語。
894.973	896.494	繁體中文，臺灣國語。
915.384	939.406	基督信仰對科學的探究性是非常有啟發性的,而不是像柏拉圖式的這種,其實覺得世界真實的是在那個form這邊存在的,而在物質世界一切,當你貶低物質世界的一切的時候,其實你是沒有那個動力去 繁體中文，臺灣國語。
939.406	941.408	繁體中文，臺灣國語。
941.408	943.890	繁體中文，臺灣國語。
943.890	945.231	繁體中文，臺灣國語。
967.449	999.071	這個是很有趣的問題因為其實在當代來講墨家已經是基本上很少人提但是很少人提不等於說它不重要反而就是說它不被重視的原因可能是別的原因就是說在主流文化當中沒有辦法去 接受他某一些的東西。
