start	end	text
4.514	5.595	放眼世界。
5.595	6.816	洞悉時代。
6.816	8.899	聆聽全球多元聲音。
8.899	11.221	觀看上帝普世作為。
11.221	13.383	回應福音整全使命。
13.383	17.368	歡迎收聽由世界華服中心製作的使命門徒Podcast第二季。
19.821	22.223	大家好,我是董家華牧師。
22.223	36.993	華裔的澳洲布道家Sam Chen在《Evangelism in a Skeptic World》書中提到,現代主義若是科學家的時代,後現代主義則是藝術家的時代,看重想像力、美感和說故事。
36.993	42.117	今天,我們邀請到在美國耶魯大學讀神學的林偉成傳道。
42.117	46.080	大學讀資訊工程的他,到底是怎麼一頭栽進戲劇的世界裡?
46.578	56.724	而當人們逐漸意識到象徵、符號、非語言的述說對人們有強烈的吸引力時,這對基督徒的崇拜又意味著什麼?
56.724	60.526	有哪些是值得我們深入探究的地方?
60.526	65.469	今天,讓我們一起來聽聽韋程傳道這段時間的一些反思。
65.469	66.950	韋程,你好。
66.950	68.271	嗨,大家好,你好。
68.271	69.412	我叫阿哥,你好。
70.606	74.667	我跟偉辰第一次認識應該是四年前。
74.667	76.988	那時候我剛剛回臺灣。
76.988	81.770	然後你帶著一本你剛翻譯好的書來找我,對不對?
81.770	84.291	哦,有可能是哦。
84.291	88.913	那時候佳華哥是我的社親團系的輔導。
89.633	96.957	認識的人,所以他就很興奮的知道說江華哥回臺灣了,拉著我,要帶我去認識你。
96.957	113.306	OK,對,我其實是讀了你翻譯的那本小書,我很驚豔,然後知道說其實你的負擔一直是跟戲劇升學,然後後來也知道說其實你對教會牧羊很有負擔,我覺得這是一個很美的一個組合。
113.746	120.573	那偉辰會不會先跟我們大家很簡單的分享一下你自己,介紹一下你自己跟你的一路的旅程好不好?
121.783	128.749	好啊,我現在如佳華哥說的,我現在在耶魯神學院念神學碩士。
128.749	133.774	然後我的有負擔研究的領域是崇拜學跟戲劇。
133.774	137.958	但是其實我的背景完全不是從戲劇出來的。
137.958	140.240	大學的時候是念資訊工程。
140.240	144.864	然後想說這個資訊工程怎麼好像跟戲劇差蠻多的,然後跟神學也差蠻多的。
144.864	154.149	我覺得沒錯,因為我在新竹長大, 然後我覺得新竹蠻容易接觸到一些資訊工程啊,這些科技的東西。
154.149	160.591	然後剛好有朋友會寫程式,所以我就跟著他一起就念到資訊工程系這樣。
160.591	177.516	但是資訊工程系放榜的那一天,我印象很深刻的是我隔壁班有個同學,他上了台北藝術大學,然後那念劇場,然後才發現啊, 原來戲劇系或是劇場設計系是世界上有這麼一種東西啊。
177.516	179.537	從來不知道,從來不知道可以唸。
179.537	187.659	因為就是自己想一想與其就是說資訊我是可以唸,但是我自己覺得做得不快樂。
187.659	189.660	我可能也無法沒有熱情做得成就。
189.940	191.862	繁體中文，臺灣國語。
191.862	193.444	繁體中文，臺灣國語。
193.444	194.685	繁體中文，臺灣國語。
204.957	214.508	後來我大學的時候參加學員團契,然後很參與,那也沒有什麼機會再念戲去,也沒有機會再多學習。
214.508	221.356	但是很感恩的是說,我大學的輔導,後來是學員傳導會的會長,那他在我畢業的時候……瑞哥嗎?
221.356	222.738	王二瑞哥嗎?
222.738	223.238	瑞哥,對對對。
223.899	225.600	他知道我心想要服侍。
225.600	230.243	他就邀請我在學園可以做戲劇。
230.243	233.105	也蠻感恩的,有機會就真的開始做。
233.105	235.746	我的母會也支持。
235.746	240.869	也很多姊兄姊妹也對這塊好像蠻有期望的。
240.869	243.831	給我蠻多契機的。
243.831	252.376	後來,因為我不是戲劇出身的,又想要做戲劇,那你總得找演員,總得找導演,等等這些專業的人才。
253.319	262.107	後來就去,學員這個機構,有什麼管道可以接觸到這些人才呢?
262.107	266.572	那可以去認識在藝術大學讀戲劇的學生。
266.572	277.683	所以我就透過藝術大,我是自己去台北藝術大學北一大的,他們叫光眼社,就是基督徒的社團,當輔導或者指導老師。
278.183	282.107	結果到了那邊發現沒有戲劇系的學生在裡面。
282.107	283.788	因為戲劇系都太忙了。
283.788	287.071	反而都是其他系的人會來參加團戲。
287.071	290.954	但是也因為這樣的因素就認識了很多。
290.954	296.980	讀像說美術啊、電影啊、新媒體啊、動畫等等的學生。
296.980	301.884	然後就發現當我想要跟他們談論藝術的時候。
302.705	310.708	我的自己的教會背景,然後就是我在臺灣的基督教的出版裡面,也很少看到這方面的資源。
310.708	316.770	那當然有一些國外的資源,但是那都是英文的,我覺得不見得是臺灣大家都可以讀懂。
316.770	319.571	然後有一些它的文化背景也跟我們差蠻遠的。
319.991	328.277	所以自己再多研究一下,發現原來我在讀的很多的作者,其實都是在國外的神學院當老師。
328.277	332.059	然後特別有一間學校就是傅樂神學院,美國加州傅樂神學院。
332.059	334.681	很多都是對面的老師,然後就說那我需要念。
334.681	346.610	那所以就三年前去傅樂念了道術,然後念一念,發現我對這個崇拜學跟戲劇的交集蠻有興趣的,所以就開始來做這方面的研究。
347.210	353.673	OK,一般人想到藝術,我不知道是臺灣還是整個普遍華人世界。
353.673	357.415	想到藝術可能大家第一個想到就是吃不飽飯。
357.415	363.758	那你自己在大學念了資工,其實在華人的社會當中這是一個吃得很飽的。
363.758	369.721	那進入到後來服事,然後走藝術,你有遇到什麼掙扎嗎?
369.721	371.102	還是其實完全不會有什麼掙扎?
372.773	378.276	我覺得我當初還蠻被呵護的,所以我不太了解外面世界。
378.276	386.620	我的意思是說,我一直到蠻後來,等到我的同學,資訊系的同學,全部都跑去賺大錢之後,才發現,啊,原來我賺的錢那麼少。
386.620	389.941	我本來不知道資訊原來可以賺那麼多錢。
389.941	395.184	但是我覺得很感恩,是說一路走來在學院傳導會服事,因為是自籌經費的一個機構嘛。
395.384	398.167	然後念書等等。
398.167	401.491	家人、教會、弟兄姊妹都有支持。
401.491	406.737	所以說真的,也沒有真的缺什麼東西。
406.737	409.760	但我反而覺得我是很幸福的。
409.760	421.790	因為當初我會想要選時間服事的原因就是覺得, 我的個性不太適合有一個像業界的工作,然後又週末去教會服事或參與聚會。
421.790	427.914	我覺得我的心力太少了,我就只能夠專注在同一個地方。
427.914	452.198	當我在專注於服事,無論是在臺灣的服事,在美國的社區學院, 我得到的是一般人所,一般基督徒很少能夠接觸到這個崇拜水準之高,然後神學思考的厚度跟豐富,我覺得這些都是,我太感恩了,太感恩可以走到這條路了。
452.278	459.745	是,這個在教會當中﹐一般我們講到崇拜的時候﹐其實華人教會過去﹐大概不外乎看重兩個重點。
459.745	461.267	第一個重點是講道嘛。
461.267	467.473	在比較傳統的教會﹐其實一個崇拜的﹐大家會覺得一個崇拜好不好﹐大概跟講員有很大的關係。
467.773	478.042	那過去20年因為金麥在美的風潮,所以其實也有很多人會想到一個崇拜的時候,會想到說他的詩歌樂團,這個氛圍是不是帶得好。
478.042	486.950	可是你剛剛提到說讀藝術特別戲劇,特別讓你對崇拜有個更深的認識,是什麼樣的一個認識,可不可以跟我們解釋一下?
488.217	489.758	其實你剛剛講到兩個點。
489.758	492.119	一個是話語,就是講道的部分。
492.119	494.861	另外一個是音樂,就是敬拜讚美的部分。
494.861	496.863	我覺得也都是我個人的經驗。
496.863	499.264	我小時候在一個比較靈恩派的教會長大。
499.264	502.346	一直到我離開那個城市,然後念大學。
502.346	506.609	所以我覺得我蠻充分的有這個敬拜讚美的背景。
506.609	511.632	那我後來去台北念書之後,在一個很看重講道的一個教會聚會。
511.632	517.055	所以我覺得, 深深體會到講道的那個深度那個好處。
517.055	523.919	所以老實說我在到美國念書之前都沒有特別想說我對於崇拜有興趣。
523.919	527.561	或是甚至我沒有特別對於木繪有興趣。
527.561	533.083	就直到到了這邊那時候幾年前我到了洛杉磯就開始念書。
533.083	538.346	然後洛杉磯是一個多元文化非常豐富的地方。
538.346	539.247	像家瑪哥也知道。
539.855	557.600	那無論是在這個城市裡面多元,在教會界的多元,還有在神學院裡面的多元,都讓我發現,啊,原來敬拜可以這麼樣子的豐富,這麼樣子的跟我有關,有切身的關係,然後這麼的感動人。
558.200	562.302	當然很多人都會說你這個從音樂講到都可以感動人。
562.302	564.384	我說的確世界是我的經驗。
564.384	569.126	那我在那裡特別感受到的是用身體的敬拜。
569.126	571.107	然後用文化的敬拜。
571.107	577.551	然後這些東西都讓我覺得這是我在臺灣至少我自己有限的眼光裡面所從來沒有接觸過。
577.551	580.373	什麼意思用身體的敬拜?
580.373	581.093	好舉例一下。
582.654	597.444	我們那時候老師就是叫我上一個很初階的崇拜的課,他叫做Worship, Theology and Art,就是崇拜神學和藝術,就是把這三個領域把它交集在一起。
597.444	624.679	然後老師就說,你有沒有聽過一個東西叫做障礙測試,就是disability test,就是人可能有不同的障礙, 然後他說,那你們就去評斷一下,你所熟悉的教會崇拜裡面,一個沒有障礙的人,跟一個有障礙的人,一起進到這個教堂來崇拜的時候,他們兩個參與崇拜的程度,有沒有什麼差別?
625.299	629.420	舉例來說,我以前在臺北的教會是很看重講道的教會。
629.420	642.745	所以我就發現,如果一個四肢健全的人,跟一個可能需要坐輪椅才能進教堂的人,他對於我們這個臺北的教會崇拜的參與程度,其實兩個人大概不會差多少。
643.285	660.969	有一個人假設他是一個盲眼的,他假設跟一個明眼人一起走到教堂裡面,至少就我們的教會來講,他大概也不會差太多,因為你聽講道用聽的就好了,那可能歌詞看不到,但是如果你會背,那也可以。
660.969	664.650	所以我們進到那個教堂,不太需要用眼睛。
664.650	670.371	那我就那個禮拜,或那幾個禮拜,我就到了美國的一個教會,我們去一個聖公會的教會去參觀。
671.544	686.419	這個教會從開始到結尾,它運用非常多身體的感官,包含在開始的時候唱歌,聽覺的感官,在臺灣很多都有。
686.920	690.063	但接下來我們有看到十字架要鞠躬。
690.063	694.606	那時候你就需要有一個腹部能夠出力。
694.606	696.088	你要身體能夠真的鞠躬。
696.088	698.249	或是講能夠跪下來。
698.249	701.612	然後在進來,牧師進來的時候會拿著香爐。
701.612	704.335	就是你會聞到這個香的味道。
704.335	708.938	然後你會看到那個香煙這個搖繞的在上騰。
709.599	723.111	他們在讀經的時候,是把聖經從這個講台上面拿下來,然後把它舉高,走到會眾的中間。
723.111	728.755	所以這時候就有一種, 讀經跟會眾的空間的關係。
728.755	740.323	那我自己看到覺得很感動,覺得這個當把聖經,不只是在台上讀,而是拿到會眾的那個中央走道的中間,大家都轉身面對那個聖經。
740.323	746.408	我覺得有一種很實際的象徵是道成了肉身,錄在我們中間。
746.408	755.016	一個講法就是他在玩一些身體可以用的東西,比如說嗅覺, 繁體中文，臺灣國語。
767.432	777.234	用障礙來比較的話,就會發現這個教會它的崇拜,你需要運用的感官多,非常的多。
777.234	792.937	那當然這個disability test,這個障礙測試,不是說你要越多越好,或是越少越好,它只是一個評斷標準來幫助你思考說,我們教會的崇拜到底運用了多少關於藝術,運用了多少關於身體的這件事情。
792.937	805.950	然後就發現,其實當我用身體來崇拜的時候, 我覺得好像讓我更活得像一個人,或讓我更能夠用全人全心來敬拜神。
805.950	807.773	是,是。
807.773	828.387	那你覺得當我們學習用身體也參與在我們的敬拜,特別崇拜的時候, 它跟單純的只是用聽覺,因為剛剛你講到,不論是講道還是敬拜讚美,其實大部分是聽覺的這個感官,其實也是用身體,只是身體的某部分,可能是耳朵跟嘴巴。
828.387	838.330	那你覺得今天讓身體的其他部分參與在崇拜當中,它帶來什麼樣,不敢說有什麼提升,但是說它為什麼重要?
841.067	842.348	我覺得有幾個方面。
842.348	856.456	第一個方面是為什麼我們會覺得聽覺跟這個說話的能力或唱歌的能力好像比其他的感官更優先嗎?
856.456	861.539	或是它好像比較不可短缺呢?
861.539	869.064	當然我覺得的確有一些神學立場可以這樣支持,就是說我們講的是道,然後上帝的話語,所以話語是很重要的。
869.684	880.537	但我覺得同時間,我們也不能把它切割開來說,所以人他就是一個理性的存在,他只要能夠頭腦正常,然後聽得見道,這個就好了。
880.537	884.502	因為我們想到很多人他是有disability,像剛做那個肢體障礙。
884.502	892.695	那我最近常常講一個問題,就是像嬰兒他聽不懂, 他不會說話,他聽不懂,那他能夠崇拜嗎?
892.695	901.943	或是老人,他可能已經有老人痴呆,或是他耳朵聽不見,假設有人把他推著輪椅推到教堂裡面來,這算崇拜嗎?
901.943	906.367	或是說就是他可能是智力有障礙,或是什麼,那這個叫崇拜嗎?
906.367	912.432	那我覺得如果我們把崇拜只把限定在 說的跟聽的裡面。
912.432	915.093	那我覺得似乎好像會把崇拜。
915.093	916.714	太限縮了。
916.714	919.436	那另外一個相輔相成的部分就是。
919.436	921.577	生計上不斷的尤其是詩篇。
921.577	924.279	用各種不同的方式來敬拜神。
924.279	925.900	就是擊鼓跳舞。
925.900	926.721	讚美神。
927.381	931.223	那這些東西我覺得,我們好像比較少擊鼓跳舞。
931.223	944.571	我覺得臺灣有越來越多的看重先知性的舞蹈,或是說在崇拜裡面有舞蹈的人的教會,那也是蠻好的。
944.571	955.336	但是我覺得整個詩篇堆疊出來的感覺是, 這麼豐富的敬拜,就是連山,連海,連樹木,都一起要崇拜。
955.336	960.919	那當這些東西都一起跳起來崇拜的時候,你怎麼會想說,我就在那裡,就是聽跟講就好了。
960.919	967.002	難道你不會想要跟祂一起,用全身,用上帝所創造你的全部來敬拜祂嗎?
967.002	968.823	這是我自己的小小的想法。
968.823	977.388	這是為什麼我覺得,全人用身體的崇拜,是在聖經的整個神學裡面,是很重要的一回事。
977.688	993.058	對,你剛才講的時候我就想到,因為你剛才前面在講到說disability test,我第一個想到的可能是說,那如果說身體在某些地方,沒辦法發揮起初我們人受造的功能的時候,不就是錯過了某一些靜白的機會嗎?
993.058	1017.437	可是當你繼續講的時候,我就覺得說,所以正因為我們每一個人發達的地方不一樣,正因為我們每一個人,即便也許我們是可以正常的function,但是人也是需要透過訓練一些function,一些功能才會發展嘛, 所以當崇拜的這個用身體的面向越豐富的時候,其實越inclusive,越能夠去讓不同的人都能夠進來。
1017.437	1023.161	因為比如說我跟你在非常類似的,你在臺北的教會跟我的長大的教會是非常類似的一個系統。
1023.882	1058.742	那我就可以感覺到說在我們的這個系統當中其實通常比較會考試的通常比較喜歡思考的人他會比較如魚得水他會比較容易在這樣的環境當中去認識上帝敬拜上帝可是可能就像你講藝術家或者是可能體育比較發達的他的身體就是打球的 可能在這樣的教會氛圍當中,他相對而言,不是說一定,每個個體都是很獨特的,但普遍而言,好像比較不容易進入狀況。
1058.742	1065.886	那我自己跟我太太在,比如說十幾年前,我們剛到洛杉磯的時候,其實那時候也在找教,找教會嘛。
1065.886	1072.890	我也發現說,原來我一直以為,全世界的人在找教會的時候,看中的都是講道。
1073.695	1087.033	但是後來我才發現說,沒有耶,我跟我太太在找教會的時候,我們怎麼去講說,今天參加這個教會的崇拜,我們的feedback,我們的感受,我發現是完全不一樣的標準耶。
1087.033	1089.777	我太太真的就是很聽覺,就是音樂性。
1090.077	1093.039	流暢性、音樂性很重要。
1093.039	1097.162	那對我來講那個東西是只要不會讓太干擾我就好了。
1097.162	1100.965	對我來講講到的深度、流暢性對我來講是更重要的。
1100.965	1103.367	可是就發現說好像真的不同的人。
1103.367	1106.809	其實聽覺跟說話也都是身體的一部分。
1106.809	1109.271	所以並不是在否定聽覺跟說話。
1109.271	1114.395	而是說如果上帝也創造眼睛也創造鼻子也創造手也創造腳也創造身體。
