start	end	text
4.428	6.228	大家好,我是董江華牧師。
6.228	15.731	華人教會的老化與青年事工的困境,大概是全球華人教會今天所共同面對的挑戰。
28.268	35.035	而在教會中,不同人對不同崇拜形式的偏好,也往往成為張力的來源。
35.035	39.219	今天我們邀請到過去在香港牧養多年的譚子孫牧師。
39.219	50.670	譚牧師的博士是讀崇拜學的,在教會除了負責聖樂和崇拜事工外,也常年服侍青年人,並學習透過社群媒體來牧養這個時代的年輕人。
51.288	56.617	今天我們將和他聊聊,到底該如何看待不同的崇拜形式?
56.617	64.871	在社群媒體的時代,教會又如何可以不被社群媒體的邏輯所綁架,同時藉助社群媒體來牧養這個時代的人?
65.452	76.744	而面對今天的青年世代,教會的牧養又如何能夠從僅僅是形式的改變,進而進入牧養裡面的轉換,更好地來牧養這個世代的年輕人。
76.744	77.806	譚牧師你好。
77.806	79.728	你好,David。
79.728	84.232	Jason,其實我很早以前就聽說過你,但是那時候你仍然還在香港, 臺灣國語。
99.923	102.425	對,謝謝你。
102.425	108.190	其實我從來都是在香港長大讀書的。
108.190	112.514	我以前大學的時候我是念社會工作。
112.514	116.057	然後我也做了兩年多,差不多三年的社會工作。
116.057	120.601	然後我就去了念音樂,我是讀作曲的。
120.981	128.742	然後讀了兩年的奏曲之後﹐神就呼召我傳世間的事奉。
128.742	134.103	所以當時我的教會也支持我﹐我的母會是算道會。
134.103	149.907	然後所以很自然我就進到﹐都是算道會的建造神學院﹐練M.Deaf﹐練了三年之後﹐練的時候我也是Church Music major﹐ 教會音樂的祖授。
149.907	152.409	所以我畢業之後我就到了我的教會。
152.409	155.531	就是當一個崇拜的牧者。
155.531	156.871	我是Pastor。
156.871	160.614	我侍奉的教會就是博盜會安福堂。
160.614	163.795	就是其中一間最大的教會。
163.795	167.578	我在2003年就到我這個教會侍奉。
167.578	169.579	一直到我離開香港。
169.579	173.842	我就是2020年才離開香港。
173.842	176.263	所以我在安福堂已經17年18年的侍奉。
177.944	183.667	然後我就一家人移民過來加拿大。
183.667	186.208	我現在的幕會也是報導會。
186.208	191.490	我是南卡加里華人報導會。
193.131	197.252	Calgary其實是一個加拿大在中間靠西對不對?
197.252	198.613	一個很美的城市。
198.613	200.553	對,我們都是算是思安。
200.553	204.254	我們就在中間靠了一個隔了一個Rockies Mountain。
204.254	207.375	然後另外一邊就是Vancouver了。
207.375	209.356	我們就在另外那一邊的。
209.616	217.163	是,我四年前有一次開車從這個Bancouver 開到 Banff,其實離 Calgary 只差一個小時了。
217.163	222.208	哇,那沿路好美啊,我沒有開過那麼美的一段路。
222.208	226.152	真的,真的,所以我們現在住的在 Calgary 就是 真的好。
