start	end	text
4.889	11.512	放眼世界,洞悉時代,觀看上帝普世作為,回應福音整全使命。
11.512	16.474	歡迎收聽由世界華服中心所製作的使命門徒Podcast。
16.474	20.336	在這裡,你會聽到全球華人基督徒領袖的分享。
20.336	24.958	我們會用對話的方式探討當代各種議題和挑戰。
24.958	28.299	激盪想法,並共同前瞻未來。
28.299	30.120	讓我們一同展開這旅程吧!
38.080	40.742	大家好,我是董家華牧師。
40.742	44.804	今天我們要訪談的是加拿大的吳克定牧師。
44.804	50.468	吳牧師是一位在牧養、神學教育和宣教猜傳上都身體力行的牧者。
50.468	57.353	在教會主要服事交棒後,仍舊以不同的方式尾聲在跨文化宣教工作當中。
57.353	59.234	吳牧師今天將和我們分享他的生命故事。
59.514	67.116	以及不同神學傳統的教會,不同特色的世代,如何能夠合一,共同回應上帝的使命。
67.116	67.856	吳牧師你好。
67.856	71.997	你好,董牧師,很高興能夠跟你見面。
71.997	81.719	是,可不可以請吳牧師在訪談一開始的時候,可不可以很簡單的跟我們大家分享一下,你從年輕到現在你的服事的旅程,好不好?
82.159	115.376	我服事特別注重門訓跟宣教,但是起初其實從醫療短訓開始的,因為我以前是當醫生,醫療這方面對我影響很深,可能也是因為當醫生的緣故,後來逐漸的形成我那個 對福音的認識﹐跟傳福音這個模式﹐多一點是holistic﹐是一個全人的身心靈的關懷。
115.376	115.736	是。
115.736	137.966	那麼後來我接任做主任牧師之後﹐在多倫多滑稽﹐我覺得不夠了﹐以前念的MDIF﹐就用完了﹐全部搭桿了﹐所以再去敷了﹐跟你是同學了﹐學長﹐ 對,就在那邊在念那個Demine,Doctor of Ministry。
137.966	151.614	那我就跟一些非常好的老師也影響我,其中一個就是Spiritual Formation那一方面,而且我也跟著開始學習要去多一點去自己就退休,進修。
151.954	155.357	常常去一些Silent Retreat。
155.357	157.619	有一些是在多倫多有的。
157.619	159.260	八天的。
159.260	161.182	Jesuit的。
161.182	164.624	這個是天主教的。
164.624	166.426	也是要安安的去。
166.426	167.327	耶穌會。
167.327	174.593	因為華人教會有一些年長一點的,還不太接納天主教那些東西。
174.593	179.617	所以也不能太張揚,慢慢的去學習。
180.094	186.259	因為我覺得沒有理由一千五百年之前的教會歷史沒有完全失蹤的嘛。
186.259	188.601	肯定有一些好東西要學習的。
188.601	188.801	對。
188.801	202.251	另外一方面就是門訓,門徒訓練,discipleship,mentorship,值得一提一下的就是,教會經歷一些church building,要蓋新堂啊,或者是礦建啊。
202.892	206.654	我曾經都兩次的參與。
206.654	214.478	其實三次,因為學生時代,華記該投一個堂的時候,我們也是依公認身份來參與。
214.478	219.801	但是後來我從高牧師接任之後,有兩次的建堂。
220.862	232.332	頭一次是一個傳統的,都是一個教堂,一些科學,主人學那一類的,就是2001年就辦進去。
232.332	244.683	但是第二次就是十年前,上帝給我們機會,我就反而那一次我覺得上帝的帶領不是要 蓋一個更大的禮拜堂。
244.683	248.665	我們每一個傳達人都有一個試探。
248.665	252.728	要不要弄一個更大的禮拜堂?
252.728	254.410	全程最大的。
254.410	257.912	那麼我們就可以好像要自誇一點。
257.912	263.776	但是上帝很奇妙就引導我要蓋一個社區中心。
263.776	265.798	現在就在多倫多叫做105 Gibson。
267.739	318.042	其實沒有什麼特別這個名字只不過那條街是叫做Gibson Drive那麼那個號碼是105所以我們就保持著105 Gibson Center那個就是一個社區中心是一個Community Center 因為上帝越來越給我一個很強烈的一個所謂全人呼應而且跟宣教要結合的時候我就想到一方面遠方的海外的Overseas的Mission我們當然應該承擔也應該常常去了我自己也有去了 但是同時間這些大城市 大都會全世界都很多了都是有不同的移民 不同族裔 多倫多也不例外。
318.042	324.987	好像紐約、洛杉磯, 超過150個族群。
324.987	329.150	所以我們去到緬甸去做兩個禮拜短宣。
329.150	335.755	那麼有緬甸的人來到多倫多, 怎麼我們不幫助他們, 開發他們的教會呢?
335.755	337.896	所以我就希望有一個平衡。
338.677	369.239	就變成應該是global一個是global 國際性的一個是local 本地的那麼應該變成global兩樣要混一混而且教育年輕來一代我們更加應該用這個方法一個模式所以我不知道我講到哪裡了就是你剛才 叫我trace一下我的服事的旅程,大概是有這個演變過程吧。
369.239	391.687	我覺得很特別的是因為從醫生跨到宣教,所以會看到的不只是人好像內在靈裡的需要,也會看到其實福音是關乎全人的,不只是一種思想上的改變,也不是只是一種心靈的安慰,更是全人的經歷上帝的救贖。
392.688	396.812	副董牧師,對不起,我打擾你。
396.812	428.241	話說回來,我現在講的信息,無論是布道會、培林會,我有不隨便的叫人要改行的, 我護照的時候我說你假如是醫生律師什麼的話除非你有清楚上帝的護照那麼不如的話你還在你的醫院裡面你的醫生崗位裡面做一個好的基督徒醫生也是很重要的 因為這個行行處狀元。
428.241	436.403	不要以為你改行那一類,現身,全職,就特別的屬靈崇告,不一定的。
