start	end	text
4.377	7.320	大家好,我是董家華牧師。
7.320	11.785	不知不覺,新冠疫情爆發,已經兩年多了。
25.879	35.126	雖然世界各地都漸漸地學習與病毒共存,但在過去兩年多當中,許多人都面臨因為疫情帶來的生離死別甚至隔離的痛。
36.169	36.369	你好。
61.340	68.163	我跟艾米牧師大概是2019年那時候在歐陸舉辦了一次華服的大會,我們認識的。
68.163	74.426	本來以為大概每一兩年都還會見到一面,想不到後來疫情就來了,到今天我們都還沒有機會再見。
74.426	75.346	是的。
76.527	80.609	那黃牧師的教會在米蘭嗎?
80.609	86.232	其實米蘭是一個很特別的地方,包括在教會歷史當中,很多重要的事情都發生在米蘭。
86.232	95.778	可不可以請黃牧師先簡單一下介紹你自己,以及米蘭的,就是義大利的華人教會,特別你在米蘭的地區,讓我們大家多了解一點。
95.778	101.721	因為我們大家聽眾來自世界各地,可能每個人想到華人教會想到的畫面都不一樣。
101.721	108.965	可不可以請黃牧師帶我們稍微有些畫面了解, 米蘭的華人教會長什麼樣子?
108.965	114.409	我是1997年從中國大陸到義大利。
114.409	119.432	然後是2003年我正式全職做傳道。
119.432	124.535	就搬到米蘭來,就居住在米蘭的城市。
124.535	127.677	我就服事在米蘭的華人復興教會。
128.217	135.822	一直做全職傳道,到2009年之後我就去神學院讀書。
135.822	138.724	2013年就按牧。
138.724	143.567	2013年到現在,也一邊在進修,也一邊在牧會。
144.548	148.310	在米蘭我很喜歡這個城市。
148.310	152.613	因為城市是一個國際化的大都市。
152.613	157.096	相對來說是一個很開放的城市。
157.096	162.260	包括這裡的當地人也非常的接納其他的族群。
162.260	164.741	這是我特別喜歡的地方。
164.741	167.483	另外一個就是在這個城市很方便。
167.483	169.444	因為是個大都市。
169.444	171.566	各種服務設施都很齊全。
171.886	176.972	整個城市讓人感覺到很有火力。
176.972	185.741	在這裡的華人在米蘭地區的華人就是大概五萬到六萬的華人。
185.741	191.981	在米蘭內有 無間的華人教會。
191.981	194.645	都是不同背景的華人教會。
194.645	199.030	我們華人米蘭華人復興教會就在米蘭。
199.030	203.456	我們一直沒有離開過城市。
203.456	204.378	我們一直在室內。
204.718	216.247	在這邊的話,我們會從會友的組合來看的話,主要的族群是來自江浙地區的。
216.247	222.633	主要是江浙地區的華人移民比較多,加上留學生。
222.633	228.217	也因為我們在這裡時間慢慢的久了,就會有喬二代、喬三代,就是在這裡RB7、ABC一代。
230.299	241.589	我們教會的會友的組合和組成,百分之七十到八十都是來自江澤地區。
241.589	252.579	我們裡面的學生,大學生,這個群體大概只佔我們 總會友人數裡面百分之八到十。
252.579	256.723	這裡面包括是在這裡出生的成長起來的大學生。
256.723	260.547	這樣總體加上來大概百分之八。
260.547	262.209	因為有些不穩定性。
262.209	268.095	一些留學生來過不久的時間就回去。
268.095	269.497	所以流動性是比較大的。
269.957	275.641	總體上在米蘭幕會,我是覺得還是很有盼望。
275.641	279.543	因為這裡的群體很多元。
279.543	284.647	這是在移民教會裏面,我是覺得是需要考量的一方面。
284.647	289.170	因為多元的話,也相對來說會穩定一些。
289.170	292.092	OK,牧師剛才提到說,其實現在已經有第二代第三代。
292.092	294.133	那他們的溝通還是用普通話嗎?
294.133	298.156	還是其實他們第二代第三代,他們其實是用本地的義大利文來溝通?
299.292	307.978	我們教會能用中文溝通的是佔絕大多數,還是可以用國語。
307.978	315.064	但也有一些年輕青少年和兒童,不習慣用國語了。
315.064	317.626	他們的母語就是義大利語。
317.626	319.147	是,是,是。
319.147	322.930	牧師剛剛也提到說你是97年到義大利,然後03年到米蘭。
323.490	325.751	然後後來就在教會服事。
325.751	328.092	然後到09年才讀神學,然後13年按牧。
328.092	332.113	這很有意思喔,因為在很多地方可能是順序是反過來的。
332.113	336.495	就是會先念神學,然後再當傳達人,然後再成為牧師。
336.495	341.597	可不可以請牧師簡單介紹一下,因為我知道在歐洲這是蠻普遍的一個狀況。
341.937	347.960	那可不可以請牧師簡單介紹一下是一個什麼樣的教會的文化或處境?
347.960	357.024	是很多時候好像我們聽到很多在特別是歐陸教會的時候,都是先牧會,然後再去讀神學,然後後來才這個按牧的。
357.824	363.889	我們教會有一些的文化和傳統。
