start	end	text
4.855	11.499	放眼世界,洞悉時代,觀看上帝普世作為,回應福音整全使命。
11.499	16.461	歡迎收聽由世界華服中心所製作的使命門徒Podcast。
16.461	20.323	在這裡,你會聽到全球華人基督徒領袖的分享。
20.323	24.926	我們會用對話的方式探討當代各種議題和挑戰。
24.926	28.288	激盪想法,並共同前瞻未來。
28.288	30.089	讓我們一同展開這旅程吧!
37.961	40.483	大家好,我是董家華牧師。
40.483	48.267	今天我們將繼續上週和創新神學院陳院長的對話,好好的來聊聊領導學這個話題。
48.267	49.728	陳院長你好。
49.728	50.869	董牧師你好。
50.869	58.934	上禮拜很開心可以跟院長聊了很多,我們從上帝的國然後來談,特別是對今天教會基督徒生命的意義。
59.514	68.640	今天我們延續上一週的話題,其實我們要來談一個主題,就是基督徒的領導學。
68.640	77.427	我覺得很有趣的是,通常一個神學院的院長,他的研究領域可能是系統神學,可能是聖經研究。
77.807	85.411	但是很少有神學院院長在過程當中特別寫了一本書關於基督徒領導學的。
85.411	92.755	我想就從這邊開始來談,先想請教院長,你是為什麼開始起心動念寫這本書的?
92.755	99.179	以及你在寫這本書的過程當中讓你對所謂基督徒談領導你有什麼的想法跟反思呢?
100.265	120.605	OK 可以這麼說啦我被選做院長之後呢我就有一個感覺是我想了解一下領導學我剛剛有分享 我高中的時候就參加團企。
120.605	132.662	那我做團企主席,大學做團企主席,後來來到美國之後,我做教會的長職,同工會的主席,我做長老小會的主席,我做臺服總會的議長等等的。
133.968	202.641	那麼我自己覺得我在領導可以這樣來講基督領導上面有很多學習特別是因為我是神仙的教授所以有很多聖經裡面領導的觀念也整合到我的神學思想裡面或者說神學思想整合到我們的領導學裡面雖然如此我被選做院長也就希望能夠更深的瞭解領導 領導學怎麼一回事所以我被選作院長之後我回復了神線修了兩門領導學兩門領導學都有幫助非常的大非常的大為什麼是非常的大呢第一個簡單的說 看到創新的時候當然那個時候我們才開始我就知道說我們要怎麼建造這個神學院有哪幾個面向我需要注意或者要建構然後如果在教會裡面哪幾個面向 有哪幾個層面?
202.641	226.113	然後我看到以前我所聽到的所看到的很多的教會在執堂之後母會跟那個指揮之間有問題然後傳道人之間有問題那麼也就是說我發現我念了之後我就知道說問題在哪裡?
227.176	269.171	所以我自己的感覺就是說我教會看到很多的問題其實跟真理沒有關係 我不想你們同意教會裡面的分裂常常跟真理沒有關係弟兄姊妹吵架跟真理沒有關係不能同工跟真理沒有關係當然神學院裡面比較會是因著神學的瞭解對聖經的瞭解不一樣而分裂但是在教會這個層級基本上比較不會但是教會的問題非常的多 包括傳道人長子的問題非常的多。
269.171	272.113	所以我去念領導學。
272.113	274.094	修了之後,我剛已經講了。
274.094	277.775	那我就看到教會的問題,很容易就歸類了。
277.775	308.095	這個教會的問題,第一個問題很簡單,它的結果有問題,它的structure, 他的那個他裡面的那個什麼結構有問題然後他跟外面的這個關係也算是結構框架的一部分跟政府這個有問題他跟他的這個母會跟子會之間是什麼問題我就很容易看出來歸類在哪裡這個組織他的問題到底在哪裡 當然特別我看到我們創新嘛。
308.095	311.036	那我們創新到底如何建構。
311.036	314.297	比如說最先開始的時候。
314.297	317.438	那因為這個跟我們轉型很有關係啦。
317.438	321.880	就是說我們本來從一個比較是延伸制的神學院。
321.880	323.540	所以呢我們轉型之前呢。
323.540	325.541	我們的學生呢。
325.541	330.202	我們的學生到別的神仙去讀書的時候。
330.202	330.863	被打1比6。
331.783	337.429	後來才知道我們是被那個當作延伸制的神仙,就是轉型之前。
337.429	345.738	所以我後來被選作院長就帶領做一個轉型,成為一個正式的神學院,這樣子。
345.738	357.588	所以在這中間,就是我看到這個, 我們自己創新神訓,什麼是最重要的,優先的。
357.588	363.492	這些我因為念了領導學,我就很清楚的知道怎麼一回事。
363.492	373.198	那我以前也,我剛剛已經講過了,我做主席,做長老,做議長,做同位主席等等,我做了很久啊。
373.558	374.719	繁體中文，臺灣國語。
374.719	376.399	繁體中文，臺灣國語。
376.399	376.860	繁體中文，臺灣國語。
392.927	447.698	不斷的反覆的在我裡面反思反省甚至悔改然後有一些我是要帶到上帝的面前去反思的所以這一些就幫助我經過一遍又一遍的寫作的過程裡面我自己寫的書成為我自己的鏡子 我所讀的 我所寫的 成為我的鏡子而且不斷地在我裡面塑造積電又積電 積電又積電所以我今天對領導學有一點的概念這個對我本身做創新神仙的院長非常有幫助我寫這本書除了說因為領導學對我幫助非常大之外我發現教會的牧者一般對領導學不太有概念 那我就想寫出來。
447.698	449.038	拋磚引玉。
449.038	452.959	然後希望對他們有點幫助。
452.959	456.520	所以這本書我們有繁體版有簡體版。
456.520	460.340	不過我們有一個學生有一次來找我。
460.340	463.081	他找我的時候帶著視野領導力。
463.081	464.802	就是我寫的這本書。
464.802	466.842	他就說不好意思啊院長。
466.842	470.003	這是這本書是盜版。
473.370	478.494	也就是我們在中國﹐其實我們已經有簡體版了﹐但是還是有道版。
478.494	482.196	那我想﹐可以成為很多人的祝福了。
482.196	505.112	我其實很好奇﹐就是第一個﹐我想要多談談裡面的內容﹐特別是如果今天﹐我們接下來30分鐘﹐你會覺得對今天的﹐各地方的教會牧者﹐機構負責人﹐或者在基督徒事工當中﹐負責領導的人﹐你覺得你反思到後來﹐有哪一些精華﹐可以很簡單的﹐當然全部你要去讀那本書﹐但是很簡單的﹐ 繁體中文，臺灣國語。
505.112	505.793	繁體中文，臺灣國語。
518.882	539.036	這的確是一個張力,特別有很多時候我們把這兩個字連在一起,僕人領導,但是的確很多時候在教會基督徒聚集的場合,我們談領袖領導的時候,好像總是會有遇到這樣的心裡面的不舒服,或者是有人會有這樣的聲音,你怎麼看這樣的張力,跟你會怎麼回應這樣的張力?
539.036	539.756	非常好的問題。
540.981	572.134	這個書一開始我就講了一句話叫做一人求生兩人合作三人就混亂了好那麼所以很簡單的說一定要有領導這是第一個第二個就是什麼叫做領導領導其實我在研究裡面發現領導最好的定義就是說當一個人嘗試影響另外一個人的時候領導就在發生之中 那什麼意思呢?
572.134	576.316	也就是說領導其實它是一個影響。
576.316	582.958	作為一個主任牧師,你想不想去影響你的父母師,影響弟兄姊妹?
582.958	583.779	要不要?
583.779	584.599	要啊!
584.599	594.162	你想影響他們的屬靈觀、價值觀、世界觀,影響他們怎麼生活,怎麼工作。
594.162	595.743	所以這個叫做什麼呢?
595.743	598.184	其實領導已經在發生之中了。
600.179	635.183	所以領導 因為為什麼我們會想不需要領導因為我們想領導是上下的關係是前後的關係 不對的領導不只是上下跟前後領導是當一個人嘗試影響另外一個人的時候領導就在發生之中所以這個也是表示說一個基督徒領導者他的責任是什麼 是影響 好,那如果這樣來講的話,還有一個很重要的,教會裡面學習什麼領導?
635.183	641.985	教會我們要學習聖經,我們研經,我們培靈,就有很多這一類的聲音。
641.985	649.248	這個很有趣的就是說,領導,領導學不只是領導者需要學習。
649.248	654.950	弟兄姊妹不學習的時候,你會發現領導者會領導得非常的辛苦。
656.954	657.875	為什麼?
657.875	659.816	因為領導是一個影響。
659.816	665.879	你嘗試影響他們的時候,他們也嘗試影響你。
665.879	668.061	他們想嘗試改變你。
668.061	674.885	所以在裡面,如果領導者,這個裡面就是講到為什麼領導要一起學習。
676.049	701.444	一起學習比如說你剛剛提到說那個為什麼要寫領導我剛剛已經講了如果沒有的話你會發現以前我聽到一個傳教師講後來好幾個傳教師跟我講我們神學裡面有好幾個老師本身是宣教師做很難解釋你的宣教師 你知道嗎?
701.444	709.589	先教工廠上面,對一個先教士來講,挑戰最大的是誰,你知道嗎?
709.589	710.430	其他的先教士。
710.430	715.713	另外一個先教士。
715.713	721.276	絕對不是弟兄姊妹,不是沒有信主的,最大的挑戰都是來自於同工。
723.456	774.411	所以你會發現為什麼要寫領導學我現在插出去來講這本書裡面講我在講那個人力資源的時候講到其實我們被審護照護照的時候要實現上帝對我們的護照 我們可以說這個是自我實現好了但是是在上帝的裡面所以這是好的但是這個自我實現常常跟組織的方向目標意向不一致所以這樣子的自我實現是有問題的OK好這是一個題外話我要講的是什麼呢我要講的是為什麼我們不能同工 為什麼我們不能團隊?
774.411	776.852	我現在跳到我裡面的第六章的附錄。
776.852	781.955	我在講到領導者需要了解自己。
781.955	784.776	然後弟兄姊妹需要了解自己。
784.776	786.897	信徒領袖需要了解自己。
786.897	788.818	不然的話沒辦法同工。
788.818	790.579	我看過太多的例子了。
790.579	794.000	比如說我現在不解釋什麼叫DISC。
794.000	796.662	一個主任牧師是Dominance的。
797.995	802.096	這是他性格的裂別啊,不是講他的好壞啊。
802.096	804.937	結果呢,同工諸位主席也是dominance的。
804.937	810.659	我跟你講,兩個經常吵架,而且到最後經常主任牧師離職。
810.659	813.560	我看了很多。
813.560	817.001	好,那麼呢,同樣的,我再講一個例子。
817.001	831.451	如果主任牧師是S型的,同工會主席是D型的,dominance的, 然後你會發現這個主任牧師很難當啊,很容易離職,為什麼?
831.451	836.193	因為他常常覺得這個同盟會主席會壓迫他,你知道嗎?
836.193	838.915	會霸道,你知道嗎?
838.915	847.338	但是這有些時候,有些時候其實那是他的性格,但是他不了解自己的性格,所以他,你知道嗎?
