start	end	text
18.473	20.116	弟兄姊妹平安，我們一起來思想。
20.116	24.164	《使徒行傳》第22章的17節到最後。
24.164	31.471	繼續來看這位被逮捕的保羅, 在整個聖殿區裡面的台階上。
31.471	36.713	如何對這些憤怒的猶太鄉親們來訴說。
36.713	41.254	他這位過去熱心逼迫基督徒的法利賽人。
41.254	44.735	怎麼後來會變成一個基督徒。
44.735	48.417	然後讓大家今天這麼的不諒解他。
48.417	52.558	他要跟大家講他到底人生發生了什麼故事。
52.558	55.259	17節我們就繼續來看故事的下半段。
56.527	74.208	保羅繼續說,後來我回到耶路撒冷,就是指說他從大馬士革服侍的上帝,服侍的主耶穌一段時間之後,因為大馬士革的人要殺他, 大馬士革的猶太人。
74.208	75.308	容不下他。
75.308	77.789	所以他就來到耶路撒冷。
77.789	80.309	在聖殿裡祷告的時候。
80.309	81.850	魂游向外。
81.850	83.870	代表看見異象了。
83.870	84.571	18節。
84.571	86.971	他就看見主向我說。
86.971	88.892	你趕緊的離開耶路撒冷。
89.172	113.140	保羅他回到伊路撒冷在聖殿禱告的時候耶穌讓他看見異象在異象裡面耶穌對他說趕快離開伊路撒冷你為我所做的見證 他們不相信。
113.140	115.643	他們也不願意接受。
115.643	117.264	19節保羅就非常的驚訝。
117.264	119.346	他認為怎麼會呢?
119.346	121.428	我的這個轉變這麼大。
121.428	126.132	他們一定會對我的見證覺得很稀奇。
126.132	130.195	然後相信你是真的。
130.195	132.737	可是怎麼會他們不相信呢?
132.737	134.059	19節我就說主啊!
134.599	138.984	他們知道我從前把陷你的人收在監獄裡。
138.984	140.866	又在各會堂裡鞭打他們。
140.866	144.670	他們知道我以前是如何的殘害基督徒。
144.670	148.855	並且你的見證人斯提反被害流血的時候。
149.616	156.598	我也站在旁邊歡喜,又看守害死祂之人的衣裳。
156.598	173.963	保羅說,而且當初耶路撒冷人在謀殺斯蒂凡的時候,我也在當中,而且我歡喜快樂看見斯蒂凡這種所謂信耶穌的邪門歪道,被大家處死,我是很開心的。
173.963	183.069	而且我還幫忙首先拿起石頭來, 砸斯蒂凡的這些做假見證的人。
183.069	184.610	我替他們看守衣裳。
184.610	187.011	代表我還擠到滿前面去的。
187.011	189.313	參與在其中。
189.313	191.754	21節主向我說你去吧。
191.754	195.896	我要差你遠遠的往外邦人那裡去。
195.896	199.899	所以保羅就交代了他為什麼後來會離開耶路撒冷。
200.299	221.295	就是因為很久很久以前應該是十多年前十多年前那時候我為什麼會離開耶路撒冷就是因為你們那時候拒絕了我所傳的福音 然後耶穌認為你們心硬。
221.295	223.376	所以就拆派我。
223.376	225.637	到外邦人世界去。
225.637	226.918	對他們傳福音。
226.918	228.779	因為你們拒絕福音。
228.779	231.040	所以耶穌才採我。
231.040	233.382	到外邦人世界去向他們傳福音。
234.002	260.829	22節眾人聽到他說這句話就高聲說這樣的人從世上除掉他吧他是不當活著的哇這些人聽見就很憤怒因為他們聽見了保羅的意思就是說因為你們拒絕福音所以上帝就 放棄你們了,反而叫我去把福音傳給外邦人。
260.829	266.013	他們當然覺得很被羞辱,很不能接受,覺得很生氣。
266.013	276.422	二三節,眾人就喧嚷,而且甩掉衣服,把塵土向空中揚起來,表達他們強烈的憤怒,他們要殺他。
277.022	280.643	現場非常的火爆。
280.643	286.484	二十四節簽夫長就吩咐將保羅趕快帶進營樓去。
286.484	289.445	就是帶到安東尼堡裡面去。
289.445	293.665	然後叫人用鞭子來拷問他。
293.665	298.967	要知道他們像他這樣渲染是為什麼緣故。
298.967	299.687	為什麼會這樣呢?
299.687	308.910	因為剛剛保羅他都是用這個應該是用雅蘭文 對這些猶太人鄉親來說話。
308.910	311.833	那遷夫長他是他聽不懂啊。
311.833	314.074	他只聽得懂這個希臘話。
314.074	316.036	所以他就不知道到底發生什麼事。
316.036	319.399	所以決定先把保羅關進去。
319.399	322.801	然後用那個鞭子抽打他。
322.801	323.522	大型伺候。
323.882	326.403	來瞭解到底發生什麼事。
326.403	329.364	怎麼會亂成這個樣子。
329.364	332.086	所以這邊講就是說。
332.086	332.666	25節。
332.666	334.287	剛用皮條捆上。
334.287	336.868	就是把這個保羅用皮條捆起來。
336.868	340.129	然後準備要對他大行伺候的時候。
340.129	345.151	保羅對站在旁邊的百夫長說。
345.151	346.852	人是羅馬人。
346.852	348.193	又沒有定罪。
348.193	349.813	你們就鞭打他。
349.813	350.834	有這個利嗎?
351.988	356.610	百夫長聽見這話,就去見千夫長說。
356.610	359.210	告訴他說,你要做什麼?
359.210	361.451	這人是羅馬人耶。
361.451	363.392	哇,什麼意思呢?
363.392	367.373	保羅他就快要被他們用大刑伺候。
367.373	371.835	可是保羅說,我是羅馬公民喔。
371.835	377.597	你們要用羅馬公民的這個法律,按照程序來審訊我。
378.217	381.879	你們現在連我到底做了什麼你們都不知道。
381.879	384.380	就直接要對我用刑鞭打我。
384.380	385.920	你們這是違反法律的。
385.920	389.862	因為羅馬政府是非常強調法治的。
389.862	393.664	所以準備要對他動刑的百夫長一聽說。
393.664	393.664	蛤?
393.664	395.224	他是羅馬人。
395.224	400.047	那我們現在這樣做當然是不符合法律程序。
400.047	403.588	他只好去見他的頂頭上司對千夫長說。
403.588	404.368	你要做什麼?
404.368	405.829	這個人是羅馬人。
405.829	407.330	我不能這樣子鞭打他。
407.910	414.334	所以27節,千夫長就自己來問保羅說,你告訴我,你是羅馬人嗎?
414.334	415.955	保羅說,是。
415.955	421.639	千夫長說,我用許多銀子才入了羅馬的民籍。
421.639	425.682	千夫長意思是說,你說你是羅馬人,就是喔。
425.682	427.463	我才不相信。
427.463	437.390	千夫長說,我自己本來也不是羅馬人,我是花了很多的錢,很多的銀子,才取得了羅馬公民的資格。
437.910	442.216	你如果不是這個義大利人。
442.216	445.340	不是羅馬城的人。
445.340	447.803	那你要變成羅馬公民。
447.803	449.245	你是外族人。
449.245	451.428	要成為羅馬公民。
451.428	452.909	只有兩種情形。
452.909	455.813	第一個就是你的父親是羅馬人。
456.425	462.669	那你的父親可能因為各種原因,得到恩惠,所以他變成羅馬人。
462.669	466.032	自然羅馬人生出來的孩子就是羅馬人。
466.032	480.402	第二個,你可能就是要用別的方法,可能是捐很多的錢,或是立下什麼這些偉大的軍事的戰功,你才有機會變成羅馬公民。
480.862	488.205	那這位千夫長,因為千夫長這個職位,他一定要羅馬公民才可以擔任。
488.205	492.367	百夫長就是沒有這樣的規定。
492.367	498.710	所以他以前當百夫長的時候,他想要身為千夫長,他需要取得羅馬公民資格。
498.710	504.072	那他就用很多的錢去買這個羅馬人的資格。
504.072	508.735	所以千夫長一直在說,你說你是羅馬人,你就羅馬人。
509.735	514.076	保羅就說:「我生來就是。
514.076	517.737	」這個回答讓遷夫長也不知道該怎麼回答。
517.737	521.979	因為保羅說:「我出生就是,我不相信是用買來的。
521.979	529.961	」二九節,於是那些要拷問保羅的人一聽,沒有人要鞭打他了,就離開他去了。
529.961	535.823	遷夫長既然知道他是羅馬人,又因為非法綑綁了他,也害怕了。
536.203	540.730	所以這個遷夫長現在也是進退維谷,不知道該怎麼辦。
540.730	548.938	30節第二天,遷夫長為了要知道猶太人控告保羅的實情, 便解開他。
548.938	553.300	吩咐祭司長和全公會的人都聚集。
553.300	555.322	將保羅帶下來。
555.322	560.584	叫他站在祭司長和全體公會的人面前。
560.584	562.385	來對質。
562.385	566.107	因為遷夫長到現在還是搞不清楚為什麼他們要殺保羅。
566.107	568.188	所以他就第二天。
568.188	570.790	把這個猶太人的領袖。
570.790	571.770	祭司長。
571.770	574.032	跟整個他們最高的議會。
574.032	576.213	叫公會的成員全部叫過來。
576.613	580.615	因為前副長想要了解到底發生什麼事情。
580.615	582.296	我們一起來禱告。
582.296	587.418	主我們在祢面前要向祢來禱告。
587.418	589.039	求祢恩待我們。
589.039	593.701	讓我們在患難當中的時候也不驚不害怕。
593.701	597.003	我們就來向神禱告。
597.003	599.504	聖靈祢會幫助我們。
599.504	603.746	讓我們知道如何來應對當時候的艱難。
604.206	608.327	我們看見聖靈這時候給保羅智慧。
608.327	611.948	來對千夫長有合意的對答。
611.948	616.669	主我們也相信在我們許多人生真實的挑戰上。
616.669	618.850	祢也要給我們隨時的幫助。
618.850	621.750	聖靈也要隨時來感動我們。
621.750	623.151	如何依靠神。
623.151	626.812	如何靠主得著幫助跟保護。
626.812	627.852	謝謝主。
627.852	629.372	奉主耶穌的名祷告。
629.372	630.593	阿們。
630.593	631.773	願神賜福大家。
638.217	639.405	繁體中文
