start	end	text
18.763	20.765	弟兄姊妹平安，我們一起來思想。
20.765	25.349	《使徒行傳》第28章的第一節到第15節。
25.349	29.633	我們既已得救,就是發生了這個船難。
29.633	34.197	但是感謝神,所有的人都平安的來到了這個島上。
34.616	36.677	所以我們既已得救。
36.677	40.798	這是按照神差派天使所告訴保羅的。
40.798	44.440	而保羅把這個神的應許告訴大家。
44.440	47.341	現在真的完全實現了。
47.341	49.122	所以我們既已得救。
49.122	51.983	才知道那個島名叫做馬爾他。
51.983	54.424	這是在義大利半島南部的一個小島。
55.452	59.813	土人看待我們有非常的勤奮。
59.813	64.535	這島上的居民對他們很有善、很熱情。
64.535	68.016	因為當時是下著雨,天氣又冷。
68.016	70.957	他們就生火接待我們眾人。
70.957	75.938	代表這邊的人,他們就非常純樸,然後非常的友善。
75.938	78.599	來接待這些落難的這些船客。
79.633	87.038	那時,保羅就拾起一捆柴,要把它放在火上生火。
87.038	93.683	就有一條毒蛇因為熱了而跑出來,就咬住保羅他的手。
93.683	101.929	第四節,土人看見那毒蛇懸在保羅他的手上,就彼此說:「這人必定是個兇手!
101.929	108.510	」 雖然從海裡救上來,天裡還不容他活著。
108.510	127.674	所以這些純樸的當地人,就想說,天啊,這個人到底是一個怎麼樣,天裡不容的大惡人、大兇手,他才剛從海裡面被救上來,天立刻要滅他,派一條毒蛇,要把他咬死。
128.814	135.180	當地的居民看見這個蛇就知道說,這個蛇咬過的人是必死無疑。
135.180	142.048	第五節,保羅竟然把那毒蛇就直接甩在火裡,並沒有受傷。
142.048	150.836	第六節,土人不相信,土人想保羅他必要腫起來,或是忽然撲倒死了。
151.630	158.657	但是呢,看了多時,見祂無害,就轉念說,祂是個神。
158.657	160.960	這個劇情也真的是非常有趣。
160.960	171.711	這也讓我們想起來,例如說,包含在路加福音第10章19節,耶穌說祂要把全餅賞賜給我們,讓我們可以借祂,借祂什麼?
171.711	173.372	蛇與蠍子。
173.372	174.734	斷沒有什麼可以害我們的。
175.094	180.219	在馬可福音也有類似這樣的一個應許。
180.219	184.123	因此我們真的是不要害怕,神必保守我們。
184.123	199.136	第七節,離那地方不遠,有田產,就是田地,是島長,這個馬爾他島的島長,布柏留的,布柏留是一個羅馬名字, 他接納我們,盡情地款待我們三日。
199.136	204.239	當時不百留的父親患熱病,和立即躺著。
204.239	209.542	保羅就進去為他禱告,按手在他身上,治好了他。
209.542	214.025	從此,島上其餘的病人也來得了醫治。
214.025	220.949	他們又多方地尊敬我們,到了開船的時候,也把我們所需用的送到了船上去。
222.585	254.211	保羅他死裡逃生上帝拯救他來到了馬爾他島然後被毒蛇咬也沒死也沒事所以就讓這些當地人驚為天人甚至保羅又奉主耶穌的名醫治了這個島長的父親以及這個島上許許多多生病的人就贏得了大家的尊敬跟敬重 十一節過了三個月。
254.211	256.474	在這個島上待了三個月。
256.474	258.176	十一月、十二月、一月。
258.176	262.241	因為那三個月基本上不能開船的。
262.241	264.123	開船一定會船難的。
264.123	266.246	他們剛剛已經受過教訓了。
266.246	268.328	所以乖乖的在這個島上待了三個月。
269.189	274.058	我們就上了亞歷山泰的船往前行。
274.058	278.507	這個船以宙斯雙子為記號。
278.507	280.992	是在那海島過了冬的。
281.715	309.122	其實保羅他們之前搭那艘船也是這個亞歷山泰的船但是已經沉沒了所以三個月後他們從馬爾他島又找到一隻船也是從亞歷山泰非洲的亞歷山泰要開往義大利去的一艘船那這艘船之前也是在馬爾他過冬的 好,他們上了船之後,到了敘拉古。
309.122	313.907	敘拉古就是更北邊一點的西西里島。
313.907	316.130	然後在那邊停泊三日。
316.130	320.314	又從那裡繞行,終於來到了利基翁。
320.314	323.418	哇,已經在義大利半島南邊登陸了。
324.138	327.001	過了一天起了南風。
327.001	329.123	把他們往北吹。
329.123	333.468	第二天他們就來到了布丟利。
333.468	337.131	已經是在義大利半島的西岸了。
337.131	339.614	在那裡遇見弟兄們。
339.614	341.636	那邊有基督徒出來迎接他們。
341.636	345.059	請我們與他們同住了七天。
345.059	347.122	這樣我們來到了羅馬。
347.602	351.224	那裡的弟兄們,羅馬的弟兄們也怎麼樣?
351.224	361.149	一聽見我們的信息,就從羅馬城裡面出來,來到了雅比烏市和山館的地方迎接我們。
361.149	364.771	就來到羅馬城外,迎接我們一行人。
364.771	370.234	保羅見了他們,就感謝神,放心壯膽。
370.234	379.299	放心壯膽原文意思是,得著勇氣,代表保羅看見, 有這些弟兄們來迎接祂,祂就精神大振。
379.299	381.742	信心也為之一振。
381.742	383.803	我們一起來禱告。
383.803	388.667	主讚美祢,主祢若幫助我們,沒有人可以抵擋我們。
388.667	396.494	主祢應許我們,當我們使用祢的權柄來傳揚福音的時候,我們要踐踏蛇與蠍子。
396.494	402.579	因此主,我們要再次在祢面前,衷心的依靠祢,專心的傳揚福音。
403.200	409.742	主斷沒有什麼可以害我們的,反而要為主做許多的見證。
409.742	420.827	謝謝主保羅他,屢經患難,但在患難當中都仰望神,並且透過神極大奇妙的恩典,屢次化險為夷。
421.647	438.258	主這是我們所羨慕的一個在患難中依靠神的信心求神要把這樣信心賞賜給現在每一個正在接受患難跟挑戰的弟兄姊妹謝謝主奉主耶穌的名禱告阿們願神賜福大家
