start	end	text
18.524	20.405	弟兄姊妹平安，我們一起來思想。
20.405	24.066	使徒行傳第三章一到十六節。
24.066	26.427	生初禱告的時候。
26.427	29.388	生初指的就是第九個小時。
29.388	31.489	也就是下午三點。
31.489	37.011	下午三點在聖殿裡面是現晚祭的時刻。
37.011	43.693	因此也有很多的猶太人會在下午三點的時候到聖殿裡面去禱告。
45.247	63.986	彼得約翰上聖殿去,有一個人生來是瘸腿的,天天被人抬過來,放在殿的一個門口,那個門名字叫做美門,要求進聖殿的人來遭祭他。
65.247	105.517	生來瘸腿的那是被視為不潔淨的因此他沒有資格進到聖殿區裡面所謂的聖殿區裡面很可能指的是這個 內院的部分也就是說外邦人不能進去的地方外面是外院外邦人院然後接下來就會有一個牆隔絕起來這個牆進去叫做婦女院就是以色列的男人跟女人都可以進去的地方那婦女院 再進去就叫以色列院。
105.517	108.979	只有以色列的男人可以進去的地方。
108.979	112.661	再往裡面去就是真正的內院。
112.661	116.983	那是祭司跟立位人可以進去的地方。
116.983	119.365	動物在那邊被獻祭。
119.365	125.568	可是百姓只能在以色列院那個地方觀看。
125.568	131.052	透過門來觀看祭司在為他獻祭的這個過程。
132.295	135.316	那有關於美門到底在哪裡呢?
135.316	218.450	沒有辦法很確定它到底在哪裡有人說它可能是從外面要進外邦人院的其中的一個門口那也有人認為它是在從外邦人院要準備進這個婦女院之前的一個門口那重點是呢很多這些 弱勢的群體或是一些殘障的或是一些比較認為是不潔淨的人他們沒有資格進到這個裡面去獻祭的人他們常常會被別人幫助抬來到聖殿的門口希望去獻祭的人能夠大發慈悲能夠來施捨憐憫他們一些物資或是金銀 那以色列人呢是被教導要看重這些社會公義這些善行善事也是他們常常在聖殿去獻祭之前都會做的事情所以呢這時候第三節這一個生來是學腿的他看見彼得約翰將要進入聖殿就求他們來周祭他 彼得約翰就定睛看著這個人。
218.450	225.195	基本上呢,這個生來瘸腿的人,他不知道在那個地方乞討了多少年。
225.195	230.479	我想也很少人正眼會看著他,就算是願意幫助他。
230.479	237.525	但是從來,很可能從來沒有人像彼得約翰一樣,定睛看著這個生來瘸腿的乞丐。
239.974	244.776	因此彼得就對他說,你看我們。
244.776	264.966	這真的很奇妙,很少人會去看這個生來缺腿的乞丐,但今天這個彼得約翰卻定睛看著這個生來缺腿的乞丐,以至於這個乞丐可能一開始也不敢看彼得跟約翰,所以彼得就對他說,你看著我們。
266.288	275.461	那個人就留意,看他們,然後呢,指望彼得跟約翰,會給他一點什麼東西。
275.461	279.306	彼得說,金銀我都沒有。
279.306	305.755	讓我們想起在二章45節的時候, 在初代耶路撒冷的教會有很多人出於自發把他的產業都變賣了然後都拿來作為福音之用或是作為幫助貧窮弱勢之用 那彼得就說,金銀我都沒有,只把我所有的給你。
305.755	309.058	金銀他都沒有,那他還剩下什麼呢?
309.058	312.240	彼得說,我把我所有的都給你。
312.240	313.481	是指什麼呢?
313.481	318.124	我奉拿撒勒人耶穌基督的名,叫你起來行走。
318.985	331.696	我把我所有都給祢,我所有的,就是奉拿撒勒人耶穌基督的名,要叫祢起來行走的,這一個神大能的福音。
331.696	340.243	於是就拉著他的右手,把他扶起來,他的腳和懷子骨立刻健壯了。
340.243	340.543	哇!
340.543	342.605	神蹟就在那一剎那就發生了。
343.677	347.140	這個人他就跳起來站著。
347.140	348.000	然後呢?
348.000	350.682	又開始試著去走路。
350.682	350.822	哇!
350.822	352.924	他不僅能夠自己站著。
352.924	355.206	又能夠自己行走。
355.206	356.107	然後呢?
356.107	356.907	他就怎麼樣?
356.907	360.450	他就變成律法上所說的竭盡了。
360.450	362.531	因為他就不是殘疾人士。
362.531	363.752	他就竭盡了。
363.752	367.836	所以他就可以跟約翰跟彼得進入了聖殿。
368.456	379.863	如同歸向主的人進入了神百姓的群體一樣,與神和好,被神接納。
379.863	388.329	所以這個生來瘸腿的這位男子,這應該是他這一生第一次進入聖殿。
388.329	391.111	他是非常的感謝,非常的激動。
391.111	397.195	然後他就走著,然後又太高興了,他又跳著來讚美神。
397.671	405.922	這也讓我們想起,以賽亞書35章第6節,那也是一段很有名的,彌賽亞預言裡面的一段經文。
405.922	410.831	它說,那時,瘸子臂, 跳躍向路。
410.831	413.512	像那個路一樣,跳躍。
413.512	417.834	百姓都看見他行走,讚美神。
417.834	432.260	百姓也都認得,他就是那庶長,就是已經很久很久,他都常常會坐在聖殿的美門口,來乞討的那一位生來的瘸腿的乞丐。
432.260	437.242	就因他所遇著的事,滿心稀奇跟驚訝。
438.166	508.107	那人正在稱為所羅門的郎下那個人後來就來到了聖殿他的外邦人院區周圍的這個郎柱下面有一段被稱為所羅門的郎柱的下面那我們不太知道在整個聖殿區的郎柱這麼長的範圍裡面所羅門的郎柱是哪一小段我們不太清楚 然後那個人呢還繼續拉著彼得約翰在那邊站著跳著歡喜讚美神然後呢眾百姓就一起跑到他們那裡很覺得稀奇彼得看見這是一個步道的好機會 如同上次他們在五旬節,教會被聖靈建立的那一天當很多人被聖靈的神蹟騎士吸引過來的時候彼得在那天就向他們講道那天就有三千人受洗歸向主 現在彼得看見在聖殿區,大家都知道這個人是一個生來的瘸腿的人。
508.107	513.189	大家都認識他,他今天竟然神蹟發生在他身上。
513.189	516.790	大家都非常稀奇,所有的人都聚集過來了。
516.790	520.052	彼得就把握這個機會,他要步道了。
520.052	527.335	彼得看見,就對百姓說,以色列人啊,為什麼把這件事情當作稀奇的呢?
527.995	543.846	彼得說不要覺得這有什麼稀奇這一點都不稀奇彼得說為什麼要定睛看我們以為我們是憑自己的能力和我們的前程使這個人可以行走呢?
