start	end	text
18.746	20.367	弟兄姊妹平安，我們一起來思想。
20.367	23.950	使徒行传第二章的第十四节到二十一节。
23.950	37.620	在第二章的上半段,门徒听从耶稣的吩咐,聚集在一起祷告,等候父所应许要浇灌下来的圣灵,他们准备要受圣灵的洗。
37.620	56.642	果然,不到十天,这个在五旬节那一天, 聖靈就大大的降臨,充滿了在房子裡面的一百二十個門徒,並且賜給他們恩賜口才,說起世界各國不同的語言,來稱頌讚美神的大作為。
57.875	76.254	而許多從世界各國回來伊路撒冷過節的猶太人,聽見這些沒有受過教育的加利利人、鄉下人,也沒有出過國,他們怎麼會用世界各國不同的語言來讚美神的大作為呢?
76.254	76.955	他們就覺得很稀奇。
79.531	85.934	那有些人就績效說,他們無非是被新酒灌滿了,喝酒醉了。
85.934	93.118	我們就來看,這些使徒們,他們要怎麼樣來回應,百姓的圍觀跟聚集。
93.118	107.731	14節,彼得和11個使徒站起來, 高聲的說:「猶太人和一切住在耶路撒冷的人,這件事你們當知道,也當側耳聽我的話。
107.731	123.180	你們想這些人是喝酒醉了,其實不是酒醉了,因為時候剛到四初, 彼得說,你認為他們是喝酒醉了嗎?
123.180	134.390	不是的,現在才是早上九點,而且今天是五旬節,沒有人會在五旬節這麼盛大的節日,一大早就喝酒醉了。
134.991	152.946	第二個有學者提供我們一些線索很可能猶太人平常吃早餐的時間是在十點鐘而早上他們都會先去禱告所以九點是還沒有吃早飯的時間所以怎麼可能喝酒醉呢?
154.343	162.632	十六節彼得解釋,不是喝酒醉,他說,這正是先知約爾所說的。
162.632	171.862	接下來他就引用約爾書第二章的二十八節到三十二節,有關於聖靈膠罐的經文如何應驗在現在。
173.797	181.802	17節,神說在末後的日子,我要將我的靈澆灌凡有血氣的。
181.802	185.264	這是在約爾書裡面一個偉大的應許。
185.264	199.592	在舊約的時代,大部分有經歷到聖靈充滿、聖靈澆灌,就是那些特殊的人物,例如君王、先知和祭司,少數的人。
199.592	213.837	但是呢,神卻應許在末後的日子, 聖靈要澆灌凡有血氣的,就是一般的人,他都要領受聖靈的澆灌。
213.837	220.622	你們的兒女要說預言,你們的少年人要見異象,老年人要做預謀。
220.622	229.609	不僅是凡有血氣的,而且不分他是少年人,是老年人,還是一般的孩子。
230.452	244.216	他們要受聖靈感動說預言,要受聖靈的啟示看見異象,並且甚至在睡夢中還要做異夢。
244.216	249.237	聖靈要大大的充滿在不同年齡層繁有血氣的人。
250.128	258.151	十八節在那些日子,我要將我的靈交冠我的仆人和使女,他們就要說出預言。
258.151	268.216	十八節進一步補充,不僅是男人、仆人,包含女性、使女,他們也要被聖靈充滿。
268.216	274.739	聖靈要將這些異象異夢、預言的恩賜賞賜給他們。
274.739	282.705	我們之前也知道在一章十四節裡面有提到, 門徒們一起聚集禱告,裡面有很多也是婦女。
282.705	288.879	如今他們也在這120人的行列裡面,領受了聖靈大大的澆灌跟充滿。
290.657	305.031	十九節以後就告訴我們,在幕後的日子,聖靈這樣澆灌凡有血氣的,使他們在預言預夢跟意象裡面,不斷訴說上帝的旨意,目的是什麼呢?
305.031	311.777	十九節以後告訴我們,是要人悔改,因為幕後的日子要到了。
312.398	316.441	上帝那大而可畏的日子即將來到。
316.441	328.551	因此,十九節說,要人悔改,所以在天上我要顯出奇事,在地下我要顯出神蹟,有血、有火、有煙霧。
328.551	336.638	日頭要變為黑暗,月亮要變為血,這都在主大而明顯的日子,未到以前。
337.619	375.242	因此呢,十九二十節告訴我們,不僅是普遍性的,大規模的,上帝的兒女要接受聖靈的充滿跟澆灌,要明白神的旨意,說出神的旨意,看見神的旨意,並且在天上有許多不可思議的這個異象會出現,使人產生敬畏, 而思想到,如果主立刻就要來,那我充滿了罪惡,我做了很多神所不喜悅的事情,我該怎麼辦?
375.242	376.903	我應該要趕快悔改。
376.903	384.088	而地上有很多神蹟奇事發生,也都讓那些看見的人產生一種提醒跟警覺。
384.889	386.290	神就要來了。
386.290	388.352	神是又真又活的神。
388.352	389.673	祂行神蹟其事。
389.673	391.195	被我親眼看見了。
391.195	392.636	我應該要敬畏神。
392.636	393.797	我要趕快悔改。
393.797	395.519	因為主要來了。
395.519	399.943	所以在21節的時候,就是約爾書這段的結論。
399.943	405.608	他說,到那時候,凡求告主名的,就必得救。
405.608	409.960	因此呢,凡看見的人, 都要求告主名。
409.960	411.461	什麼叫求告主名?
411.461	413.363	就是向主悔改。
413.363	413.743	救怎麼樣?
413.743	415.924	救必得救。
415.924	432.997	因此呢,面對這個週末,面對耶穌基督第二次要再來,教會應該以宣教傳福音,向眾人作見證,來預備迎接主再來。
432.997	448.503	彼得在這個時候受聖靈的感動, 用約爾書這段經文來理解跟解釋他們剛剛大規模的領受聖靈的澆灌這一個屬靈的經驗。
448.503	465.327	這樣的理解就能夠來讓我們去思想一開始在第一章的時候當耶穌告訴門徒說你們準備要受聖靈的洗 而門徒那時候以為,末世即將來到。
465.327	482.915	因為在以前讀舊約的時候,他常提到,就是在末後的日子,在主來的日子, 聖靈要澆灌下來所以那時候門徒才會問耶穌說你要復興以色列國就在這時候嗎?
482.915	489.557	也就是說門徒再問一件事情就是現在就是末世了嗎?
489.557	501.374	現在就是這個世界 即將要迎接神的國全面降臨,然後以色列國被復興,然後這個世界要結束了嗎?
501.374	504.757	但是耶穌說,不是這樣子的。
504.757	513.704	這個神復興以色列國的日子,或是耶穌基督第二次再來的日子,這個只有天父知道。
513.704	518.268	是按著天父祂的權柄,還有祂的時候去決定的。
518.951	521.614	而門徒們應該要知道的是什麽?
521.614	537.509	門徒們應該要知道的是說,要等候聖靈澆灌在你們身上,讓你們得著能力,然後從耶路撒冷、猶太全地、撒馬利亞,直到地級,做我耶穌死裡復活的見證人。
537.509	548.875	這才是門徒該面對耶穌基督第二次要再來之前, 教會應該要做的事情就是傳樣福音、作見證。
548.875	568.322	這邊彼得他沒有把話講完因為在約爾書他所引用這段經文裡面三十二節原本是說到那時候凡求告一和華民的就必得救後面還有幾句話彼得沒有講但是在接下來彼得的講道裡面 祂就是要講這個悔改的信息。
568.322	583.556	約瑞書第二章的三十二節的後半段是說,因為照耶和華所說的,在喜安山必有逃脫的人,在剩下的人中必有耶和華所呼召的。
