start	end	text
18.490	20.652	大家姊妹平安，我們一起來思想。
20.652	54.540	《使徒行傳》第18章的18節到最後保羅又住了多日保羅總共在哥林多這個城市居住了一年半的時間他就辭別了弟兄坐船往敘利亞去保羅就決定要回到他出發的那個教會就是敘利亞的安提亞教會保羅這一次的出門時間比較久 從大概主後49年,一直到他回到安提亞,大概是主後52年。
54.540	59.243	將近有3年的時間在外面旅行步道。
59.243	62.005	因此他決定要回到安提亞教會去。
62.005	68.030	他的同工,百基拉跟亞居拉夫婦,也和他一同離開了格林多。
69.548	73.349	他因為許過願,就在尖閣裡剪了頭髮。
73.349	78.552	尖閣裡是他們要離開哥林多之後要上船的地方。
78.552	82.173	在上船之前,他就先剪了頭髮。
82.173	86.535	很可能保羅之前許的願,是拿希爾人的願。
86.535	94.098	代表他要過一個分別為聖,歸主的一個敬前生活。
94.098	100.500	那這時候已經跟主約定的, 這個時間已經滿了。
100.500	102.981	他就把這個頭髮剪掉。
102.981	108.124	因為在當拿希爾人的時候是不可以剪頭髮的。
108.124	110.325	因此他們就上了船十九節。
110.325	113.946	船就來到了亞洲的土耳其。
113.946	117.268	這個亞西亞省的省會。
117.268	119.629	國際大城以弗所。
119.629	123.411	保羅就把這對夫婦就留在了以弗所這個地方。
123.951	129.256	讓他來繼續兼顧這邊的基督徒。
129.256	131.678	以弗所教會不是保羅建立的。
131.678	134.942	但是這個時候在以弗所已經有基督徒了。
134.942	139.286	而保羅自己進了猶太人的會堂和猶太人辯論。
139.286	143.470	二十節,眾人請他多住些日子。
143.470	147.053	眾人指的就是這些以弗所教會的弟兄姊妹。
147.654	153.723	請保羅不要那麼快就回安提亞,可不可以在這邊多留點日子。
153.723	160.873	保羅卻不允許,就辭別他們說,神若允許我,我還要回到你們這裡。
161.527	166.548	保羅說:「若神願意讓我再來到你們這裡,我一定會回來的。
166.548	170.869	」於是開船離開了以弗所。
170.869	175.070	船就一直南下南下。
175.070	179.851	保羅他是先來到了很南邊的蓋薩利亞。
179.851	185.432	就在猶大行省的省會蓋薩利亞下了船。
186.032	228.326	上岸就往耶路撒冷去問教會安就是去問耶路撒冷教會的安當然也是在那邊跟使徒和長老們報告 他的這一趟第二趟的外邦宣教之旅的成果當然也是希望耶路撒冷教會能夠就是肯定跟認同上帝在外邦世界正在如火如荼的進行這個福音的工作希望耶路撒冷教會繼續來支持安提亞教會的外邦人宣教工作 所以呢,問好安之後,隨後就下安提阿去。
228.326	231.529	他就回到了他的教會,安提阿教會去。
232.756	236.298	住了一些日子,又離開那裡。
236.298	240.620	過了一段時間,保羅就進行第三次的宣教之旅。
240.620	255.768	他就離開了安提亞教會,然後哀賜,就是按著順序往北走,經過了土耳其中部的加拉泰和佛律家地方,兼顧弟兄姊妹眾門徒的信心。
256.408	296.503	二十四節這邊就路加記載一個插曲有一個猶太人名字叫做亞波羅他來到了這個地中海海邊的這個大城市以弗所他是在這個土耳其的亞西亞省的省會他是生在亞歷山大亞歷山大是在北非埃及那邊也是一個非常非常大的國際大都市亞歷山大 那這位亞波羅,路加記載他是有學問的,或是有口才的,最能講解聖經,他非常熟悉舊約聖經。
296.503	305.153	這個人已經在主的道上受了教訓,心裡火熱,將耶穌的事詳細講論教訓人。
306.237	310.340	只是他單曉得約翰的洗禮。
310.340	313.882	就代表亞波羅他是一個聖經教師。
313.882	316.844	他非常非常有口才和學問。
316.844	318.825	能夠來講解舊約。
318.825	324.208	甚至他非常的認同耶穌的事情。
324.208	329.372	所以他就在會堂裡面公開的在講解有關於耶穌的事情。
329.872	335.158	二十六節,祂在會堂裡放膽的講道。
335.158	346.710	百基拉、亞居拉就聽見祂的講道之後,就私底下接待祂來到他們的家中,將神的道給祂講解得更加詳細。
347.090	386.467	因為這個百吉拉雅吉拉夫婦發現這位非常有能力的亞波羅他所認識的福音真理還不夠完全他只知道那個約翰證明宣告耶穌就是彌賽亞然後他就接受了約翰的這一種悔改的洗禮 可是他對於後來耶穌﹐所傳講的﹐完整的這個十字架的救恩﹐天國的道理﹐這個亞波羅還沒有完全﹐接收到完整的神學的訊息。
386.467	396.910	所以呢,百基拉、亞居拉﹐就私底下的﹐把他接到家中﹐接待他﹐把這個神國的道﹐給他講解的更加詳細。
396.910	407.296	我們真的覺得要﹐從百基拉、亞居拉夫婦學智慧﹐ 他不是在會堂裡面,聽見亞波羅講道,就公開的說你講錯了。
407.296	412.281	沒有,他反而是很敬重這位神所要使用的人。
412.281	419.988	然後私底下把他接到家中,然後再跟他私底下講這些更完整的真理。
419.988	427.775	所以他們是用這種態度,來敬重神即將要興起的一位重要的僕人,亞波羅。
429.138	432.741	二十七節,亞波羅他想要往雅蓋亞去。
432.741	449.493	也就是說,當亞波羅完全的明白整個救恩之道之後,他心裡面就火熱,想要像保羅一樣,跨海,也來到歐洲大陸,來到希臘的雅蓋亞省去,傳福音。
449.493	458.239	弟兄們,就是以佛所教會的弟兄們,就勉勵他,並且寫信,請在雅蓋亞那邊的門徒接待他。
458.882	463.305	雅該雅那邊最重要的教會就是格林多教會了。
463.305	470.431	所以以弗所教會的弟兄們,就為亞波羅寫了一封推薦信。
470.431	479.458	希望雅該雅的弟兄,特別是格林多教會的弟兄們,可以接待這位亞波羅。
480.435	482.696	祂到了那裡。
482.696	484.216	就是祂終於到了雅蓋亞。
484.216	487.097	更可能就是祂到了格林多之後。
487.097	491.398	就多多的幫助那蒙恩信主的人。
491.398	495.819	在眾人面前極有能力博導猶太人。
495.819	499.600	引聖經證明耶穌是基督。
499.600	503.301	代表祂的能力很強。
503.301	523.871	跟這個 保羅一樣,就是可以在這個猶太人的會堂裡面用聖經來博導猶太人用聖經來證明耶穌是基督再加上他對舊約聖經非常的熟悉 再加上他是來自於這個亞歷山大這個地方。
523.871	530.999	亞歷山大那個地方很多的猶太人都非常有學問,非常有口才。
530.999	537.225	因此哥林多教會的弟兄姊妹看起來也非常的喜歡亞波羅。
537.225	544.293	所以我們就可以去理解哥林多前書裡面 保羅就這個規勸格林多教會的弟兄姊妹。
544.293	547.476	不可以在教會裡面分黨。
547.476	549.979	有人說我喜歡亞波羅。
549.979	552.402	有人說我喜歡保羅。
552.402	553.603	保羅說不可以這樣。
553.603	554.725	我們都是主的僕人。
555.145	559.651	你們不要藉我們來分門別類。
559.651	561.012	我們彼此之間是OK的。
561.012	567.320	可是你們不要藉我們的名義在那邊把教會分裂了。
567.320	569.022	這是不對的事情。
569.022	571.005	其實我們看使徒行傳很多細節。
571.305	579.768	就可以去明白保羅寫哥林多前後書的時候,他所要講的到底是發生什麼事情。
579.768	593.974	包含在使徒行傳第15章的使徒會議,耶路撒冷使徒會議裡面,提到使徒們希望外邦弟兄們有幾件事情不要去犯。
594.394	615.926	而那幾件事情,對於這個哥林多教會的要求,保羅就幫助哥林多教會弟兄姊妹們來面對,怎麼樣來遵守這幾個要求,又可以自由的在哥林多這個城市裡面生活跟做見證,而不會為難。
616.766	638.938	也包含保羅在哥林多前述裡面談到耶穌基督十字架的救恩道理,到底跟猶太人的信仰以及跟外邦人的哲學有什麼完全不一樣的地方。
639.633	649.736	那邊就有很多諸斯瑪基看得出來,是跟希臘哲學裡面的斯多噶哲學在做對話。
649.736	655.898	而在那個時候,雅加雅省的省會就是在哥林多。
655.898	663.582	而新尼迦這位,整個羅馬帝國最有名的, 政治家也是最有名的。
663.582	666.324	斯多噶學派的哲學家。
666.324	667.245	悉尼家。
667.245	668.987	他的哥哥加留。
668.987	671.669	那個時候就是在哥林多這個城市。
671.669	673.090	做省長。
673.090	675.673	所以其實我們透過《十讀行傳》。
675.673	676.994	很多一些細節。
676.994	679.456	還有這個18章這邊講到的亞波羅。
680.162	709.311	我們就可以去明白為什麼後來保羅在哥林多前書會談到一些問題跟使徒行傳都有相關的我們一起來禱告求祢幫助我們學習一個教訓就是當很多哥林多教會的人他們喜歡這位有口才有學問風度翩翩的亞波羅 的時候他們就。
709.311	712.432	拿來跟保羅做比較。
712.432	714.253	而這種這些比較。
714.253	715.974	在神的國度裡面。
715.974	718.655	根本都是屬血氣的比較。
718.655	721.656	根本都是不應該的比較。
721.656	723.316	求主也赦免我們。
723.316	726.798	我們常常喜歡品頭論足不同的神的僕人。
727.278	759.319	喜歡在教會裡面分黨結黨彼此彼此不接受或是彼此增進這些都是神極度不喜悅的事情這些都不是神國裡面教導我們的價值觀懇求主赦免我們而真心的敬重每一位在主裡面用愛心跟真理扶持我們的這些神的僕人們讓我們學習 這個白基拉、亞基拉他們的智慧。
759.319	762.562	他們是怎麼樣敬重亞波羅。
762.562	766.806	而又能夠有智慧的把真理跟亞波羅分享。
766.806	769.509	好讓這位神所要使用的僕人。
769.509	772.552	能夠更成熟的被主重用。
772.552	774.934	這都是我們所要學習的智慧。
774.934	776.916	謝謝主聽我們的禱告。
776.916	778.577	奉主耶穌基督的名。
778.577	779.699	阿們。
779.699	780.960	願神賜福大家。
