start	end	text
18.456	20.157	弟兄姊妹平安，我們一起來思想。
20.157	24.360	《使徒行傳》第19章第一節到第12節。
24.360	28.463	繼續來看保羅的第三次宣教之旅。
28.463	32.887	保羅在哥林多的,亞波羅在哥林多的時候。
32.887	36.789	亞波羅之前他在這個以弗所。
36.789	42.574	然後呢他非常有口才有學問講解舊約聖經。
43.114	47.538	他也相信耶穌的道理。
47.538	50.061	可是他所認識的並不全被。
50.061	56.848	他還只停留在約翰的悔改的洗禮的前半段。
56.848	59.771	所以對於後半段他所知道的就比較不完整。
60.111	62.693	但是非常感恩的。
62.693	64.274	保羅的好同工。
64.274	66.576	白吉拉雅居拉夫婦。
66.576	67.917	就私底下。
67.917	70.540	把完整的福音。
70.540	72.121	詳細的解說。
72.121	73.902	給亞波羅聽。
73.902	76.825	所以亞波羅就整個融會貫通了。
77.125	91.838	所以神就重重的使用他,然後他就從亞洲的以弗所,跟保羅一樣坐船,就往歐洲希臘的雅蓋亞,特別是就是到哥林多那邊去了。
92.278	96.420	所以在那邊來服侍哥林多的弟兄姊妹。
96.420	99.422	非常得到他們的喜愛。
99.422	103.043	所以當亞波羅他在哥林多服侍的時候。
103.043	107.966	保羅他就經過了上邊一帶地方。
107.966	112.268	上邊一帶地方就是土耳其中部的內陸地區。
112.268	116.410	包含加拉太、佛律迦這一帶。
116.410	121.873	然後保羅就從土耳其中部內陸地區往西邊走。
122.500	129.205	一直往西,就來到了靠海的這個國際大都市以弗所。
129.205	135.909	而保羅他第二次宣教之旅回程的時候,曾經短暫的停留在以弗所。
135.909	143.475	也把他重要的同工,就是百基拉、亞基拉夫婦留在那裡,兼顧門徒的信心。
143.475	146.417	以弗所教會不是保羅建立的。
146.417	150.560	所以保羅第一次到以弗所的時候,那邊就已經有基督徒了。
151.220	172.850	所以這時候保羅終於來到了以弗所在那裡他就遇見幾個門徒保羅跟這幾個門徒談過話之後就覺得怪怪的所以保羅就問他們一件事情說你們信的時候受了聖靈沒有?
172.850	219.125	他們回答說沒有也未曾聽見有聖靈赤下來 那保羅他就懷疑說奇怪怎麼他們都不太明白聖靈這方面的真理好像都只停留在就是說願意悔改然後呢求神赦免但是對於這個這個真理的聖靈如何在我們的內心裡面使我們開了心竅可以明白耶穌基督整個十字架救恩的道理 同時聖靈也會幫助我們在日常的生活裡面去依靠聖靈 順服聖靈,去活出一個有見證的生活。
