start	end	text
18.763	21.925	弟兄姊妹平安，我們照每日眼睛事業的進度一起來思想。
21.925	24.847	傳道書第十一章的一到八節。
24.847	31.292	一請弟兄姊妹繼續為我的神代受損來禱告,求主憐憫醫治我。
31.292	34.394	我們首先就來讀第一節到第三節。
34.394	41.459	傳道書第十一章。
41.459	46.463	當將你的糧食灑在水面,因為日久必能得著。
48.882	116.504	第一節,當將你的糧食灑在水面,不是說把你的糧食倒在河裡,不是這個意思, 它是說用船來運送糧食做一種買賣跟貿易因為日久必能得早透過航運不管是河流還是海洋的航運運送糧食古代在這個近東世界 有很多地方是糧倉,例如說這個以色列他所出產的一些糧食,他可以到這個推羅霍西頓的海港,把它運送到外面去,做這種交易跟買賣。
116.504	119.285	這個貿易跟航行的時間會拖得很長。
119.940	123.403	但是最後一定會有好的收穫。
123.403	135.271	第十一章的上半段在談一個問題,就是你要懂得投資生命,投資人生,他一定會得到好的一個報酬。
135.271	143.797	但是大部分的人都不太懂得怎麼樣 投資在自己的生命裡,也不太懂得怎麼樣投資在別人的生命裡面。
143.797	151.121	所以他既不投資,他既不付出,為自己或為別人,他最後就是兩手空空,什麼都沒有。
151.121	158.806	所以以這個船運來做糧食買賣為例,時間比較久,但是最後會有好的收穫。
158.806	165.710	就好像有人投資股市,他就會找這個長期的機油股,意思是一樣的,比較超短線。
167.108	170.129	第二個他說,第二節你要分給七人。
170.129	171.790	七代表完全。
171.790	175.691	就是說,你要盡量的來分享給別人。
175.691	178.752	把上帝給你的,盡量分享給別人。
178.752	183.434	就是你要投資別人的生命,成全別人。
183.434	185.935	那七就是完全的意思。
185.935	187.195	或分給八人。
187.195	193.558	也就是說,如果還能夠做得更多,不只七個人,可不可以再多一點?
193.558	194.458	七已經是完全了。
194.838	206.212	就是比完全再多一點多一點幫助人成全人給人資源跟機會因為你不知道將來有什麼災禍臨到地上什麼意思呢?
206.212	219.486	因為你無法預測未來你也不知道現在你所幫助成全帶領跟扶持的這些小弟兄小姊妹 有一天當你有需要的時候﹐他們可能反過來﹐可以成為幫助你的人。
219.486	228.853	有時候世界上就是這樣﹐神使萬事互相效力﹐叫愛神人得益處﹐眼光放遠一點﹐生命本來就是分享。
228.853	238.420	傳道書在前面也曾經談過﹐如果你是一個勤奮、認真、努力的人﹐卻是孤單的人﹐你沒有辦法把你所得到的﹐分享給別人。
238.420	249.029	傳道者說﹐這是極大的禍患﹐你是非常的孤單、可憐﹐ 好,這邊我們繼續往下看第三節。
249.029	253.110	雲若滿了雨,就必傾倒在地上。
253.110	261.172	他意思是說,人為自己的生命,不斷的投入跟投資,他一定會滿溢出來。
261.172	272.493	就好像說這個雲,如果他積了很多水氣, 樹若向南島,或向北島,樹倒向何處,就存在何處。
293.012	298.276	但是呢,我們也要把這個結果交給神。
298.276	304.060	因為我們不可能預期這個投資的結果是什麼。
304.060	305.401	我們無法預測。
305.401	309.884	就好像說風吹過來的時候,如果這個樹,它會倒。
309.884	313.206	但最後到底會向南倒,還向北倒?
313.206	316.889	其實你不知道的,因為這只有上帝知道。
316.889	319.911	好,所以我們繼續往下看,第四節到第六節。
322.176	330.859	看風的必不撒種,望雲的必不收割。
330.859	340.223	風從何到來,骨頭在懷孕婦人的胎中如何長成,你尚且不得知道。
340.223	347.646	這樣,行萬事之神的作為,你更不得知道。
347.646	367.265	早晨要撒你的種,晚上也不要歇你的手, 因為你不知道哪樣發旺，或是早灑的，或是晚灑的，或是兩樣都好， 第四節,這節蠻有名的,我們來讀一下。
367.265	369.647	看風的,必不撒種。
369.647	371.709	望雲的,必不收割。
371.709	373.030	我們再讀一次。
373.030	374.992	看風的,必不撒種。
374.992	376.793	望雲的,並不收割。
376.793	378.314	什麼意思?
378.314	383.018	以前的農夫,他要撒種,他需要有風。
383.018	395.128	所以他撒種的時候,一撒起來,風一吹,就能夠幫助他,把這個種子、這個片布,在均勻的各個地方, 種子會落下。
395.128	402.854	但是如果你怕風太大,風很大可能一灑,這個種子吹到別人的田裡面。
402.854	406.737	所以風太大,你就不敢灑種。
406.737	410.319	結果一直等一直等,等到最後風停了。
410.319	412.661	你種子都沒有灑出去。
412.661	413.602	望雲什麼意思?
413.602	416.024	有雲就代表下雨了。
416.681	472.426	所以你看到有雲你害怕下雨所以你不敢去收割因為你覺得這個下雨的時候去收割很不理想不方便結果你一直怕下雨你沒有去收割最後呢你都沒有收割這個莊稼就爛掉了所以這告訴我們就是說不要錯視時機 有時候我們就是給自己很多的藉口結果錯過了上帝給我們的機會那你說難道都沒有風險嗎當然有風險了但如果神感動你鼓勵你去做你就勇敢去做吧傳道書的精神祂告訴我們我們就是盡心盡力的去做每一件事情並且享受做每一件事情的過程讓自己成為一個感恩之主能夠分享的人這叫做 這個終身行善喜樂。
472.426	476.270	聖過於什麼都不做,然後兩所空空的人。
476.270	478.693	第五節,風從何道來?
478.693	480.515	風從哪一條路來?
480.515	481.176	什麼方向來?
481.834	487.519	然後,這個骨頭在懷孕婦人的胎中是如何長成的?
487.519	495.227	胎兒到底在一個懷孕婦人的肚子裡面,是他的骨頭是怎麼樣開始長,是形成的?
495.227	497.549	你尚且不得知道。
497.549	501.033	這我們承認,風從哪邊吹來,我怎麼會能夠預測呢?
501.493	506.436	這個嬰孩在媽媽的肚子裡,他到底骨骼是怎麼長出來的?
506.436	510.558	古代人沒有像現在這些遺棄,他哪知道?
510.558	513.380	這些這種小事,你尚且不知道。
513.380	518.764	那這樣,行萬世之神的作為,你更 不得知道。
518.764	544.050	所以你不要說我要就是精準的預測未來的每一步路我才敢踏出第一步路你這樣就是看風的必不撒種你這樣就是望雲的必不收割好第六節早晨要撒你的種晚上也不要歇你的手繼續撒種 早上有機會就撒種,晚上有機會你就撒種。
544.050	548.552	得時或不得時,就去做神感動你要做的事情。
548.552	558.378	因為你不知道,到底是早上撒了種,還是晚上撒了種,到底是哪一樣最後會發旺呢?
558.378	563.922	或是早撒了種,或是晚撒了種,或是兩樣都好。
563.922	608.821	所以呢, 光本是加美的,眼見日光也是可悅的, 人活多年﹐就當快樂多年﹐然而也當想到黑暗的日子﹐因為這日子必多﹐所要來的都是虛空。
612.466	620.292	好,第七節,光本是這個加美的,能夠見到這個陽光、日光,這是一件非常美好的事情。
