start	end	text
18.933	22.176	弟兄姊妹平安，我們按照《梅日人經》事宜的進度一起來思想。
22.176	24.457	《出埃及記》第十章的一到二十節。
24.457	26.619	準備要來看第八摘。
26.619	31.103	首先我們透過Drama Bible一起來讀第一節到第十一節。
31.103	47.516	《出埃及記》第十章耶和華對摩西說:「你進去見法老,我使他和他臣僕的心剛硬,為要在他們中間顯我這些神蹟。
49.445	66.009	並要叫你將我向埃及人所做的事﹐和在他們中間所行的神蹟﹐傳於你兒子和你孫子的耳中﹐好叫你們知道我是耶和華。
66.009	78.352	摩西亞倫就進去見法老﹐對他說﹐耶和華西伯來人的神這樣說﹐你在我面前不肯自卑要到幾時呢?
79.957	84.219	容我的百姓去好侍奉我。
84.219	101.228	你若不肯容我的百姓去﹐明天我要使蝗蟲進入你的境內﹐遮滿地面甚至看不見地﹐並且吃那冰雹所剩的﹐和田間所長的一切樹木。
101.228	108.552	你的宮殿和你眾臣僕的房屋﹐並一切埃及人的房屋﹐都要被蝗蟲佔滿了。
109.923	120.010	自從你祖宗和你祖宗的祖宗在世以來,直到今日,沒有見過這樣的災。
120.010	123.913	摩西就轉身離開法老出去。
123.913	126.114	法老的臣僕對法老說。
126.114	131.198	這人為我們的網羅要到幾時呢?
131.198	135.681	容這些人去侍奉耶和華他們的神吧。
137.125	143.648	埃及已經敗壞了,你還不知道嗎?
143.648	149.230	於是摩西亞倫被召回來見法老。
149.230	153.572	你們去侍奉耶和華,你們的神。
153.572	156.934	但那要去的是誰呢?
156.934	161.136	我們要和我們老的少的兒子女兒同去。
162.790	171.597	且把羊羣牛羣一同帶去﹐因為我們務要向耶和華守戒。
171.597	180.003	我容你們和你們婦人孩子去的時候﹐耶和華與你們同在吧。
180.003	187.149	你們要謹慎﹐因為有禍在你們眼前。
187.149	192.393	不可都去﹐你們這壯年人去侍奉耶和華吧。
193.746	197.807	因為這是你們所求的。
197.807	202.868	於是把他們從法老面前撵出去。
202.868	227.710	第一節耶和華對摩西說你進去見法老我使他和他淳樸的心剛硬也就是任憑的意思我就任憑他跟他的淳樸心繼續剛硬下去之前這個是動物死亡後來是人身上長的各種的瘡 生病很痛苦,但神沒讓他們死。
227.710	235.312	接下來是神降下兵暴,有些心硬的人,不相信神的話,就不進到屋子裡面去。
235.312	238.774	果然下起兵暴,來不及逃跑,就被打死了。
238.774	246.296	那現在呢,神看他們不悔改,就要拿出更嚴厲的手段來懲罰他們,警告他們。
247.961	269.144	所以我使祂和祂的臣僕心剛硬,為要在他們中間顯我這些神蹟,並要叫祢將我向埃及人所做的事和在他們中間所行的神蹟傳於祢的兒子和祢孫子的耳中, 好叫你們知道我是耶和華。
269.144	270.925	耶和華的意思就是我是。
270.925	274.307	所以好叫你們知道我是即我是。
274.307	276.989	我是那位我是的上帝。
276.989	278.670	我無所不能。
278.670	284.614	我能夠帶給你們無窮無止境的恩典、拯救、公義跟救贖。
284.614	288.197	但最重要的是我是你們的神。
288.197	289.438	你們是我的百姓。
290.538	293.561	上帝堅定這個約,直到永遠。
293.561	296.064	所以我們要與神來守這個約。
296.064	299.267	我們要看自己的身分,是屬神的兒女。
299.267	309.937	第三節,摩西亞倫就進去見法老,對他說,耶和華希伯來人的神這樣說,你在我面前不肯自卑,不願意謙卑,到底要到幾時呢?
310.538	312.880	容我的百姓去,好侍奉我。
312.880	318.784	每次神都派摩西來講同樣的話,但是法老就是不願意聽。
318.784	337.497	第四節,你若不肯容我的百姓去,明天我要使蝗蟲進入你的境界,並且遮滿地面,甚至看不見地,並且要吃那冰暴所剩的,和田間所長的一切樹木。
338.217	341.560	蝗蟲入境,真的什麼都被吃光。
341.560	351.350	之前神使用冰暴之災來懲罰他們的時候,還特意留了一些沒有被毀掉的,是神憐憫他們。
